"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0005576",2.24187957452564e-18,1,108,2180,"extracellular region","CC"
"2","GO:0016021",0.000307906949247319,0.99979216316526,130,5100,"integral component of membrane","CC"
"3","GO:0005615",0.000750846970375936,0.999803467783151,11,139,"extracellular space","CC"
"4","GO:0009505",0.000905563636289599,0.99968070336909,16,347,"plant-type cell wall","CC"
"5","GO:0005901",0.00133406069454396,0.999990446609192,2,3,"caveola","CC"
"6","GO:0005618",0.00181258354619042,0.999195297586123,22,560,"cell wall","CC"
"7","GO:0048046",0.00228615826855593,0.99898784756407,21,501,"apoplast","CC"
"8","GO:0005886",0.0039787222604643,0.99721965617247,94,4166,"plasma membrane","CC"
"9","GO:0009530",0.00574994216479862,0.999844941777692,2,6,"primary cell wall","CC"
"10","GO:0031225",0.0126411301652631,0.994920169356779,12,220,"anchored component of membrane","CC"
"11","GO:0005950",0.0411857724994848,0.999425045548466,1,3,"anthranilate synthase complex","CC"
"12","GO:0098590",0.0457788721802483,0.999288153529253,1,3,"plasma membrane region","CC"
"13","GO:0031012",0.0603117644201376,0.993058420263043,2,15,"extracellular matrix","CC"
"14","GO:0032432",0.0775875383229532,0.997417473373844,1,6,"actin filament bundle","CC"
"15","GO:0042995",0.0978149861657897,0.996264069683892,1,4,"cell projection","CC"
"16","GO:0002189",0.120609119056123,0.993340153649438,1,8,"ribose phosphate diphosphokinase complex","CC"
"17","GO:0005575",0.131974421132606,0.9187638987101,15,392,"cellular_component","CC"
"18","GO:0031464",0.139735962094315,0.990852722483698,1,9,"Cul4A-RING E3 ubiquitin ligase complex","CC"
"19","GO:0019897",0.149054480267226,0.990175876516639,1,6,"extrinsic component of plasma membrane","CC"
"20","GO:0009506",0.162103360983364,0.884029904967258,26,1214,"plasmodesma","CC"
"21","GO:0043231",0.167265695313135,0.920918217171791,6,204,"intracellular membrane-bounded organelle","CC"
"22","GO:0005885",0.185465504261349,0.983224258007702,1,11,"Arp2/3 protein complex","CC"
"23","GO:0005737",0.20036121499816,0.828761619106784,110,5641,"cytoplasm","CC"
"24","GO:0090406",0.237606460453259,0.934160688675129,2,54,"pollen tube","CC"
"25","GO:0005874",0.238430152980943,0.883495981764981,5,220,"microtubule","CC"
"26","GO:0005871",0.24526956020379,0.930098196198407,2,83,"kinesin complex","CC"
"27","GO:0012505",0.247880296943686,0.905510471342512,3,97,"endomembrane system","CC"
"28","GO:0016020",0.252009632008263,0.797591890210244,42,2107,"membrane","CC"
"29","GO:0005773",0.261624963841768,0.814329804375438,17,801,"vacuole","CC"
"30","GO:0005884",0.296029281787622,0.952972342959586,1,24,"actin filament","CC"
"31","GO:0005834",0.384759268397919,0.851658355342053,2,84,"heterotrimeric G-protein complex","CC"
"32","GO:0031982",0.396206263161286,0.911536555219952,1,26,"vesicle","CC"
"33","GO:0000145",0.400400918298089,0.908624444319712,1,36,"exocyst","CC"
"34","GO:0009705",0.408612948050254,0.797935511780958,3,139,"plant-type vacuole membrane","CC"
"35","GO:0031201",0.412485530626852,0.833193987264502,2,72,"SNARE complex","CC"
"36","GO:0090575",0.438290294093701,0.889477959867844,1,26,"RNA polymerase II transcription factor complex","CC"
