"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0051082",1.93738287623575e-06,0.999999772608181,10,153,"unfolded protein binding","MF"
"2","GO:0009973",4.96970465388709e-06,0.999999986601382,3,4,"adenylyl-sulfate reductase activity","MF"
"3","GO:0033741",4.96970465388709e-06,0.999999986601382,3,4,"adenylyl-sulfate reductase (glutathione) activity","MF"
"4","GO:0033743",6.9849133090245e-06,0.999999880255512,4,11,"peptide-methionine (R)-S-oxide reductase activity","MF"
"5","GO:0051787",1.09265135253659e-05,0.999999765448241,4,16,"misfolded protein binding","MF"
"6","GO:0020037",3.16820777088852e-05,0.999993157720041,13,316,"heme binding","MF"
"7","GO:0015075",7.97786852749234e-05,0.999999862947415,2,3,"ion transmembrane transporter activity","MF"
"8","GO:0035251",0.000146587172452009,0.99999336773518,4,25,"UDP-glucosyltransferase activity","MF"
"9","GO:0019825",0.000174888858918358,0.999968368884837,9,193,"oxygen binding","MF"
"10","GO:0005351",0.000252123028761514,0.999971151774878,6,111,"carbohydrate:proton symporter activity","MF"
"11","GO:0016709",0.000323170885620066,0.999952474844306,7,122,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen","MF"
"12","GO:0042623",0.00034378703143857,0.999990202341778,3,17,"ATPase activity, coupled","MF"
"13","GO:0015293",0.000700784683576226,0.999949201507677,4,51,"symporter activity","MF"
"14","GO:0005506",0.000799350502635826,0.999820893872794,9,245,"iron ion binding","MF"
"15","GO:0031072",0.00127684228928585,0.999939897684601,3,26,"heat shock protein binding","MF"
"16","GO:0016985",0.00137246406048907,0.999982297513605,2,6,"mannan endo-1,4-beta-mannosidase activity","MF"
"17","GO:0016629",0.00140329221615681,0.999981694192576,2,6,"12-oxophytodienoate reductase activity","MF"
"18","GO:0004364",0.00151368666019215,0.999809081996036,5,69,"glutathione transferase activity","MF"
"19","GO:0015144",0.00163175786492925,0.99978748274976,5,108,"carbohydrate transmembrane transporter activity","MF"
"20","GO:0043295",0.00173658800588385,0.999911334183735,3,20,"glutathione binding","MF"
"21","GO:0044183",0.0021784085682532,0.999875959676683,3,27,"protein binding involved in protein folding","MF"
"22","GO:0004553",0.00237784595885917,0.999501884761338,7,206,"hydrolase activity, hydrolyzing O-glycosyl compounds","MF"
"23","GO:0008271",0.00269256928664478,0.999941101699248,2,13,"secondary active sulfate transmembrane transporter activity","MF"
"24","GO:0004601",0.00297520151852826,0.999449008008781,6,133,"peroxidase activity","MF"
"25","GO:0015271",0.00329751412308718,0.999923331340461,2,10,"outward rectifier potassium channel activity","MF"
"26","GO:0003950",0.00369895664348493,0.999904812340048,2,13,"NAD+ ADP-ribosyltransferase activity","MF"
"27","GO:0000774",0.00412836445732193,0.999894575957642,2,9,"adenyl-nucleotide exchange factor activity","MF"
"28","GO:0045156",0.00413731527674193,0.999897142449233,2,8,"electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity","MF"
"29","GO:0046910",0.00419914068434242,0.999499881697804,4,59,"pectinesterase inhibitor activity","MF"
"30","GO:0016887",0.00498947400908189,0.99879911577214,7,310,"ATPase activity","MF"
"31","GO:0016762",0.00513463697881503,0.999600291164019,3,30,"xyloglucan:xyloglucosyl transferase activity","MF"
"32","GO:0008199",0.00603746933121872,0.999805096074857,2,11,"ferric iron binding","MF"
"33","GO:0043621",0.00625268022955592,0.998885165165445,5,118,"protein self-association","MF"
"34","GO:0015301",0.00675904188642596,0.999751591834165,2,20,"anion:anion antiporter activity","MF"
"35","GO:0015116",0.00688809546334488,0.999748093970712,2,17,"sulfate transmembrane transporter activity","MF"
"36","GO:0008113",0.0076413193715736,0.999721315120461,2,11,"peptide-methionine (S)-S-oxide reductase activity","MF"
"37","GO:0045330",0.00779251816500845,0.999280754759675,3,42,"aspartyl esterase activity","MF"
"38","GO:0046915",0.00830574293018672,1,1,1,"transition metal ion transmembrane transporter activity","MF"
"39","GO:0008121",0.00850006021284011,0.999667818559975,2,12,"ubiquinol-cytochrome-c reductase activity","MF"
"40","GO:0016844",0.00859865956367777,0.999658061987815,2,13,"strictosidine synthase activity","MF"
"41","GO:0008194",0.00900551278376177,0.998246239165529,5,121,"UDP-glycosyltransferase activity","MF"
"42","GO:0003993",0.0095486008088851,0.999049920997201,3,43,"acid phosphatase activity","MF"
"43","GO:0047893",0.00981408959688414,0.999577891729909,2,14,"flavonol 3-O-glucosyltransferase activity","MF"
"44","GO:0016798",0.0107625382758431,0.998879993442339,3,44,"hydrolase activity, acting on glycosyl bonds","MF"
"45","GO:0030599",0.0107982196406239,0.998871668821701,3,47,"pectinesterase activity","MF"
"46","GO:0048529",0.0113247466733005,1,1,1,"magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase activity","MF"
"47","GO:0051879",0.0116638030170936,0.999442574801872,2,16,"Hsp90 protein binding","MF"
"48","GO:0050267",0.0118835234998132,1,1,1,"rubber cis-polyprenylcistransferase activity","MF"
"49","GO:0047844",0.0125945919852124,1,1,1,"deoxycytidine deaminase activity","MF"
