"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0009408",1.12858561141052e-16,1,22,196,"response to heat","BP"
"2","GO:0042542",3.58888196981591e-09,0.999999999755236,11,88,"response to hydrogen peroxide","BP"
"3","GO:0009414",7.30953143813617e-09,0.999999998899831,20,399,"response to water deprivation","BP"
"4","GO:0009644",9.52914501968695e-09,0.999999999402852,10,73,"response to high light intensity","BP"
"5","GO:0055114",4.71208514728354e-07,0.999999837141666,36,1349,"oxidation-reduction process","BP"
"6","GO:0010286",1.79836811933271e-06,0.999999887597041,7,60,"heat acclimation","BP"
"7","GO:0000103",1.9262377507505e-06,0.999999949169892,5,19,"sulfate assimilation","BP"
"8","GO:0006979",4.24789671632499e-06,0.999999068135921,16,376,"response to oxidative stress","BP"
"9","GO:0034605",9.98496754532616e-06,0.999999180105517,7,68,"cellular response to heat","BP"
"10","GO:0019419",1.18698988950816e-05,0.999999936795301,3,5,"sulfate reduction","BP"
"11","GO:0098869",1.87300129222392e-05,0.999999552441814,4,14,"cellular oxidant detoxification","BP"
"12","GO:0034620",2.19959230307174e-05,0.999999427067924,4,17,"cellular response to unfolded protein","BP"
"13","GO:0046686",3.3778574559617e-05,0.99999117115978,16,487,"response to cadmium ion","BP"
"14","GO:0010438",3.50971176916075e-05,0.999999679273626,3,6,"cellular response to sulfur starvation","BP"
"15","GO:0009767",5.23366049494434e-05,0.999998258554209,4,19,"photosynthetic electron transport chain","BP"
"16","GO:0006457",5.83203551473032e-05,0.999987554245911,12,288,"protein folding","BP"
"17","GO:0045893",0.000165308704808461,0.999960492988045,12,315,"positive regulation of transcription, DNA-templated","BP"
"18","GO:0042026",0.000180820084351081,0.999985903689475,5,54,"protein refolding","BP"
"19","GO:0010439",0.000256478071851018,0.999993796982985,3,12,"regulation of glucosinolate biosynthetic process","BP"
"20","GO:0009651",0.000374507944005436,0.99986944556638,18,699,"response to salt stress","BP"
"21","GO:0031407",0.000415398742824895,0.999998359852153,2,3,"oxylipin metabolic process","BP"
"22","GO:0010143",0.000482575729124964,0.999984535029922,3,17,"cutin biosynthetic process","BP"
"23","GO:1902358",0.000486371371698639,0.999996590071814,2,5,"sulfate transmembrane transport","BP"
"24","GO:0006986",0.00050529167961735,0.999983697701446,3,16,"response to unfolded protein","BP"
"25","GO:0034220",0.000562084218340594,0.999995760215745,2,5,"ion transmembrane transport","BP"
"26","GO:0030091",0.000667561494392472,0.999976819808829,3,14,"protein repair","BP"
"27","GO:0051707",0.000789635932813142,0.999914237957378,5,63,"response to other organism","BP"
"28","GO:0051259",0.000890859177404186,0.999965386296247,3,15,"protein complex oligomerization","BP"
"29","GO:0009873",0.00106411153634912,0.999778114539154,8,187,"ethylene-activated signaling pathway","BP"
"30","GO:0080167",0.00189716947767783,0.999619729655193,7,156,"response to karrikin","BP"
"31","GO:0070301",0.0024852260366652,0.999954170050253,2,7,"cellular response to hydrogen peroxide","BP"
"32","GO:0051085",0.00270128349669811,0.999716122645049,4,55,"chaperone cofactor-dependent protein refolding","BP"
"33","GO:0009636",0.00281974826668523,0.999824568636702,3,26,"response to toxic substance","BP"
"34","GO:0031930",0.0030223404462315,0.999936016822368,2,8,"mitochondria-nucleus signaling pathway","BP"
"35","GO:0045454",0.00318916361910085,0.999298018224354,7,166,"cell redox homeostasis","BP"
"36","GO:0006629",0.00325835943409293,0.999383837495307,6,143,"lipid metabolic process","BP"
"37","GO:0016236",0.00368853147113401,0.999907557567901,2,11,"macroautophagy","BP"
"38","GO:0000302",0.004744513629451,0.999414379638947,4,60,"response to reactive oxygen species","BP"
"39","GO:0019344",0.00530646279784918,0.99957990275696,3,32,"cysteine biosynthetic process","BP"
"40","GO:0010311",0.00557770921729034,0.999273891983787,4,74,"lateral root formation","BP"
"41","GO:0009409",0.00634786102764047,0.997780505456704,11,426,"response to cold","BP"
"42","GO:0008272",0.00696716414444316,0.999746977721734,2,15,"sulfate transport","BP"
"43","GO:0010200",0.0090598436910821,0.997881443199179,6,152,"response to chitin","BP"
"44","GO:0010266",0.00906561926305556,1,1,1,"response to vitamin B1","BP"
"45","GO:0071805",0.00912007558757159,0.999099927412857,3,52,"potassium ion transmembrane transport","BP"
"46","GO:0015800",0.00982012927957391,1,1,1,"acidic amino acid transport","BP"
"47","GO:0110126",0.00982012927957391,1,1,1,"phloem loading","BP"
"48","GO:0009615",0.00993172721071913,0.9989938512099,3,46,"response to virus","BP"
"49","GO:0009737",0.0105785360160104,0.995829878707478,12,549,"response to abscisic acid","BP"
"50","GO:0042371",0.0107168485003943,1,1,1,"vitamin K biosynthetic process","BP"
"51","GO:0006792",0.0109114879382598,1,1,1,"regulation of sulfur utilization","BP"
"52","GO:0015979",0.0109295691821423,0.997768154478106,5,118,"photosynthesis","BP"
"53","GO:0015811",0.0112827906501944,1,1,1,"L-cystine transport","BP"
"54","GO:1902418",0.0114759720058412,0.999956030378293,1,3,"(+)-abscisic acid D-glucopyranosyl ester transmembrane transport","BP"
"55","GO:0009813",0.0116465797096084,0.998754284108871,3,42,"flavonoid biosynthetic process","BP"
"56","GO:0019538",0.0117721328739192,0.999425040770526,2,19,"protein metabolic process","BP"
"57","GO:1901401",0.0118728013471264,1,1,1,"regulation of tetrapyrrole metabolic process","BP"
"58","GO:0071475",0.0120650626918252,1,1,1,"cellular hyperosmotic salinity response","BP"
"59","GO:0034765",0.0123004329335142,0.999380244952678,2,21,"regulation of ion transmembrane transport","BP"
"60","GO:0010055",0.0127117923578907,1,1,1,"atrichoblast differentiation","BP"
"61","GO:0043620",0.0127117923578907,1,1,1,"regulation of DNA-templated transcription in response to stress","BP"
"62","GO:0016311",0.0128439451076911,0.998568593086719,3,47,"dephosphorylation","BP"
"63","GO:0030644",0.0128816732334863,1,1,1,"cellular chloride ion homeostasis","BP"
"64","GO:0010941",0.0134375841990632,1,1,1,"regulation of cell death","BP"
"65","GO:0009611",0.013444266620631,0.996105808885422,7,250,"response to wounding","BP"
"66","GO:0015996",0.0136169462020436,0.999289575650536,2,17,"chlorophyll catabolic process","BP"
"67","GO:0055062",0.0139698631426993,0.999250511540299,2,20,"phosphate ion homeostasis","BP"
"68","GO:0016024",0.0146499860430074,0.999201450309992,2,18,"CDP-diacylglycerol biosynthetic process","BP"
"69","GO:0033306",0.0152392828160114,0.999941699554358,1,2,"phytol metabolic process","BP"
"70","GO:0044030",0.0155105625700497,0.999114367435418,2,22,"regulation of DNA methylation","BP"
"71","GO:0009234",0.0155801951913748,0.999939051395917,1,2,"menaquinone biosynthetic process","BP"
"72","GO:0071485",0.0180135633126849,0.999918425528848,1,2,"cellular response to absence of light","BP"
"73","GO:0006914",0.0188917600681015,0.997556544771615,3,54,"autophagy","BP"
"74","GO:0006865",0.019133809902818,0.997511787810155,3,55,"amino acid transport","BP"
"75","GO:0040019",0.0196404121353709,0.999870736946342,1,3,"positive regulation of embryonic development","BP"
"76","GO:0019432",0.0201601902228576,0.998673842841504,2,23,"triglyceride biosynthetic process","BP"
"77","GO:0010371",0.0201666923941087,0.999897647048619,1,2,"regulation of gibberellin biosynthetic process","BP"
"78","GO:0055063",0.0209850341903178,0.999889125542024,1,2,"sulfate ion homeostasis","BP"
"79","GO:0006401",0.0211329265534422,0.99857060155476,2,24,"RNA catabolic process","BP"
"80","GO:0071291",0.0216878282542996,0.999881532310169,1,2,"cellular response to selenium ion","BP"
"81","GO:0048838",0.0217829402979248,0.999880485152637,1,2,"release of seed from dormancy","BP"
"82","GO:0019379",0.0229171095845731,0.99986763903931,1,2,"sulfate assimilation, phosphoadenylyl sulfate reduction by phosphoadenylyl-sulfate reductase (thioredoxin)","BP"
"83","GO:0015995",0.0232753002079048,0.996733569967651,3,59,"chlorophyll biosynthetic process","BP"
"84","GO:0071629",0.0236959178826855,0.999858433649643,1,2,"cytoplasm protein quality control by the ubiquitin-proteasome system","BP"
"85","GO:0010045",0.0237149247222619,0.999858205076919,1,2,"response to nickel cation","BP"
"86","GO:0031408",0.0240198126403229,0.998256327597052,2,25,"oxylipin biosynthetic process","BP"
"87","GO:0061635",0.0243898571837991,0.999849967454599,1,2,"regulation of protein complex stability","BP"
"88","GO:0032107",0.0244774829221824,0.999848880702136,1,2,"regulation of response to nutrient levels","BP"
"89","GO:0051228",0.0248434838051758,0.999792688911441,1,3,"mitotic spindle disassembly","BP"
"90","GO:0097352",0.0248434838051758,0.999792688911441,1,3,"autophagosome maturation","BP"
