"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0071456",5.97510192502e-16,1,14,26,"cellular response to hypoxia","BP"
"2","GO:0006952",1.07785789410905e-12,1,46,703,"defense response","BP"
"3","GO:0042744",1.50574671132302e-11,1,18,103,"hydrogen peroxide catabolic process","BP"
"4","GO:0009617",3.61303634791301e-10,0.999999999959745,18,133,"response to bacterium","BP"
"5","GO:0006468",1.05453588077784e-08,1,44,1021,"protein phosphorylation","BP"
"6","GO:0009664",2.37252705705783e-08,0.999999997801178,12,66,"plant-type cell wall organization","BP"
"7","GO:0016310",1.60480600397252e-07,0.99999995381559,29,514,"phosphorylation","BP"
"8","GO:0042742",7.0639120974475e-07,0.999999800323606,25,410,"defense response to bacterium","BP"
"9","GO:0006979",1.64186063957138e-06,0.999999514172534,25,376,"response to oxidative stress","BP"
"10","GO:0002229",2.95833334337238e-06,0.999999698867051,9,60,"defense response to oomycetes","BP"
"11","GO:0050832",6.76846286447356e-06,0.999998145810325,20,271,"defense response to fungus","BP"
"12","GO:0009626",1.62789205280306e-05,0.999997579252851,10,98,"plant-type hypersensitive response","BP"
"13","GO:0007165",5.10190802010765e-05,0.999983170313096,21,417,"signal transduction","BP"
"14","GO:0055114",5.59543011131619e-05,0.999971837908878,50,1349,"oxidation-reduction process","BP"
"15","GO:0009682",0.000136784183664948,0.999990819251461,5,22,"induced systemic resistance","BP"
"16","GO:0010112",0.000158493814651385,0.99999385428068,4,11,"regulation of systemic acquired resistance","BP"
"17","GO:0052544",0.00016791077903439,0.999992543674335,4,17,"defense response by callose deposition in cell wall","BP"
"18","GO:0080142",0.000203578344759519,0.999990488680669,4,17,"regulation of salicylic acid biosynthetic process","BP"
"19","GO:0016042",0.000226017049183055,0.999953115506098,10,131,"lipid catabolic process","BP"
"20","GO:0000904",0.000348968591631172,1,2,2,"cell morphogenesis involved in differentiation","BP"
"21","GO:0009625",0.00042138572797104,0.999962334339306,5,29,"response to insect","BP"
"22","GO:0033215",0.00043405511675182,0.99998796868145,3,10,"iron assimilation by reduction and transport","BP"
"23","GO:0006817",0.000609261573002207,0.999959585128686,4,25,"phosphate ion transport","BP"
"24","GO:0042343",0.000720951462162484,0.999951446757484,4,20,"indole glucosinolate metabolic process","BP"
