"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0005887",1.03965477353311e-05,0.999998507586815,10,190,"integral component of plasma membrane","CC"
"2","GO:0009535",0.000460745063477298,0.999861289552839,14,428,"chloroplast thylakoid membrane","CC"
"3","GO:0005829",0.00148834712313511,0.999170769278958,44,2799,"cytosol","CC"
"4","GO:0009534",0.0019175365462258,0.999512242682205,9,241,"chloroplast thylakoid","CC"
"5","GO:0031410",0.00411568088287682,0.999702508070946,3,32,"cytoplasmic vesicle","CC"
"6","GO:0016020",0.00488489553023915,0.997282128077588,34,2107,"membrane","CC"
"7","GO:0016363",0.0100252511436845,0.999549713245308,2,19,"nuclear matrix","CC"
"8","GO:0090568",0.0109114879382598,1,1,1,"nuclear transcriptional repressor complex","CC"
"9","GO:0009986",0.0121019919299211,0.999403213129239,2,18,"cell surface","CC"
"10","GO:0030095",0.0163177239684314,0.999069399215186,2,16,"chloroplast photosystem II","CC"
"11","GO:0005776",0.0164749565041069,0.999032320293828,2,21,"autophagosome","CC"
"12","GO:0043231",0.0181165209083678,0.995056095398659,6,204,"intracellular membrane-bounded organelle","CC"
"13","GO:0000421",0.0209113503493767,0.998612002502231,2,20,"autophagosome membrane","CC"
"14","GO:0005737",0.0227899442679871,0.983836588132262,71,5641,"cytoplasm","CC"
"15","GO:0009941",0.0237035411027923,0.989167342016293,13,683,"chloroplast envelope","CC"
"16","GO:0034098",0.0248434838051758,0.999792688911441,1,3,"VCP-NPL4-UFD1 AAA ATPase complex","CC"
"17","GO:0031969",0.0250578782072224,0.993659877085212,5,168,"chloroplast membrane","CC"
"18","GO:0005576",0.029083679054638,0.981683198950899,33,2180,"extracellular region","CC"
"19","GO:0009507",0.0302562196771512,0.977990503227076,77,6062,"chloroplast","CC"
"20","GO:0048471",0.0305799068160202,0.997439854275898,2,32,"perinuclear region of cytoplasm","CC"
"21","GO:1990316",0.0344114849362721,0.999551019515933,1,4,"Atg1/ULK1 kinase complex","CC"
"22","GO:0005783",0.0391980703930375,0.979245147136101,16,961,"endoplasmic reticulum","CC"
"23","GO:0070390",0.0441709553437095,0.999175616577086,1,6,"transcription export complex 2","CC"
"24","GO:0005764",0.0467201808834938,0.995085749734219,2,31,"lysosome","CC"
"25","GO:0010598",0.0496042977845358,0.999060918751036,1,4,"NAD(P)H dehydrogenase complex (plastoquinone)","CC"
"26","GO:0032299",0.0534683252172268,0.998835292835516,1,5,"ribonuclease H2 complex","CC"
"27","GO:0019898",0.0577590180925917,0.993112334056005,2,38,"extrinsic component of membrane","CC"
"28","GO:0001673",0.0583092668072586,0.998612039099801,1,5,"male germ cell nucleus","CC"
"29","GO:0009523",0.0586205815496112,0.993012942788468,2,31,"photosystem II","CC"
"30","GO:0009512",0.063328431476189,0.998359358531496,1,5,"cytochrome b6f complex","CC"
"31","GO:0009898",0.0702070206594245,0.997792178489267,1,8,"cytoplasmic side of plasma membrane","CC"
"32","GO:0005856",0.0710382458674317,0.984370077918818,3,102,"cytoskeleton","CC"
"33","GO:0005775",0.0752824835305648,0.997456309415706,1,8,"vacuolar lumen","CC"
"34","GO:0005618",0.0765079822600087,0.962393980395252,10,560,"cell wall","CC"
"35","GO:0031597",0.0774872657529741,0.997302772612065,1,8,"cytosolic proteasome complex","CC"
"36","GO:0000325",0.078961372045985,0.988646541422956,2,57,"plant-type vacuole","CC"
"37","GO:0009706",0.0799503677343105,0.981546249105071,3,99,"chloroplast inner membrane","CC"
"38","GO:0048046",0.0891643826379304,0.956778330093477,9,501,"apoplast","CC"
"39","GO:0061908",0.0940665536040921,0.9959369715402,1,9,"phagophore","CC"
"40","GO:0000326",0.0980416725932405,0.995579329165375,1,9,"protein storage vacuole","CC"
"41","GO:0032586",0.103149594882447,0.994988926489576,1,11,"protein storage vacuole membrane","CC"
"42","GO:0009533",0.106154747372676,0.994737766467599,1,10,"chloroplast stromal thylakoid","CC"
"43","GO:0000407",0.113447943993644,0.993757451292381,1,15,"phagophore assembly site","CC"
"44","GO:0034399",0.126462420568494,0.992091416187671,1,19,"nuclear periphery","CC"
"45","GO:0005774",0.140786249171524,0.922219397018476,10,669,"vacuolar membrane","CC"
"46","GO:0031977",0.145737239049337,0.970114794048781,2,58,"thylakoid lumen","CC"
"47","GO:0009570",0.156300904776281,0.906829157398378,12,832,"chloroplast stroma","CC"
"48","GO:0009579",0.160099709733581,0.931492653226961,5,241,"thylakoid","CC"
"49","GO:0016021",0.160864094412202,0.872669095959209,60,5100,"integral component of membrane","CC"
"50","GO:0010005",0.170969709400259,0.985381139608041,1,17,"cortical microtubule, transverse to long axis","CC"
"51","GO:0005765",0.176890782307797,0.984175600472513,1,20,"lysosomal membrane","CC"
"52","GO:0071944",0.18026467440374,0.983505304623849,1,21,"cell periphery","CC"
"53","GO:0005654",0.184657752065029,0.938479027399356,3,155,"nucleoplasm","CC"
"54","GO:0005811",0.185738969770273,0.982490843763976,1,20,"lipid droplet","CC"
"55","GO:0032991",0.199412042883824,0.979507391984404,1,25,"protein-containing complex","CC"
"56","GO:0005681",0.199809979899627,0.930984937219533,3,153,"spliceosomal complex","CC"
"57","GO:0030076",0.204575314550978,0.978712713574724,1,18,"light-harvesting complex","CC"
"58","GO:0009654",0.20468580167866,0.978688745231129,1,18,"photosystem II oxygen evolving complex","CC"
"59","GO:0009524",0.227472453314209,0.938112610847044,2,108,"phragmoplast","CC"
"60","GO:0016607",0.227699259180881,0.916294570768438,3,176,"nuclear speck","CC"
"61","GO:0010287",0.238322575035653,0.933463932000375,2,81,"plastoglobule","CC"
"62","GO:0005622",0.250138883929586,0.8876433077621,4,245,"intracellular","CC"
"63","GO:0042651",0.251723166923101,0.966459708250876,1,29,"thylakoid membrane","CC"
"64","GO:0009506",0.281910458156508,0.805102500432906,14,1214,"plasmodesma","CC"
"65","GO:0005773",0.28410650084602,0.817230174990324,10,801,"vacuole","CC"
"66","GO:0009522",0.293464031879232,0.95370405197506,1,27,"photosystem I","CC"
"67","GO:0009505",0.297766558753381,0.842702069242594,5,347,"plant-type cell wall","CC"
"68","GO:0005759",0.324339714779004,0.888679823740467,2,117,"mitochondrial matrix","CC"
