category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,Annotation,ontology
ARA:PWY-5934,1.4642726852526512e-4,0.9999941502086623,4,14,iron reduction and absorption,BioCyc
ARA:TRPSYN-PWY,9.890360956200325e-4,0.9999282427843831,4,22,L-tryptophan biosynthesis,BioCyc
ARA:COMPLETE-ARO-ARA-PWY,0.0012369222253170034,0.9998595693273203,5,38,"superpathway of phenylalanine, tyrosine and tryptophan biosynthesis",BioCyc
ARA:PWY-6443,0.012106176417810584,0.9975858684910558,5,54,"benzoate biosynthesis I (CoA-dependent, &beta;-oxidative)",BioCyc
ARA:PWY-6039,0.014311800053377394,0.9984528150703575,3,21,chlorogenic acid biosynthesis I,BioCyc
ARA:PWY-5176,0.017654255583078746,1,1,1,coumarin biosynthesis (via 2-coumarate),BioCyc
ARA:GLYSYN-ALA-PWY,0.022342323152852454,0.9985654885043947,2,12,glycine biosynthesis III,BioCyc
ARA:PWY-6842,0.022860891561355786,0.9937456940805414,6,71,glutathione-mediated detoxification II,BioCyc
ARA:PWY-5340,0.024056175266329652,0.998440624383123,2,10,sulfate activation for sulfonation,BioCyc
ARA:PWY-83,0.025073468345512856,1,1,1,monolignol glucosides biosynthesis,BioCyc
ARA:CAMALEXIN-SYN,0.03123065195992679,0.9953313320017942,3,29,camalexin biosynthesis,BioCyc
ARA:PWY-6792,0.03265604908836221,0.997503491911213,2,10,scopoletin biosynthesis,BioCyc
ARA:PWY-6040,0.035190705268925856,0.997113858711298,2,12,chlorogenic acid biosynthesis II,BioCyc
ARA:PWY-601,0.03910734437950532,0.9936028285121595,3,30,glucosinolate biosynthesis from tryptophan,BioCyc
ARA:PWY-5271,0.041125770754189724,0.9995733932745511,1,2,phaseic acid biosynthesis,BioCyc
ARA:PWY-7640,0.041125770754189724,0.9995733932745511,1,2,neophaseic acid biosynthesis,BioCyc
ARA:PWY-6952,0.04696066285624684,0.9952777393335411,2,18,glycerophosphodiester degradation,BioCyc
ARA:PWYQT-4477,0.06090394358406723,0.9930034929367723,2,16,indole glucosinolate activation (intact plant cell),BioCyc
ARA:PWY-7039,0.0745765157374091,0.9837676134939449,3,52,"phosphatidate metabolism, as a signaling molecule",BioCyc
ARA:PWY-6902,0.07805294805211296,0.9897544780142937,2,15,chitin degradation II (Vibrio),BioCyc
ARA:PWY-5381,0.07988713748972953,0.9822909163494522,3,40,pyridine nucleotide cycling (plants),BioCyc
ARA:PWY-7398,0.08576242424712592,0.9878594347004974,2,19,coumarins biosynthesis (engineered),BioCyc
ARA:PWY-5441,0.09023040754154482,0.9966593101420452,1,5,S-methyl-L-methionine cycle,BioCyc
ARA:PWY-5060,0.09181423474321011,0.9967497162869466,1,4,luteolin biosynthesis,BioCyc
ARA:PWY-7625,0.09683016295362572,0.996141715833049,1,5,phosphatidylinositol biosynthesis II (eukaryotes),BioCyc
ARA:PWYQT-4432,0.0973993389262705,0.9960952578606038,1,5,glutathione degradation,BioCyc
ARA:PHOSLIPSYN2-PWY,0.11316421574530242,0.9944787168178975,1,6,superpathway of phospholipid biosynthesis II (plants),BioCyc
ARA:PWY-5670,0.12250912320596398,0.9933245155726769,1,7,epoxysqualene biosynthesis,BioCyc
ARA:PWY-7416,0.12502880017107776,0.9774618819727198,2,27,"phospholipid remodeling (phosphatidylcholine, yeast)",BioCyc
ARA:PWY-361,0.12564033549557116,0.9658548524928264,3,54,phenylpropanoid biosynthesis,BioCyc
ARA:PWY-6442,0.13567726804151525,0.9922939603871623,1,5,spermidine hydroxycinnamic acid conjugates biosynthesis,BioCyc
ARA:PWY0-1182,0.13608059754132473,0.9915508473509226,1,8,trehalose degradation II (trehalase),BioCyc
