category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,Annotation,ontology
path:ath00940,3.501462661318845e-16,1,24,168,Phenylpropanoid biosynthesis,KEGG
path:ath01110,2.509213227758242e-8,0.9999999925852029,45,1292,Biosynthesis of secondary metabolites,KEGG
path:ath01100,5.126334861486358e-7,0.9999998252662794,67,2631,Metabolic pathways,KEGG
path:ath04626,1.0221689082672142e-4,0.999976328693638,13,217,Plant-pathogen interaction,KEGG
path:ath04016,0.0015029359684718508,0.9996444020617935,9,158,MAPK signaling pathway - plant,KEGG
path:ath00400,0.004333813200285144,0.999314966661527,5,69,"Phenylalanine, tyrosine and tryptophan biosynthesis",KEGG
path:ath00480,0.012302591366038864,0.9966102045949936,7,129,Glutathione metabolism,KEGG
path:ath00250,0.018610945792454654,0.9966156101418179,4,72,"Alanine, aspartate and glutamate metabolism",KEGG
path:ath00270,0.042643410485141885,0.986141455482928,6,162,Cysteine and methionine metabolism,KEGG
path:ath00460,0.04306908013077959,0.9898061376310726,4,87,Cyanoamino acid metabolism,KEGG
path:ath00052,0.05426683971606136,0.9895318650751624,3,61,Galactose metabolism,KEGG
path:ath04130,0.07431119027821385,0.9837970341235055,3,52,SNARE interactions in vesicular transport,KEGG
path:ath00920,0.08410981213782884,0.9806102343563053,3,60,Sulfur metabolism,KEGG
path:ath00280,0.10657028738009733,0.9726835279654732,3,78,"Valine, leucine and isoleucine degradation",KEGG
path:ath00960,0.10744799311889217,0.981998217670439,2,36,"Tropane, piperidine and pyridine alkaloid biosynthesis",KEGG
path:ath00945,0.16640446176211784,0.9869863868591989,1,9,"Stilbenoid, diarylheptanoid and gingerol biosynthesis",KEGG
path:ath00640,0.18284511235377887,0.9574072422130675,2,55,Propanoate metabolism,KEGG
path:ath00260,0.18601737835673546,0.9388155123649694,3,94,"Glycine, serine and threonine metabolism",KEGG
path:ath00514,0.2409573948956917,0.9701152726418661,1,19,Other types of O-glycan biosynthesis,KEGG
path:ath00500,0.2451452660668656,0.8921631345611426,4,182,Starch and sucrose metabolism,KEGG
path:ath00909,0.2531217741256336,0.9666214381683953,1,22,Sesquiterpenoid and triterpenoid biosynthesis,KEGG
path:ath00510,0.2583100856981463,0.9249923229953578,2,62,N-Glycan biosynthesis,KEGG
path:ath04075,0.2616904607257876,0.8533462719994751,7,286,Plant hormone signal transduction,KEGG
path:ath00430,0.26608568152958023,0.9630683979249077,1,20,Taurine and hypotaurine metabolism,KEGG
path:ath00620,0.2675648068667834,0.8950000854032736,3,126,Pyruvate metabolism,KEGG
path:ath00908,0.2791847249475722,0.9591095080986011,1,20,Zeatin biosynthesis,KEGG
path:ath00590,0.30025764365630503,0.9522596945378972,1,20,Arachidonic acid metabolism,KEGG
