"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0006952",6.36539027559763e-14,1,39,703,"defense response","BP"
"2","GO:0055114",1.26333113383497e-13,1,59,1349,"oxidation-reduction process","BP"
"3","GO:0071456",2.85203724104907e-13,1,11,26,"cellular response to hypoxia","BP"
"4","GO:0042742",3.06807276194346e-09,0.999999999479348,24,410,"defense response to bacterium","BP"
"5","GO:0016042",3.06824711510054e-07,0.99999996198263,12,131,"lipid catabolic process","BP"
"6","GO:0019438",2.31970401541443e-06,0.999999943206097,5,13,"aromatic compound biosynthetic process","BP"
"7","GO:0002229",2.69829881848106e-06,0.999999773685114,8,60,"defense response to oomycetes","BP"
"8","GO:0046274",2.89152126932379e-06,0.999999916751063,5,19,"lignin catabolic process","BP"
"9","GO:0006979",3.05439007607058e-06,0.999999205833331,20,376,"response to oxidative stress","BP"
"10","GO:0016099",6.59537971725901e-06,0.99999998038532,3,4,"monoterpenoid biosynthetic process","BP"
"11","GO:0042343",1.37503390504353e-05,0.999999445780178,5,20,"indole glucosinolate metabolic process","BP"
"12","GO:0032259",2.76873719428378e-05,0.999993668661488,14,255,"methylation","BP"
"13","GO:0050832",3.34452227644241e-05,0.99999173866267,15,271,"defense response to fungus","BP"
"14","GO:0099132",9.00093705269026e-05,1,2,2,"ATP hydrolysis coupled cation transmembrane transport","BP"
"15","GO:0010200",9.53179760517864e-05,0.999980444460714,11,152,"response to chitin","BP"
"16","GO:0009617",0.000161421118863955,0.999971253092168,9,133,"response to bacterium","BP"
"17","GO:0009611",0.000210674712836096,0.999948247550842,12,250,"response to wounding","BP"
"18","GO:0009414",0.000248315447582085,0.999922451465585,16,399,"response to water deprivation","BP"
"19","GO:0007229",0.000319523925248475,0.999998893462685,2,3,"integrin-mediated signaling pathway","BP"
"20","GO:0042744",0.000358424994070783,0.999937584697096,8,103,"hydrogen peroxide catabolic process","BP"
"21","GO:0006032",0.000386194370602302,0.999978218570418,4,19,"chitin catabolic process","BP"
"22","GO:0009651",0.000456389981090397,0.999818347084474,22,699,"response to salt stress","BP"
"23","GO:0046256",0.00050995448727831,1,2,2,"2,4,6-trinitrotoluene catabolic process","BP"
"24","GO:0009682",0.000536356419554987,0.99996622987705,4,22,"induced systemic resistance","BP"
"25","GO:0010120",0.000586041862715555,0.99998151844643,3,11,"camalexin biosynthetic process","BP"
"26","GO:0009407",0.000740597183759748,0.999899243740514,6,52,"toxin catabolic process","BP"
"27","GO:0010230",0.000830812293385272,0.999995330489182,2,3,"alternative respiration","BP"
"28","GO:0006749",0.000918339677331926,0.999868976257433,6,57,"glutathione metabolic process","BP"
"29","GO:0052544",0.000932719551504845,0.999962374996127,3,17,"defense response by callose deposition in cell wall","BP"
"30","GO:0099131",0.00132337284614592,0.999984564888329,2,5,"ATP hydrolysis coupled ion transmembrane transport","BP"
"31","GO:0010345",0.00150181995950776,0.999926938716725,3,20,"suberin biosynthetic process","BP"
"32","GO:0006722",0.00157925348148363,0.999982628106889,2,4,"triterpenoid metabolic process","BP"
"33","GO:0019745",0.00179934316752869,0.999969232485831,2,10,"pentacyclic triterpenoid biosynthetic process","BP"
"34","GO:0080003",0.00183015240464891,0.99997261291238,2,6,"thalianol metabolic process","BP"
"35","GO:0035336",0.00200291724481227,0.999965585723284,2,8,"long-chain fatty-acyl-CoA metabolic process","BP"
"36","GO:0000272",0.00228669795816775,0.999873706449499,3,17,"polysaccharide catabolic process","BP"
"37","GO:0009753",0.0023982156118221,0.99936983252456,9,190,"response to jasmonic acid","BP"
"38","GO:0010311",0.00250558836924399,0.999643100938476,5,74,"lateral root formation","BP"
"39","GO:0071446",0.00267876364482608,0.999948591231377,2,7,"cellular response to salicylic acid stimulus","BP"
"40","GO:2000280",0.00304006811392594,0.999677133478747,4,36,"regulation of root development","BP"
"41","GO:0006629",0.00335088145088308,0.999255777378865,7,143,"lipid metabolic process","BP"
"42","GO:0040009",0.00340844705560326,0.999929880414664,2,6,"regulation of growth rate","BP"
"43","GO:0035195",0.0051422046976088,0.999852673817769,2,9,"gene silencing by miRNA","BP"
"44","GO:0016104",0.00540277781026756,0.999830741721549,2,13,"triterpenoid biosynthetic process","BP"
"45","GO:0009413",0.00590110757865793,0.999818475207371,2,9,"response to flooding","BP"
"46","GO:1900140",0.00606827369674363,0.999815809685835,2,8,"regulation of seedling development","BP"
"47","GO:0070588",0.00658872541365852,0.999429190472867,3,38,"calcium ion transmembrane transport","BP"
"48","GO:0009624",0.00659759657314532,0.998808937407548,5,101,"response to nematode","BP"
"49","GO:0007165",0.00678323581585304,0.997471926288953,12,417,"signal transduction","BP"
"50","GO:1900056",0.00734093966787857,0.999754060604955,2,8,"negative regulation of leaf senescence","BP"
"51","GO:0009627",0.00735483753416937,0.998975952594858,4,52,"systemic acquired resistance","BP"
"52","GO:0015810",0.0075145743894821,1,1,1,"aspartate transmembrane transport","BP"
"53","GO:0015827",0.0075145743894821,1,1,1,"tryptophan transport","BP"
"54","GO:0009408",0.00776778598430729,0.997751950212925,8,196,"response to heat","BP"
"55","GO:0080027",0.00798608573468369,0.999730738877787,2,7,"response to herbivore","BP"
"56","GO:0009644",0.00831956795872745,0.998428206799604,5,73,"response to high light intensity","BP"
"57","GO:0080143",0.00832405828222826,0.999728137595445,2,6,"regulation of amino acid export","BP"
"58","GO:1902609",0.00964143701470966,1,1,1,"(R)-2-hydroxy-alpha-linolenic acid biosynthetic process","BP"
"59","GO:0051383",0.00999311963171787,1,1,1,"kinetochore organization","BP"
"60","GO:0009759",0.0100684861772216,0.999582389265188,2,10,"indole glucosinolate biosynthetic process","BP"
"61","GO:0019748",0.0101350936523867,0.998971722507218,3,39,"secondary metabolic process","BP"
"62","GO:0009625",0.0102408800903221,0.998975829037206,3,29,"response to insect","BP"
