category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,Annotation,ontology
path:ath04075,3.6638274660090056e-9,0.9999999995862697,17,286,Plant hormone signal transduction,KEGG
path:ath00940,1.577830288609519e-8,0.9999999985096312,13,168,Phenylpropanoid biosynthesis,KEGG
path:ath00040,7.324994510547866e-4,0.9999241623240802,5,76,Pentose and glucuronate interconversions,KEGG
path:ath00350,0.07498838098526778,0.9897434325179879,2,52,Tyrosine metabolism,KEGG
path:ath04712,0.07737937528968387,0.9892514612822974,2,48,Circadian rhythm - plant,KEGG
path:ath01110,0.07867431022817488,0.9566206919412082,17,1292,Biosynthesis of secondary metabolites,KEGG
path:ath00300,0.13429445884809207,0.9911964218389208,1,18,Lysine biosynthesis,KEGG
path:ath00261,0.1365729856661764,0.9909170353250261,1,17,Monobactam biosynthesis,KEGG
path:ath00430,0.1620489663410281,0.9869670021903085,1,20,Taurine and hypotaurine metabolism,KEGG
path:ath01100,0.17694562000505884,0.8827877832853832,29,2631,Metabolic pathways,KEGG
path:ath04626,0.18282908721714164,0.9289746664437436,4,217,Plant-pathogen interaction,KEGG
path:ath00730,0.27479642048073893,0.9602236996437338,1,27,Thiamine metabolism,KEGG
path:ath00592,0.31851080097932893,0.9448054041902311,1,44,alpha-Linolenic acid metabolism,KEGG
path:ath03018,0.3660123394661247,0.8652559638178914,2,144,RNA degradation,KEGG
path:ath00071,0.3698969697499792,0.9233691347002302,1,61,Fatty acid degradation,KEGG
path:ath00910,0.4130302305700794,0.9025939391771951,1,56,Nitrogen metabolism,KEGG
path:ath00053,0.43511193904119905,0.8905352358163876,1,63,Ascorbate and aldarate metabolism,KEGG
path:ath04130,0.4715257910942541,0.8694009387942586,1,52,SNARE interactions in vesicular transport,KEGG
path:ath00920,0.4765400899496894,0.8659799130498989,1,60,Sulfur metabolism,KEGG
path:ath04016,0.4918617691296205,0.7748067151811635,2,158,MAPK signaling pathway - plant,KEGG
path:ath00195,0.4955143770491352,0.8544707713332369,1,42,Photosynthesis,KEGG
path:ath01210,0.5283138620322698,0.8298786119969089,1,90,2-Oxocarboxylic acid metabolism,KEGG
path:ath00900,0.5392536969095563,0.8221103259149958,1,70,Terpenoid backbone biosynthesis,KEGG
path:ath03060,0.5550015830177206,0.8098141287733833,1,72,Protein export,KEGG
path:ath00260,0.5774558669486107,0.7908912535483972,1,94,"Glycine, serine and threonine metabolism",KEGG
path:ath00630,0.6583019086202562,0.7136483502518007,1,119,Glyoxylate and dicarboxylate metabolism,KEGG
path:ath00230,0.6968279010771934,0.6704325645176143,1,124,Purine metabolism,KEGG
path:ath00010,0.7022681021856374,0.6637047194432678,1,145,Glycolysis / Gluconeogenesis,KEGG
path:ath00500,0.7387276301330539,0.6172840938141257,1,182,Starch and sucrose metabolism,KEGG
path:ath00270,0.7861892814895215,0.5495913221077809,1,162,Cysteine and methionine metabolism,KEGG
path:ath04120,0.8202267550412616,0.494342556107481,1,175,Ubiquitin mediated proteolysis,KEGG
path:ath00190,0.8323341646029188,0.47349891435655334,1,147,Oxidative phosphorylation,KEGG
path:ath04141,0.926759632159563,0.2700076629993641,1,255,Protein processing in endoplasmic reticulum,KEGG
path:ath03040,0.9458012789422459,0.21693490833207718,1,310,Spliceosome,KEGG
path:ath01230,0.9477147619545228,0.21124051400238628,1,323,Biosynthesis of amino acids,KEGG
path:ath01200,0.9622643083571228,0.16548837609879802,1,362,Carbon metabolism,KEGG
path:ath00020,1,0.5201618272879591,0,78,Citrate cycle (TCA cycle),KEGG
path:ath00030,1,0.4699100260491796,0,77,Pentose phosphate pathway,KEGG
path:ath00051,1,0.4838777650473528,0,74,Fructose and mannose metabolism,KEGG
path:ath00052,1,0.6327795639524916,0,61,Galactose metabolism,KEGG
path:ath00061,1,0.6558637811037866,0,52,Fatty acid biosynthesis,KEGG
path:ath00062,1,0.7319568252903237,0,29,Fatty acid elongation,KEGG
path:ath00072,1,0.9386871264987192,0,9,Synthesis and degradation of ketone bodies,KEGG
path:ath00073,1,0.8365301744034256,0,20,"Cutin, suberine and wax biosynthesis",KEGG
path:ath00100,1,0.709944173972018,0,40,Steroid biosynthesis,KEGG
