"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0020037",2.25300645019584e-12,1,27,316,"heme binding","MF"
"2","GO:0071949",4.20264242416646e-12,1,13,70,"FAD binding","MF"
"3","GO:0016709",1.47600663718297e-11,1,17,122,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen","MF"
"4","GO:0008757",7.39974375815145e-09,0.999999999564463,10,50,"S-adenosylmethionine-dependent methyltransferase activity","MF"
"5","GO:0019825",1.09320367406277e-08,0.99999999838599,17,193,"oxygen binding","MF"
"6","GO:0005506",3.95600850047085e-08,0.999999993266996,18,245,"iron ion binding","MF"
"7","GO:0045735",6.84825612905471e-08,0.999999994806331,10,54,"nutrient reservoir activity","MF"
"8","GO:0047372",8.55302007590981e-08,0.999999996966687,7,26,"acylglycerol lipase activity","MF"
"9","GO:0008171",6.66510496246953e-07,0.999999978128775,6,19,"O-methyltransferase activity","MF"
"10","GO:0052716",2.2733176587448e-06,0.999999938516432,5,18,"hydroquinone:oxygen oxidoreductase activity","MF"
"11","GO:0004620",2.47157119022292e-06,0.999999888381055,6,29,"phospholipase activity","MF"
"12","GO:0034768",6.59537971725901e-06,0.99999998038532,3,4,"(E)-beta-ocimene synthase activity","MF"
"13","GO:0050551",6.59537971725901e-06,0.99999998038532,3,4,"myrcene synthase activity","MF"
"14","GO:0004601",1.5138459053012e-05,0.999997484083375,11,133,"peroxidase activity","MF"
"15","GO:0008061",1.83448529796509e-05,0.999999222935873,5,19,"chitin binding","MF"
"16","GO:0030246",1.95286090321833e-05,0.999996292864229,12,199,"carbohydrate binding","MF"
"17","GO:0004497",2.81832787395574e-05,0.999995478478088,10,134,"monooxygenase activity","MF"
"18","GO:0016491",4.38643830205976e-05,0.999986652674308,19,445,"oxidoreductase activity","MF"
"19","GO:0030247",9.28064819205459e-05,0.999991490471154,6,49,"polysaccharide binding","MF"
"20","GO:0016705",0.000100134681857521,0.999985574391155,8,101,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","MF"
"21","GO:0043295",0.000650724762107026,0.999957444640325,4,20,"glutathione binding","MF"
"22","GO:0009916",0.000719387022916738,0.999996242094093,2,3,"alternative oxidase activity","MF"
"23","GO:0102721",0.000719387022916738,0.999996242094093,2,3,"ubiquinol:oxygen oxidoreductase activity","MF"
"24","GO:0004568",0.000752121936243077,0.999948140906284,4,22,"chitinase activity","MF"
"25","GO:0050062",0.000953722892813344,0.999989754319633,2,6,"long-chain-fatty-acyl-CoA reductase activity","MF"
"26","GO:0009055",0.00131418817445341,0.999685726117967,9,147,"electron transfer activity","MF"
