"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0009664",5.33364506703762e-13,1,13,66,"plant-type cell wall organization","BP"
"2","GO:0042744",2.6418662023373e-09,0.999999999795021,12,103,"hydrogen peroxide catabolic process","BP"
"3","GO:0045490",1.17561964117444e-07,0.999999993526773,8,65,"pectin catabolic process","BP"
"4","GO:0009733",1.85744847197087e-07,0.999999968309987,16,315,"response to auxin","BP"
"5","GO:0080167",2.57374511362916e-07,0.999999968605835,12,156,"response to karrikin","BP"
"6","GO:0009831",3.60676425961138e-06,0.999999890433389,5,20,"plant-type cell wall modification involved in multidimensional cell growth","BP"
"7","GO:0042546",4.59402416785436e-05,0.999996287392733,6,53,"cell wall biogenesis","BP"
"8","GO:0071555",4.78929114079934e-05,0.999990816118574,11,285,"cell wall organization","BP"
"9","GO:0010114",7.79611767786916e-05,0.999992991264799,6,62,"response to red light","BP"
"10","GO:0000904",7.87168972704239e-05,1,2,2,"cell morphogenesis involved in differentiation","BP"
"11","GO:0010411",0.000217921812835934,0.999982444570765,5,48,"xyloglucan metabolic process","BP"
"12","GO:1902358",0.000252068952348075,0.999998731736511,2,5,"sulfate transmembrane transport","BP"
"13","GO:0009826",0.000261298051226505,0.99996273620142,7,139,"unidimensional cell growth","BP"
"14","GO:0048767",0.000317513509446041,0.999971682823121,5,69,"root hair elongation","BP"
"15","GO:0001666",0.000429116029569816,0.999959259439794,5,64,"response to hypoxia","BP"
"16","GO:0009736",0.000456297336127396,0.999956089634185,5,64,"cytokinin-activated signaling pathway","BP"
"17","GO:0048765",0.000520568325316801,0.999982411868087,3,21,"root hair cell differentiation","BP"
"18","GO:0009828",0.00063706140592177,0.999956600523635,4,30,"plant-type cell wall loosening","BP"
"19","GO:0010054",0.00063852273689478,0.999994863467862,2,5,"trichoblast differentiation","BP"
"20","GO:0010017",0.000663928270305168,0.999953374776952,4,38,"red or far-red light signaling pathway","BP"
"21","GO:0010541",0.000882468060582416,0.999992793937021,2,4,"acropetal auxin transport","BP"
"22","GO:0000160",0.000941389170497902,0.999926406315795,4,47,"phosphorelay signal transduction system","BP"
"23","GO:0006979",0.00103949500138994,0.999693875184728,12,376,"response to oxidative stress","BP"
"24","GO:0042753",0.00106143410446817,0.999954954186056,3,18,"positive regulation of circadian rhythm","BP"
"25","GO:0006355",0.00106865478668053,0.99947267205912,32,1767,"regulation of transcription, DNA-templated","BP"
"26","GO:0042752",0.00114774855317775,0.999904747415541,4,53,"regulation of circadian rhythm","BP"
"27","GO:0042545",0.00188858522021636,0.999820837363018,4,51,"cell wall modification","BP"
"28","GO:0009413",0.00261187737260801,0.999947234706392,2,9,"response to flooding","BP"
"29","GO:0048768",0.00272866632307704,0.99982923764275,3,33,"root hair cell tip growth","BP"
"30","GO:0080147",0.00344976263707629,0.999765876329343,3,32,"root hair cell development","BP"
"31","GO:0009932",0.00386330465517876,0.999897314531894,2,14,"cell tip growth","BP"
"32","GO:0009825",0.00477594230323433,0.999631215687167,3,40,"multidimensional cell growth","BP"
"33","GO:0071918",0.00491957803128783,1,1,1,"urea transmembrane transport","BP"
"34","GO:0010252",0.00599771478830509,0.999493595096609,3,47,"auxin homeostasis","BP"
"35","GO:0010266",0.00602762604748381,1,1,1,"response to vitamin B1","BP"
"36","GO:1900386",0.00608895331245208,1,1,1,"positive regulation of flavonol biosynthetic process","BP"
"37","GO:0051924",0.00722611891887377,1,1,1,"regulation of calcium ion transport","BP"
"38","GO:0097275",0.00722611891887377,1,1,1,"cellular ammonia homeostasis","BP"
"39","GO:0072708",0.0102108928687478,0.999973895203049,1,2,"response to sorbitol","BP"
"40","GO:0009061",0.0106370441499931,0.999546698166344,2,10,"anaerobic respiration","BP"
"41","GO:0031000",0.0109537510562677,1,1,1,"response to caffeine","BP"
"42","GO:0032355",0.0109537510562677,1,1,1,"response to estradiol","BP"
"43","GO:1900039",0.0109537510562677,1,1,1,"positive regulation of cellular response to hypoxia","BP"
"44","GO:0015755",0.0113673925568053,0.999967628062526,1,2,"fructose transmembrane transport","BP"
"45","GO:0007623",0.0116396064419165,0.997575834055665,5,149,"circadian rhythm","BP"
"46","GO:0033473",0.0122805048911821,1,1,1,"indoleacetic acid conjugate metabolic process","BP"
"47","GO:0016310",0.0131539685081673,0.995167958931703,10,514,"phosphorylation","BP"
"48","GO:0032886",0.014523387900339,0.999929488174297,1,3,"regulation of microtubule-based process","BP"
"49","GO:0080157",0.0150762605152398,0.99994295065912,1,2,"regulation of plant-type cell wall organization or biogenesis","BP"
"50","GO:0072732",0.0161545469402847,1,1,1,"cellular response to calcium ion starvation","BP"
"51","GO:0010371",0.0163075889348367,0.999933209541918,1,2,"regulation of gibberellin biosynthetic process","BP"
"52","GO:0009830",0.0164126291367804,0.999932342740945,1,2,"cell wall modification involved in abscission","BP"
"53","GO:0055114",0.0194662533523767,0.98940243925289,22,1349,"oxidation-reduction process","BP"
"54","GO:0007267",0.019957986546731,0.9987263041814,2,17,"cell-cell signaling","BP"
"55","GO:0009873",0.0200975022494388,0.994396265926701,6,187,"ethylene-activated signaling pathway","BP"
"56","GO:1901183",0.0217539236286585,0.999841284039207,1,3,"positive regulation of camalexin biosynthetic process","BP"
"57","GO:0009751",0.0241676043969729,0.992972129544663,6,197,"response to salicylic acid","BP"
"58","GO:0046777",0.0243610677111133,0.993856325316045,5,238,"protein autophosphorylation","BP"
"59","GO:0001173",0.0254915385536738,0.999781689742723,1,3,"DNA-templated transcriptional start site selection","BP"
