category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,Annotation,ontology
ARA:PWY-2021,2.0635878013076783e-5,0.999999813425507,3,10,indole-3-acetate degradation IV,BioCyc
ARA:PWY-5788,2.0635878013076783e-5,0.999999813425507,3,10,indole-3-acetate degradation V,BioCyc
ARA:PWY-6219,2.0635878013076783e-5,0.999999813425507,3,10,indole-3-acetyl-amide conjugate biosynthesis,BioCyc
ARA:PWY-1782,1.043173100233228e-4,0.999998205815222,3,15,superpathway of indole-3-acetate conjugate biosynthesis,BioCyc
ARA:PWY-6303,3.568521984518668e-4,0.9999979799251043,2,5,methyl indole-3-acetate interconversion,BioCyc
ARA:PWY0A-6303,0.0044758852809536785,0.99987990079962,2,13,methyl indole-3-acetate interconversion,BioCyc
ARA:PWY-6443,0.00890226138615448,0.9991895148239059,3,54,"benzoate biosynthesis I (CoA-dependent, &beta;-oxidative)",BioCyc
ARA:PWY-6890,0.009811464700778656,0.9999767841360304,1,2,4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis,BioCyc
ARA:PWY-5936,0.013912243868997068,0.9992822476051403,2,26,xyloglucan biosynthesis,BioCyc
ARA:PWY3DJ-35471,0.024794181228267827,0.999776337966301,1,4,L-ascorbate biosynthesis IV,BioCyc
ARA:PWY-1081,0.0256811588645135,0.9981317872693043,2,38,homogalacturonan degradation,BioCyc
ARA:HOMOSERSYN-PWY,0.03895659970486395,0.9993346217728117,1,10,L-homoserine biosynthesis,BioCyc
ARA:PWY-6673,0.05797153197954936,0.9985334413626065,1,9,caffeoylglucarate biosynthesis,BioCyc
ARA:PWY-6773,0.06058593431028309,0.9982931577280714,1,19,"1,3-&beta;-D-glucan biosynthesis",BioCyc
ARA:ETOH-ACETYLCOA-ANA-PWY,0.06961753145994123,0.9978101731967214,1,12,ethanol degradation I,BioCyc
ARA:PWY-6333,0.06961753145994123,0.9978101731967214,1,12,acetaldehyde biosynthesis I,BioCyc
ARA:PWY-1001,0.07332007557767047,0.9974812447845035,1,20,cellulose biosynthesis,BioCyc
ARA:PWY-6546,0.07526210757287718,0.9975108223314235,1,9,brassinosteroids inactivation,BioCyc
ARA:PWY-5340,0.07820100764046498,0.9972766283878034,1,10,sulfate activation for sulfonation,BioCyc
ARA:GLYOXYLATE-BYPASS,0.09335968127846657,0.9959215378143073,1,17,glyoxylate cycle,BioCyc
ARA:PWY-5486,0.09358437230618354,0.9959170238600394,1,16,pyruvate fermentation to ethanol II,BioCyc
ARA:PWY-6040,0.09466581230732564,0.9959103029035397,1,12,chlorogenic acid biosynthesis II,BioCyc
ARA:TYRFUMCAT-PWY,0.09662089274564947,0.9956827054036289,1,14,L-tyrosine degradation I,BioCyc
ARA:PWY-5097,0.09817187324237604,0.9954529927949312,1,19,L-lysine biosynthesis VI,BioCyc
ARA:PWY-5120,0.1340972140712099,0.9915573182669839,1,14,geranylgeranyl diphosphate biosynthesis,BioCyc
ARA:THRESYN-PWY,0.13445493083095994,0.9912000252236424,1,28,superpathway of L-threonine biosynthesis,BioCyc
ARA:PWY-5122,0.1391356622170001,0.990808786313966,1,16,geranyl diphosphate biosynthesis,BioCyc
ARA:PWYQT-4449,0.14299466162049404,0.990276561926772,1,16,polyisoprenoid biosynthesis,BioCyc
ARA:PWY66-21,0.15225943008847417,0.988564575281845,1,34,ethanol degradation II,BioCyc
ARA:PWY-6039,0.1559155397906057,0.988204120265968,1,21,chlorogenic acid biosynthesis I,BioCyc
ARA:PWY-5123,0.16173782714040197,0.9872764998349856,1,21,"trans, trans-farnesyl diphosphate biosynthesis",BioCyc
ARA:PWY-3801,0.1803696552275834,0.9836910289039016,1,41,sucrose degradation II (sucrose synthase),BioCyc
ARA:PWY-5868,0.1840227810846751,0.9831826481448198,1,28,simple coumarins biosynthesis,BioCyc
ARA:PWY-3001,0.18811897727151708,0.982203504525175,1,41,superpathway of L-isoleucine biosynthesis I,BioCyc
ARA:PWY-724,0.20533496321253178,0.9786465020330284,1,41,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis II",BioCyc
ARA:PWY-5121,0.2306180548546686,0.9729057626036657,1,34,superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP),BioCyc
ARA:PWY-5992,0.26330451913468045,0.9639939350230526,1,42,thalianol and derivatives biosynthesis,BioCyc
ARA:PWY-361,0.3214758182136458,0.9446543427240529,1,54,phenylpropanoid biosynthesis,BioCyc
ARA:PWY-101,0.37827010452002774,0.9215219681220183,1,46,photosynthesis light reactions,BioCyc
ARA:LIPAS-PWY,0.44634416983975495,0.885911710915954,1,93,triacylglycerol degradation,BioCyc
ARA:PHOTOALL-PWY,0.5419134093227129,0.8229748142342062,1,85,oxygenic photosynthesis,BioCyc
ARA:PWY-6842,0.9999999999999996,0.4797260604954631,0,71,glutathione-mediated detoxification II,BioCyc
ARA:ALACAT2-PWY,1,0.9336744253453613,0,12,L-alanine degradation II (to D-lactate),BioCyc
ARA:ALANINE-DEG3-PWY,1,0.9590262091225511,0,8,L-alanine degradation III,BioCyc
ARA:ALANINE-SYN2-PWY,1,0.9590262091225511,0,8,L-alanine biosynthesis II,BioCyc
ARA:ARG-PRO-PWY,1,0.9707385593611,0,4,L-arginine degradation VI (arginase 2 pathway),BioCyc
ARA:ARGASEDEG-PWY,1,0.984294986060168,0,3,L-arginine degradation I (arginase pathway),BioCyc
ARA:ARGDEG-V-PWY,1,0.9851115469643408,0,3,L-arginine degradation X (arginine monooxygenase pathway),BioCyc
ARA:ARGININE-SYN4-PWY,1,0.9661133092267475,0,6,L-ornithine biosynthesis II,BioCyc
ARA:ARGSPECAT-PWY,1,0.9180840117334478,0,11,spermine biosynthesis,BioCyc
ARA:ARGSYN-PWY,1,0.9014870122284585,0,16,L-arginine biosynthesis I (via L-ornithine),BioCyc
ARA:ARGSYNBSUB-PWY,1,0.9076048038765389,0,15,L-arginine biosynthesis II (acetyl cycle),BioCyc
ARA:ASPARAGINE-BIOSYNTHESIS,1,0.9758528977533073,0,6,L-asparagine biosynthesis I,BioCyc
ARA:ASPARAGINE-DEG1-PWY,1,0.9513448048829004,0,6,L-asparagine degradation I,BioCyc
ARA:ASPARAGINESYN-PWY,1,0.9758528977533073,0,6,L-asparagine biosynthesis II,BioCyc
ARA:ASPARTATE-DEG1-PWY,1,0.9369073253440499,0,14,L-aspartate degradation I,BioCyc
ARA:ASPARTATESYN-PWY,1,0.9369073253440499,0,14,L-aspartate biosynthesis,BioCyc
ARA:ASPASN-ARA-PWY,1,0.8695871358282318,0,26,superpathway of aspartate and asparagine biosynthesis,BioCyc
ARA:ASPSYNII-PWY,1,0.9370990694933253,0,10,cyanide detoxification I,BioCyc
ARA:BRANCHED-CHAIN-AA-SYN-PWY,1,0.8141361937563195,0,37,superpathway of branched chain amino acid biosynthesis,BioCyc
ARA:BSUBPOLYAMSYN-PWY,1,0.9119437995992076,0,12,spermidine biosynthesis I,BioCyc
ARA:CALVIN-PWY,1,0.7410629188870165,0,39,Calvin-Benson-Bassham cycle,BioCyc
ARA:CAMALEXIN-SYN,1,0.7987456966341083,0,29,camalexin biosynthesis,BioCyc
ARA:CHLOROPHYLL-SYN,1,0.8534775918943025,0,22,"3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)",BioCyc
ARA:CITRULBIO-PWY,1,0.8292404867316815,0,35,L-citrulline biosynthesis,BioCyc
ARA:CITRULLINE-DEG-PWY,1,0.992201320352639,0,1,L-citrulline degradation,BioCyc
ARA:COA-PWY,1,0.9219168979112281,0,9,coenzyme A biosynthesis I,BioCyc
ARA:COMPLETE-ARO-ARA-PWY,1,0.7794777502085269,0,38,"superpathway of phenylalanine, tyrosine and tryptophan biosynthesis",BioCyc
ARA:CYANCAT-PWY,1,0.9732040980665578,0,3,cyanate degradation,BioCyc
ARA:CYSTSYN-PWY,1,0.8388565604805479,0,25,L-cysteine biosynthesis I,BioCyc
ARA:DETOX1-PWY,1,0.8755843474311213,0,21,superoxide radicals degradation,BioCyc
ARA:DETOX1-PWY-1,1,0.8154682327846438,0,28,reactive oxygen species degradation,BioCyc
ARA:FASYN-ELONG-PWY,1,0.8818344924463716,0,15,fatty acid elongation -- saturated,BioCyc
ARA:GLNSYN-PWY,1,0.9431476847378033,0,10,L-glutamine biosynthesis I,BioCyc
ARA:GLUCONEO-PWY,1,0.6947312476643832,0,60,gluconeogenesis I,BioCyc
ARA:GLUCOSE1PMETAB-PWY,1,0.9176378655220261,0,21,glucose and glucose-1-phosphate degradation,BioCyc
ARA:GLUGLNSYN-PWY,1,0.9906596502532952,0,3,L-glutamate biosynthesis IV,BioCyc
ARA:GLUT-REDOX-PWY,1,0.9856527215057708,0,4,glutathione-glutaredoxin redox reactions,BioCyc
ARA:GLUTAMATE-DEG1-PWY,1,0.9736087588254029,0,4,L-glutamate degradation I,BioCyc
ARA:GLUTAMATE-SYN2-PWY,1,0.9736087588254029,0,4,L-glutamate biosynthesis II,BioCyc
ARA:GLUTAMINDEG-PWY,1,0.8626462983768763,0,28,L-glutamine degradation I,BioCyc
ARA:GLUTATHIONESYN-PWY,1,0.9882004038359633,0,3,glutathione biosynthesis,BioCyc
ARA:GLUTORN-PWY,1,0.9270607456380866,0,11,L-ornithine biosynthesis I,BioCyc
ARA:GLUTSYNIII-PWY,1,0.9669260384414557,0,6,L-glutamate biosynthesis III,BioCyc
ARA:GLYCLEAV-PWY,1,0.8942504835557905,0,17,glycine cleavage,BioCyc
ARA:GLYCOLYSIS,1,0.7110514102808743,0,57,glycolysis I (from glucose 6-phosphate),BioCyc
ARA:GLYOXDEG-PWY,1,0.9914109029189645,0,2,glycolate and glyoxylate degradation II,BioCyc
ARA:GLYSYN-ALA-PWY,1,0.9379167200499708,0,12,glycine biosynthesis III,BioCyc
ARA:GLYSYN-PWY,1,0.9424801566049645,0,11,glycine biosynthesis I,BioCyc
ARA:GLYSYN2-PWY,1,0.8992686336715027,0,20,glycine biosynthesis,BioCyc
ARA:HEME-BIOSYNTHESIS-II,1,0.9222723753393145,0,14,heme biosynthesis I (aerobic),BioCyc
ARA:HEXPPSYN-PWY,1,0.9868754715586545,0,2,hexaprenyl diphosphate biosynthesis,BioCyc
ARA:HISTSYN-PWY,1,0.9057148720334167,0,16,L-histidine biosynthesis,BioCyc
ARA:HOMOCYSDEGR-PWY,1,0.9934531252152956,0,1,L-cysteine biosynthesis III (from L-homocysteine),BioCyc
ARA:HOMOSER-THRESYN-PWY,1,0.9615394752377902,0,4,L-threonine biosynthesis,BioCyc
ARA:ILE-VAL-PWY,1,0.9171349689467191,0,19,superpathway of isoleucine and valine biosynthesis,BioCyc
ARA:ILEUDEG-PWY,1,0.8850472164033127,0,20,L-isoleucine degradation I,BioCyc
ARA:ILEUSYN-PWY,1,0.9428070681577175,0,12,L-isoleucine biosynthesis I (from threonine),BioCyc
ARA:KDOSYN-PWY,1,0.9890695722288703,0,2,Kdo transfer to lipid IVA I,BioCyc
ARA:LCYSDEG-PWY,1,0.9913613678513415,0,1,L-cysteine degradation II,BioCyc
ARA:LEU-DEG2-PWY,1,0.8296916489570956,0,32,L-leucine degradation I,BioCyc
ARA:LEUSYN-PWY,1,0.8499076613134752,0,27,L-leucine biosynthesis,BioCyc
ARA:LIPASYN-PWY,1,0.6316688040519796,0,72,phospholipases,BioCyc
ARA:LYSINE-DEG2-PWY,1,0.9435701843160669,0,12,lysine degradation II,BioCyc
ARA:MALATE-ASPARTATE-SHUTTLE-PWY,1,0.8914185708921162,0,21,L-aspartate degradation II,BioCyc
ARA:MANNCAT-PWY,1,0.9731976488116448,0,4,D-mannose degradation,BioCyc
ARA:MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS,1,0.8451543782206202,0,25,"protein N-glycosylation (eukaryotic, high mannose)",BioCyc
ARA:METHIONINE-DEG1-PWY,1,0.9325176802609574,0,9,L-methionine degradation I (to L-homocysteine),BioCyc
ARA:NAGLIPASYN-PWY,1,0.9195188638390516,0,11,lipid IVA biosynthesis,BioCyc
ARA:NONMEVIPP-PWY,1,0.9147590244275764,0,15,methylerythritol phosphate pathway I,BioCyc
ARA:NONOXIPENT-PWY,1,0.8911336879911611,0,16,pentose phosphate pathway (non-oxidative branch),BioCyc
ARA:OXIDATIVEPENT-PWY,1,0.871279697124691,0,20,pentose phosphate pathway (oxidative branch) I,BioCyc
ARA:P401-PWY,1,0.9420387972236469,0,9,cyanide degradation,BioCyc
ARA:PANTO-PWY,1,0.9569238076523824,0,7,phosphopantothenate biosynthesis I,BioCyc
ARA:PENTOSE-P-PWY,1,0.7759311926600638,0,36,pentose phosphate pathway,BioCyc
ARA:PHOSLIPSYN2-PWY,1,0.9665351460857513,0,6,superpathway of phospholipid biosynthesis II (plants),BioCyc
ARA:PLPSAL-PWY,1,0.9742983894778235,0,5,pyridoxal 5'-phosphate salvage I,BioCyc
ARA:POLYAMINSYN3-PWY,1,0.9827858975215066,0,3,superpathway of polyamine biosynthesis II,BioCyc
ARA:PROSYN-PWY,1,0.9792646567627249,0,3,L-proline biosynthesis I,BioCyc
ARA:PROUT-PWY,1,0.9808343540953124,0,4,L-proline degradation,BioCyc
ARA:PWY-102,1,0.9400610137986951,0,9,gibberellin inactivation I (2&beta;-hydroxylation),BioCyc
ARA:PWY-1042,1,0.7250241761913095,0,55,glycolysis IV (plant cytosol),BioCyc
ARA:PWY-1061,1,0.829144452855399,0,29,homogalacturonan biosynthesis,BioCyc
ARA:PWY-112,1,0.9728034441955399,0,5,lupeol biosynthesis,BioCyc
ARA:PWY-1121,1,0.6980220019999082,0,54,suberin monomers biosynthesis,BioCyc
ARA:PWY-116,1,0.9718519259394311,0,4,coniferin metabolism,BioCyc
ARA:PWY-1186,1,0.9565644975226857,0,8,L-homomethionine biosynthesis,BioCyc
ARA:PWY-1187,1,0.7719492797191919,0,31,glucosinolate biosynthesis from homomethionine,BioCyc
ARA:PWY-1269,1,0.9511596636446881,0,9,CMP-3-deoxy-D-manno-octulosonate biosynthesis,BioCyc
ARA:PWY-1422,1,0.939451494978774,0,9,vitamin E biosynthesis (tocopherols),BioCyc
ARA:PWY-1581,1,0.9525949636531246,0,6,plastoquinol-9 biosynthesis I,BioCyc
ARA:PWY-1722,1,0.9450640107178437,0,8,"formate assimilation into 5,10-methylenetetrahydrofolate",BioCyc
ARA:PWY-1801,1,0.9861214933631797,0,2,formaldehyde oxidation II (glutathione-dependent),BioCyc
ARA:PWY-181,1,0.7900340238721372,0,36,photorespiration,BioCyc
ARA:PWY-1822,1,0.9477802717925131,0,7,indole-3-acetate activation I,BioCyc
ARA:PWY-1881,1,0.9946388683940149,0,1,formate oxidation to CO2,BioCyc
ARA:PWY-2,1,0.9869152831735278,0,3,putrescine degradation IV,BioCyc
ARA:PWY-2161,1,0.9227513914539562,0,16,folate polyglutamylation,BioCyc
ARA:PWY-2161B,1,0.9632628826352895,0,6,glutamate removal from folates,BioCyc
ARA:PWY-2161B-PMN,1,0.9475806037291719,0,10,folate polyglutamylation II,BioCyc
ARA:PWY-2181,1,0.9617152267630104,0,5,free phenylpropanoid acid biosynthesis,BioCyc
ARA:PWY-2261,1,0.8099182356791618,0,26,ascorbate glutathione cycle,BioCyc
ARA:PWY-2301,1,0.9645676780570647,0,6,myo-inositol biosynthesis,BioCyc
ARA:PWY-2501,1,0.9381405393449769,0,15,fatty acid &alpha;-oxidation I,BioCyc
ARA:PWY-2541,1,0.759540291838357,0,44,plant sterol biosynthesis,BioCyc
ARA:PWY-2582,1,0.9603379742877086,0,8,brassinosteroid biosynthesis II,BioCyc
ARA:PWY-2602,1,0.9879800470914613,0,1,brassinosteroid biosynthesis III,BioCyc
ARA:PWY-2681,1,0.8870085746976764,0,17,trans-zeatin biosynthesis,BioCyc
ARA:PWY-2724,1,0.9497735940970197,0,12,alkane oxidation,BioCyc
ARA:PWY-2781,1,0.9907167671097036,0,2,cis-zeatin biosynthesis,BioCyc
ARA:PWY-282,1,0.9401673892877414,0,8,cuticular wax biosynthesis,BioCyc
ARA:PWY-2821,1,0.8562142810797934,0,18,glucosinolate biosynthesis from phenylalanine,BioCyc
ARA:PWY-2841,1,0.9670206529645101,0,7,cytokinins degradation,BioCyc
ARA:PWY-2881,1,0.9428354385292281,0,7,cytokinins 7-N-glucoside biosynthesis,BioCyc
ARA:PWY-2901,1,0.9428354385292281,0,7,cytokinins 9-N-glucoside biosynthesis,BioCyc
ARA:PWY-2902,1,0.9429827616736988,0,8,cytokinin-O-glucosides biosynthesis,BioCyc
ARA:PWY-3041,1,0.9780376849806388,0,4,monoterpene biosynthesis,BioCyc
ARA:PWY-3101,1,0.9084372549506516,0,11,flavonol biosynthesis,BioCyc
ARA:PWY-3181,1,0.9829556302981881,0,5,L-tryptophan degradation VI (via tryptamine),BioCyc
ARA:PWY-321,1,0.7933644373038509,0,35,cutin biosynthesis,BioCyc
