category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,Annotation,ontology
ARA:CAMALEXIN-SYN,1.4365311310577691e-5,0.9999988933232132,7,29,camalexin biosynthesis,BioCyc
ARA:PWY-3041,3.9322490068455666e-5,0.9999997893274168,3,4,monoterpene biosynthesis,BioCyc
ARA:PWY-7416,7.041536194675753e-5,0.9999944218678163,6,27,"phospholipid remodeling (phosphatidylcholine, yeast)",BioCyc
ARA:PWYQT-4477,8.877851429904086e-5,0.9999950770374718,5,16,indole glucosinolate activation (intact plant cell),BioCyc
ARA:PWY-601,2.4857946514810576e-4,0.9999746787091145,6,30,glucosinolate biosynthesis from tryptophan,BioCyc
ARA:PWY-6803,0.0011479408424011524,0.9998011039697989,7,65,phosphatidylcholine acyl editing,BioCyc
ARA:LIPASYN-PWY,0.001589212546751508,0.9997068012406813,7,72,phospholipases,BioCyc
ARA:PWY-861,0.0015906777879805922,0.9999370552901955,3,8,dhurrin biosynthesis,BioCyc
ARA:PWY-581,0.007884198196355975,0.9989359374869844,4,31,indole-3-acetate biosynthesis II,BioCyc
ARA:PWY-6005,0.012362003543165299,1,1,1,marneral biosynthesis,BioCyc
ARA:PWY-6842,0.013551385695462553,0.996276917382962,7,71,glutathione-mediated detoxification II,BioCyc
ARA:PWY-6902,0.01599733345852321,0.9982686354413894,3,15,chitin degradation II (Vibrio),BioCyc
ARA:PWY-6051,0.021927376545356578,0.9987080385679281,2,8,"2,4,6-trinitrotoluene degradation",BioCyc
ARA:PWY-5884,0.023106058182504042,0.9969845237974678,3,22,wax esters biosynthesis I,BioCyc
ARA:PWY-6443,0.023244312926699266,0.9945085053979708,5,54,"benzoate biosynthesis I (CoA-dependent, &beta;-oxidative)",BioCyc
ARA:LIPAS-PWY,0.02642149187183878,0.9924255024793363,6,93,triacylglycerol degradation,BioCyc
ARA:PWY-6406,0.02977480459149034,0.9997773728689908,1,2,salicylate biosynthesis I,BioCyc
ARA:PWY-701,0.032646503453158386,1,1,1,L-methionine degradation II,BioCyc
ARA:PWY-6802,0.04628475829413919,0.9994573922801488,1,2,salidroside biosynthesis,BioCyc
ARA:PWY-6792,0.04740306600889179,0.9955452163516719,2,10,scopoletin biosynthesis,BioCyc
ARA:PWY-5876,0.05094032836042971,0.9993411388649411,1,2,magnoflorine biosynthesis,BioCyc
ARA:PWY0-541,0.05171869795907497,0.9989853995009504,1,4,cyclopropane fatty acid (CFA) biosynthesis,BioCyc
ARA:ARGDEG-V-PWY,0.06378589666135516,0.9986183448715754,1,3,L-arginine degradation X (arginine monooxygenase pathway),BioCyc
ARA:PWY-40,0.06378589666135516,0.9986183448715754,1,3,putrescine biosynthesis I,BioCyc
ARA:PWY1F-467,0.07774011089869405,0.9976811140717574,1,4,"phenylpropanoid biosynthesis, initial reactions",BioCyc
ARA:PROUT-PWY,0.07850085294619116,0.9976347058084789,1,4,L-proline degradation,BioCyc
ARA:PWY-4203,0.0908696389163702,0.9971595562347307,1,3,volatile benzenoid biosynthesis I (ester formation),BioCyc
ARA:PWY-5945,0.09219539849405886,0.9967173695197661,1,4,"zeaxanthin, antheraxanthin and violaxanthin interconversion",BioCyc
ARA:PWY-6305,0.09234608599946631,0.9967064065069218,1,4,putrescine biosynthesis IV,BioCyc
ARA:PWY3DJ-35471,0.09875141283414257,0.9962227392686118,1,4,L-ascorbate biosynthesis IV,BioCyc
ARA:PWY-5765,0.09960894236712231,0.9961553590486346,1,4,"1,3,5-trimethoxybenzene biosynthesis",BioCyc
ARA:PWY-5992,0.10889972541164097,0.9723605047958536,3,42,thalianol and derivatives biosynthesis,BioCyc
ARA:PWY-6235,0.12039791420371823,0.9943294630029615,1,4,hydroxyjasmonate sulfate biosynthesis,BioCyc
ARA:PWY-7398,0.12048478464632396,0.9791812965746663,2,19,coumarins biosynthesis (engineered),BioCyc
ARA:PWY-6039,0.13199504750851007,0.9757493567555222,2,21,chlorogenic acid biosynthesis I,BioCyc
ARA:PWY-2841,0.13409001112112623,0.991952000071799,1,7,cytokinins degradation,BioCyc
ARA:PWY-7067,0.13505528140346326,0.9928160973870338,1,4,betulinate biosynthesis,BioCyc
ARA:PWY-7068,0.13505528140346326,0.9928160973870338,1,4,ursolate biosynthesis,BioCyc
ARA:PWY-43,0.13533260877606612,0.9920164345401448,1,6,putrescine biosynthesis II,BioCyc
ARA:PWY-2301,0.1402743896130277,0.9914042648693967,1,6,myo-inositol biosynthesis,BioCyc
ARA:PWY-7213,0.15247246690404612,0.9895119395542015,1,7,wogonin metabolism,BioCyc
ARA:PWY-6922,0.1562817720859018,0.9889631944888797,1,7,L-N&delta;-acetylornithine biosynthesis,BioCyc
ARA:PWY-7120,0.16391550421618972,0.9881399310122632,1,6,esterified suberin biosynthesis,BioCyc
ARA:PWY-6442,0.1661387254530538,0.9882681509549065,1,5,spermidine hydroxycinnamic acid conjugates biosynthesis,BioCyc
ARA:PWY-6118,0.17132391001035707,0.9863863288721407,1,8,glycerol-3-phosphate shuttle,BioCyc
ARA:PWY-361,0.18572317123056292,0.939722958013749,3,54,phenylpropanoid biosynthesis,BioCyc
ARA:PWY-6457,0.1899107408570322,0.983136734431395,1,8,trans-cinnamoyl-CoA biosynthesis,BioCyc
ARA:PWY-5791,0.20418551057646944,0.9800931526691299,1,9,"1,4-dihydroxy-2-naphthoate biosynthesis II (plants)",BioCyc
