"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0005576",6.41664304617732e-16,1,67,2180,"extracellular region","CC"
"2","GO:0009505",6.18422352240954e-08,0.999999989764561,17,347,"plant-type cell wall","CC"
"3","GO:0005618",9.9001364421642e-08,0.999999977823375,22,560,"cell wall","CC"
"4","GO:0005615",7.32847885998085e-05,0.999988291995111,9,139,"extracellular space","CC"
"5","GO:0009530",0.00188055183440008,0.999971513666009,2,6,"primary cell wall","CC"
"6","GO:0005887",0.00347471268159086,0.999331036061567,6,190,"integral component of plasma membrane","CC"
"7","GO:0009506",0.00703816429742429,0.996639071471412,20,1214,"plasmodesma","CC"
"8","GO:0031225",0.00991109682378907,0.997014298849378,8,220,"anchored component of membrane","CC"
"9","GO:0005785",0.0123891207967541,0.999961527303815,1,2,"signal recognition particle receptor complex","CC"
"10","GO:0098590",0.0235652287884693,0.99981360019295,1,3,"plasma membrane region","CC"
"11","GO:0009707",0.0254876301307446,0.996289137781931,3,64,"chloroplast outer membrane","CC"
"12","GO:0009705",0.0282500916543539,0.994000643830366,4,139,"plant-type vacuole membrane","CC"
"13","GO:0032432",0.0310769750570238,0.99959410775263,1,6,"actin filament bundle","CC"
"14","GO:0048046",0.0454156143532147,0.979651961770874,10,501,"apoplast","CC"
"15","GO:0000325",0.0645470951593024,0.991711098006723,2,57,"plant-type vacuole","CC"
"16","GO:0000148",0.0719742869304888,0.997498287251968,1,18,"1,3-beta-D-glucan synthase complex","CC"
"17","GO:0009514",0.074392435552182,0.997384042619407,1,13,"glyoxysome","CC"
"18","GO:0009512",0.0795026031922624,0.997396811048865,1,5,"cytochrome b6f complex","CC"
"19","GO:0015629",0.0914367298778005,0.98591651897426,2,36,"actin cytoskeleton","CC"
"20","GO:0005622",0.109899830851133,0.958093231143292,5,245,"intracellular","CC"
"21","GO:0005786",0.134861801178594,0.991067345261654,1,16,"signal recognition particle, endoplasmic reticulum targeting","CC"
"22","GO:0005884",0.161719815537398,0.986745442140388,1,24,"actin filament","CC"
"23","GO:0031982",0.214855696677139,0.976027554857073,1,26,"vesicle","CC"
"24","GO:0005874",0.221719721459565,0.919391553543543,3,220,"microtubule","CC"
"25","GO:0005689",0.25212048252283,0.966698911269017,1,22,"U12-type spliceosomal complex","CC"
"26","GO:0000139",0.25335963837971,0.87348388977559,5,430,"Golgi membrane","CC"
"27","GO:0005764",0.288477667840673,0.955167100508252,1,31,"lysosome","CC"
"28","GO:0016020",0.31475908516162,0.760959339968571,22,2107,"membrane","CC"
"29","GO:0005871",0.339008782155138,0.935538458639966,1,83,"kinesin complex","CC"
"30","GO:0090406",0.372248316934684,0.921546095920902,1,54,"pollen tube","CC"
"31","GO:0009504",0.378442940074291,0.918611946614348,1,57,"cell plate","CC"
"32","GO:0005819",0.414592146435553,0.90040044826161,1,68,"spindle","CC"
