"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0005576",1.26096371351335e-22,1,98,2180,"extracellular region","CC"
"2","GO:0048046",4.17986673019737e-05,0.999986442846429,21,501,"apoplast","CC"
"3","GO:0005618",4.80806807035545e-05,0.999983765451946,22,560,"cell wall","CC"
"4","GO:0009505",0.000586183457713777,0.999818653390525,14,347,"plant-type cell wall","CC"
"5","GO:0016021",0.00112795263944401,0.99925037339602,99,5100,"integral component of membrane","CC"
"6","GO:0016020",0.00403123428764793,0.997600715847478,44,2107,"membrane","CC"
"7","GO:0031262",0.0245368301510489,0.999847987801345,1,2,"Ndc80 complex","CC"
"8","GO:0005886",0.0410986447632354,0.969707872783693,67,4166,"plasma membrane","CC"
"9","GO:0035102",0.0481770344172931,0.999113835191526,1,4,"PRC1 complex","CC"
"10","GO:0070469",0.0523757554943889,0.994260603175118,2,21,"respiratory chain","CC"
"11","GO:0005901",0.053319807737878,0.999031525353378,1,3,"caveola","CC"
"12","GO:0005887",0.0669431509967059,0.977877497164478,5,190,"integral component of plasma membrane","CC"
"13","GO:0005773",0.084846748115607,0.950079251853935,16,801,"vacuole","CC"
"14","GO:0009331",0.0969647690552643,0.995739075255315,1,8,"glycerol-3-phosphate dehydrogenase complex","CC"
"15","GO:0000778",0.106637838199515,0.994746945247456,1,9,"condensed nuclear chromosome kinetochore","CC"
"16","GO:0009506",0.117287312500735,0.922808002975876,21,1214,"plasmodesma","CC"
"17","GO:0031225",0.124691766957422,0.941685024229383,7,220,"anchored component of membrane","CC"
"18","GO:0012511",0.140460440305089,0.990898228362994,1,8,"monolayer-surrounded lipid storage body","CC"
"19","GO:0005743",0.141061508301071,0.942034326173129,5,177,"mitochondrial inner membrane","CC"
"20","GO:0010168",0.18783527203501,0.982216970705599,1,17,"ER body","CC"
"21","GO:0009986",0.192354957693874,0.981255951416395,1,18,"cell surface","CC"
"22","GO:0005786",0.199375386458427,0.979943338904218,1,16,"signal recognition particle, endoplasmic reticulum targeting","CC"
"23","GO:0005765",0.216860251256041,0.975804024988444,1,20,"lysosomal membrane","CC"
"24","GO:0005615",0.242811898948747,0.892571221052147,4,139,"extracellular space","CC"
"25","GO:0005575",0.255403797937,0.839795701419552,10,392,"cellular_component","CC"
"26","GO:0031012",0.262151460268131,0.964535254079084,1,15,"extracellular matrix","CC"
"27","GO:0000421",0.290043369269709,0.955347088930995,1,20,"autophagosome membrane","CC"
"28","GO:0005795",0.314503349087052,0.946000170161,1,32,"Golgi stack","CC"
"29","GO:0000145",0.322366005536725,0.942889345014862,1,36,"exocyst","CC"
"30","GO:0043231",0.323319078503098,0.838576196122443,4,204,"intracellular membrane-bounded organelle","CC"
"31","GO:0031410",0.369316637150109,0.923664360832244,1,32,"cytoplasmic vesicle","CC"
"32","GO:0031966",0.375877281718524,0.85781941749447,2,73,"mitochondrial membrane","CC"
"33","GO:0005770",0.389316278229471,0.913773940533729,1,43,"late endosome","CC"
"34","GO:0005788",0.411133123744864,0.902708726457193,1,46,"endoplasmic reticulum lumen","CC"
"35","GO:0031305",0.424343455407582,0.896447781852575,1,33,"integral component of mitochondrial inner membrane","CC"
"36","GO:0000325",0.438294049856421,0.887559753761032,1,57,"plant-type vacuole","CC"
