"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0005199",2.28457691693685e-14,1,11,31,"structural constituent of cell wall","MF"
"2","GO:0004601",5.21623126636904e-09,0.999999999505845,13,133,"peroxidase activity","MF"
"3","GO:0020037",2.62795908029947e-06,0.999999480656035,15,316,"heme binding","MF"
"4","GO:0010279",2.15775143685384e-05,0.999999815149669,3,7,"indole-3-acetic acid amido synthetase activity","MF"
"5","GO:0016762",4.75072519437765e-05,0.999997355160406,5,30,"xyloglucan:xyloglucosyl transferase activity","MF"
"6","GO:0030599",8.4908771465528e-05,0.999994424981916,5,47,"pectinesterase activity","MF"
"7","GO:0016798",0.000136431766016228,0.999990128788987,5,44,"hydrolase activity, acting on glycosyl bonds","MF"
"8","GO:0016881",0.000404877025946921,0.999987788679249,3,17,"acid-amino acid ligase activity","MF"
"9","GO:0030570",0.000535113395899369,0.999981849913192,3,20,"pectate lyase activity","MF"
"10","GO:0045330",0.00061811350245237,0.999957128692949,4,42,"aspartyl esterase activity","MF"
"11","GO:0046910",0.000904043000740729,0.999899154879261,5,59,"pectinesterase inhibitor activity","MF"
"12","GO:0003700",0.0010749691521682,0.999469430561051,32,1717,"DNA-binding transcription factor activity","MF"
"13","GO:0008271",0.00210953706206417,0.999959242603725,2,13,"secondary active sulfate transmembrane transporter activity","MF"
"14","GO:0046872",0.00280186026548748,0.998498752131535,34,2119,"metal ion binding","MF"
"15","GO:0000156",0.00297300999918509,0.999808214816677,3,33,"phosphorelay response regulator activity","MF"
"16","GO:0015370",0.00491957803128783,1,1,1,"solute:sodium symporter activity","MF"
"17","GO:0015301",0.00510091519536272,0.999837799091023,2,20,"anion:anion antiporter activity","MF"
"18","GO:0015116",0.00675229413239317,0.999755510957864,2,17,"sulfate transmembrane transporter activity","MF"
"19","GO:0005516",0.00799552107960387,0.997664827932331,8,362,"calmodulin binding","MF"
"20","GO:0009927",0.00897845168089471,0.999638871325269,2,12,"histidine phosphotransfer kinase activity","MF"
"21","GO:0008281",0.00949208140625809,0.999977449406871,1,2,"sulfonylurea receptor activity","MF"
