category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,Annotation,ontology
ARA:PWY-2021,1.3094597178785162e-4,0.9999954361458385,4,10,indole-3-acetate degradation IV,BioCyc
ARA:PWY-5788,1.3094597178785162e-4,0.9999954361458385,4,10,indole-3-acetate degradation V,BioCyc
ARA:PWY-6219,1.3094597178785162e-4,0.9999954361458385,4,10,indole-3-acetyl-amide conjugate biosynthesis,BioCyc
ARA:PWY-6199,1.4477033210281e-4,0.999995913377151,4,7,quercetin sulfate biosynthesis,BioCyc
ARA:PWY-1782,9.648451412693157e-4,0.999934466568008,4,15,superpathway of indole-3-acetate conjugate biosynthesis,BioCyc
ARA:PWY-1001,0.0011925400478439944,0.9999094051594596,4,20,cellulose biosynthesis,BioCyc
ARA:GLYSYN-ALA-PWY,0.004120029315687903,0.999739309862516,3,12,glycine biosynthesis III,BioCyc
ARA:PWY-6792,0.006922063054858126,0.999495127305592,3,10,scopoletin biosynthesis,BioCyc
ARA:PWY-5934,0.007694496452963482,0.9993702017647179,3,14,iron reduction and absorption,BioCyc
ARA:PWY-6303,0.00863848348451333,0.9997375061211986,2,5,methyl indole-3-acetate interconversion,BioCyc
ARA:PWY-6443,0.013656156625108898,0.9966815669087008,6,54,"benzoate biosynthesis I (CoA-dependent, &beta;-oxidative)",BioCyc
ARA:ETHYL-PWY,0.016800210249074358,0.9971532759609116,4,31,ethylene biosynthesis I (plants),BioCyc
ARA:PWY-6773,0.019448467072260868,0.9987719367372422,2,19,"1,3-&beta;-D-glucan biosynthesis",BioCyc
ARA:PWY-5342,0.025484314350871926,1,1,1,ajugose biosynthesis I (galactinol-dependent),BioCyc
ARA:PWY-5176,0.025916487855328824,1,1,1,coumarin biosynthesis (via 2-coumarate),BioCyc
ARA:PWY-1081,0.03098652988346011,0.9935773268678475,4,38,homogalacturonan degradation,BioCyc
ARA:PWY-7398,0.03176288796964595,0.9953669044314181,3,19,coumarins biosynthesis (engineered),BioCyc
ARA:PWY-7325,0.03265603219439876,1,1,1,salvigenin biosynthesis,BioCyc
ARA:PWY-5267,0.032756293412815427,0.9975301676648319,2,9,glucosinolate activation,BioCyc
