"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0005576",2.05011798793954e-20,1,169,2180,"extracellular region","CC"
"2","GO:0005886",4.12132768793792e-07,1,189,4166,"plasma membrane","CC"
"3","GO:0009505",1.51064606074377e-05,0.99999442620725,29,347,"plant-type cell wall","CC"
"4","GO:0016021",1.82493019601091e-05,0.999987272807743,233,5100,"integral component of membrane","CC"
"5","GO:0005615",0.00013307699990696,0.999959972905624,17,139,"extracellular space","CC"
"6","GO:0016328",0.000427010598528498,0.999990771735288,3,6,"lateral plasma membrane","CC"
"7","GO:0090406",0.00176556662844659,0.999663064726003,7,54,"pollen tube","CC"
"8","GO:0019897",0.00179316151657841,0.999935846460627,3,6,"extrinsic component of plasma membrane","CC"
"9","GO:0005887",0.00192255646594891,0.999329716985768,14,190,"integral component of plasma membrane","CC"
"10","GO:0031464",0.00233573354870954,0.999887094044401,3,9,"Cul4A-RING E3 ubiquitin ligase complex","CC"
"11","GO:0010005",0.00451465898032407,0.999508270817054,4,17,"cortical microtubule, transverse to long axis","CC"
"12","GO:0005901",0.00454249431816982,0.99993877082869,2,3,"caveola","CC"
"13","GO:0005618",0.0140425305096548,0.991703016175563,31,560,"cell wall","CC"
"14","GO:0005834",0.0143720901980121,0.995856181612931,7,84,"heterotrimeric G-protein complex","CC"
"15","GO:0000148",0.0145043041011351,0.999210721883502,2,18,"1,3-beta-D-glucan synthase complex","CC"
"16","GO:0009530",0.0190811971909178,0.999032336316198,2,6,"primary cell wall","CC"
"17","GO:0009930",0.0278721770231006,1,1,1,"longitudinal side of cell surface","CC"
"18","GO:0044611",0.0281026859323551,0.997927017325369,2,12,"nuclear pore inner ring","CC"
"19","GO:0048046",0.0289153580282951,0.982375486949526,28,501,"apoplast","CC"
"20","GO:0031225",0.0442721313851501,0.976302047285308,16,220,"anchored component of membrane","CC"
"21","GO:0045282",0.0531171345730871,0.99927600222226,1,2,"plasma membrane succinate dehydrogenase complex","CC"
"22","GO:0005575",0.0611927407559428,0.960809788779364,26,392,"cellular_component","CC"
"23","GO:0009506",0.0734040293999627,0.945776439953671,49,1214,"plasmodesma","CC"
"24","GO:0015629",0.0786378774144762,0.977717106885951,4,36,"actin cytoskeleton","CC"
"25","GO:0098590",0.0879234700134669,0.997319669584104,1,3,"plasma membrane region","CC"
"26","GO:0009897",0.0910358847668212,0.997122288631846,1,3,"external side of plasma membrane","CC"
"27","GO:0009504",0.0927812818193324,0.971586715737444,4,57,"cell plate","CC"
"28","GO:0045335",0.0985763085658906,0.996613647352551,1,3,"phagocytic vesicle","CC"
"29","GO:0043674",0.0986071211215344,0.996611479990209,1,3,"columella","CC"
"30","GO:0045239",0.102658750652203,0.995872568827917,1,4,"tricarboxylic acid cycle enzyme complex","CC"
"31","GO:0012505",0.107087253688294,0.9556382783708,6,97,"endomembrane system","CC"
"32","GO:0000139",0.107439809315543,0.932546262568673,18,430,"Golgi membrane","CC"
"33","GO:0035618",0.107475538355504,0.995466322521346,1,4,"root hair","CC"
"34","GO:0031616",0.115830603708147,0.994714050513882,1,4,"spindle pole centrosome","CC"
"35","GO:0032133",0.115830603708147,0.994714050513882,1,4,"chromosome passenger complex","CC"
"36","GO:0043036",0.137728324498001,0.991967532107481,1,5,"starch grain","CC"
"37","GO:0032432",0.14926162190659,0.990139775671003,1,6,"actin filament bundle","CC"
"38","GO:0010330",0.149287658310462,0.990136223701278,1,6,"cellulose synthase complex","CC"
"39","GO:0009510",0.154037842984924,0.990485297140564,1,4,"plasmodesmatal desmotubule","CC"
"40","GO:0005789",0.158739437812639,0.891224873180932,21,495,"endoplasmic reticulum membrane","CC"
"41","GO:0000780",0.16622305971312,0.987680303006523,1,6,"condensed nuclear chromosome, centromeric region","CC"
"42","GO:0005947",0.166498707862328,0.987637906399139,1,6,"mitochondrial alpha-ketoglutarate dehydrogenase complex","CC"
"43","GO:0005905",0.173066315876116,0.961878571230469,2,23,"clathrin-coated pit","CC"
"44","GO:0030008",0.186669940054166,0.984913992813104,1,5,"TRAPP complex","CC"
"45","GO:0051233",0.200752905107621,0.981262023401527,1,7,"spindle midzone","CC"
"46","GO:0071011",0.209788586416021,0.979454688055649,1,7,"precatalytic spliceosome","CC"
"47","GO:0009331",0.216613627204523,0.977603292172423,1,8,"glycerol-3-phosphate dehydrogenase complex","CC"
"48","GO:0030136",0.218012419157522,0.943727518101805,2,31,"clathrin-coated vesicle","CC"
"49","GO:0000325",0.227622498151107,0.917480840861835,3,57,"plant-type vacuole","CC"
"50","GO:0019005",0.229897986864291,0.890077696277286,5,95,"SCF ubiquitin ligase complex","CC"
"51","GO:0009531",0.242618980912874,0.97115894379335,1,9,"secondary cell wall","CC"
"52","GO:0030286",0.252988883279951,0.969527399086016,1,7,"dynein complex","CC"
"53","GO:0000145",0.259012128132916,0.924919408262597,2,36,"exocyst","CC"
"54","GO:0005880",0.268651076880906,0.964219042138214,1,9,"nuclear microtubule","CC"
"55","GO:0009705",0.281005116361625,0.845268828148551,6,139,"plant-type vacuole membrane","CC"
"56","GO:0031209",0.286479087176703,0.95782363089313,1,12,"SCAR complex","CC"
"57","GO:0031461",0.292855031967103,0.956125445622611,1,11,"cullin-RING ubiquitin ligase complex","CC"
"58","GO:0070062",0.293077134705257,0.95521125232632,1,14,"extracellular exosome","CC"
"59","GO:0005874",0.305376961994728,0.811199651357857,8,220,"microtubule","CC"
"60","GO:0000243",0.320236091040805,0.946865946499594,1,11,"commitment complex","CC"
"61","GO:0042646",0.324890796343554,0.9456750595698,1,10,"plastid nucleoid","CC"
"62","GO:0012511",0.326029453800001,0.946613547394338,1,8,"monolayer-surrounded lipid storage body","CC"
"63","GO:0017119",0.331602119147469,0.941378252013329,1,15,"Golgi transport complex","CC"
"64","GO:0030665",0.370238590302078,0.925573074038917,1,15,"clathrin-coated vesicle membrane","CC"
