category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,Annotation,ontology
ARA:PWY-6051,3.533129452144618e-5,0.9999989171666624,5,8,"2,4,6-trinitrotoluene degradation",BioCyc
ARA:PWY-5321,3.611306758706805e-4,0.999927876324683,10,44,quercetin glycoside biosynthesis (Arabidopsis),BioCyc
ARA:PWY-6266,3.611306758706805e-4,0.999927876324683,10,44,superpathway of flavones and derivatives biosynthesis,BioCyc
ARA:PWY-6266-ARA,3.611306758706805e-4,0.999927876324683,10,44,superpathway of flavones and derivatives biosynthesis,BioCyc
ARA:PWYQT-4476,4.967811177380993e-4,0.9999780014209708,4,8,indole glucosinolate activation (herbivore attack),BioCyc
ARA:SULFMETII-PWY,9.36211846219337e-4,0.9999469858369018,4,9,sulfate reduction II (assimilatory),BioCyc
ARA:PWY-6842,0.0010307414692890104,0.9997021753756109,13,71,glutathione-mediated detoxification II,BioCyc
ARA:LIPASYN-PWY,0.0010415675421404868,0.9997299998661813,11,72,phospholipases,BioCyc
ARA:PWY-5272,0.0017797783983459162,0.9998795211684642,4,9,abscisic acid glucose ester metabolism,BioCyc
ARA:PWY-5320,0.00213215753510035,0.999755168606587,5,16,kaempferol glycoside biosynthesis (Arabidopsis),BioCyc
ARA:LIPAS-PWY,0.003221675687125694,0.9989635012299819,12,93,triacylglycerol degradation,BioCyc
ARA:PWY-6733,0.0043368629350019686,0.9990661586497402,7,39,sporopollenin precursors biosynthesis,BioCyc
ARA:PWY-581,0.005629078669580149,0.9989116869122645,6,31,indole-3-acetate biosynthesis II,BioCyc
ARA:PWY-6803,0.007441954832010154,0.9977908394790582,9,65,phosphatidylcholine acyl editing,BioCyc
ARA:GLUT-REDOX-PWY,0.009561032632107216,0.9997340277228295,2,4,glutathione-glutaredoxin redox reactions,BioCyc
ARA:PWY-5267,0.01108241289568055,0.9990630751424112,3,9,glucosinolate activation,BioCyc
ARA:PROUT-PWY,0.012248578548878883,0.9996115541736077,2,4,L-proline degradation,BioCyc
ARA:PWY-3041,0.014367609275241316,0.9995039501670272,2,4,monoterpene biosynthesis,BioCyc
ARA:PWY-7416,0.015288262684704998,0.9968844342622151,5,27,"phospholipid remodeling (phosphatidylcholine, yeast)",BioCyc
ARA:PWY-6348,0.021825006295719034,0.9951249237240168,5,27,phosphate acquisition,BioCyc
ARA:PWY-3941,0.028480665898032016,0.9983563818802774,2,5,&beta;-alanine biosynthesis II,BioCyc
ARA:PWY-5136,0.02994223851003893,0.9958855122146938,3,14,fatty acid &beta;-oxidation II (peroxisome),BioCyc
ARA:PWY-2301,0.03389442584081509,0.9976679231689132,2,6,myo-inositol biosynthesis,BioCyc
ARA:PWY-5884,0.039283520495920106,0.9915716118677439,4,22,wax esters biosynthesis I,BioCyc
ARA:PWY-6005,0.04133471875030738,1,1,1,marneral biosynthesis,BioCyc
ARA:PWY-1782,0.04224525044242276,0.9932768402874094,3,15,superpathway of indole-3-acetate conjugate biosynthesis,BioCyc
ARA:PWY-6922,0.047269916493508604,0.9958850028548847,2,7,L-N&delta;-acetylornithine biosynthesis,BioCyc
ARA:PWY-4081,0.05589232675508275,0.9900415914956698,3,15,glutathione-peroxide redox reactions,BioCyc
ARA:PWY-6239,0.057745703120110736,1,1,1,luteolin glycosides biosynthesis,BioCyc
ARA:PWY-5098,0.05790938101887166,0.9943513877401396,2,7,chlorophyll a degradation I,BioCyc
ARA:PWY-701,0.06298273523123998,1,1,1,L-methionine degradation II,BioCyc
ARA:PWY-861,0.08376253264047075,0.9895521381981114,2,8,dhurrin biosynthesis,BioCyc
ARA:PWY-6902,0.0839272451704587,0.9822922138912351,3,15,chitin degradation II (Vibrio),BioCyc
ARA:PWY-6406,0.08548036386543452,0.9981003258700986,1,2,salicylate biosynthesis I,BioCyc
ARA:CAMALEXIN-SYN,0.08651175423106773,0.9752405466605613,4,29,camalexin biosynthesis,BioCyc
ARA:PWY4FS-12,0.09350160718774873,0.9977172296744875,1,2,VTC2 cycle,BioCyc
ARA:PWY4FS-13,0.09350160718774873,0.9977172296744875,1,2,extended VTC2 cycle,BioCyc
ARA:PWY-6066,0.09747980162237574,0.9975134959047014,1,2,IAA biosynthesis VII,BioCyc
ARA:PWY-6932,0.10536785950881104,0.9970822980050013,1,2,selenate reduction,BioCyc
ARA:GLYSYN-ALA-PWY,0.11313625380516706,0.9819084855404475,2,12,glycine biosynthesis III,BioCyc
ARA:PWY-321,0.12136883029840523,0.9603806963589031,4,35,cutin biosynthesis,BioCyc
ARA:PWY-5337,0.12549312127333695,0.9786605017506846,2,12,stachyose biosynthesis,BioCyc
ARA:PWY-735,0.13706452344516593,0.9622914939875821,3,25,jasmonic acid biosynthesis,BioCyc
ARA:PWY-6806,0.13945269733428012,0.9931137098304065,1,3,carotenoid cleavage,BioCyc
ARA:PWY-1081,0.14732583406176286,0.9481649204135283,4,38,homogalacturonan degradation,BioCyc
ARA:PWY-7140,0.15124736129392163,0.9918516804641416,1,3,myricetin gentiobioside biosynthesis,BioCyc
ARA:PWY-6367,0.15831004758931866,0.9684495464667326,2,14,D-myo-inositol-5-phosphate metabolism,BioCyc
ARA:PWY-7101,0.1720800076157062,0.9893404447071963,1,3,5-deoxystrigol biosynthesis,BioCyc
ARA:PWY-6927,0.17320597464132542,0.9635189414270967,2,14,chlorophyll a degradation II,BioCyc
ARA:PWY-6623,0.18006462333600415,0.988280357353969,1,3,salicylate glucosides biosynthesis II,BioCyc
ARA:PWY0A-6303,0.18084086003870792,0.961198861382288,2,13,methyl indole-3-acetate interconversion,BioCyc
ARA:TYRFUMCAT-PWY,0.18670127907743866,0.9587983837249261,2,14,L-tyrosine degradation I,BioCyc
ARA:PWY-5989,0.18766238049704584,0.927421251203903,4,41,stearate biosynthesis II (bacteria and plants),BioCyc
ARA:PWY-5886,0.187888980786764,0.9856693821172963,1,4,4-hydroxyphenylpyruvate biosynthesis,BioCyc
ARA:PWY-6556,0.18999699511454882,0.9868845977323051,1,3,pyrimidine ribonucleosides salvage II,BioCyc
ARA:PWY-5945,0.19166026085570276,0.9850610056931232,1,4,"zeaxanthin, antheraxanthin and violaxanthin interconversion",BioCyc
ARA:PWY-4702,0.19211239024012058,0.9849871399595307,1,4,phytate degradation I,BioCyc
ARA:PWY3DJ-35471,0.19273158334562743,0.9848856569883658,1,4,L-ascorbate biosynthesis IV,BioCyc
ARA:PWY-7186,0.19308662506520163,0.9561769894683073,2,15,superpathway of scopolin and esculin biosynthesis,BioCyc
ARA:PWY-5143,0.19537834060137724,0.9548214969082374,2,17,long-chain fatty acid activation,BioCyc
ARA:PWY-6213,0.1986254244085181,0.9822210730236769,1,6,cadmium transport I,BioCyc
ARA:PWY-2261,0.2053397457687934,0.9318158533009786,3,26,ascorbate glutathione cycle,BioCyc
ARA:PWY-5971,0.20714788648102003,0.9165884317637121,4,43,palmitate biosynthesis II (bacteria and plants),BioCyc
ARA:PWY-5957,0.20854858269700666,0.9840441030302368,1,3,L-nicotianamine biosynthesis,BioCyc
ARA:PWY-5992,0.21135958570253613,0.9143055903322705,4,42,thalianol and derivatives biosynthesis,BioCyc
ARA:PWY-5453,0.21618831603641772,0.9480734675058776,2,13,methylglyoxal degradation III,BioCyc
ARA:PWY-7039,0.23036221347746355,0.9025805194904628,4,52,"phosphatidate metabolism, as a signaling molecule",BioCyc
ARA:PWY-6930,0.24051917758572364,0.9758956824078439,1,4,phenolic malonylglucosides biosynthesis,BioCyc
ARA:PWY-6124,0.24517033424956708,0.9723206394692868,1,6,inosine-5'-phosphate biosynthesis II,BioCyc
ARA:PWY-2681,0.24730515422518914,0.9335140448531547,2,17,trans-zeatin biosynthesis,BioCyc
ARA:PWY-5068,0.2512383597890213,0.9708496340562238,1,6,chlorophyll cycle,BioCyc
ARA:PWY-6786,0.25146521605247707,0.9323886096316808,2,15,detoxification of reactive carbonyls in chloroplasts,BioCyc
ARA:PWYQT-4477,0.25609961449795177,0.9299081711437663,2,16,indole glucosinolate activation (intact plant cell),BioCyc
ARA:PWY-7344,0.25985266432442244,0.9686876662631879,1,6,UDP-D-galactose biosynthesis,BioCyc
ARA:PWYQT-4429,0.26103302174462034,0.9675582552564507,1,7,CO2 fixation into oxaloacetate (anaplerotic),BioCyc
ARA:PWY-2181,0.26180345375747843,0.9693565984676326,1,5,free phenylpropanoid acid biosynthesis,BioCyc
ARA:PWY-6014,0.2784092588409087,0.9650574528010978,1,5,vernolate biosynthesis I,BioCyc
ARA:PWY-6710,0.2784092588409087,0.9650574528010978,1,5,poly-hydroxy fatty acids biosynthesis,BioCyc
ARA:PWY-5670,0.2784946724042377,0.9627658808791055,1,7,epoxysqualene biosynthesis,BioCyc
ARA:PWY-5807,0.2805998497430215,0.9644662309597619,1,5,heptaprenyl diphosphate biosynthesis,BioCyc
ARA:PWY-2841,0.28434017824293345,0.9610775826814428,1,7,cytokinins degradation,BioCyc
ARA:PWY-7120,0.30149283064412186,0.956980528438152,1,6,esterified suberin biosynthesis,BioCyc
ARA:PWY-6773,0.3145745136427757,0.9471545137391307,1,19,"1,3-&beta;-D-glucan biosynthesis",BioCyc
ARA:ASPARAGINE-DEG1-PWY,0.3153480887146631,0.9526070109888946,1,6,L-asparagine degradation I,BioCyc
ARA:PWY-6118,0.3313154244660541,0.9449239249417958,1,8,glycerol-3-phosphate shuttle,BioCyc
ARA:PWY-3821,0.33940417054936484,0.9419695611489051,1,8,D-galactose degradation III,BioCyc
ARA:PWY-1822,0.34187965372114687,0.9421096401530553,1,7,indole-3-acetate activation I,BioCyc
ARA:PWY-5079,0.3482007588789079,0.9386533166745638,1,8,L-phenylalanine degradation III,BioCyc
ARA:PWY-401,0.34841207402707913,0.9377179012847163,1,9,galactolipid biosynthesis I,BioCyc
ARA:PWY0-1313,0.35340815835805395,0.9350588942153463,1,10,acetate conversion to acetyl-CoA,BioCyc
ARA:PWY-5667,0.35753162855053316,0.8736462170044592,2,25,CDP-diacylglycerol biosynthesis I,BioCyc
ARA:PWY-6483,0.36837280836051345,0.9289166604233762,1,10,ceramide degradation,BioCyc
ARA:PWY-882,0.3717606531691736,0.8646906326314361,2,26,L-ascorbate biosynthesis I (L-galactose pathway),BioCyc
