"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0005576",3.74946935576968e-16,1,154,2180,"extracellular region","CC"
"2","GO:0005887",3.49002022139903e-07,0.999999919065302,21,190,"integral component of plasma membrane","CC"
"3","GO:0016020",1.08107652180002e-05,0.999993636564875,107,2107,"membrane","CC"
"4","GO:0009505",1.29990625237735e-05,0.999995244586638,29,347,"plant-type cell wall","CC"
"5","GO:0005618",0.000275427986718197,0.99986568296972,37,560,"cell wall","CC"
"6","GO:0043231",0.000704974920990942,0.99975040810702,17,204,"intracellular membrane-bounded organelle","CC"
"7","GO:0048046",0.00182295924556707,0.999059013176291,32,501,"apoplast","CC"
"8","GO:0005886",0.00488108427270861,0.996248529566725,164,4166,"plasma membrane","CC"
"9","GO:0000325",0.00590088170008217,0.998772402201367,6,57,"plant-type vacuole","CC"
"10","GO:0005773",0.00787836353791406,0.995202277783834,40,801,"vacuole","CC"
"11","GO:0009506",0.0116327671991808,0.992219074912928,54,1214,"plasmodesma","CC"
"12","GO:0010168",0.0142318332429425,0.998472086457486,3,17,"ER body","CC"
"13","GO:0009530",0.019193892154086,0.999023582366202,2,6,"primary cell wall","CC"
"14","GO:0031597",0.0240912555083076,0.998486529982319,2,8,"cytosolic proteasome complex","CC"
"15","GO:0005764",0.0260775329514899,0.994869917540572,4,31,"lysosome","CC"
"16","GO:0090568",0.0335759320678219,1,1,1,"nuclear transcriptional repressor complex","CC"
"17","GO:0000421",0.0395710291964406,0.99359093489074,3,20,"autophagosome membrane","CC"
"18","GO:0031262",0.0601842544840513,0.999067113595629,1,2,"Ndc80 complex","CC"
"19","GO:0016589",0.0647859916584468,0.998560546650779,1,3,"NURF complex","CC"
"20","GO:0009705",0.0770805349804182,0.965800672727475,8,139,"plant-type vacuole membrane","CC"
"21","GO:0034098",0.0799384774082438,0.99779282087968,1,3,"VCP-NPL4-UFD1 AAA ATPase complex","CC"
"22","GO:0031225",0.0853309145741109,0.952031153241277,14,220,"anchored component of membrane","CC"
"23","GO:0031410",0.0965192850492319,0.976679377031267,3,32,"cytoplasmic vesicle","CC"
"24","GO:0009986",0.102485946150961,0.983758733121734,2,18,"cell surface","CC"
"25","GO:0071821",0.111103850262659,0.995672302832908,1,3,"FANCM-MHF complex","CC"
"26","GO:0033178",0.115746599812475,0.995292468784817,1,3,"proton-transporting two-sector ATPase complex, catalytic domain","CC"
"27","GO:0035102",0.116976444132658,0.99460625779198,1,4,"PRC1 complex","CC"
"28","GO:0005615",0.117997803708972,0.93993320032953,9,139,"extracellular space","CC"
"29","GO:0071944",0.130710792439509,0.97582927421361,2,21,"cell periphery","CC"
"30","GO:0005814",0.131131928156158,0.99391218799962,1,3,"centriole","CC"
"31","GO:0031595",0.131488940489719,0.992699175634784,1,5,"nuclear proteasome complex","CC"
"32","GO:0031314",0.133307510260141,0.992942471386689,1,4,"extrinsic component of mitochondrial inner membrane","CC"
"33","GO:0043240",0.143860495384839,0.99174058163579,1,4,"Fanconi anaemia nuclear complex","CC"
"34","GO:0031380",0.145129541057392,0.990695066942906,1,6,"nuclear RNA-directed RNA polymerase complex","CC"
"35","GO:0005777",0.147025706651823,0.909530484932106,14,300,"peroxisome","CC"
"36","GO:0005853",0.147814451785089,0.991264248508385,1,4,"eukaryotic translation elongation factor 1 complex","CC"
"37","GO:0016021",0.150651322069825,0.86792102048751,191,5100,"integral component of membrane","CC"
"38","GO:0010330",0.151303177602957,0.989859407819227,1,6,"cellulose synthase complex","CC"
"39","GO:0005788",0.156005070723103,0.95279584275728,3,46,"endoplasmic reticulum lumen","CC"
"40","GO:0044614",0.163062404850555,0.987839878478151,1,7,"nuclear pore cytoplasmic filaments","CC"
"41","GO:0001673",0.195466081333233,0.98339149587975,1,5,"male germ cell nucleus","CC"
"42","GO:0000938",0.196482430420075,0.98107021096906,1,11,"GARP complex","CC"
"43","GO:0005575",0.208370978941646,0.852051793017254,21,392,"cellular_component","CC"
"44","GO:0046658",0.212055490848967,0.881460886086503,8,143,"anchored component of plasma membrane","CC"
"45","GO:0009331",0.219786579547992,0.976910365197382,1,8,"glycerol-3-phosphate dehydrogenase complex","CC"
"46","GO:0048471",0.226470745215678,0.940041618648877,2,32,"perinuclear region of cytoplasm","CC"
"47","GO:0005774",0.24260814201276,0.817323291914884,26,669,"vacuolar membrane","CC"
"48","GO:0005775",0.242773013911705,0.971536164914346,1,8,"vacuolar lumen","CC"
"49","GO:0042645",0.252672237720788,0.969028379350531,1,8,"mitochondrial nucleoid","CC"
"50","GO:0000778",0.254077240791313,0.96820782147708,1,9,"condensed nuclear chromosome kinetochore","CC"
"51","GO:0090575",0.266862986020962,0.922172679616576,2,26,"RNA polymerase II transcription factor complex","CC"
"52","GO:0055035",0.270936731818003,0.964087993513043,1,8,"plastid thylakoid membrane","CC"
"53","GO:0061908",0.280016580399458,0.960924588759279,1,9,"phagophore","CC"
"54","GO:0005783",0.281193782850147,0.774898662047853,36,961,"endoplasmic reticulum","CC"
"55","GO:0000326",0.291569936159212,0.957405503826133,1,9,"protein storage vacuole","CC"
"56","GO:0012511",0.297467910589311,0.956166828309534,1,8,"monolayer-surrounded lipid storage body","CC"
"57","GO:0009514",0.298412411179483,0.953700861624792,1,13,"glyoxysome","CC"
"58","GO:0032586",0.301239240142757,0.953398652399409,1,11,"protein storage vacuole membrane","CC"
"59","GO:0090404",0.319915036300794,0.946259914905661,1,13,"pollen tube tip","CC"
"60","GO:0009501",0.3339708668392,0.940740008878326,1,14,"amyloplast","CC"
"61","GO:0035267",0.349018677899575,0.934818979464862,1,14,"NuA4 histone acetyltransferase complex","CC"
"62","GO:0005815",0.369985882911225,0.925685140429743,1,15,"microtubule organizing center","CC"
"63","GO:0009707",0.384743196048357,0.817623330534373,3,64,"chloroplast outer membrane","CC"
"64","GO:0034045",0.390634010272694,0.916320849177758,1,15,"phagophore assembly site membrane","CC"
"65","GO:0005851",0.393910345629211,0.914773579541633,1,15,"eukaryotic translation initiation factor 2B complex","CC"
"66","GO:0005801",0.409817848587806,0.907016515667173,1,15,"cis-Golgi network","CC"
"67","GO:0016363",0.411395668077927,0.905040935633263,1,19,"nuclear matrix","CC"
