"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0005199",4.90561620013884e-12,1,13,31,"structural constituent of cell wall","MF"
"2","GO:0004601",4.08199724117115e-10,0.999999999943626,22,133,"peroxidase activity","MF"
"3","GO:0016301",1.0903429097234e-07,1,62,1234,"kinase activity","MF"
"4","GO:0004674",3.13152099315442e-06,0.99999869290946,43,850,"protein serine/threonine kinase activity","MF"
"5","GO:0015250",5.15779466000004e-06,0.999999464853793,9,39,"water channel activity","MF"
"6","GO:0010279",1.58833066977669e-05,0.999999744494447,4,7,"indole-3-acetic acid amido synthetase activity","MF"
"7","GO:0015114",2.30735486878726e-05,0.999998470623919,6,26,"phosphate ion transmembrane transporter activity","MF"
"8","GO:0016881",6.54706935256437e-05,0.99999644805954,5,17,"acid-amino acid ligase activity","MF"
"9","GO:0015204",0.000161456010718528,0.999998569439088,3,4,"urea transmembrane transporter activity","MF"
"10","GO:0020037",0.000214583550326068,0.999917624447904,23,316,"heme binding","MF"
"11","GO:0016759",0.000364380223429825,0.999968285866189,5,30,"cellulose synthase activity","MF"
"12","GO:0038199",0.000365756590769282,0.999991730838141,3,7,"ethylene receptor activity","MF"
"13","GO:0051740",0.000365756590769282,0.999991730838141,3,7,"ethylene binding","MF"
"14","GO:0016762",0.000711587624492228,0.999908629101555,6,30,"xyloglucan:xyloglucosyl transferase activity","MF"
"15","GO:0005509",0.000757307410779072,0.99970246354921,20,305,"calcium ion binding","MF"
"16","GO:0016760",0.000761253837808738,0.999947530237993,4,21,"cellulose synthase (UDP-forming) activity","MF"
"17","GO:0015267",0.000832545334375582,0.999916644984184,5,22,"channel activity","MF"
"18","GO:0005516",0.000943993895484846,0.99962096730287,20,362,"calmodulin binding","MF"
"19","GO:0008519",0.00102880524940141,0.999966656464639,3,7,"ammonium transmembrane transporter activity","MF"
"20","GO:0000155",0.00103434933093534,0.99992157205183,4,23,"phosphorelay sensor kinase activity","MF"
"21","GO:0004673",0.00104173847235566,0.999920859063287,4,23,"protein histidine kinase activity","MF"
"22","GO:0016174",0.00106344061169548,0.999958638054429,3,11,"NAD(P)H oxidase activity","MF"
"23","GO:0043531",0.00108447996562254,0.999723453143297,10,138,"ADP binding","MF"
"24","GO:0015293",0.00132513941777718,0.999797616132932,6,51,"symporter activity","MF"
"25","GO:0016757",0.0023755899116272,0.998824752698179,27,555,"transferase activity, transferring glycosyl groups","MF"
"26","GO:0016798",0.00292661198614753,0.999482307365767,6,44,"hydrolase activity, acting on glycosyl bonds","MF"
"27","GO:0005089",0.00311766355706696,0.999815895119559,3,13,"Rho guanyl-nucleotide exchange factor activity","MF"
"28","GO:0035174",0.00364341884267851,0.999938340922606,2,4,"histone serine kinase activity","MF"
"29","GO:0005524",0.00374719253313239,0.997429171338779,81,2551,"ATP binding","MF"
"30","GO:0004675",0.00435910984149795,0.998474465582443,12,196,"transmembrane receptor protein serine/threonine kinase activity","MF"
"31","GO:0004672",0.0045022650434214,0.997691862453232,26,634,"protein kinase activity","MF"
"32","GO:0008146",0.00468597234426744,0.999484395181466,4,17,"sulfotransferase activity","MF"
"33","GO:0046715",0.00571389553447407,0.999858539810144,2,5,"active borate transmembrane transporter activity","MF"
"34","GO:0009927",0.00718339737853938,0.999436319244138,3,12,"histidine phosphotransfer kinase activity","MF"
"35","GO:0035175",0.00721074669577609,0.999798511134165,2,5,"histone kinase activity (H3-S10 specific)","MF"
"36","GO:0015116",0.00784147916121401,0.999324617849463,3,17,"sulfate transmembrane transporter activity","MF"
"37","GO:0080030",0.00807567990769131,0.998540854098156,5,36,"methyl indole-3-acetate esterase activity","MF"
"38","GO:0003843",0.00939666272674053,0.999592551909221,2,18,"1,3-beta-D-glucan synthase activity","MF"
"39","GO:0030246",0.0107903794057854,0.995752638422511,12,199,"carbohydrate binding","MF"
"40","GO:0009931",0.0136176974285229,0.99711114527648,5,60,"calcium-dependent protein serine/threonine kinase activity","MF"
"41","GO:0004683",0.0137258466328806,0.997082465525256,5,60,"calmodulin-dependent protein kinase activity","MF"
"42","GO:0030570",0.0142362024300053,0.998441148893015,3,20,"pectate lyase activity","MF"
"43","GO:0015171",0.0150994800076142,0.996718280722226,5,58,"amino acid transmembrane transporter activity","MF"
"44","GO:0015144",0.0154926224290916,0.995430412642458,7,108,"carbohydrate transmembrane transporter activity","MF"
"45","GO:0005215",0.0165999561373455,0.992272156009466,15,321,"transporter activity","MF"
"46","GO:0005351",0.0177955191211438,0.994601194228679,7,111,"carbohydrate:proton symporter activity","MF"
"47","GO:0009674",0.0182178116835699,1,1,1,"potassium:sodium symporter activity","MF"
"48","GO:0004888",0.0190758404717124,0.998942529891375,2,8,"transmembrane signaling receptor activity","MF"
"49","GO:0015370",0.0193340985812747,1,1,1,"solute:sodium symporter activity","MF"
"50","GO:0010427",0.0205622446337563,0.997486231373699,3,16,"abscisic acid binding","MF"
"51","GO:0017057",0.0213010025364099,0.99885446334056,2,6,"6-phosphogluconolactonase activity","MF"
