category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,Annotation,ontology
path:ath04075,3.879339535220818e-12,1,29,286,Plant hormone signal transduction,KEGG
path:ath00940,8.803016069004821e-11,1,21,168,Phenylpropanoid biosynthesis,KEGG
path:ath04626,5.4136566721847945e-6,0.9999987856908836,17,217,Plant-pathogen interaction,KEGG
path:ath04016,8.671355666541908e-6,0.9999983071914442,14,158,MAPK signaling pathway - plant,KEGG
path:ath01110,0.0016036875741847027,0.9991753494089326,41,1292,Biosynthesis of secondary metabolites,KEGG
path:ath00040,0.020258705219256372,0.9952844424915229,5,76,Pentose and glucuronate interconversions,KEGG
path:ath00280,0.05670614482712575,0.9853135944858173,4,78,"Valine, leucine and isoleucine degradation",KEGG
path:ath00052,0.09598130530580436,0.9765194756107065,3,61,Galactose metabolism,KEGG
path:ath00270,0.11366782464311388,0.9524443442653401,6,162,Cysteine and methionine metabolism,KEGG
path:ath00260,0.12308966965498738,0.9583840399634154,4,94,"Glycine, serine and threonine metabolism",KEGG
path:ath04122,0.12988705860993247,0.9760238268646039,2,25,Sulfur relay system,KEGG
path:ath00945,0.2141258541946248,0.9779582736528004,1,9,"Stilbenoid, diarylheptanoid and gingerol biosynthesis",KEGG
path:ath00900,0.2200762010385659,0.9218742065397151,3,70,Terpenoid backbone biosynthesis,KEGG
path:ath00061,0.24839695078417362,0.9297524505581283,2,52,Fatty acid biosynthesis,KEGG
path:ath04712,0.2636881141730087,0.9226343478564982,2,48,Circadian rhythm - plant,KEGG
path:ath00514,0.3005426564705161,0.9521863049100533,1,19,Other types of O-glycan biosynthesis,KEGG
path:ath00071,0.3042264186171103,0.9013742896903738,2,61,Fatty acid degradation,KEGG
path:ath01100,0.3061586361162057,0.7539744213624691,58,2631,Metabolic pathways,KEGG
path:ath00910,0.3065570691011897,0.9002773754063665,2,56,Nitrogen metabolism,KEGG
path:ath00909,0.312060779268238,0.9478362285814836,1,22,Sesquiterpenoid and triterpenoid biosynthesis,KEGG
path:ath03410,0.3498071625750143,0.875274879559884,2,61,Base excision repair,KEGG
path:ath00510,0.3628485435828357,0.8672432809118424,2,62,N-Glycan biosynthesis,KEGG
path:ath00250,0.37418684124824486,0.8597586447846491,2,72,"Alanine, aspartate and glutamate metabolism",KEGG
path:ath00920,0.38934457027872615,0.8503543985228451,2,60,Sulfur metabolism,KEGG
path:ath01040,0.40421053172028387,0.9079275423216193,1,27,Biosynthesis of unsaturated fatty acids,KEGG
path:ath00630,0.4212176957905597,0.7899796074302496,3,119,Glyoxylate and dicarboxylate metabolism,KEGG
path:ath00941,0.43671716790410847,0.8917632111511136,1,21,Flavonoid biosynthesis,KEGG
path:ath00290,0.442451658372529,0.8873147725703183,1,29,"Valine, leucine and isoleucine biosynthesis",KEGG
path:ath01212,0.4681794229862143,0.7929208775526192,2,83,Fatty acid metabolism,KEGG
path:ath00030,0.49096726332335267,0.7749931206858749,2,77,Pentose phosphate pathway,KEGG
path:ath00960,0.5171475872309138,0.8389720850424067,1,36,"Tropane, piperidine and pyridine alkaloid biosynthesis",KEGG
path:ath00010,0.5228354036059473,0.7037083280202275,3,145,Glycolysis / Gluconeogenesis,KEGG
path:ath00100,0.5428534631292543,0.8196036946084224,1,40,Steroid biosynthesis,KEGG
path:ath00770,0.5595423770013763,0.8065934289398454,1,39,Pantothenate and CoA biosynthesis,KEGG
path:ath00790,0.5710480063844456,0.7969141182147078,1,42,Folate biosynthesis,KEGG
path:ath00592,0.5863125706834663,0.7837835377827647,1,44,alpha-Linolenic acid metabolism,KEGG
path:ath00310,0.6042911397972245,0.7672606818943921,1,51,Lysine degradation,KEGG
path:ath00640,0.6333304907944883,0.7393846816274284,1,55,Propanoate metabolism,KEGG
path:ath00350,0.6439802427420243,0.7288840782440453,1,52,Tyrosine metabolism,KEGG
path:ath00130,0.6630818221034129,0.7089714233551634,1,51,Ubiquinone and other terpenoid-quinone biosynthesis,KEGG
path:ath00360,0.6648021128202561,0.7068998353687823,1,54,Phenylalanine metabolism,KEGG
path:ath04146,0.6917138692137162,0.5746144891107539,2,123,Peroxisome,KEGG
path:ath04120,0.7030595483791063,0.5135387105874536,3,175,Ubiquitin mediated proteolysis,KEGG
path:ath00190,0.7051589855247868,0.5114206453319551,3,147,Oxidative phosphorylation,KEGG
path:ath04130,0.7269764959375286,0.6337452607491195,1,52,SNARE interactions in vesicular transport,KEGG
path:ath01200,0.7316859871319967,0.41695649725021705,6,362,Carbon metabolism,KEGG
path:ath03022,0.7322293979895289,0.625985738141458,1,66,Basal transcription factors,KEGG
path:ath00195,0.741244755714696,0.6161139347171751,1,42,Photosynthesis,KEGG
path:ath03018,0.7773230802605855,0.4626291690948282,2,144,RNA degradation,KEGG
path:ath00020,0.7808736428564517,0.5570559060772875,1,78,Citrate cycle (TCA cycle),KEGG
