category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,Annotation,ontology
path:ath00480,1.3671541262604061e-6,0.9999996968843062,19,129,Glutathione metabolism,KEGG
path:ath00073,3.494607232948827e-6,0.9999997983461567,7,20,"Cutin, suberine and wax biosynthesis",KEGG
path:ath01100,1.2070410213992069e-5,0.999993939556494,128,2631,Metabolic pathways,KEGG
path:ath01110,9.729514524972053e-5,0.9999476736324466,71,1292,Biosynthesis of secondary metabolites,KEGG
path:ath00920,0.0022430384501906865,0.9994989747476928,8,60,Sulfur metabolism,KEGG
path:ath04141,0.0031301603739459245,0.9986769786700885,19,255,Protein processing in endoplasmic reticulum,KEGG
path:ath02010,0.0032510276013239412,0.99965992813093,4,26,ABC transporters,KEGG
path:ath00592,0.004281552422443404,0.9991894870039114,6,44,alpha-Linolenic acid metabolism,KEGG
path:ath00460,0.011529199789639757,0.9965314493410448,8,87,Cyanoamino acid metabolism,KEGG
path:ath00860,0.012028924299823931,0.9967250883079939,7,65,Porphyrin and chlorophyll metabolism,KEGG
path:ath00940,0.015143820919678787,0.9936361913520061,13,168,Phenylpropanoid biosynthesis,KEGG
path:ath00902,0.021200449051894946,0.9988682420434228,2,6,Monoterpenoid biosynthesis,KEGG
path:ath00053,0.025554540771364348,0.9927183064659535,6,63,Ascorbate and aldarate metabolism,KEGG
path:ath04146,0.027016372789442432,0.989743045804748,9,123,Peroxisome,KEGG
path:ath00909,0.028431576971294018,0.9959385503697614,3,22,Sesquiterpenoid and triterpenoid biosynthesis,KEGG
path:ath00908,0.03605512826602864,0.9944048161018584,3,20,Zeatin biosynthesis,KEGG
path:ath01502,0.03887494382127931,1,1,1,Vancomycin resistance,KEGG
path:ath00071,0.049955024292941186,0.9852384070293639,5,61,Fatty acid degradation,KEGG
path:ath00260,0.053158781560585594,0.9800253938792365,7,94,"Glycine, serine and threonine metabolism",KEGG
path:ath00195,0.059705606972389746,0.981799345463191,5,42,Photosynthesis,KEGG
path:ath01212,0.061700685390702545,0.9780835399742043,6,83,Fatty acid metabolism,KEGG
