"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0055114",5.68764467956416e-20,1,133,1349,"oxidation-reduction process","BP"
"2","GO:0009408",1.08312883659528e-12,1,34,196,"response to heat","BP"
"3","GO:0010345",1.34434411988991e-11,1,11,20,"suberin biosynthetic process","BP"
"4","GO:0009834",2.25607267004745e-10,0.9999999999772,18,66,"plant-type secondary cell wall biogenesis","BP"
"5","GO:0009414",3.55265117959042e-10,1,46,399,"response to water deprivation","BP"
"6","GO:0006979",4.69502252914236e-09,1,44,376,"response to oxidative stress","BP"
"7","GO:0042542",1.12347398354413e-08,0.999999998213682,19,88,"response to hydrogen peroxide","BP"
"8","GO:0009644",4.00763244208542e-08,0.999999993947844,17,73,"response to high light intensity","BP"
"9","GO:0051259",4.21476073650166e-08,0.999999998378633,9,15,"protein complex oligomerization","BP"
"10","GO:0006749",2.28102178253465e-07,0.999999966668875,15,57,"glutathione metabolic process","BP"
"11","GO:0046274",3.04123041440821e-06,0.999999828803715,7,19,"lignin catabolic process","BP"
"12","GO:0006857",3.15488401270378e-06,0.999999530149621,12,65,"oligopeptide transport","BP"
"13","GO:0009407",4.30623399167259e-06,0.999999303340467,13,52,"toxin catabolic process","BP"
"14","GO:0045490",8.33096171571716e-06,0.999998631428307,12,65,"pectin catabolic process","BP"
"15","GO:0006869",1.73628386079242e-05,0.999995660901474,17,107,"lipid transport","BP"
"16","GO:0016042",1.86688030135705e-05,0.999995240321603,17,131,"lipid catabolic process","BP"
"17","GO:2000652",3.29429531375153e-05,0.99999720863169,7,21,"regulation of secondary cell wall biogenesis","BP"
"18","GO:0055085",4.38777646215331e-05,0.999982136593326,31,399,"transmembrane transport","BP"
"19","GO:0035336",5.35701192288571e-05,0.99999867581671,4,8,"long-chain fatty-acyl-CoA metabolic process","BP"
"20","GO:0042545",5.68356983443029e-05,0.999990659782772,10,51,"cell wall modification","BP"
"21","GO:0009651",5.68748898036241e-05,0.999971011354028,51,699,"response to salt stress","BP"
"22","GO:0042744",8.01114653954013e-05,0.999979257384996,15,103,"hydrogen peroxide catabolic process","BP"
"23","GO:0009828",9.34752395364441e-05,0.999988075460753,8,30,"plant-type cell wall loosening","BP"
