"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0005576",2.11752397939802e-16,1,163,2180,"extracellular region","CC"
"2","GO:0009505",0.00019020388195662,0.999921253490225,27,347,"plant-type cell wall","CC"
"3","GO:0005615",0.000242366778331175,0.999923195662387,17,139,"extracellular space","CC"
"4","GO:0005887",0.000358665710549842,0.999885156149009,16,190,"integral component of plasma membrane","CC"
"5","GO:0016021",0.000727219165208806,0.999446521417239,230,5100,"integral component of membrane","CC"
"6","GO:0019897",0.00207547235073238,0.999921761381598,3,6,"extrinsic component of plasma membrane","CC"
"7","GO:0031464",0.00262550672855556,0.999867677095724,3,9,"Cul4A-RING E3 ubiquitin ligase complex","CC"
"8","GO:0005901",0.00481200558231267,0.999933157086235,2,3,"caveola","CC"
"9","GO:0010005",0.00541095943663663,0.999379316136442,4,17,"cortical microtubule, transverse to long axis","CC"
"10","GO:0031616",0.00568613604939401,0.999878764756954,2,4,"spindle pole centrosome","CC"
"11","GO:0032133",0.00568613604939401,0.999878764756954,2,4,"chromosome passenger complex","CC"
"12","GO:0090406",0.00976770215318269,0.997746372652971,6,54,"pollen tube","CC"
"13","GO:0005886",0.010279141856794,0.991889472321303,168,4166,"plasma membrane","CC"
"14","GO:0016328",0.0122278727119349,0.999510317173157,2,6,"lateral plasma membrane","CC"
"15","GO:0000780",0.0132269355912634,0.99944789031824,2,6,"condensed nuclear chromosome, centromeric region","CC"
"16","GO:0000148",0.0162477072868147,0.999061387829407,2,18,"1,3-beta-D-glucan synthase complex","CC"
"17","GO:0051233",0.0199625861969693,0.99890681970474,2,7,"spindle midzone","CC"
"18","GO:0009530",0.0202694268174592,0.998938227260841,2,6,"primary cell wall","CC"
"19","GO:0015629",0.0262423262582611,0.993615567086689,5,36,"actin cytoskeleton","CC"
"20","GO:0009930",0.0290797539949334,1,1,1,"longitudinal side of cell surface","CC"
"21","GO:0031225",0.0357036852166156,0.981015033043676,17,220,"anchored component of membrane","CC"
"22","GO:0009705",0.0422622904354641,0.982362561428551,9,139,"plant-type vacuole membrane","CC"
"23","GO:0005575",0.0428257177031134,0.973042961266104,28,392,"cellular_component","CC"
