"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0020037",1.74501371648096e-12,1,46,316,"heme binding","MF"
"2","GO:0004553",2.35952542326636e-08,0.999999994444093,27,206,"hydrolase activity, hydrolyzing O-glycosyl compounds","MF"
"3","GO:0019825",8.45063449848928e-08,0.999999977972726,27,193,"oxygen binding","MF"
"4","GO:0016709",1.12871788453269e-07,0.99999997631649,21,122,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen","MF"
"5","GO:0005506",1.82954796252818e-07,0.999999946683499,30,245,"iron ion binding","MF"
"6","GO:0071949",2.84741595723756e-07,0.999999959400668,14,70,"FAD binding","MF"
"7","GO:0015293",1.09473468157921e-06,0.999999871861273,11,51,"symporter activity","MF"
"8","GO:0052716",2.07334555508101e-06,0.999999892221318,7,18,"hydroquinone:oxygen oxidoreductase activity","MF"
"9","GO:0016491",2.52637354450228e-06,0.999998985867506,41,445,"oxidoreductase activity","MF"
"10","GO:0015333",2.83512493313403e-06,0.999999682380182,10,42,"peptide:proton symporter activity","MF"
"11","GO:1904680",2.83512493313403e-06,0.999999682380182,10,42,"peptide transmembrane transporter activity","MF"
"12","GO:0016627",6.31356198339524e-06,0.999999723613728,6,14,"oxidoreductase activity, acting on the CH-CH group of donors","MF"
"13","GO:0047372",7.62814167261809e-06,0.999999342999067,8,26,"acylglycerol lipase activity","MF"
"14","GO:0035673",8.455708933903e-06,0.999998902523347,10,48,"oligopeptide transmembrane transporter activity","MF"
"15","GO:0050062",1.06913802636193e-05,0.999999871636916,4,6,"long-chain-fatty-acyl-CoA reductase activity","MF"
"16","GO:0015075",1.80155260784508e-05,1,3,3,"ion transmembrane transporter activity","MF"
"17","GO:0004364",1.80364385659649e-05,0.99999628654527,14,69,"glutathione transferase activity","MF"
"18","GO:0004857",4.95602602016929e-05,0.999993297444866,9,33,"enzyme inhibitor activity","MF"
"19","GO:0080019",5.35701192288571e-05,0.99999867581671,4,8,"fatty-acyl-CoA reductase (alcohol-forming) activity","MF"
"20","GO:0102965",5.35701192288571e-05,0.99999867581671,4,8,"alcohol-forming fatty acyl-CoA reductase activity","MF"
"21","GO:0051082",7.35631088984165e-05,0.99997799743811,18,153,"unfolded protein binding","MF"
"22","GO:0035251",0.000109104129777753,0.999988258834484,7,25,"UDP-glucosyltransferase activity","MF"
"23","GO:0009055",0.000114112912075422,0.999963494441525,19,147,"electron transfer activity","MF"
"24","GO:0004601",0.000137987684644081,0.999958429405225,17,133,"peroxidase activity","MF"
"25","GO:0046910",0.000141427931428327,0.999971169072692,11,59,"pectinesterase inhibitor activity","MF"
"26","GO:0045330",0.000251204447900252,0.99996089197769,8,42,"aspartyl esterase activity","MF"
"27","GO:0051787",0.000262399285075739,0.999981042829593,5,16,"misfolded protein binding","MF"
"28","GO:0042626",0.000277256900465962,0.999941544021028,10,97,"ATPase activity, coupled to transmembrane movement of substances","MF"
"29","GO:0005215",0.000304235654539549,0.999874877560912,25,321,"transporter activity","MF"
"30","GO:0009973",0.00035929346265301,0.99999579476783,3,4,"adenylyl-sulfate reductase activity","MF"
"31","GO:0033741",0.00035929346265301,0.99999579476783,3,4,"adenylyl-sulfate reductase (glutathione) activity","MF"
"32","GO:0030246",0.000406211836157178,0.999853993771042,19,199,"carbohydrate binding","MF"
"33","GO:0008271",0.000408033508450363,0.999978444250567,4,13,"secondary active sulfate transmembrane transporter activity","MF"
"34","GO:0045735",0.000423792791304898,0.999909708463779,10,54,"nutrient reservoir activity","MF"
"35","GO:0030599",0.000635534039846913,0.999884575935273,8,47,"pectinesterase activity","MF"
"36","GO:0003950",0.000675071998250631,0.999959159111833,4,13,"NAD+ ADP-ribosyltransferase activity","MF"
"37","GO:0004620",0.000821927049885048,0.999891859941355,6,29,"phospholipase activity","MF"
"38","GO:0005507",0.000987715879921854,0.999568395972336,24,272,"copper ion binding","MF"
"39","GO:0015186",0.00102823815804395,0.999969781315152,3,6,"L-glutamine transmembrane transporter activity","MF"
"40","GO:0015172",0.00109939598642581,1,2,2,"acidic amino acid transmembrane transporter activity","MF"
"41","GO:0004190",0.00112811749480383,0.999744440389295,9,65,"aspartic-type endopeptidase activity","MF"
"42","GO:0015171",0.00120892405384022,0.999752697338198,8,58,"amino acid transmembrane transporter activity","MF"
"43","GO:0015175",0.00129764429963739,0.999958599316815,3,6,"neutral amino acid transmembrane transporter activity","MF"
"44","GO:0015144",0.00132020493394512,0.999631536182616,11,108,"carbohydrate transmembrane transporter activity","MF"
"45","GO:0022821",0.00139668280489041,0.999946205971427,3,8,"potassium ion antiporter activity","MF"
"46","GO:0004629",0.00155633785014724,0.999941595172838,3,7,"phospholipase C activity","MF"
"47","GO:0005351",0.00167099627137962,0.999518910204155,11,111,"carbohydrate:proton symporter activity","MF"
"48","GO:0050660",0.001800254588444,0.99951579635953,10,93,"flavin adenine dinucleotide binding","MF"
"49","GO:0043621",0.00184629327463183,0.999397581961373,13,118,"protein self-association","MF"
"50","GO:0080044",0.00200395899041527,0.999418962854072,11,82,"quercetin 7-O-glucosyltransferase activity","MF"
"51","GO:0033743",0.00227184488056155,0.99981818428853,4,11,"peptide-methionine (R)-S-oxide reductase activity","MF"
"52","GO:0015116",0.00234255727795174,0.999787774232343,4,17,"sulfate transmembrane transporter activity","MF"
"53","GO:0102483",0.00234523597288961,0.99960610596267,6,40,"scopolin beta-glucosidase activity","MF"
"54","GO:0015301",0.00251294892253315,0.999761381332305,4,20,"anion:anion antiporter activity","MF"
"55","GO:0042623",0.00255220295049665,0.999763193157047,4,17,"ATPase activity, coupled","MF"
"56","GO:0080046",0.00265975394115106,0.999879193174746,3,7,"quercetin 4'-O-glucosyltransferase activity","MF"
"57","GO:0004332",0.00286702824603214,0.999850861702859,3,9,"fructose-bisphosphate aldolase activity","MF"
"58","GO:0090447",0.0029651157548396,0.999850767793286,3,8,"glycerol-3-phosphate 2-O-acyltransferase activity","MF"
"59","GO:0008810",0.00298577594012578,0.999710536545606,4,17,"cellulase activity","MF"
"60","GO:0080043",0.00330554886017524,0.998973056071837,11,87,"quercetin 3-O-glucosyltransferase activity","MF"
"61","GO:0015238",0.00369260192388245,0.999194068834645,7,55,"drug transmembrane transporter activity","MF"
"62","GO:0004657",0.00384622152350593,0.999952440214022,2,3,"proline dehydrogenase activity","MF"
"63","GO:0004497",0.00385982471564946,0.998619899579796,13,134,"monooxygenase activity","MF"
"64","GO:0043295",0.0039058069164169,0.99944985066058,5,20,"glutathione binding","MF"
"65","GO:0044183",0.00449092998602979,0.999315332323655,5,27,"protein binding involved in protein folding","MF"
"66","GO:0050661",0.00508275486331639,0.998671002901884,8,69,"NADP binding","MF"
"67","GO:0015271",0.0058658453565343,0.999591536494318,3,10,"outward rectifier potassium channel activity","MF"
"68","GO:0008289",0.0061821087240612,0.997379225123239,16,184,"lipid binding","MF"
"69","GO:0044212",0.00646987433615922,0.996611272423502,26,346,"transcription regulatory region DNA binding","MF"
"70","GO:0046556",0.00662990669895785,0.999485909105492,3,13,"alpha-L-arabinofuranosidase activity","MF"
"71","GO:0008559",0.0070816018178392,0.999786909490428,2,6,"xenobiotic transmembrane transporting ATPase activity","MF"
"72","GO:0009922",0.00756010414793275,0.999441081000608,3,9,"fatty acid elongase activity","MF"
"73","GO:0034768",0.00776706999112175,0.999805077036391,2,4,"(E)-beta-ocimene synthase activity","MF"
"74","GO:0050551",0.00776706999112175,0.999805077036391,2,4,"myrcene synthase activity","MF"
"75","GO:0009044",0.00787166062179277,0.999350121867124,3,13,"xylan 1,4-beta-xylosidase activity","MF"
"76","GO:0016705",0.00799323043256973,0.997332996868932,10,101,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","MF"
"77","GO:0005504",0.00813272952864791,0.998939758032,4,18,"fatty acid binding","MF"
"78","GO:0008194",0.00909972084997216,0.996544992060032,12,121,"UDP-glycosyltransferase activity","MF"
"79","GO:0003993",0.0100947562548412,0.997689886199548,6,43,"acid phosphatase activity","MF"
"80","GO:0047724",0.010274663907931,0.999654227248577,2,5,"inosine nucleosidase activity","MF"
"81","GO:0004506",0.0108524306448126,0.999624113264498,2,5,"squalene monooxygenase activity","MF"
"82","GO:0080045",0.0114822917991093,0.999645941905886,2,4,"quercetin 3'-O-glucosyltransferase activity","MF"
"83","GO:0030551",0.0118992513510162,0.998160411914891,4,29,"cyclic nucleotide binding","MF"
"84","GO:0000977",0.0120599283128904,0.996305105029032,8,83,"RNA polymerase II regulatory region sequence-specific DNA binding","MF"
"85","GO:0046983",0.0122945630898418,0.993689024661412,21,299,"protein dimerization activity","MF"
"86","GO:0004499",0.0128713602071782,0.998011818367016,4,23,"N,N-dimethylaniline monooxygenase activity","MF"
"87","GO:0031072",0.013126277490585,0.99793283825003,4,26,"heat shock protein binding","MF"
"88","GO:0019829",0.0135467893820064,0.999427265562263,2,6,"cation-transporting ATPase activity","MF"
"89","GO:0051539",0.0143065161982824,0.995118173624754,9,90,"4 iron, 4 sulfur cluster binding","MF"
"90","GO:0008422",0.0154892625327077,0.996022324649776,6,61,"beta-glucosidase activity","MF"
"91","GO:0015018",0.0156077810988085,0.999344680162656,2,5,"galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase activity","MF"
"92","GO:0018685",0.0162435870786789,0.999303313646014,2,5,"alkane 1-monooxygenase activity","MF"
"93","GO:0042937",0.0186703571389171,0.999063927222192,2,6,"tripeptide transmembrane transporter activity","MF"
"94","GO:0046872",0.019121867994319,0.985358466326136,106,2119,"metal ion binding","MF"
"95","GO:0008113",0.0192514357546036,0.997859675181367,3,11,"peptide-methionine (S)-S-oxide reductase activity","MF"
"96","GO:0016985",0.0220970180375574,0.998787407442713,2,6,"mannan endo-1,4-beta-mannosidase activity","MF"
"97","GO:0010290",0.023125659754713,1,1,1,"chlorophyll catabolite transmembrane transporter activity","MF"
"98","GO:0015431",0.023125659754713,1,1,1,"glutathione S-conjugate-exporting ATPase activity","MF"
"99","GO:0016629",0.0233247828373536,0.998682228674861,2,6,"12-oxophytodienoate reductase activity","MF"
"100","GO:0008506",0.0236097439341976,0.99858519887169,2,7,"sucrose:proton symporter activity","MF"
"101","GO:0102336",0.0238160855441613,0.99694812967884,3,15,"3-oxo-arachidoyl-CoA synthase activity","MF"
"102","GO:0102337",0.0238160855441613,0.99694812967884,3,15,"3-oxo-cerotoyl-CoA synthase activity","MF"
"103","GO:0102338",0.0238160855441613,0.99694812967884,3,15,"3-oxo-lignoceronyl-CoA synthase activity","MF"
"104","GO:0102756",0.0238160855441613,0.99694812967884,3,15,"very-long-chain 3-ketoacyl-CoA synthase activity","MF"
"105","GO:0009672",0.0240159671072737,0.996833422573907,3,18,"auxin:proton symporter activity","MF"
"106","GO:0047893",0.0250275498983176,0.996767675279764,3,14,"flavonol 3-O-glucosyltransferase activity","MF"
"107","GO:0016209",0.0255525169770669,0.99671725619994,3,13,"antioxidant activity","MF"
"108","GO:0051746",0.0266670824764383,1,1,1,"thalianol synthase activity","MF"
"109","GO:0034074",0.0269287506957912,1,1,1,"marneral synthase activity","MF"
"110","GO:0016881",0.0275364102134473,0.996200911876008,3,17,"acid-amino acid ligase activity","MF"
"111","GO:0003700",0.027873516462251,0.978737901172713,91,1717,"DNA-binding transcription factor activity","MF"
"112","GO:0004791",0.0287107015805829,0.998016947649497,2,8,"thioredoxin-disulfide reductase activity","MF"
"113","GO:0015194",0.0292421464093234,1,1,1,"L-serine transmembrane transporter activity","MF"
"114","GO:0052635",0.0293967720696521,1,1,1,"C-20 gibberellin 2-beta-dioxygenase activity","MF"
"115","GO:0008308",0.0295525532198971,0.995809682594722,3,17,"voltage-gated anion channel activity","MF"
"116","GO:0009540",0.0299594501258286,1,1,1,"zeaxanthin epoxidase [overall] activity","MF"
