category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,Annotation,ontology
ARA:LIPASYN-PWY,0.0010030733166714917,0.9997242480353687,12,72,phospholipases,BioCyc
ARA:PWY-6051,0.0013062332307108037,0.9999243889876845,4,8,"2,4,6-trinitrotoluene degradation",BioCyc
ARA:PWY-7416,0.0013813876333640515,0.9997699768621251,7,27,"phospholipid remodeling (phosphatidylcholine, yeast)",BioCyc
ARA:PWY-6842,0.001695307811739056,0.9994571835548792,14,71,glutathione-mediated detoxification II,BioCyc
ARA:SULFMETII-PWY,0.00171391347944779,0.9998850183820265,4,9,sulfate reduction II (assimilatory),BioCyc
ARA:PWY-6803,0.0019834057426278136,0.9994442681652339,11,65,phosphatidylcholine acyl editing,BioCyc
ARA:PWY-5884,0.0031005870464396396,0.999497464209522,6,22,wax esters biosynthesis I,BioCyc
ARA:PWY-6733,0.008542533632439658,0.9979037243036334,7,39,sporopollenin precursors biosynthesis,BioCyc
ARA:PWY-1081,0.008813468612712417,0.9978299191428114,7,38,homogalacturonan degradation,BioCyc
ARA:GLUT-REDOX-PWY,0.010308360085429883,0.9997013239540419,2,4,glutathione-glutaredoxin redox reactions,BioCyc
ARA:LIPAS-PWY,0.010484288128270458,0.996051113298227,12,93,triacylglycerol degradation,BioCyc
ARA:PWY-1782,0.012106158660254121,0.9982989268863265,4,15,superpathway of indole-3-acetate conjugate biosynthesis,BioCyc
ARA:CAMALEXIN-SYN,0.012650292577398902,0.9971049706580536,6,29,camalexin biosynthesis,BioCyc
ARA:PROUT-PWY,0.015926574452246694,0.9994184105415729,2,4,L-proline degradation,BioCyc
ARA:PWY-3041,0.018249710092290115,0.9992830054925841,2,4,monoterpene biosynthesis,BioCyc
ARA:PWY-6137,0.03297650240836726,0.9977628198415717,2,6,copper transport II,BioCyc
ARA:PWY-2261,0.034367910579139294,0.9913620941236831,5,26,ascorbate glutathione cycle,BioCyc
ARA:PWY-3941,0.038925409995606126,0.9973295343571045,2,5,&beta;-alanine biosynthesis II,BioCyc
ARA:PWY-6348,0.04097630982693438,0.9891487433548858,5,27,phosphate acquisition,BioCyc
ARA:PWY-6005,0.042039807847427696,1,1,1,marneral biosynthesis,BioCyc
ARA:PWY-6014,0.04768037342690936,0.9963363802407592,2,5,vernolate biosynthesis I,BioCyc
ARA:PWY-6710,0.04768037342690936,0.9963363802407592,2,5,poly-hydroxy fatty acids biosynthesis,BioCyc
ARA:PWY-5670,0.0477614249815651,0.9958142474770135,2,7,epoxysqualene biosynthesis,BioCyc
ARA:PWY-5859,0.05077290127186899,0.9917783794500347,3,11,eugenol and isoeugenol biosynthesis,BioCyc
ARA:PWY-6922,0.06174590065217074,0.9937488951924538,2,7,L-N&delta;-acetylornithine biosynthesis,BioCyc
ARA:PWY-5063,0.06683914620113511,1,1,1,phytyl diphosphate biosynthesis,BioCyc
ARA:PWY-701,0.0744175364162353,1,1,1,L-methionine degradation II,BioCyc
ARA:PWY-7204,0.08391265324816763,0.9821191609196716,3,16,pyridoxal 5'-phosphate salvage II (plants),BioCyc
ARA:PWY-6406,0.09108671159710865,0.9978350108695201,1,2,salicylate biosynthesis I,BioCyc
ARA:PWY-6163,0.09577151345672527,0.9867412332263504,2,9,chorismate biosynthesis from 3-dehydroquinate,BioCyc
ARA:PWY-5320,0.10492674362168605,0.9753924905784721,3,16,kaempferol glycoside biosynthesis (Arabidopsis),BioCyc
ARA:PWY4FS-12,0.11009535501433804,0.9968042622074281,1,2,VTC2 cycle,BioCyc
ARA:PWY4FS-13,0.11009535501433804,0.9968042622074281,1,2,extended VTC2 cycle,BioCyc
ARA:PWY-861,0.11194546826893878,0.983433136229476,2,8,dhurrin biosynthesis,BioCyc
ARA:PWY-5267,0.11378973260638271,0.9825639819603597,2,9,glucosinolate activation,BioCyc
ARA:PWY-5064,0.11551650560646795,0.9964713053967036,1,2,chlorophyll a biosynthesis II,BioCyc
ARA:PWY-2021,0.11638127561917411,0.981575584788826,2,10,indole-3-acetate degradation IV,BioCyc
ARA:PWY-5788,0.11638127561917411,0.981575584788826,2,10,indole-3-acetate degradation V,BioCyc
ARA:PWY-6219,0.11638127561917411,0.981575584788826,2,10,indole-3-acetyl-amide conjugate biosynthesis,BioCyc
ARA:PWY-5876,0.12007599393242498,0.9961776514994812,1,2,magnoflorine biosynthesis,BioCyc
ARA:GLYSYN-PWY,0.12447899705894797,0.9791744898863095,2,11,glycine biosynthesis I,BioCyc
ARA:PWY-6932,0.12458107321353203,0.9958751795301085,1,2,selenate reduction,BioCyc
ARA:PWY-5080,0.1281238525303958,0.9510992663169735,5,41,very long chain fatty acid biosynthesis I,BioCyc
ARA:PWY-581,0.12972500385417307,0.956904324374841,4,31,indole-3-acetate biosynthesis II,BioCyc
ARA:PWY-5107,0.13668056355483768,0.9950014535120636,1,2,phytol salvage pathway,BioCyc
ARA:PWY-5992,0.14106379735548996,0.9444334401993701,5,42,thalianol and derivatives biosynthesis,BioCyc
ARA:GLYSYN-ALA-PWY,0.14504211452715923,0.9730703698218158,2,12,glycine biosynthesis III,BioCyc
ARA:PWYQT-4475,0.15027033384566169,0.9473125980150676,4,31,glucosinolate biosynthesis from hexahomomethionine,BioCyc
ARA:PWY-5272,0.15149949988709227,0.9724065802258062,2,9,abscisic acid glucose ester metabolism,BioCyc
ARA:PWY-6475,0.15221858571318764,0.9706033799823307,2,13,trans-lycopene biosynthesis II (plants),BioCyc
ARA:PWY0-541,0.15650925886055925,0.990198176203709,1,4,cyclopropane fatty acid (CFA) biosynthesis,BioCyc
ARA:PWY-6806,0.1608586218248394,0.9907324219769728,1,3,carotenoid cleavage,BioCyc
ARA:PWY-7140,0.1713879713966165,0.9894229841282436,1,3,myricetin gentiobioside biosynthesis,BioCyc
ARA:PWY-321,0.1724136600549176,0.9358796098383835,4,35,cutin biosynthesis,BioCyc
ARA:PWY-5667,0.17794088462081176,0.9448382999546023,3,25,CDP-diacylglycerol biosynthesis I,BioCyc
ARA:PWY-101,0.18390426219364447,0.9143599139843623,6,46,photosynthesis light reactions,BioCyc
ARA:PWY-5466,0.1846669926961589,0.9876364515062377,1,3,matairesinol biosynthesis,BioCyc
ARA:PWY-5136,0.1866186651498999,0.958793598977069,2,14,fatty acid &beta;-oxidation II (peroxisome),BioCyc
ARA:PWY-6367,0.19918367337761425,0.954181528915716,2,14,D-myo-inositol-5-phosphate metabolism,BioCyc
ARA:PWY-7101,0.19987038416280908,0.9854019425687063,1,3,5-deoxystrigol biosynthesis,BioCyc
ARA:PWY-5800,0.20157679332760853,0.953279729164318,2,14,xylan biosynthesis,BioCyc
ARA:PHOTOALL-PWY,0.20534426449509247,0.884268061601542,9,85,oxygenic photosynthesis,BioCyc
ARA:PWY-7193,0.2076767871129364,0.9503124936786189,2,16,pyrimidine ribonucleosides salvage I,BioCyc
ARA:PWY-2161,0.20973247167118236,0.9495062102550849,2,16,folate polyglutamylation,BioCyc
ARA:PWY-5945,0.21884680966153738,0.9802476952186752,1,4,"zeaxanthin, antheraxanthin and violaxanthin interconversion",BioCyc
ARA:PWY-6556,0.22308953600154652,0.9815884431781029,1,3,pyrimidine ribonucleosides salvage II,BioCyc
ARA:PWY-1042,0.22340047755942183,0.8963816908213122,5,55,glycolysis IV (plant cytosol),BioCyc
ARA:PWY-1001,0.22376559554959402,0.9428780156743264,2,20,cellulose biosynthesis,BioCyc
ARA:PWY-5143,0.2244791375996761,0.9432696015363662,2,17,long-chain fatty acid activation,BioCyc
ARA:PWY3DJ-35471,0.2250320095587707,0.979050881961603,1,4,L-ascorbate biosynthesis IV,BioCyc
ARA:PWY-116,0.23996820609411162,0.9759978238866998,1,4,coniferin metabolism,BioCyc
ARA:PWY-5321,0.24147815722340424,0.8859519988161518,5,44,quercetin glycoside biosynthesis (Arabidopsis),BioCyc
ARA:PWY-6266,0.24147815722340424,0.8859519988161518,5,44,superpathway of flavones and derivatives biosynthesis,BioCyc
ARA:PWY-6266-ARA,0.24147815722340424,0.8859519988161518,5,44,superpathway of flavones and derivatives biosynthesis,BioCyc
ARA:PWY-5147,0.24172633125216725,0.9123675482029813,3,30,oleate biosynthesis I (plants),BioCyc
ARA:PWYQT-4472,0.2438342138886667,0.9121679865847854,3,25,glucosinolate biosynthesis from trihomomethionine,BioCyc
ARA:PWYQT-4473,0.2438342138886667,0.9121679865847854,3,25,glucosinolate biosynthesis from tetrahomomethionine,BioCyc
ARA:PWYQT-4474,0.2438342138886667,0.9121679865847854,3,25,glucosinolate biosynthesis from pentahomomethionine,BioCyc
ARA:PWY-6220,0.24461955993612527,0.973455821876524,1,5,jasmonoyl-amino acid conjugates biosynthesis I,BioCyc
ARA:PWY-6233,0.24461955993612527,0.973455821876524,1,5,jasmonoyl-amino acid conjugates biosynthesis II,BioCyc
