category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,Annotation,ontology
path:ath01100,2.717829005288792e-8,1,142,2631,Metabolic pathways,KEGG
path:ath00480,1.9323272716063848e-7,0.9999999591838764,21,129,Glutathione metabolism,KEGG
path:ath00073,2.855867569792654e-7,0.999999985854593,8,20,"Cutin, suberine and wax biosynthesis",KEGG
path:ath01110,6.312868738988038e-6,0.9999972442902549,78,1292,Biosynthesis of secondary metabolites,KEGG
path:ath00940,6.862778490662971e-5,0.9999792945774661,19,168,Phenylpropanoid biosynthesis,KEGG
path:ath00909,4.7346679751638347e-4,0.9999585860394391,5,22,Sesquiterpenoid and triterpenoid biosynthesis,KEGG
path:ath00195,0.0017501624808495672,0.9996360016493698,8,42,Photosynthesis,KEGG
path:ath04141,0.002452832914941424,0.9989615561948842,20,255,Protein processing in endoplasmic reticulum,KEGG
path:ath00460,0.004511334188360002,0.9987380472763984,9,87,Cyanoamino acid metabolism,KEGG
path:ath00040,0.009170515360670081,0.99736434068792,8,76,Pentose and glucuronate interconversions,KEGG
path:ath00071,0.01651375420790385,0.9957394634417627,6,61,Fatty acid degradation,KEGG
path:ath00906,0.018021772774974663,0.9968713132917763,4,29,Carotenoid biosynthesis,KEGG
path:ath04933,0.021715668696029644,0.996051263494483,4,26,AGE-RAGE signaling pathway in diabetic complications,KEGG
path:ath00592,0.022162072852579193,0.9948086835307144,5,44,alpha-Linolenic acid metabolism,KEGG
path:ath00902,0.023628831672458613,0.9986623595024658,2,6,Monoterpenoid biosynthesis,KEGG
path:ath01212,0.02618469252704156,0.9915698032045716,7,83,Fatty acid metabolism,KEGG
path:ath00062,0.03112153948993166,0.9936122321243016,4,29,Fatty acid elongation,KEGG
path:ath04146,0.0337086050648821,0.9866809469880004,9,123,Peroxisome,KEGG
path:ath00920,0.038762959693803875,0.9878474834417503,6,60,Sulfur metabolism,KEGG
path:ath00500,0.03906031610068408,0.9824597975551895,11,182,Starch and sucrose metabolism,KEGG
path:ath00051,0.07079717139800831,0.9740554985363811,6,74,Fructose and mannose metabolism,KEGG
path:ath00030,0.08191290550009675,0.9688030519181814,6,77,Pentose phosphate pathway,KEGG
path:ath00053,0.08910522748975173,0.968918131321489,5,63,Ascorbate and aldarate metabolism,KEGG
path:ath00196,0.0929617883488282,0.9787740629612743,3,20,Photosynthesis - antenna proteins,KEGG
path:ath00860,0.12621161935643138,0.9510693302728273,5,65,Porphyrin and chlorophyll metabolism,KEGG
path:ath02010,0.12721372015582294,0.9766463679279507,2,26,ABC transporters,KEGG
path:ath00904,0.13557183240774934,0.9750406184094319,2,16,Diterpenoid biosynthesis,KEGG
path:ath00901,0.1503095907142388,0.9909848691940176,1,4,Indole alkaloid biosynthesis,KEGG
path:ath00100,0.17574464830812708,0.9444491211930793,3,40,Steroid biosynthesis,KEGG
path:ath00561,0.17979610667012552,0.9213896305828594,5,88,Glycerolipid metabolism,KEGG
path:ath00511,0.18612741612706762,0.9567779935315753,2,29,Other glycan degradation,KEGG
path:ath00710,0.1887300741800049,0.9162754633410489,5,83,Carbon fixation in photosynthetic organisms,KEGG
path:ath00450,0.21293759594142056,0.9466111016762708,2,25,Selenocompound metabolism,KEGG
path:ath01040,0.2511850655937271,0.9297272571253739,2,27,Biosynthesis of unsaturated fatty acids,KEGG
