"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0016301",2.0168945407915e-12,1,87,1234,"kinase activity","MF"
"2","GO:0004601",2.21017513091681e-12,1,27,133,"peroxidase activity","MF"
"3","GO:0005199",3.12188900423004e-12,1,14,31,"structural constituent of cell wall","MF"
"4","GO:0004674",3.63038946242252e-10,1,61,850,"protein serine/threonine kinase activity","MF"
"5","GO:0005524",2.82681825105303e-07,1,120,2551,"ATP binding","MF"
"6","GO:0043531",5.46311703305432e-07,0.999999893654965,17,138,"ADP binding","MF"
"7","GO:0016174",4.85739053319865e-06,0.999999871463318,5,11,"NAD(P)H oxidase activity","MF"
"8","GO:0052689",2.2824771766406e-05,0.999995389636738,13,89,"carboxylic ester hydrolase activity","MF"
"9","GO:0005509",3.07713713708346e-05,0.999988656498877,27,305,"calcium ion binding","MF"
"10","GO:0010279",3.56705710581322e-05,0.999999291345901,4,7,"indole-3-acetic acid amido synthetase activity","MF"
"11","GO:0020037",0.000116093826961078,0.999953534316338,27,316,"heme binding","MF"
"12","GO:0015112",0.000839656618630634,0.999946117285752,4,13,"nitrate transmembrane transporter activity","MF"
"13","GO:0102799",0.000860028374861946,1,2,2,"glucosinolate glucohydrolase activity","MF"
"14","GO:0015114",0.00089693732127408,0.999906251038033,5,26,"phosphate ion transmembrane transporter activity","MF"
"15","GO:0004672",0.00169742368922094,0.999114850937494,33,634,"protein kinase activity","MF"
"16","GO:0003779",0.00179528779146275,0.999557670289943,9,85,"actin binding","MF"
"17","GO:0016762",0.00190230905714121,0.999703295744081,6,30,"xyloglucan:xyloglucosyl transferase activity","MF"
"18","GO:0016881",0.00204999760330045,0.999821076077114,4,17,"acid-amino acid ligase activity","MF"
"19","GO:0005516",0.00324734682690899,0.998488685650315,22,362,"calmodulin binding","MF"
"20","GO:0015293",0.00441070363393621,0.999141837954378,6,51,"symporter activity","MF"
"21","GO:0016788",0.00473910123053026,0.998538791765353,10,96,"hydrolase activity, acting on ester bonds","MF"
"22","GO:0000156",0.00474732995333002,0.999250564252445,5,33,"phosphorelay response regulator activity","MF"
"23","GO:0019137",0.0048985464008007,0.999903343155065,2,4,"thioglucosidase activity","MF"
"24","GO:0035174",0.00568613604939401,0.999878764756954,2,4,"histone serine kinase activity","MF"
"25","GO:0005089",0.00582734177291638,0.999568926451182,3,13,"Rho guanyl-nucleotide exchange factor activity","MF"
"26","GO:0015141",0.0061388569096611,0.999903152201059,2,3,"succinate transmembrane transporter activity","MF"
"27","GO:0016798",0.00789416690187296,0.99828353979917,6,44,"hydrolase activity, acting on glycosyl bonds","MF"
"28","GO:0016759",0.00891849273788249,0.998729034181725,4,30,"cellulose synthase activity","MF"
"29","GO:0008146",0.00972484479850546,0.998677628424983,4,17,"sulfotransferase activity","MF"
"30","GO:0004675",0.0103565033901957,0.995773664050981,13,196,"transmembrane receptor protein serine/threonine kinase activity","MF"
"31","GO:0035175",0.0109140428728634,0.999620907643329,2,5,"histone kinase activity (H3-S10 specific)","MF"
"32","GO:0005388",0.0123253940847491,0.99871345600959,3,21,"calcium-transporting ATPase activity","MF"
"33","GO:0045330",0.013565692331357,0.997180074232158,5,42,"aspartyl esterase activity","MF"
"34","GO:0016298",0.0140607467813231,0.997050848594068,5,42,"lipase activity","MF"
"35","GO:0031418",0.0141368762920608,0.997724674209796,4,26,"L-ascorbic acid binding","MF"
"36","GO:0015116",0.0156352755601562,0.998261063609479,3,17,"sulfate transmembrane transporter activity","MF"
"37","GO:0047274",0.0159152647480402,0.999227483446221,2,7,"galactinol-sucrose galactosyltransferase activity","MF"
"38","GO:0038199",0.0160633846424834,0.999216453243245,2,7,"ethylene receptor activity","MF"
"39","GO:0051740",0.0160633846424834,0.999216453243245,2,7,"ethylene binding","MF"
"40","GO:0003843",0.0162477072868147,0.999061387829407,2,18,"1,3-beta-D-glucan synthase activity","MF"
"41","GO:1990135",0.0179951148280774,0.999294845428991,2,4,"flavonoid sulfotransferase activity","MF"
"42","GO:0016760",0.0181256753624615,0.997814922603254,3,21,"cellulose synthase (UDP-forming) activity","MF"
"43","GO:0080030",0.0184051286781776,0.995914726927437,5,36,"methyl indole-3-acetate esterase activity","MF"
"44","GO:0016706",0.019665805298073,0.994705210707781,6,55,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors","MF"
"45","GO:0005319",0.0205300747121245,0.997450665364048,3,18,"lipid transporter activity","MF"
"46","GO:0003774",0.0213864751454245,0.997172207044823,3,30,"motor activity","MF"
"47","GO:0030599",0.0246872947623957,0.993981351799355,5,47,"pectinesterase activity","MF"
"48","GO:0009674",0.0246990359584431,1,1,1,"potassium:sodium symporter activity","MF"
"49","GO:0009815",0.0254623194834951,0.99665281125929,3,15,"1-aminocyclopropane-1-carboxylate oxidase activity","MF"
"50","GO:0030570",0.0259754810705558,0.996427936634711,3,20,"pectate lyase activity","MF"
"51","GO:0015370",0.0262094407546171,1,1,1,"solute:sodium symporter activity","MF"
"52","GO:0047631",0.0262103856829572,0.996426773472469,3,18,"ADP-ribose diphosphatase activity","MF"
"53","GO:0008519",0.0276828704661364,0.998192647025209,2,7,"ammonium transmembrane transporter activity","MF"
"54","GO:0035529",0.0277121771807684,0.996115210750265,3,19,"NADH pyrophosphatase activity","MF"
"55","GO:0005215",0.0277992762138446,0.985551574780639,17,321,"transporter activity","MF"
"56","GO:0035243",0.0282164172803933,1,1,1,"protein-arginine omega-N symmetric methyltransferase activity","MF"
"57","GO:0015415",0.0292336732827798,1,1,1,"ATPase-coupled phosphate ion transmembrane transporter activity","MF"
"58","GO:0047268",0.0293184675733165,1,1,1,"galactinol-raffinose galactosyltransferase activity","MF"
"59","GO:0047312",0.0306281968915648,1,1,1,"L-phenylalanine:pyruvate aminotransferase activity","MF"
"60","GO:0050048",0.0306281968915648,1,1,1,"L-leucine:2-oxoglutarate aminotransferase activity","MF"
"61","GO:0080098",0.0306281968915648,1,1,1,"L-tyrosine:pyruvate aminotransferase activity","MF"
"62","GO:0080099",0.0306281968915648,1,1,1,"L-methionine:2-oxoglutarate aminotransferase activity","MF"
"63","GO:0080100",0.0306281968915648,1,1,1,"L-glutamine:2-oxoglutarate aminotransferase activity","MF"
"64","GO:0080130",0.0306281968915648,1,1,1,"L-phenylalanine:2-oxoglutarate aminotransferase activity","MF"
"65","GO:0031543",0.031117452481043,1,1,1,"peptidyl-proline dioxygenase activity","MF"
"66","GO:0062047",0.031117452481043,1,1,1,"pipecolic acid N-hydroxylase","MF"
"67","GO:0080073",0.0330177748647957,1,1,1,"spermidine:coumaroyl CoA N-acyltransferase activity","MF"
"68","GO:0004970",0.033127941992205,0.994889581665694,3,25,"ionotropic glutamate receptor activity","MF"
"69","GO:0005217",0.033127941992205,0.994889581665694,3,25,"intracellular ligand-gated ion channel activity","MF"
"70","GO:0050525",0.0336936695265633,1,1,1,"cutinase activity","MF"
"71","GO:1901683",0.0339784299304723,1,1,1,"arsenate ion transmembrane transporter activity","MF"
"72","GO:0009931",0.0352248195621111,0.990457435271487,5,60,"calcium-dependent protein serine/threonine kinase activity","MF"
"73","GO:0004683",0.0353912981063821,0.990400308605769,5,60,"calmodulin-dependent protein kinase activity","MF"
"74","GO:0070524",0.0357863980096891,1,1,1,"11-beta-hydroxysteroid dehydrogenase (NADP+) activity","MF"
"75","GO:0072555",0.0357863980096891,1,1,1,"17-beta-ketosteroid reductase activity","MF"
"76","GO:0072582",0.0357863980096891,1,1,1,"17-beta-hydroxysteroid dehydrogenase (NADP+) activity","MF"
"77","GO:0015171",0.0357869439015905,0.990278480539564,5,58,"amino acid transmembrane transporter activity","MF"
"78","GO:0010427",0.0360176842145698,0.994528882237514,3,16,"abscisic acid binding","MF"
"79","GO:0015183",0.038298067098144,1,1,1,"L-aspartate transmembrane transporter activity","MF"
"80","GO:0042283",0.0390658582694353,1,1,1,"dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase activity","MF"
"81","GO:0045480",0.0407610828183315,1,1,1,"galactose oxidase activity","MF"
"82","GO:0015169",0.0433296343320002,1,1,1,"glycerol-3-phosphate transmembrane transporter activity","MF"
"83","GO:0008081",0.0490890012544664,0.995233653920309,2,10,"phosphoric diester hydrolase activity","MF"
"84","GO:0051213",0.0492646449815965,0.978924558658475,9,122,"dioxygenase activity","MF"
"85","GO:0046910",0.0509242063091571,0.982820900737535,6,59,"pectinesterase inhibitor activity","MF"
"86","GO:0008453",0.0515771160333758,0.994700540376746,2,12,"alanine-glyoxylate transaminase activity","MF"
"87","GO:0016757",0.0536783202447596,0.965923307450993,26,555,"transferase activity, transferring glycosyl groups","MF"
"88","GO:0004020",0.054461286575526,0.994397799101443,2,10,"adenylylsulfate kinase activity","MF"
"89","GO:0016772",0.0566286092650767,0.994165423152126,2,9,"transferase activity, transferring phosphorus-containing groups","MF"
"90","GO:0004048",0.0568466265809146,0.999169114380889,1,2,"anthranilate phosphoribosyltransferase activity","MF"
"91","GO:0005345",0.0574613746048572,0.989142674028939,3,21,"purine nucleobase transmembrane transporter activity","MF"
"92","GO:0080097",0.0583764504358025,0.999123090379741,1,2,"L-tryptophan:pyruvate aminotransferase activity","MF"
"93","GO:0016531",0.0605939844544927,0.99351516329535,2,9,"copper chaperone activity","MF"
"94","GO:0042281",0.0667012986880967,0.998850134334039,1,2,"dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase activity","MF"
"95","GO:0008083",0.0697160909697122,0.986068191073858,3,17,"growth factor activity","MF"
"96","GO:0030598",0.0719221589668543,0.998659393276838,1,2,"rRNA N-glycosylase activity","MF"
"97","GO:0090729",0.0719221589668543,0.998659393276838,1,2,"toxin activity","MF"
"98","GO:0004864",0.0733052087625765,0.984695706247006,3,21,"protein phosphatase inhibitor activity","MF"
"99","GO:0004349",0.0759941660855032,0.998008840428647,1,3,"glutamate 5-kinase activity","MF"
"100","GO:0004350",0.0759941660855032,0.998008840428647,1,3,"glutamate-5-semialdehyde dehydrogenase activity","MF"
"101","GO:0004723",0.0773040653914997,0.989688515531622,2,16,"calcium-dependent protein serine/threonine phosphatase activity","MF"
"102","GO:0050139",0.0778007830879661,0.99842638596731,1,2,"nicotinate-N-glucosyltransferase activity","MF"
"103","GO:0004568",0.0786323753299786,0.983025474120852,3,22,"chitinase activity","MF"
"104","GO:0005344",0.0809238338627735,0.998294682334469,1,2,"oxygen carrier activity","MF"
"105","GO:0004064",0.0825039146639858,0.998225943106887,1,2,"arylesterase activity","MF"
"106","GO:0051765",0.0850271112949571,0.998113230797581,1,2,"inositol tetrakisphosphate kinase activity","MF"
"107","GO:0051766",0.0850271112949571,0.998113230797581,1,2,"inositol trisphosphate kinase activity","MF"
"108","GO:0052641",0.0867957187182271,0.998032060913146,1,2,"benzoic acid glucosyltransferase activity","MF"
"109","GO:0008446",0.0891288551236582,0.997922242072372,1,2,"GDP-mannose 4,6-dehydratase activity","MF"
"110","GO:0009927",0.0908775000069246,0.987140928319202,2,12,"histidine phosphotransfer kinase activity","MF"
"111","GO:0033946",0.09094760566273,0.997834465888821,1,2,"xyloglucan-specific endo-beta-1,4-glucanase activity","MF"
"112","GO:0097367",0.09230049747193,0.997767936609942,1,2,"carbohydrate derivative binding","MF"
"113","GO:0015117",0.0930614474888394,0.997730051980122,1,2,"thiosulfate transmembrane transporter activity","MF"
"114","GO:0046872",0.093607199007031,0.924349026277466,88,2119,"metal ion binding","MF"
"115","GO:0004452",0.097291755042205,0.996703221650101,1,3,"isopentenyl-diphosphate delta-isomerase activity","MF"
"116","GO:0030611",0.0974535776043849,0.997504826934881,1,2,"arsenate reductase activity","MF"
"117","GO:0008825",0.0984846477242898,0.996208350776017,1,4,"cyclopropane-fatty-acyl-phospholipid synthase activity","MF"
"118","GO:0004451",0.0986528509307917,0.996608122507525,1,3,"isocitrate lyase activity","MF"
"119","GO:0008810",0.0999483808633333,0.984465229127788,2,17,"cellulase activity","MF"
"120","GO:0004112",0.099955995918313,0.997371484014952,1,2,"cyclic-nucleotide phosphodiesterase activity","MF"
"121","GO:0042626",0.10045111554397,0.962991943675656,5,97,"ATPase activity, coupled to transmembrane movement of substances","MF"
"122","GO:0004712",0.104085446788578,0.961346726289309,5,87,"protein serine/threonine/tyrosine kinase activity","MF"
"123","GO:0015301",0.10569698696944,0.982803516457558,2,20,"anion:anion antiporter activity","MF"
"124","GO:0052716",0.107042696671886,0.98260084707225,2,18,"hydroquinone:oxygen oxidoreductase activity","MF"
"125","GO:0004333",0.108255907022227,0.995398434691834,1,4,"fumarate hydratase activity","MF"
"126","GO:0004612",0.109375098286758,0.995300418888702,1,4,"phosphoenolpyruvate carboxykinase (ATP) activity","MF"
"127","GO:0016624",0.112205622644884,0.99504768379115,1,4,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor","MF"
"128","GO:0004113",0.114287387997299,0.995413380669588,1,3,"2',3'-cyclic-nucleotide 3'-phosphodiesterase activity","MF"
"129","GO:0038023",0.118090841735387,0.969376256026494,3,25,"signaling receptor activity","MF"
"130","GO:1990585",0.11863424414347,0.994447754189104,1,4,"hydroxyproline O-arabinosyltransferase activity","MF"
