"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0005576",1.83409321016032e-19,1,171,2180,"extracellular region","CC"
"2","GO:0005886",2.64716461548772e-05,0.999981932786532,186,4166,"plasma membrane","CC"
"3","GO:0009505",2.96864709832011e-05,0.999988617060215,29,347,"plant-type cell wall","CC"
"4","GO:0005615",6.69548045031787e-05,0.999980244075601,18,139,"extracellular space","CC"
"5","GO:0016021",0.000350798137467863,0.999737177361293,231,5100,"integral component of membrane","CC"
"6","GO:0016328",0.00043806585861111,0.99999044777033,3,6,"lateral plasma membrane","CC"
"7","GO:0031464",0.00252318091879229,0.999874625594891,3,9,"Cul4A-RING E3 ubiquitin ligase complex","CC"
"8","GO:0005901",0.00510358352493957,0.999926898740895,2,3,"caveola","CC"
"9","GO:0010005",0.00514134644354274,0.999418816303816,4,17,"cortical microtubule, transverse to long axis","CC"
"10","GO:0005887",0.00608612719108695,0.997676727274868,13,190,"integral component of plasma membrane","CC"
"11","GO:0090406",0.00910562586734707,0.997930470694529,6,54,"pollen tube","CC"
"12","GO:0000148",0.0140140393811206,0.999251006521235,2,18,"1,3-beta-D-glucan synthase complex","CC"
"13","GO:0005834",0.0161163301073654,0.99524675354798,7,84,"heterotrimeric G-protein complex","CC"
"14","GO:0048046",0.0165272166586939,0.990208813407484,30,501,"apoplast","CC"
"15","GO:0009530",0.0210634310804373,0.998873671028925,2,6,"primary cell wall","CC"
"16","GO:0009930",0.0281894327340911,1,1,1,"longitudinal side of cell surface","CC"
"17","GO:0044611",0.0284086830536443,0.997892087895021,2,12,"nuclear pore inner ring","CC"
"18","GO:0019897",0.030914082817864,0.997965592154921,2,6,"extrinsic component of plasma membrane","CC"
"19","GO:0005618",0.0358841830728506,0.97730088845178,30,560,"cell wall","CC"
"20","GO:0032807",0.0435685269790164,0.999515297578176,1,2,"DNA ligase IV complex","CC"
"21","GO:0009514",0.0450778664169423,0.995653202643065,2,13,"glyoxysome","CC"
"22","GO:0045282",0.0528304569637989,0.999283877683857,1,2,"plasma membrane succinate dehydrogenase complex","CC"
"23","GO:0031225",0.0605782351691506,0.966209965266342,16,220,"anchored component of membrane","CC"
"24","GO:0009506",0.0621032311579133,0.954382762053342,51,1214,"plasmodesma","CC"
"25","GO:0005874",0.0622598766658229,0.969373915157764,11,220,"microtubule","CC"
"26","GO:0098590",0.0907430752349667,0.997141069580282,1,3,"plasma membrane region","CC"
"27","GO:0009897",0.0932979624818817,0.996974131689714,1,3,"external side of plasma membrane","CC"
"28","GO:0009504",0.1008911054428,0.968199033313148,4,57,"cell plate","CC"
"29","GO:0043674",0.100902966739375,0.996447820753942,1,3,"columella","CC"
"30","GO:0045239",0.10184475172391,0.995939109673466,1,4,"tricarboxylic acid cycle enzyme complex","CC"
"31","GO:0045335",0.103439817165882,0.996262406208538,1,3,"phagocytic vesicle","CC"
"32","GO:0035618",0.109551248136795,0.995284922982934,1,4,"root hair","CC"
"33","GO:0005871",0.114495526607963,0.961884970948513,4,83,"kinesin complex","CC"
"34","GO:0031616",0.118829210736578,0.994429029472892,1,4,"spindle pole centrosome","CC"
"35","GO:0032133",0.118829210736578,0.994429029472892,1,4,"chromosome passenger complex","CC"
"36","GO:0012505",0.120157330081165,0.948665758631743,6,97,"endomembrane system","CC"
"37","GO:0005955",0.139728755499823,0.991724870088899,1,5,"calcineurin complex","CC"
"38","GO:0005789",0.140042707941992,0.904705421691195,22,495,"endoplasmic reticulum membrane","CC"
"39","GO:0032432",0.147763615272559,0.990342660621375,1,6,"actin filament bundle","CC"
"40","GO:0010330",0.149743708725952,0.990073557401094,1,6,"cellulose synthase complex","CC"
"41","GO:0009510",0.162051096191879,0.989429467425255,1,4,"plasmodesmatal desmotubule","CC"
"42","GO:0000127",0.169588230844301,0.987156920473876,1,6,"transcription factor TFIIIC complex","CC"
"43","GO:0000780",0.170187697585395,0.987062532972302,1,6,"condensed nuclear chromosome, centromeric region","CC"
"44","GO:0070461",0.170715361172649,0.98636323136422,1,8,"SAGA-type complex","CC"
"45","GO:0005575",0.183814801121032,0.868686898408574,24,392,"cellular_component","CC"
"46","GO:0000139",0.189202993711192,0.872703641928899,17,430,"Golgi membrane","CC"
"47","GO:0051233",0.20726319215476,0.979968317938398,1,7,"spindle midzone","CC"
"48","GO:0071011",0.215816062440276,0.97819752215645,1,7,"precatalytic spliceosome","CC"
"49","GO:0000325",0.233451302619009,0.914335968874043,3,57,"plant-type vacuole","CC"
"50","GO:0015629",0.246066287496732,0.90880180537595,3,36,"actin cytoskeleton","CC"
"51","GO:0009531",0.249130202077965,0.969500235228311,1,9,"secondary cell wall","CC"
"52","GO:0019005",0.253135024135334,0.874876080695569,5,95,"SCF ubiquitin ligase complex","CC"
"53","GO:0043541",0.259707102308239,0.968606983248766,1,6,"UDP-N-acetylglucosamine transferase complex","CC"
"54","GO:0030286",0.264769242805226,0.96643810282243,1,7,"dynein complex","CC"
"55","GO:0000145",0.267957819982984,0.920584339599566,2,36,"exocyst","CC"
"56","GO:0005880",0.277743139144062,0.961594838503808,1,9,"nuclear microtubule","CC"
"57","GO:0000794",0.283904006585513,0.958365005284494,1,13,"condensed nuclear chromosome","CC"
"58","GO:0031209",0.290575521988509,0.956526743013284,1,12,"SCAR complex","CC"
"59","GO:0070062",0.296805917194799,0.953985554541157,1,14,"extracellular exosome","CC"
"60","GO:0031461",0.299440819165509,0.953989259237158,1,11,"cullin-RING ubiquitin ligase complex","CC"
"61","GO:0009705",0.3013664725901,0.830266853836888,6,139,"plant-type vacuole membrane","CC"
"62","GO:0016020",0.302670805549986,0.738196697571877,78,2107,"membrane","CC"
"63","GO:0000243",0.32650678894824,0.944599190847529,1,11,"commitment complex","CC"
"64","GO:0017119",0.330812257580798,0.941676741956199,1,15,"Golgi transport complex","CC"
"65","GO:0042406",0.334504553727489,0.942775071733775,1,9,"extrinsic component of endoplasmic reticulum membrane","CC"
"66","GO:0012511",0.335352628931344,0.943255432309915,1,8,"monolayer-surrounded lipid storage body","CC"
"67","GO:0009501",0.335981394842125,0.939964806968458,1,14,"amyloplast","CC"
"68","GO:0042646",0.337558365457232,0.940996724872618,1,10,"plastid nucleoid","CC"
"69","GO:0030665",0.373760086029741,0.924018974548459,1,15,"clathrin-coated vesicle membrane","CC"
"70","GO:0009840",0.388549118658005,0.918068623092939,1,13,"chloroplastic endopeptidase Clp complex","CC"
"71","GO:0005956",0.403247903790935,0.911100614434124,1,13,"protein kinase CK2 complex","CC"
"72","GO:0045273",0.415146678308491,0.90576030723161,1,12,"respiratory chain complex II","CC"
"73","GO:0009707",0.421527574183595,0.789856650452546,3,64,"chloroplast outer membrane","CC"
"74","GO:0005787",0.428976245569647,0.899354050197354,1,11,"signal peptidase complex","CC"
"75","GO:0009986",0.429922717941585,0.895590931760547,1,18,"cell surface","CC"
"76","GO:0005622",0.441493089608192,0.68256090694747,10,245,"intracellular","CC"
"77","GO:0016324",0.445936656996257,0.887064715746401,1,17,"apical plasma membrane","CC"
"78","GO:0008180",0.451882870860507,0.883342274651145,1,18,"COP9 signalosome","CC"
"79","GO:0000418",0.458462337809052,0.880666196266727,1,15,"RNA polymerase IV complex","CC"
"80","GO:0009527",0.459287895191668,0.881262163563662,1,13,"plastid outer membrane","CC"
"81","GO:0005876",0.460309804893904,0.878415921047649,1,18,"spindle microtubule","CC"
"82","GO:0042721",0.473703267884642,0.872701876928737,1,13,"TIM22 mitochondrial import inner membrane insertion complex","CC"
"83","GO:0031965",0.488944918679534,0.776080378109521,2,58,"nuclear membrane","CC"
"84","GO:0005749",0.495479362681068,0.857790703401648,1,15,"mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone)","CC"
"85","GO:0005884",0.49597958113621,0.854435200398099,1,24,"actin filament","CC"
"86","GO:0005779",0.510575712588566,0.845909017141499,1,19,"integral component of peroxisomal membrane","CC"
"87","GO:0031201",0.526010404245801,0.700859377666025,3,72,"SNARE complex","CC"
"88","GO:0031012",0.533584385288771,0.831467425905319,1,15,"extracellular matrix","CC"
"89","GO:0005905",0.546077452786629,0.818807575890689,1,23,"clathrin-coated pit","CC"
"90","GO:0005736",0.54951965852833,0.81749422062022,1,19,"RNA polymerase I complex","CC"
"91","GO:0005665",0.554930966666601,0.813289383879752,1,19,"RNA polymerase II, core complex","CC"
"92","GO:0000419",0.561991242171387,0.807301689119995,1,20,"RNA polymerase V complex","CC"
"93","GO:0043231",0.588601757111795,0.562929571182724,7,204,"intracellular membrane-bounded organelle","CC"
"94","GO:0030136",0.594893716734028,0.776711846341598,1,31,"clathrin-coated vesicle","CC"
"95","GO:0030076",0.60524269546863,0.771479641208476,1,18,"light-harvesting complex","CC"
"96","GO:0031982",0.61550488021559,0.759014573555238,1,26,"vesicle","CC"
"97","GO:0000159",0.629500644133047,0.743816693056937,1,35,"protein phosphatase type 2A complex","CC"
"98","GO:0005802",0.643964448335836,0.468663275183433,12,421,"trans-Golgi network","CC"
"99","GO:0071004",0.660026409362007,0.713022716824143,1,33,"U2-type prespliceosome","CC"
"100","GO:0090575",0.670067436460337,0.703894922457757,1,26,"RNA polymerase II transcription factor complex","CC"
"101","GO:0031410",0.69112648222089,0.678697699024258,1,32,"cytoplasmic vesicle","CC"
"102","GO:0005685",0.743296129779234,0.612881240131142,1,35,"U1 snRNP","CC"
"103","GO:0032580",0.74971598553278,0.603774682359575,1,37,"Golgi cisterna membrane","CC"
"104","GO:0019898",0.749737055872173,0.603570882812928,1,38,"extrinsic component of membrane","CC"
"105","GO:0005788",0.754028577262078,0.596508836412373,1,46,"endoplasmic reticulum lumen","CC"
"106","GO:0005813",0.755682877818012,0.595333813263693,1,38,"centrosome","CC"
"107","GO:0005666",0.764179498014816,0.583877600143657,1,35,"RNA polymerase III complex","CC"
"108","GO:0009522",0.772623749440345,0.573806124771973,1,27,"photosystem I","CC"
"109","GO:0005744",0.775343349782412,0.568565451253256,1,31,"TIM23 mitochondrial import inner membrane translocase complex","CC"
"110","GO:0005794",0.77788659966623,0.272281054666439,41,1363,"Golgi apparatus","CC"
"111","GO:0005773",0.7947846846894,0.268150764493541,24,801,"vacuole","CC"
"112","GO:0030173",0.824018305960729,0.487476301954139,1,49,"integral component of Golgi membrane","CC"
"113","GO:0005778",0.826894682329494,0.482585614432846,1,48,"peroxisomal membrane","CC"
"114","GO:0005856",0.844050914709984,0.358663199365187,2,102,"cytoskeleton","CC"
"115","GO:0031966",0.844155613091942,0.359822248297218,2,73,"mitochondrial membrane","CC"
"116","GO:0080008",0.845487288925927,0.315823305816268,3,163,"Cul4-RING E3 ubiquitin ligase complex","CC"
"117","GO:0005768",0.84716007787269,0.236556983923325,10,416,"endosome","CC"
"118","GO:0010008",0.867657888716906,0.317824444604637,2,113,"endosome membrane","CC"
"119","GO:0046658",0.872143933635015,0.252344616201464,4,143,"anchored component of plasma membrane","CC"
"120","GO:0005819",0.879006851057594,0.38081226397678,1,68,"spindle","CC"
"121","GO:0030176",0.88321143810088,0.372547539462683,1,58,"integral component of endoplasmic reticulum membrane","CC"
"122","GO:0005743",0.905401995809284,0.197371535530056,4,177,"mitochondrial inner membrane","CC"
"123","GO:0009536",0.910346278617234,0.149072951063979,10,408,"plastid","CC"
"124","GO:0031902",0.918218894963725,0.290344963279768,1,73,"late endosome membrane","CC"
"125","GO:0005774",0.930207962202515,0.107074022601808,17,669,"vacuolar membrane","CC"
"126","GO:0005783",0.954939798901308,0.066877836166006,25,961,"endoplasmic reticulum","CC"
"127","GO:0009524",0.956549761314043,0.181928371938998,1,108,"phragmoplast","CC"
"128","GO:0005777",0.959336509759702,0.0853868080615255,6,300,"peroxisome","CC"
"129","GO:0000502",0.96254233634174,0.162776527626672,1,98,"proteasome complex","CC"
"130","GO:0015934",0.962711089019757,0.163291485949995,1,65,"large ribosomal subunit","CC"
"131","GO:0005623",0.963112479099947,0.160929520815535,1,96,"cell","CC"
"132","GO:0010287",0.972290636252206,0.129485307333731,1,81,"plastoglobule","CC"
"133","GO:0031969",0.975859563628372,0.0827802825174866,2,168,"chloroplast membrane","CC"
"134","GO:0005737",0.975939176240997,0.0291703861307158,174,5641,"cytoplasm","CC"
"135","GO:1990904",0.982393800845095,0.0901806745386176,1,111,"ribonucleoprotein complex","CC"
"136","GO:0005747",0.987319518499388,0.0694520448815763,1,97,"mitochondrial respiratory chain complex I","CC"
"137","GO:0022625",0.998763117348347,0.00640023937478355,2,173,"cytosolic large ribosomal subunit","CC"
"138","GO:0022626",0.998809160649338,0.00494769445578557,3,241,"cytosolic ribosome","CC"
"139","GO:0009534",0.999688492934236,0.00184861721816373,2,241,"chloroplast thylakoid","CC"
"140","GO:0005634",0.999823039481914,0.00022709193181155,362,11678,"nucleus","CC"
"141","GO:0009579",0.999984548838964,0.00019157019190824,1,241,"thylakoid","CC"
"142","GO:0009535",0.999993690145236,3.29748495060472e-05,4,428,"chloroplast thylakoid membrane","CC"
"143","GO:0009570",0.999999716633382,1.16481743719367e-06,8,832,"chloroplast stroma","CC"
"144","GO:0009941",0.999999768492359,1.25065818512394e-06,5,683,"chloroplast envelope","CC"
"145","GO:0005739",0.999999776625835,3.73263402368804e-07,103,3912,"mitochondrion","CC"
"146","GO:0005840",0.999999860759138,1.42468497737191e-06,2,361,"ribosome","CC"
"147","GO:0005730",0.999999969322699,3.37183931754997e-07,2,536,"nucleolus","CC"
"148","GO:0005829",0.999999992804009,1.54904871605672e-08,49,2799,"cytosol","CC"
"149","GO:0010598",0.999999999907525,0.809133917166788,0,4,"NAD(P)H dehydrogenase complex (plastoquinone)","CC"
"150","GO:0035102",0.999999999915433,0.881639391553051,0,4,"PRC1 complex","CC"
"151","GO:0016461",0.999999999918992,0.943506115481895,0,4,"unconventional myosin complex","CC"
"152","GO:0009330",0.999999999919515,0.913926598865188,0,4,"DNA topoisomerase complex (ATP-hydrolyzing)","CC"
