category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,Annotation,ontology
path:ath04075,2.0207146663744917e-11,1,33,286,Plant hormone signal transduction,KEGG
path:ath00940,2.1330039717228433e-11,1,25,168,Phenylpropanoid biosynthesis,KEGG
path:ath04626,1.996386879866423e-6,0.9999995011126801,21,217,Plant-pathogen interaction,KEGG
path:ath01110,1.1207727090077978e-5,0.9999948171533257,60,1292,Biosynthesis of secondary metabolites,KEGG
path:ath04016,6.819809921092885e-5,0.999982740903005,15,158,MAPK signaling pathway - plant,KEGG
path:ath00040,2.4341295731798292e-4,0.9999560213159493,9,76,Pentose and glucuronate interconversions,KEGG
path:ath01100,0.005380107323358012,0.9965876387379506,91,2631,Metabolic pathways,KEGG
path:ath04712,0.04486994260349303,0.9893616181715703,4,48,Circadian rhythm - plant,KEGG
path:ath00130,0.05636911401586019,0.9855768548549262,4,51,Ubiquinone and other terpenoid-quinone biosynthesis,KEGG
path:ath00270,0.07918173899116364,0.9650338145926333,8,162,Cysteine and methionine metabolism,KEGG
path:ath00514,0.08156936594115036,0.9886849869653194,2,19,Other types of O-glycan biosynthesis,KEGG
path:ath00250,0.09966452660168454,0.9687760647160977,4,72,"Alanine, aspartate and glutamate metabolism",KEGG
path:ath00630,0.10048976209450305,0.9593286493448341,6,119,Glyoxylate and dicarboxylate metabolism,KEGG
path:ath00260,0.11624185246384827,0.9557414738781497,5,94,"Glycine, serine and threonine metabolism",KEGG
path:ath00900,0.17600621664255328,0.9324128839050023,4,70,Terpenoid backbone biosynthesis,KEGG
path:ath00591,0.17948015390212876,0.9849403206173718,1,8,Linoleic acid metabolism,KEGG
path:ath00052,0.1863438005989424,0.9388058554944514,3,61,Galactose metabolism,KEGG
path:ath00910,0.1894812129228282,0.9374359993559012,3,56,Nitrogen metabolism,KEGG
path:ath00510,0.24555814993709213,0.9081110954924402,3,62,N-Glycan biosynthesis,KEGG
path:ath00920,0.270404553229343,0.8940040398548781,3,60,Sulfur metabolism,KEGG
path:ath03450,0.3082849192927183,0.9497171160263276,1,17,Non-homologous end-joining,KEGG
path:ath00280,0.31618055719906213,0.8651841321664046,3,78,"Valine, leucine and isoleucine degradation",KEGG
path:ath00020,0.3312880910554561,0.8552964104075418,3,78,Citrate cycle (TCA cycle),KEGG
path:ath00592,0.3320498219631857,0.8863470159773226,2,44,alpha-Linolenic acid metabolism,KEGG
path:ath00261,0.36257802095219893,0.9286682245746674,1,17,Monobactam biosynthesis,KEGG
path:ath00300,0.3681067258418508,0.9260612741426042,1,18,Lysine biosynthesis,KEGG
path:ath01210,0.41713951533253546,0.7933086568478422,3,90,2-Oxocarboxylic acid metabolism,KEGG
path:ath00520,0.4277072773414183,0.742774472509112,5,152,Amino sugar and nucleotide sugar metabolism,KEGG
path:ath00908,0.43622577197305223,0.892075048714542,1,20,Zeatin biosynthesis,KEGG
path:ath00071,0.4481087912721836,0.8086841788068817,2,61,Fatty acid degradation,KEGG
path:ath00511,0.4500452184981325,0.8827656086294072,1,29,Other glycan degradation,KEGG
path:ath00230,0.4600572602217855,0.7329875912949912,4,124,Purine metabolism,KEGG
path:ath00590,0.4658576505457778,0.8750039413318131,1,20,Arachidonic acid metabolism,KEGG
path:ath04070,0.4995581975992811,0.7247813794569231,3,105,Phosphatidylinositol signaling system,KEGG
path:ath01200,0.5126548208670454,0.6175748077326643,10,362,Carbon metabolism,KEGG
path:ath00010,0.5170947183309589,0.6814649452840617,4,145,Glycolysis / Gluconeogenesis,KEGG
path:ath04130,0.5172229944856388,0.7540946005998428,2,52,SNARE interactions in vesicular transport,KEGG
path:ath00966,0.5414130262642636,0.8225389982667833,1,25,Glucosinolate biosynthesis,KEGG
path:ath00290,0.548705009498795,0.8161587518465343,1,29,"Valine, leucine and isoleucine biosynthesis",KEGG
path:ath00400,0.5646370943717236,0.7105197507184526,2,69,"Phenylalanine, tyrosine and tryptophan biosynthesis",KEGG
path:ath00196,0.5755667467560557,0.7969665683242778,1,20,Photosynthesis - antenna proteins,KEGG
path:ath00565,0.5937387122367723,0.7774267088347815,1,39,Ether lipid metabolism,KEGG
path:ath00600,0.6024987586875217,0.7694699529082629,1,40,Sphingolipid metabolism,KEGG
path:ath00620,0.6080746489998102,0.6201464041161949,3,126,Pyruvate metabolism,KEGG
path:ath00380,0.628178117744081,0.6469213455824369,2,76,Tryptophan metabolism,KEGG
path:ath00960,0.6284252868671005,0.7456026196176568,1,36,"Tropane, piperidine and pyridine alkaloid biosynthesis",KEGG
path:ath04146,0.6299737185052163,0.5970274648343394,3,123,Peroxisome,KEGG
path:ath00051,0.6327893364928927,0.6421344313220843,2,74,Fructose and mannose metabolism,KEGG
path:ath00500,0.6413976972078104,0.5551408577621071,4,182,Starch and sucrose metabolism,KEGG
path:ath00100,0.6555331667845268,0.7176639608324409,1,40,Steroid biosynthesis,KEGG
path:ath03060,0.6701117049723782,0.601041731336261,2,72,Protein export,KEGG
path:ath00770,0.6717341633895191,0.7003946157600869,1,39,Pantothenate and CoA biosynthesis,KEGG
path:ath00564,0.6867719865220947,0.5327515712591986,3,138,Glycerophospholipid metabolism,KEGG
path:ath00220,0.7133519750343692,0.6508325473989642,1,48,Arginine biosynthesis,KEGG
path:ath00061,0.7335449484872854,0.6247469557989814,1,52,Fatty acid biosynthesis,KEGG
path:ath03018,0.7402628523594221,0.4668724727747312,3,144,RNA degradation,KEGG
path:ath00640,0.7456870917885408,0.6082912102334531,1,55,Propanoate metabolism,KEGG
path:ath00350,0.75475557596774,0.5960626115299009,1,52,Tyrosine metabolism,KEGG
path:ath03020,0.7719691244411391,0.572312049779331,1,44,RNA polymerase,KEGG
path:ath03410,0.8168912094177938,0.49989359277879475,1,61,Base excision repair,KEGG
path:ath00053,0.8241136674174295,0.4873882627865205,1,63,Ascorbate and aldarate metabolism,KEGG
path:ath04120,0.870347565380209,0.2775010486921785,3,175,Ubiquitin mediated proteolysis,KEGG
path:ath00190,0.871814579078391,0.2754594502451372,3,147,Oxidative phosphorylation,KEGG
path:ath01212,0.8860967928010619,0.3662110257419915,1,83,Fatty acid metabolism,KEGG
path:ath00710,0.8947016345176589,0.34714916146462044,1,83,Carbon fixation in photosynthetic organisms,KEGG
path:ath00030,0.8963212442535533,0.3437359087915161,1,77,Pentose phosphate pathway,KEGG
path:ath00460,0.9036854891679948,0.3263307097490467,1,87,Cyanoamino acid metabolism,KEGG
path:ath00562,0.9042943726117896,0.3245286199891634,1,99,Inositol phosphate metabolism,KEGG
path:ath00480,0.9352037115600748,0.18541835067459628,2,129,Glutathione metabolism,KEGG
path:ath01230,0.9399487593652747,0.12742159369351438,5,323,Biosynthesis of amino acids,KEGG
path:ath03015,0.946845286973814,0.1581113831651948,2,185,mRNA surveillance pathway,KEGG
path:ath03008,0.9507859537480838,0.20084387658954542,1,108,Ribosome biogenesis in eukaryotes,KEGG
path:ath04145,0.9684882639783183,0.14331595259139265,1,110,Phagosome,KEGG
path:ath04141,0.9820951854029828,0.05456131749656265,3,255,Protein processing in endoplasmic reticulum,KEGG
path:ath04144,0.9960250189210942,0.026615541327435776,1,203,Endocytosis,KEGG
path:ath03013,0.9965675618546439,0.023511080630537154,1,208,RNA transport,KEGG
path:ath03040,0.999848154471495,0.0015417640453985132,1,310,Spliceosome,KEGG
path:ath03010,0.9999990719091385,8.81914477544118e-6,2,374,Ribosome,KEGG
path:ath00062,1,0.4147394380617252,0,29,Fatty acid elongation,KEGG
path:ath00072,1,0.8049008405151307,0,9,Synthesis and degradation of ketone bodies,KEGG
path:ath00073,1,0.5791773340042619,0,20,"Cutin, suberine and wax biosynthesis",KEGG
path:ath00195,1,0.15849370856688877,0,42,Photosynthesis,KEGG
path:ath00232,1,0.941799732299575,0,3,Caffeine metabolism,KEGG
path:ath00240,1,0.12782753588374668,0,72,Pyrimidine metabolism,KEGG
path:ath00310,1,0.2817770573941369,0,51,Lysine degradation,KEGG
path:ath00330,1,0.16332782075805574,0,68,Arginine and proline metabolism,KEGG
path:ath00340,1,0.49116308602401637,0,27,Histidine metabolism,KEGG
path:ath00360,1,0.22589943822283368,0,54,Phenylalanine metabolism,KEGG
path:ath00410,1,0.2841829784346939,0,51,beta-Alanine metabolism,KEGG
path:ath00430,1,0.5834152776592836,0,20,Taurine and hypotaurine metabolism,KEGG
path:ath00440,1,0.70662046812228,0,13,Phosphonate and phosphinate metabolism,KEGG
path:ath00450,1,0.5325120914980626,0,25,Selenocompound metabolism,KEGG
path:ath00531,1,0.7850930511700314,0,11,Glycosaminoglycan degradation,KEGG
path:ath00561,1,0.11077852058341817,0,88,Glycerolipid metabolism,KEGG
path:ath00563,1,0.34221870951282973,0,38,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,KEGG
path:ath00601,1,0.918892549728816,0,2,Glycosphingolipid biosynthesis - lacto and neolacto series,KEGG
path:ath00603,1,0.7974377427782251,0,8,Glycosphingolipid biosynthesis - globo and isoglobo series,KEGG
path:ath00604,1,0.8807903484316021,0,6,Glycosphingolipid biosynthesis - ganglio series,KEGG
path:ath00650,1,0.46178407614202505,0,30,Butanoate metabolism,KEGG
path:ath00660,1,0.7871425774460288,0,9,C5-Branched dibasic acid metabolism,KEGG
path:ath00670,1,0.44110276110529356,0,30,One carbon pool by folate,KEGG
path:ath00730,1,0.407675212714391,0,27,Thiamine metabolism,KEGG
path:ath00740,1,0.4617785294305989,0,24,Riboflavin metabolism,KEGG
path:ath00750,1,0.5574202377435421,0,17,Vitamin B6 metabolism,KEGG
path:ath00760,1,0.5556782678359633,0,22,Nicotinate and nicotinamide metabolism,KEGG
path:ath00780,1,0.5074334412835787,0,23,Biotin metabolism,KEGG
path:ath00785,1,0.7913898063002199,0,6,Lipoic acid metabolism,KEGG
path:ath00790,1,0.3161917105318711,0,42,Folate biosynthesis,KEGG
path:ath00860,1,0.14095389616480575,0,65,Porphyrin and chlorophyll metabolism,KEGG
path:ath00901,1,0.8920432491194412,0,4,Indole alkaloid biosynthesis,KEGG
path:ath00902,1,0.8262497697744968,0,6,Monoterpenoid biosynthesis,KEGG
path:ath00903,1,0.7939567124254313,0,9,Limonene and pinene degradation,KEGG
path:ath00904,1,0.6203277669162187,0,16,Diterpenoid biosynthesis,KEGG
path:ath00905,1,0.7425260029568002,0,12,Brassinosteroid biosynthesis,KEGG
path:ath00906,1,0.47205093622541044,0,29,Carotenoid biosynthesis,KEGG
path:ath00909,1,0.5995571384853903,0,22,Sesquiterpenoid and triterpenoid biosynthesis,KEGG
path:ath00941,1,0.46137591421143814,0,21,Flavonoid biosynthesis,KEGG
path:ath00942,1,0.9238300281023094,0,2,Anthocyanin biosynthesis,KEGG
path:ath00944,1,0.9080650183804005,0,3,Flavone and flavonol biosynthesis,KEGG
path:ath00945,1,0.7227185156374366,0,9,"Stilbenoid, diarylheptanoid and gingerol biosynthesis",KEGG
path:ath00950,1,0.5584426646192964,0,24,Isoquinoline alkaloid biosynthesis,KEGG
path:ath00965,1,0.9342030363487135,0,2,Betalain biosynthesis,KEGG
path:ath00970,1,0.2218053420134366,0,64,Aminoacyl-tRNA biosynthesis,KEGG
path:ath01040,1,0.4934931623388787,0,27,Biosynthesis of unsaturated fatty acids,KEGG
path:ath01502,1,0.9707933557903802,0,1,Vancomycin resistance,KEGG
path:ath02010,1,0.6179144929250636,0,26,ABC transporters,KEGG
path:ath03022,1,0.1665478828023252,0,66,Basal transcription factors,KEGG
path:ath03030,1,0.2040589295653531,0,57,DNA replication,KEGG
path:ath03050,1,0.1005092381656256,0,80,Proteasome,KEGG
path:ath03420,1,0.10268420332898842,0,84,Nucleotide excision repair,KEGG
path:ath03430,1,0.27565555925758417,0,44,Mismatch repair,KEGG
path:ath03440,1,0.1271194071574592,0,77,Homologous recombination,KEGG
path:ath04122,1,0.41787185148242434,0,25,Sulfur relay system,KEGG
path:ath04136,1,0.16515910837634246,0,63,Autophagy - other,KEGG
path:ath04933,1,0.45341752600968366,0,26,AGE-RAGE signaling pathway in diabetic complications,KEGG
