"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0055114",1.11415428160109e-18,1,126,1349,"oxidation-reduction process","BP"
"2","GO:0010345",8.88883976159953e-12,1,11,20,"suberin biosynthetic process","BP"
"3","GO:0009414",6.64664420096393e-11,1,46,399,"response to water deprivation","BP"
"4","GO:0009408",1.92817649441161e-10,0.999999999965874,30,196,"response to heat","BP"
"5","GO:0009834",6.73160942646084e-09,0.999999999184601,16,66,"plant-type secondary cell wall biogenesis","BP"
"6","GO:0006749",1.17786364433091e-08,0.999999998537902,16,57,"glutathione metabolic process","BP"
"7","GO:0006979",2.79643840480774e-07,0.999999902093484,39,376,"response to oxidative stress","BP"
"8","GO:0009407",2.83174669784942e-07,0.999999961431429,14,52,"toxin catabolic process","BP"
"9","GO:0042542",9.2087568523147e-07,0.99999983002093,16,88,"response to hydrogen peroxide","BP"
"10","GO:0009611",1.37167288320446e-06,0.999999579926355,27,250,"response to wounding","BP"
"11","GO:2000652",1.85316470661235e-06,0.999999877293391,8,21,"regulation of secondary cell wall biogenesis","BP"
"12","GO:0046274",2.6212260855098e-06,0.999999855838045,7,19,"lignin catabolic process","BP"
"13","GO:0051259",7.48154194382869e-06,0.999999563319514,7,15,"protein complex oligomerization","BP"
"14","GO:0031408",1.98499554823278e-05,0.999998378601982,7,25,"oxylipin biosynthetic process","BP"
"15","GO:0035336",4.50347901238759e-05,0.999998936331468,4,8,"long-chain fatty-acyl-CoA metabolic process","BP"
"16","GO:0006857",8.19674050476216e-05,0.999985558791448,10,65,"oligopeptide transport","BP"
"17","GO:0009644",8.79023337864287e-05,0.999981303348647,12,73,"response to high light intensity","BP"
"18","GO:0009737",9.39507216959682e-05,0.999955306418762,40,549,"response to abscisic acid","BP"
"19","GO:0000103",0.000110485207872425,0.999990882853821,6,19,"sulfate assimilation","BP"
"20","GO:0055085",0.000115010036258697,0.999952071523533,29,399,"transmembrane transport","BP"
"21","GO:0016099",0.000170055206583499,0.999998465105043,3,4,"monoterpenoid biosynthetic process","BP"
"22","GO:0045490",0.000171261984189652,0.999966931506846,10,65,"pectin catabolic process","BP"
"23","GO:0010143",0.000191379319033796,0.99998689035149,5,17,"cutin biosynthetic process","BP"
"24","GO:0034220",0.00019585935551766,0.999997276455855,3,5,"ion transmembrane transport","BP"
"25","GO:0006869",0.000349858763798265,0.99990037066986,14,107,"lipid transport","BP"
"26","GO:0098869",0.000386518815289424,0.999970812551693,5,14,"cellular oxidant detoxification","BP"
