"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0006468",4.01330102607394e-12,1,73,1021,"protein phosphorylation","BP"
"2","GO:0009664",6.60636389270569e-10,0.999999999933115,17,66,"plant-type cell wall organization","BP"
"3","GO:0042744",7.83706522177627e-10,0.999999999882227,21,103,"hydrogen peroxide catabolic process","BP"
"4","GO:0006952",2.19665177051989e-09,1,57,703,"defense response","BP"
"5","GO:0016310",6.15824716377908e-07,0.999999773023626,40,514,"phosphorylation","BP"
"6","GO:0071555",3.32993050494713e-06,0.999998948154481,26,285,"cell wall organization","BP"
"7","GO:0009733",2.4859263022543e-05,0.999990763564729,28,315,"response to auxin","BP"
"8","GO:0048765",2.99236602503702e-05,0.999998008616934,6,21,"root hair cell differentiation","BP"
"9","GO:0048767",7.36588975335003e-05,0.999987131174163,10,69,"root hair elongation","BP"
"10","GO:0071456",0.000129377355952289,0.999985566896961,7,26,"cellular response to hypoxia","BP"
"11","GO:0010105",0.000167169532696375,0.999988727199577,5,18,"negative regulation of ethylene-activated signaling pathway","BP"
"12","GO:0031640",0.000219504371868542,0.999963677249251,9,33,"killing of cells of other organism","BP"
"13","GO:0050832",0.000312281855965948,0.999874563759534,24,271,"defense response to fungus","BP"
"14","GO:0060866",0.000317600266436408,0.999985732468717,4,10,"leaf abscission","BP"
"15","GO:0045490",0.000329106677563171,0.99993739175563,9,65,"pectin catabolic process","BP"
"16","GO:0009626",0.000431045143159919,0.999895744030033,11,98,"plant-type hypersensitive response","BP"
"17","GO:0016042",0.000589186991909195,0.999829983292623,13,131,"lipid catabolic process","BP"
"18","GO:0006817",0.000600980078169682,0.999942894247412,5,25,"phosphate ion transport","BP"
"19","GO:0009627",0.000640905926336526,0.999882378259439,8,52,"systemic acquired resistance","BP"
"20","GO:1901684",0.000994887493258548,1,2,2,"arsenate ion transmembrane transport","BP"
"21","GO:0000904",0.00110195780736294,1,2,2,"cell morphogenesis involved in differentiation","BP"
"22","GO:0006979",0.0011839917621879,0.999437310828463,28,376,"response to oxidative stress","BP"
"23","GO:0010215",0.00118892994606489,0.999914416976362,4,14,"cellulose microfibril organization","BP"
"24","GO:0009825",0.00150022247345664,0.999769577090087,6,40,"multidimensional cell growth","BP"
"25","GO:0080142",0.00160413781584448,0.999869162158022,4,17,"regulation of salicylic acid biosynthetic process","BP"
"26","GO:0009833",0.00171692090011861,0.999852249543541,4,21,"plant-type primary cell wall biogenesis","BP"
"27","GO:0015700",0.00177398338366503,0.99992566617386,3,8,"arsenite transport","BP"
"28","GO:0010036",0.00206446893440667,0.99998148662264,2,3,"response to boron-containing substance","BP"
"29","GO:0050829",0.00236567954485603,0.999691372238205,5,26,"defense response to Gram-negative bacterium","BP"
"30","GO:0043496",0.0023801530082014,1,2,2,"regulation of protein homodimerization activity","BP"
"31","GO:1901183",0.002660856385927,0.999972810014036,2,3,"positive regulation of camalexin biosynthetic process","BP"
"32","GO:0042545",0.00272678696215703,0.999439992121629,7,51,"cell wall modification","BP"
"33","GO:0010053",0.00291834685018552,0.999591763259818,5,31,"root epidermal cell differentiation","BP"
"34","GO:0010930",0.00417852972745753,0.999946068141001,2,3,"negative regulation of auxin mediated signaling pathway","BP"
"35","GO:0035556",0.00497802462163552,0.997921912547849,16,252,"intracellular signal transduction","BP"
"36","GO:0048232",0.00523319562009801,0.999650475617689,3,10,"male gamete generation","BP"
"37","GO:0080147",0.00537732377485664,0.99912814274293,5,32,"root hair cell development","BP"
"38","GO:0070814",0.00596185531815662,0.999582474259831,3,10,"hydrogen sulfide biosynthetic process","BP"
"39","GO:1900426",0.00657878910934266,0.999169296285795,4,22,"positive regulation of defense response to bacterium","BP"
"40","GO:0009932",0.00674143646449689,0.999466807244445,3,14,"cell tip growth","BP"
"41","GO:0007165",0.00686162495945329,0.996477264268111,24,417,"signal transduction","BP"
"42","GO:1990966",0.00738537184102791,0.999790969076536,2,5,"ATP generation from poly-ADP-D-ribose","BP"
"43","GO:0009638",0.00813181121840583,0.99887880285638,4,28,"phototropism","BP"
"44","GO:0071398",0.00887465090376464,0.999761174570214,2,4,"cellular response to fatty acid","BP"
"45","GO:0009734",0.00902318290138663,0.99611243381182,15,218,"auxin-activated signaling pathway","BP"
"46","GO:0009870",0.00956552666619566,0.998622369300114,4,27,"defense response signaling pathway, resistance gene-dependent","BP"
"47","GO:0010054",0.0102842909858247,0.99965378860386,2,5,"trichoblast differentiation","BP"
"48","GO:0007155",0.0118073139464762,0.998817346998908,3,17,"cell adhesion","BP"
"49","GO:0010112",0.0118344839980285,0.99890528918476,3,11,"regulation of systemic acquired resistance","BP"
