category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,Annotation,ontology
ARA:PWY-6842,1.9082975660427343e-4,0.99994710579143,16,71,glutathione-mediated detoxification II,BioCyc
ARA:PWY-3041,8.01718986928264e-4,0.999987638554559,3,4,monoterpene biosynthesis,BioCyc
ARA:SULFMETII-PWY,0.0020348427987667305,0.9998566922998032,4,9,sulfate reduction II (assimilatory),BioCyc
ARA:PWY-1782,0.0021584150179071032,0.9997553622557183,5,15,superpathway of indole-3-acetate conjugate biosynthesis,BioCyc
ARA:PWY-5884,0.00342229598399003,0.9994335874706903,6,22,wax esters biosynthesis I,BioCyc
ARA:PWY-6733,0.009566315428253043,0.9975992194675793,7,39,sporopollenin precursors biosynthesis,BioCyc
ARA:GLUT-REDOX-PWY,0.010771723674733603,0.9996804885366379,2,4,glutathione-glutaredoxin redox reactions,BioCyc
ARA:PWY-1001,0.012058758972563649,0.9982193684755797,4,20,cellulose biosynthesis,BioCyc
ARA:LIPASYN-PWY,0.01301189961027333,0.9954641993032638,10,72,phospholipases,BioCyc
ARA:PWYQT-4476,0.013191373748691306,0.9988582414971536,3,8,indole glucosinolate activation (herbivore attack),BioCyc
ARA:LIPAS-PWY,0.014608344800381829,0.9942359372614042,12,93,triacylglycerol degradation,BioCyc
ARA:PWY-6051,0.015914200440937897,0.9985206405546627,3,8,"2,4,6-trinitrotoluene degradation",BioCyc
ARA:PROUT-PWY,0.017769211288175647,0.9993116876113106,2,4,L-proline degradation,BioCyc
ARA:PWY-5267,0.019832280649208618,0.9979056956410474,3,9,glucosinolate activation,BioCyc
ARA:PWY-2021,0.021764026355610595,0.9975406162922547,3,10,indole-3-acetate degradation IV,BioCyc
ARA:PWY-5788,0.021764026355610595,0.9975406162922547,3,10,indole-3-acetate degradation V,BioCyc
ARA:PWY-6219,0.021764026355610595,0.9975406162922547,3,10,indole-3-acetyl-amide conjugate biosynthesis,BioCyc
