"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0005576",7.43643259219587e-22,1,186,2180,"extracellular region","CC"
"2","GO:0016020",2.20312187154017e-06,0.99999890437124,122,2107,"membrane","CC"
"3","GO:0005618",2.66387001716093e-06,0.999998887102748,47,560,"cell wall","CC"
"4","GO:0005887",7.27939281386383e-06,0.999998010052527,20,190,"integral component of plasma membrane","CC"
"5","GO:0016021",5.06229425157554e-05,0.999963097944588,254,5100,"integral component of membrane","CC"
"6","GO:0005886",8.20823322603391e-05,0.999941473190069,198,4166,"plasma membrane","CC"
"7","GO:0009505",0.000332726025499086,0.999854789416042,28,347,"plant-type cell wall","CC"
"8","GO:0048046",0.000604260028265457,0.9996927181566,37,501,"apoplast","CC"
"9","GO:0031225",0.00245207026466732,0.998920187150852,21,220,"anchored component of membrane","CC"
"10","GO:0009523",0.00511396023388825,0.999019168739341,6,31,"photosystem II","CC"
"11","GO:0009506",0.0225267906271272,0.984138516871217,58,1214,"plasmodesma","CC"
"12","GO:0009544",0.0263797280288341,0.998531182049626,2,5,"chloroplast ATP synthase complex","CC"
"13","GO:0000325",0.0303792167415881,0.99210258144948,5,57,"plant-type vacuole","CC"
"14","GO:0031597",0.0325064652740298,0.997598451534557,2,8,"cytosolic proteasome complex","CC"
"15","GO:0031012",0.0370383874902529,0.994364440349588,3,15,"extracellular matrix","CC"
"16","GO:0033106",0.0387821326125959,1,1,1,"cis-Golgi network membrane","CC"
"17","GO:0090568",0.0400749820287479,1,1,1,"nuclear transcriptional repressor complex","CC"
"18","GO:0005764",0.0415017119805766,0.990556166393464,4,31,"lysosome","CC"
"19","GO:0005754",0.0516585950720126,1,1,1,"mitochondrial proton-transporting ATP synthase, catalytic core","CC"
"20","GO:0046658",0.0656748520338662,0.967673028688675,11,143,"anchored component of plasma membrane","CC"
"21","GO:0005773",0.0670890943627085,0.952659773172599,39,801,"vacuole","CC"
"22","GO:0031262",0.0703814438083648,0.998717186900822,1,2,"Ndc80 complex","CC"
"23","GO:0034098",0.0869949065411288,0.997376883566256,1,3,"VCP-NPL4-UFD1 AAA ATPase complex","CC"
"24","GO:0043231",0.0979129164350671,0.94644166136848,12,204,"intracellular membrane-bounded organelle","CC"
"25","GO:0016363",0.107682399161131,0.982357642486997,2,19,"nuclear matrix","CC"
"26","GO:1990316",0.118890257253084,0.994422798471058,1,4,"Atg1/ULK1 kinase complex","CC"
"27","GO:0010168",0.119577243060612,0.979361355137673,2,17,"ER body","CC"
"28","GO:0009986",0.125994503259329,0.977462542726775,2,18,"cell surface","CC"
"29","GO:0031410",0.126670676224257,0.96559391880752,3,32,"cytoplasmic vesicle","CC"
"30","GO:0071821",0.128540165103604,0.99415721320613,1,3,"FANCM-MHF complex","CC"
"31","GO:0033178",0.132986541630255,0.993732308801281,1,3,"proton-transporting two-sector ATPase complex, catalytic domain","CC"
"32","GO:0035102",0.135485628995758,0.992701763808437,1,4,"PRC1 complex","CC"
"33","GO:0010007",0.137989496120649,0.992420747177507,1,4,"magnesium chelatase complex","CC"
"34","GO:0005814",0.148106716699409,0.992167543379501,1,3,"centriole","CC"
"35","GO:0031595",0.149095621646917,0.990538173275168,1,5,"nuclear proteasome complex","CC"
"36","GO:0042555",0.152975528855871,0.989625216827637,1,6,"MCM complex","CC"
"37","GO:0071944",0.161188943053348,0.966193598840188,2,21,"cell periphery","CC"
"38","GO:0010287",0.163090699472652,0.9245201588462,6,81,"plastoglobule","CC"
"39","GO:0043036",0.164221925365539,0.988442403438402,1,5,"starch grain","CC"
"40","GO:0043240",0.166252655226285,0.988851412865125,1,4,"Fanconi anaemia nuclear complex","CC"
"41","GO:0010330",0.166805476039,0.98758944464459,1,6,"cellulose synthase complex","CC"
"42","GO:0000148",0.168102083479112,0.985803012653985,1,18,"1,3-beta-D-glucan synthase complex","CC"
"43","GO:0005853",0.170029207481201,0.988318246900861,1,4,"eukaryotic translation elongation factor 1 complex","CC"
"44","GO:0032299",0.186511987825391,0.984939188740515,1,5,"ribonuclease H2 complex","CC"
"45","GO:0005777",0.192047223246968,0.874311046831893,15,300,"peroxisome","CC"
"46","GO:0030095",0.195302896597272,0.954854967993766,2,16,"chloroplast photosystem II","CC"
"47","GO:0000421",0.218474524579311,0.944840168550758,2,20,"autophagosome membrane","CC"
"48","GO:0009705",0.234621995103942,0.871053854580664,7,139,"plant-type vacuole membrane","CC"
"49","GO:0030076",0.237660264758533,0.937148527428671,2,18,"light-harvesting complex","CC"
"50","GO:0009654",0.240683468846777,0.935826378792046,2,18,"photosystem II oxygen evolving complex","CC"
"51","GO:0044613",0.245435177052176,0.971417481267883,1,7,"nuclear pore central transport channel","CC"
"52","GO:0045261",0.248752115613051,0.972407389000681,1,5,"proton-transporting ATP synthase complex, catalytic core F(1)","CC"
"53","GO:0070469",0.249841729865545,0.931020326944893,2,21,"respiratory chain","CC"
"54","GO:0009331",0.256594645308589,0.967998326228016,1,8,"glycerol-3-phosphate dehydrogenase complex","CC"
"55","GO:0010319",0.261734560104219,0.899246585126866,3,44,"stromule","CC"
"56","GO:0005775",0.263194697163834,0.966228519325364,1,8,"vacuolar lumen","CC"
"57","GO:0048471",0.265919622079458,0.921911579089821,2,32,"perinuclear region of cytoplasm","CC"
"58","GO:0031969",0.269687387706306,0.839196698088861,8,168,"chloroplast membrane","CC"
"59","GO:0000778",0.282163597761721,0.960279229799784,1,9,"condensed nuclear chromosome kinetochore","CC"
"60","GO:0042651",0.302394057487534,0.903684746757124,2,29,"thylakoid membrane","CC"
"61","GO:0000811",0.305898728926506,0.952793919504713,1,9,"GINS complex","CC"
"62","GO:0000347",0.306050033410486,0.951785690245168,1,11,"THO complex","CC"
"63","GO:0055035",0.306546764530702,0.953242772437654,1,8,"plastid thylakoid membrane","CC"
"64","GO:0009535",0.312927755892094,0.761900601318127,22,428,"chloroplast thylakoid membrane","CC"
"65","GO:0009514",0.319710396830403,0.946327888390945,1,13,"glyoxysome","CC"
"66","GO:0009517",0.326609075953032,0.946403628564771,1,8,"PSII associated light-harvesting complex II","CC"
"67","GO:0005615",0.328423792118037,0.793861285094007,8,139,"extracellular space","CC"
"68","GO:0012511",0.329335497910289,0.945432218625666,1,8,"monolayer-surrounded lipid storage body","CC"
"69","GO:0000326",0.331305847454395,0.94394827124729,1,9,"protein storage vacuole","CC"
"70","GO:0005575",0.332077482328687,0.745109907021012,22,392,"cellular_component","CC"
