category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,Annotation,ontology
path:ath01100,2.9505633924875528e-8,1,146,2631,Metabolic pathways,KEGG
path:ath00480,2.735115620973054e-7,0.9999999408667855,21,129,Glutathione metabolism,KEGG
path:ath00073,3.8465356984431765e-7,0.999999980148078,8,20,"Cutin, suberine and wax biosynthesis",KEGG
path:ath01110,1.6157458924907873e-5,0.9999918124826763,79,1292,Biosynthesis of secondary metabolites,KEGG
path:ath00460,4.686542628486159e-4,0.9998880380545486,11,87,Cyanoamino acid metabolism,KEGG
path:ath00902,0.0014257322543215394,0.9999532755526407,3,6,Monoterpenoid biosynthesis,KEGG
path:ath00940,0.0023935597082902224,0.9991005520915578,16,168,Phenylpropanoid biosynthesis,KEGG
path:ath00906,0.003713960238099352,0.9994588907487781,5,29,Carotenoid biosynthesis,KEGG
path:ath00920,0.004196312824301676,0.9989591628948101,8,60,Sulfur metabolism,KEGG
path:ath00071,0.005193315655323135,0.9987980708541376,7,61,Fatty acid degradation,KEGG
path:ath00592,0.006199859293026541,0.9987309297916104,6,44,alpha-Linolenic acid metabolism,KEGG
path:ath00500,0.010083989025805127,0.9959654889121893,13,182,Starch and sucrose metabolism,KEGG
path:ath04141,0.015055914307768835,0.9926953004041359,18,255,Protein processing in endoplasmic reticulum,KEGG
path:ath00195,0.026414908176776594,0.9925892673527699,6,42,Photosynthesis,KEGG
path:ath01212,0.030811923087477426,0.989735273232416,7,83,Fatty acid metabolism,KEGG
path:ath00909,0.03188719921240522,0.9952350735553245,3,22,Sesquiterpenoid and triterpenoid biosynthesis,KEGG
path:ath00062,0.035385924570125654,0.9924364102249794,4,29,Fatty acid elongation,KEGG
path:ath00053,0.0374083432029118,0.9883408593266167,6,63,Ascorbate and aldarate metabolism,KEGG
path:ath04146,0.04158029343427268,0.9829284127837087,9,123,Peroxisome,KEGG
path:ath01502,0.043515469929648755,1,1,1,Vancomycin resistance,KEGG
path:ath00350,0.05127061390304531,0.9848355628424061,5,52,Tyrosine metabolism,KEGG
path:ath00950,0.05141091115725456,0.9906519484874429,3,24,Isoquinoline alkaloid biosynthesis,KEGG
path:ath00130,0.054131689009495956,0.9837617786298706,5,51,Ubiquinone and other terpenoid-quinone biosynthesis,KEGG
path:ath00040,0.08782705486366753,0.965947538880267,6,76,Pentose and glucuronate interconversions,KEGG
path:ath00561,0.09223128457110645,0.9636207199878545,6,88,Glycerolipid metabolism,KEGG
path:ath04933,0.1021377713448618,0.9751782075382043,3,26,AGE-RAGE signaling pathway in diabetic complications,KEGG
path:ath00670,0.11168559696530601,0.9715315395414904,3,30,One carbon pool by folate,KEGG
path:ath00270,0.11484011884228748,0.9399950010883911,10,162,Cysteine and methionine metabolism,KEGG
path:ath00330,0.12025851689985137,0.953984107248782,5,68,Arginine and proline metabolism,KEGG
path:ath02010,0.12899927405359873,0.9761189756012062,2,26,ABC transporters,KEGG
path:ath00860,0.14104074801916863,0.9433869756165738,5,65,Porphyrin and chlorophyll metabolism,KEGG
path:ath00901,0.15730452657246297,0.9900925719408286,1,4,Indole alkaloid biosynthesis,KEGG
path:ath00260,0.16262346795967905,0.9250257877341688,6,94,"Glycine, serine and threonine metabolism",KEGG
path:ath00960,0.16763069498343616,0.9483695015654002,3,36,"Tropane, piperidine and pyridine alkaloid biosynthesis",KEGG
path:ath00710,0.20975292587934888,0.9036018398192438,5,83,Carbon fixation in photosynthetic organisms,KEGG
path:ath00450,0.22635537094903974,0.9409941418459075,2,25,Selenocompound metabolism,KEGG
path:ath00562,0.23001417875697144,0.8905351662180518,5,99,Inositol phosphate metabolism,KEGG
path:ath01200,0.236986049549396,0.8365721880534475,17,362,Carbon metabolism,KEGG
path:ath00591,0.23736317700194762,0.972936794744445,1,8,Linoleic acid metabolism,KEGG
path:ath04120,0.24071726761162898,0.8568390976943565,9,175,Ubiquitin mediated proteolysis,KEGG
path:ath00564,0.2434805209531237,0.8657049568697301,7,138,Glycerophospholipid metabolism,KEGG
path:ath01040,0.2668974599497066,0.9223029858832305,2,27,Biosynthesis of unsaturated fatty acids,KEGG
path:ath00061,0.275626920228474,0.8910826311509124,3,52,Fatty acid biosynthesis,KEGG
path:ath00740,0.29087384433965924,0.9108730141090514,2,24,Riboflavin metabolism,KEGG
path:ath00196,0.30225031885220355,0.9059592549403668,2,20,Photosynthesis - antenna proteins,KEGG
path:ath00400,0.3027638922511031,0.8554709520855547,4,69,"Phenylalanine, tyrosine and tryptophan biosynthesis",KEGG
path:ath00280,0.3208477601344013,0.8426033782424621,4,78,"Valine, leucine and isoleucine degradation",KEGG
