"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","ARA:PWY-6963",0.00860090882235792,1,3,3,"ammonia assimilation cycle I","BioCyc"
"2","ARA:PWY-7450",0.0327566675050083,1,3,3,"anthocyanidin modification (Arabidopsis)","BioCyc"
"3","ARA:PWY-5934",0.0542543944176222,0.992517225767389,4,6,"iron reduction and absorption","BioCyc"
"4","ARA:GLNSYN-PWY",0.0586866103315988,1,2,2,"L-glutamine biosynthesis I","BioCyc"
"5","ARA:PWY-381",0.0586866103315988,1,2,2,"nitrate reduction II (assimilatory)","BioCyc"
"6","ARA:PWY-5337",0.0617693924757512,1,2,2,"stachyose biosynthesis","BioCyc"
"7","ARA:PWY-5267",0.0669397978122871,1,2,2,"glucosinolate activation","BioCyc"
"8","ARA:VALDEG-PWY",0.0688040781819166,1,2,2,"L-valine degradation I","BioCyc"
"9","ARA:PWY-5035",0.0727052281767223,1,2,2,"gibberellin biosynthesis III (early C-13 hydroxylation)","BioCyc"
"10","ARA:PWYQT-4471",0.084126922494009,0.991972379385977,3,4,"glucosinolate biosynthesis from dihomomethionine","BioCyc"
"11","ARA:PWY-5381",0.0895264253936836,0.97829406740663,5,9,"pyridine nucleotide cycling (plants)","BioCyc"
"12","ARA:LEU-DEG2-PWY",0.103480005324185,0.98463987035783,3,5,"L-leucine degradation I","BioCyc"
"13","ARA:PWY-6964",0.103801060516652,0.99213617978494,2,3,"ammonia assimilation cycle II","BioCyc"
"14","ARA:PWY-6792",0.111169539086179,1,2,2,"scopoletin biosynthesis","BioCyc"
"15","ARA:PWY-7398",0.111169539086179,1,2,2,"coumarins biosynthesis (engineered)","BioCyc"
"16","ARA:TRPSYN-PWY",0.115923213878121,0.981830281484059,3,5,"L-tryptophan biosynthesis","BioCyc"
"17","ARA:GLUGLNSYN-PWY",0.127672070935549,1,1,1,"L-glutamate biosynthesis IV","BioCyc"
"18","ARA:PWY-6902",0.136276101428799,1,2,2,"chitin degradation II (Vibrio)","BioCyc"
"19","ARA:PWY-5441",0.13896303106347,0.9873101592996,2,3,"S-methyl-L-methionine cycle","BioCyc"
"20","ARA:PWY-1186",0.159578612201123,0.984027278806024,2,3,"L-homomethionine biosynthesis","BioCyc"
"21","ARA:PWY-361",0.161308372949548,0.983736664785498,2,3,"phenylpropanoid biosynthesis","BioCyc"
"22","ARA:PWY-5868",0.161308372949548,0.983736664785498,2,3,"simple coumarins biosynthesis","BioCyc"
"23","ARA:PWY-2821",0.166588938446167,0.968688787001769,3,5,"glucosinolate biosynthesis from phenylalanine","BioCyc"
"24","ARA:PWY-5046",0.167804681612653,0.982624259884118,2,3,"2-oxoisovalerate decarboxylation to isobutanoyl-CoA","BioCyc"
"25","ARA:ETHYL-PWY",0.1776212720525,0.980880382729999,2,3,"ethylene biosynthesis I (plants)","BioCyc"
"26","ARA:HOMOSERSYN-PWY",0.185686793883616,1,1,1,"L-homoserine biosynthesis","BioCyc"
"27","ARA:BRANCHED-CHAIN-AA-SYN-PWY",0.203818142761451,0.951015964508389,3,6,"superpathway of branched chain amino acid biosynthesis","BioCyc"
"28","ARA:PWY-1187",0.211692622285152,0.974236503620275,2,3,"glucosinolate biosynthesis from homomethionine","BioCyc"
"29","ARA:PWYQT-4472",0.211692622285152,0.974236503620275,2,3,"glucosinolate biosynthesis from trihomomethionine","BioCyc"
"30","ARA:PWYQT-4473",0.211692622285152,0.974236503620275,2,3,"glucosinolate biosynthesis from tetrahomomethionine","BioCyc"
"31","ARA:PWYQT-4474",0.211692622285152,0.974236503620275,2,3,"glucosinolate biosynthesis from pentahomomethionine","BioCyc"
