"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0005576",9.52439945836268e-06,0.999996364160108,39,181,"extracellular region","CC"
"2","GO:0016021",0.000734874854619599,0.999580263488246,70,466,"integral component of membrane","CC"
"3","GO:0005886",0.0021307836190353,0.998811017428079,49,338,"plasma membrane","CC"
"4","GO:0048046",0.00282103678292487,0.999290453328627,10,32,"apoplast","CC"
"5","GO:0016020",0.0054540476208831,0.997336018596251,26,154,"membrane","CC"
"6","GO:0009705",0.0160271216528407,0.997827726005307,4,10,"plant-type vacuole membrane","CC"
"7","GO:0016459",0.0289606624789472,1,1,1,"myosin complex","CC"
"8","GO:0005901",0.0373589579555689,0.998441978765166,2,3,"caveola","CC"
"9","GO:0009505",0.0400148251527509,0.989985613088053,5,19,"plant-type cell wall","CC"
"10","GO:0005618",0.0706049070749779,0.975876608907444,6,27,"cell wall","CC"
"11","GO:0005950",0.0847466894343399,1,1,1,"anthranilate synthase complex","CC"
"12","GO:0031012",0.12118656236467,1,1,1,"extracellular matrix","CC"
"13","GO:0042807",0.1246193529376,1,1,1,"central vacuole","CC"
"14","GO:0030131",0.155160765263795,0.993493144405691,1,2,"clathrin adaptor complex","CC"
"15","GO:0005615",0.161026345010316,0.956205913011765,3,12,"extracellular space","CC"
"16","GO:0031982",0.175680600046178,0.991559333608597,1,2,"vesicle","CC"
"17","GO:0000228",0.182141155446594,0.99089295813006,1,2,"nuclear chromosome","CC"
"18","GO:0090694",0.182141155446594,0.99089295813006,1,2,"Scc2-Scc4 cohesin loading complex","CC"
"19","GO:0010008",0.183616057718782,0.963209823232743,2,8,"endosome membrane","CC"
"20","GO:0043231",0.211664600477722,0.932149569228694,3,15,"intracellular membrane-bounded organelle","CC"
"21","GO:0031965",0.221846155186217,0.981811556691226,1,3,"nuclear membrane","CC"
"22","GO:0031225",0.234604234987404,0.894412893993906,5,25,"anchored component of membrane","CC"
"23","GO:0031201",0.29973303449376,0.913522402331175,2,10,"SNARE complex","CC"
"24","GO:0032580",0.3024212485959,0.964655122979035,1,3,"Golgi cisterna membrane","CC"
"25","GO:0000326",0.30695034568275,0.963493117085877,1,3,"protein storage vacuole","CC"
"26","GO:0009507",0.33579073063408,0.725794363165801,46,413,"chloroplast","CC"
"27","GO:0005575",0.342627784838216,0.807908306790051,6,35,"cellular_component","CC"
"28","GO:0000145",0.353371602309162,0.939295963156999,1,6,"exocyst","CC"
"29","GO:0005743",0.357360040876325,0.880467960131136,2,12,"mitochondrial inner membrane","CC"
"30","GO:0000790",0.359966507690501,0.942415114701402,1,4,"nuclear chromatin","CC"
"31","GO:0030665",0.381265391724177,0.934600863907567,1,4,"clathrin-coated vesicle membrane","CC"
"32","GO:0005769",0.38442391416838,0.933390013169427,1,4,"early endosome","CC"
"33","GO:0000325",0.395836151444108,0.928900269031913,1,4,"plant-type vacuole","CC"
"34","GO:0012505",0.438131045016323,0.826910698043988,2,14,"endomembrane system","CC"
"35","GO:0030173",0.451347099473808,0.898980523225172,1,5,"integral component of Golgi membrane","CC"
"36","GO:0090575",0.469055318896533,0.889713707101065,1,5,"RNA polymerase II transcription factor complex","CC"
"37","GO:0005768",0.479065954618584,0.751040075646642,3,26,"endosome","CC"
"38","GO:0009506",0.483725613949102,0.656140242896497,9,86,"plasmodesma","CC"
"39","GO:0005773",0.489740820145227,0.679735647458145,6,54,"vacuole","CC"
"40","GO:0005759",0.500420202805356,0.867624511691462,1,6,"mitochondrial matrix","CC"
"41","GO:0031902",0.507308319901885,0.863369722934469,1,6,"late endosome membrane","CC"
"42","GO:0046658",0.520450768027952,0.765783611980903,2,13,"anchored component of plasma membrane","CC"
"43","GO:0005747",0.572135792685729,0.814697540425665,1,7,"mitochondrial respiratory chain complex I","CC"
"44","GO:0000785",0.588970214830894,0.795846292974458,1,9,"chromatin","CC"
"45","GO:0005774",0.651954794397847,0.55196052947184,4,40,"vacuolar membrane","CC"
"46","GO:0005737",0.682983935723977,0.383157653904477,42,437,"cytoplasm","CC"
"47","GO:0005887",0.716252740394187,0.660094202113374,1,13,"integral component of plasma membrane","CC"
"48","GO:0009536",0.741461630625634,0.522223807567148,2,25,"plastid","CC"
"49","GO:0005789",0.746870823299683,0.466614273326462,3,36,"endoplasmic reticulum membrane","CC"
"50","GO:0005874",0.785080308845631,0.561943848971674,1,17,"microtubule","CC"
"51","GO:0005802",0.795708118487054,0.445076393297483,2,28,"trans-Golgi network","CC"
"52","GO:0005783",0.849320310051716,0.266114901931613,6,78,"endoplasmic reticulum","CC"
"53","GO:0009570",0.87842792125242,0.26936998001999,3,47,"chloroplast stroma","CC"
"54","GO:0005622",0.881990153742445,0.387989218029265,1,17,"intracellular","CC"
"55","GO:0005794",0.912830536681248,0.162245704551017,7,102,"Golgi apparatus","CC"
"56","GO:0000139",0.952341039282891,0.201662205190748,1,29,"Golgi membrane","CC"
"57","GO:0009941",0.961854390417551,0.170302803554774,1,32,"chloroplast envelope","CC"
"58","GO:0005840",0.976930129421951,0.11742825878133,1,26,"ribosome","CC"
"59","GO:0005829",0.991858278120975,0.0184845236401464,9,167,"cytosol","CC"
"60","GO:0005739",0.994525331441927,0.0102719388597906,20,282,"mitochondrion","CC"
"61","GO:0005634",0.999999890005435,2.46555236087973e-07,57,881,"nucleus","CC"
"62","GO:0000123",1,0.796320281749022,0,2,"histone acetyltransferase complex","CC"
"63","GO:0000124",1,0.464200452018056,0,6,"SAGA complex","CC"
"64","GO:0000151",1,0.734791937417844,0,4,"ubiquitin ligase complex","CC"
"65","GO:0000159",1,0.554343478123607,0,6,"protein phosphatase type 2A complex","CC"
"66","GO:0000164",1,0.903407484291459,0,1,"protein phosphatase type 1 complex","CC"
"67","GO:0000176",1,0.891466267667534,0,1,"nuclear exosome (RNase complex)","CC"
"68","GO:0000177",1,0.891466267667534,0,1,"cytoplasmic exosome (RNase complex)","CC"
"69","GO:0000306",1,0.819024149556685,0,2,"extrinsic component of vacuolar membrane","CC"
"70","GO:0000307",1,0.700757677044078,0,3,"cyclin-dependent protein kinase holoenzyme complex","CC"
"71","GO:0000347",1,0.763247672285472,0,2,"THO complex","CC"
"72","GO:0000407",1,0.902986512700579,0,1,"phagophore assembly site","CC"
"73","GO:0000418",1,0.764271063912832,0,2,"RNA polymerase IV complex","CC"
"74","GO:0000419",1,0.670666307043087,0,3,"RNA polymerase V complex","CC"
"75","GO:0000421",1,0.906425211719499,0,1,"autophagosome membrane","CC"
"76","GO:0000427",1,0.889967144888862,0,1,"plastid-encoded plastid RNA polymerase complex","CC"
"77","GO:0000439",1,0.724879958262038,0,3,"transcription factor TFIIH core complex","CC"
"78","GO:0000445",1,0.763247672285472,0,2,"THO complex part of transcription export complex","CC"
"79","GO:0000502",1,0.901059979280513,0,1,"proteasome complex","CC"
"80","GO:0000506",1,0.908553348301502,0,1,"glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex","CC"
"81","GO:0000775",1,0.860231321570818,0,2,"chromosome, centromeric region","CC"
"82","GO:0000776",1,0.899781436980175,0,1,"kinetochore","CC"
"83","GO:0000778",1,0.899781436980175,0,1,"condensed nuclear chromosome kinetochore","CC"
"84","GO:0000780",1,0.909195971615699,0,1,"condensed nuclear chromosome, centromeric region","CC"
"85","GO:0000781",1,0.909117191413762,0,1,"chromosome, telomeric region","CC"
"86","GO:0000783",1,0.919360294522354,0,1,"nuclear telomere cap complex","CC"
"87","GO:0000784",1,0.775111909530587,0,2,"nuclear chromosome, telomeric region","CC"
"88","GO:0000786",1,0.383116763779608,0,7,"nucleosome","CC"
"89","GO:0000793",1,0.91332940617027,0,1,"condensed chromosome","CC"
"90","GO:0000794",1,0.91332940617027,0,1,"condensed nuclear chromosome","CC"
"91","GO:0000808",1,0.89075314357203,0,1,"origin recognition complex","CC"
"92","GO:0000811",1,0.907339712801993,0,1,"GINS complex","CC"
"93","GO:0000922",1,0.850654171981552,0,2,"spindle pole","CC"
"94","GO:0000923",1,0.927064118001686,0,1,"equatorial microtubule organizing center","CC"
"95","GO:0000930",1,0.927064118001686,0,1,"gamma-tubulin complex","CC"
"96","GO:0000932",1,0.668287319169512,0,5,"P-body","CC"
"97","GO:0000940",1,0.878628045159627,0,1,"condensed chromosome outer kinetochore","CC"
"98","GO:0001401",1,0.89947866966486,0,1,"mitochondrial sorting and assembly machinery complex","CC"
"99","GO:0001405",1,0.863672166819808,0,1,"PAM complex, Tim23 associated import motor","CC"
"100","GO:0005623",1,0.486440938624157,0,6,"cell","CC"
"101","GO:0005635",1,0.545411252565659,0,6,"nuclear envelope","CC"
"102","GO:0005643",1,0.760307230636409,0,3,"nuclear pore","CC"
"103","GO:0005652",1,0.927252592128627,0,1,"nuclear lamina","CC"
"104","GO:0005654",1,0.59877804163908,0,5,"nucleoplasm","CC"
"105","GO:0005656",1,0.896350009989629,0,1,"nuclear pre-replicative complex","CC"
"106","GO:0005662",1,0.909117191413762,0,1,"DNA replication factor A complex","CC"
"107","GO:0005663",1,0.918425951738886,0,1,"DNA replication factor C complex","CC"
"108","GO:0005664",1,0.89075314357203,0,1,"nuclear origin of replication recognition complex","CC"
"109","GO:0005665",1,0.77492177076091,0,2,"RNA polymerase II, core complex","CC"
"110","GO:0005666",1,0.629815398312029,0,4,"RNA polymerase III complex","CC"
"111","GO:0005667",1,0.579337346436218,0,5,"transcription factor complex","CC"
"112","GO:0005669",1,0.764596591938929,0,2,"transcription factor TFIID complex","CC"
"113","GO:0005675",1,0.724879958262038,0,3,"transcription factor TFIIH holo complex","CC"
"114","GO:0005681",1,0.428422862897821,0,8,"spliceosomal complex","CC"
"115","GO:0005682",1,0.75772009610098,0,2,"U5 snRNP","CC"
"116","GO:0005685",1,0.652567893172378,0,4,"U1 snRNP","CC"
"117","GO:0005686",1,0.580514915335725,0,4,"U2 snRNP","CC"
"118","GO:0005687",1,0.75772009610098,0,2,"U4 snRNP","CC"
"119","GO:0005689",1,0.624350592683624,0,3,"U12-type spliceosomal complex","CC"
"120","GO:0005694",1,0.825904572843861,0,2,"chromosome","CC"
"121","GO:0005697",1,0.919360294522354,0,1,"telomerase holoenzyme complex","CC"
"122","GO:0005730",1,0.0303385712751569,0,29,"nucleolus","CC"
"123","GO:0005732",1,0.670835536752858,0,3,"small nucleolar ribonucleoprotein complex","CC"
"124","GO:0005736",1,0.715396461349506,0,3,"RNA polymerase I complex","CC"
"125","GO:0005741",1,0.608933190358931,0,5,"mitochondrial outer membrane","CC"
"126","GO:0005742",1,0.82608350400663,0,1,"mitochondrial outer membrane translocase complex","CC"
"127","GO:0005744",1,0.649282714186723,0,3,"TIM23 mitochondrial import inner membrane translocase complex","CC"
"128","GO:0005749",1,0.868895014313051,0,1,"mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone)","CC"
"129","GO:0005750",1,0.857132185992667,0,1,"mitochondrial respiratory chain complex III","CC"
"130","GO:0005753",1,0.767125191334075,0,2,"mitochondrial proton-transporting ATP synthase complex","CC"
"131","GO:0005762",1,0.52536847545107,0,5,"mitochondrial large ribosomal subunit","CC"
"132","GO:0005763",1,0.91363656656929,0,1,"mitochondrial small ribosomal subunit","CC"
"133","GO:0005764",1,0.885362113960513,0,1,"lysosome","CC"
"134","GO:0005765",1,0.743297965974549,0,3,"lysosomal membrane","CC"
"135","GO:0005770",1,0.805486998165641,0,2,"late endosome","CC"
"136","GO:0005777",1,0.236769718749491,0,13,"peroxisome","CC"
"137","GO:0005778",1,0.470191299446028,0,6,"peroxisomal membrane","CC"
"138","GO:0005779",1,0.711952886127144,0,3,"integral component of peroxisomal membrane","CC"
"139","GO:0005786",1,0.910852623919414,0,1,"signal recognition particle, endoplasmic reticulum targeting","CC"
"140","GO:0005787",1,0.694553750890389,0,3,"signal peptidase complex","CC"
"141","GO:0005788",1,0.808329896839671,0,2,"endoplasmic reticulum lumen","CC"
"142","GO:0005793",1,0.875034513137887,0,1,"endoplasmic reticulum-Golgi intermediate compartment","CC"
"143","GO:0005795",1,0.878887487921483,0,1,"Golgi stack","CC"
"144","GO:0005796",1,0.872065594141087,0,1,"Golgi lumen","CC"
"145","GO:0005797",1,0.903560677943789,0,1,"Golgi medial cisterna","CC"
"146","GO:0005798",1,0.685623378062765,0,3,"Golgi-associated vesicle","CC"
"147","GO:0005801",1,0.552237268846743,0,5,"cis-Golgi network","CC"
"148","GO:0005811",1,0.821276880526414,0,2,"lipid droplet","CC"
"149","GO:0005813",1,0.818665671483844,0,2,"centrosome","CC"
"150","GO:0005815",1,0.834124706408623,0,2,"microtubule organizing center","CC"
"151","GO:0005819",1,0.587834042753498,0,6,"spindle","CC"
"152","GO:0005828",1,0.899781436980175,0,1,"kinetochore microtubule","CC"
"153","GO:0005834",1,0.697480137007608,0,4,"heterotrimeric G-protein complex","CC"
"154","GO:0005844",1,0.895988753897502,0,1,"polysome","CC"
"155","GO:0005852",1,0.920598990599943,0,1,"eukaryotic translation initiation factor 3 complex","CC"
"156","GO:0005854",1,0.870068649500747,0,1,"nascent polypeptide-associated complex","CC"
"157","GO:0005856",1,0.398026374223475,0,10,"cytoskeleton","CC"
"158","GO:0005871",1,0.639319669229326,0,6,"kinesin complex","CC"
"159","GO:0005875",1,0.687671443896274,0,4,"microtubule associated complex","CC"
"160","GO:0005876",1,0.617285304516577,0,5,"spindle microtubule","CC"
"161","GO:0005880",1,0.883110936359115,0,1,"nuclear microtubule","CC"
"162","GO:0005884",1,0.846304835005318,0,2,"actin filament","CC"
"163","GO:0005905",1,0.706605239396633,0,3,"clathrin-coated pit","CC"
"164","GO:0005929",1,0.800379307945855,0,2,"cilium","CC"
"165","GO:0005938",1,0.895876945506066,0,1,"cell cortex","CC"
"166","GO:0005945",1,0.913602780575014,0,1,"6-phosphofructokinase complex","CC"
"167","GO:0005956",1,0.883216364161474,0,1,"protein kinase CK2 complex","CC"
"168","GO:0005968",1,0.907124889129789,0,1,"Rab-protein geranylgeranyltransferase complex","CC"
"169","GO:0008023",1,0.95076816940505,0,1,"transcription elongation factor complex","CC"
"170","GO:0008024",1,0.923227727859822,0,1,"cyclin/CDK positive transcription elongation factor complex","CC"
"171","GO:0008076",1,0.81497964367118,0,2,"voltage-gated potassium channel complex","CC"
"172","GO:0008180",1,0.901059979280513,0,1,"COP9 signalosome","CC"
"173","GO:0008250",1,0.745888534393103,0,2,"oligosaccharyltransferase complex","CC"
"174","GO:0008278",1,0.953150039967127,0,1,"cohesin complex","CC"
"175","GO:0009295",1,0.788977162991781,0,2,"nucleoid","CC"
