"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","ARA:PWY-6902",0.00212749079585787,1,5,5,"chitin degradation II (Vibrio)","BioCyc"
"2","ARA:PWYQT-4477",0.0140596106657971,0.999183277819149,4,5,"indole glucosinolate activation (intact plant cell)","BioCyc"
"3","ARA:PWY-3041",0.0169111032877488,0.99920755777631,3,4,"monoterpene biosynthesis","BioCyc"
"4","ARA:PWY-102",0.019043077763014,1,2,2,"gibberellin inactivation I (2&beta;-hydroxylation)","BioCyc"
"5","ARA:PWY-7213",0.0204941155888062,1,2,2,"wogonin metabolism","BioCyc"
"6","ARA:PWY-601",0.0406460255951046,0.995025322061961,4,6,"glucosinolate biosynthesis from tryptophan","BioCyc"
"7","ARA:PWY-6842",0.052611644885549,0.985951128557044,7,13,"glutathione-mediated detoxification II","BioCyc"
"8","ARA:PWY-5337",0.0580570944036053,1,2,2,"stachyose biosynthesis","BioCyc"
"9","ARA:PWY-7416",0.0781035335356074,0.995082928979916,2,3,"phospholipid remodeling (phosphatidylcholine, yeast)","BioCyc"
"10","ARA:PWY-5868",0.0954745458500351,0.98434723822997,3,6,"simple coumarins biosynthesis","BioCyc"
"11","ARA:PWY-7039",0.10388416454869,0.992202028753955,2,3,"phosphatidate metabolism, as a signaling molecule","BioCyc"
"12","ARA:PWY-1121",0.104840871359893,0.973110022107833,4,11,"suberin monomers biosynthesis","BioCyc"
"13","ARA:PWYQT-1",0.106040759104839,1,1,1,"lysine degradation III","BioCyc"
"14","ARA:PWY-7186",0.139916835480985,0.982581083162006,2,4,"superpathway of scopolin and esculin biosynthesis","BioCyc"
"15","ARA:PWY-4321",0.144684238240085,1,1,1,"L-glutamate degradation IV","BioCyc"
"16","ARA:PWY-7221",0.147403621581057,1,1,1,"guanosine ribonucleotides de novo biosynthesis","BioCyc"
"17","ARA:PWY-6773",0.147873754517921,0.994193140213964,1,2,"1,3-&beta;-D-glucan biosynthesis","BioCyc"
"18","ARA:PWY-6443",0.153826347918679,0.965657395818094,3,7,"benzoate biosynthesis I (CoA-dependent, &beta;-oxidative)","BioCyc"
"19","ARA:PWY-6039",0.167272635226966,0.982870152185952,2,3,"chlorogenic acid biosynthesis I","BioCyc"
"20","ARA:PWY-5765",0.18026407045018,1,1,1,"1,3,5-trimethoxybenzene biosynthesis","BioCyc"
"21","ARA:PWY-861",0.2148035703976,1,1,1,"dhurrin biosynthesis","BioCyc"
"22","ARA:LYSINE-DEG2-PWY",0.223033059051501,0.986188153891402,1,2,"lysine degradation II","BioCyc"
