"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","path:ath04075",6.62075641480658e-10,0.999999999902586,31,68,"Plant hormone signal transduction","KEGG"
"2","path:ath04016",0.000190428144074449,0.999965100442819,12,27,"MAPK signaling pathway - plant","KEGG"
"3","path:ath01110",0.00117545527755877,0.999477121359506,33,139,"Biosynthesis of secondary metabolites","KEGG"
"4","path:ath04712",0.0149485317408657,0.997591141400105,5,11,"Circadian rhythm - plant","KEGG"
"5","path:ath00071",0.0191712701495538,1,2,2,"Fatty acid degradation","KEGG"
"6","path:ath00130",0.0247260483139209,0.998021075442723,3,5,"Ubiquinone and other terpenoid-quinone biosynthesis","KEGG"
"7","path:ath00940",0.0253725907526777,0.993021020877661,7,21,"Phenylpropanoid biosynthesis","KEGG"
"8","path:ath04626",0.035458029919284,0.987313264557308,9,32,"Plant-pathogen interaction","KEGG"
"9","path:ath00270",0.0825121459681731,0.971699337356943,6,22,"Cysteine and methionine metabolism","KEGG"
"10","path:ath00040",0.0939257782609414,0.982125114955872,3,8,"Pentose and glucuronate interconversions","KEGG"
"11","path:ath00350",0.0956237491658578,0.990475537804294,2,4,"Tyrosine metabolism","KEGG"
"12","path:ath00564",0.100674306692589,0.972929525918619,4,13,"Glycerophospholipid metabolism","KEGG"
"13","path:ath00592",0.108813652432814,0.988274131171619,2,4,"alpha-Linolenic acid metabolism","KEGG"
"14","path:ath00250",0.111525174809063,0.976174840192172,3,9,"Alanine, aspartate and glutamate metabolism","KEGG"
"15","path:ath03450",0.132390485523711,1,1,1,"Non-homologous end-joining","KEGG"
"16","path:ath01200",0.136326274686123,0.936734339653144,8,36,"Carbon metabolism","KEGG"
"17","path:ath00514",0.137283151170209,1,1,1,"Other types of O-glycan biosynthesis","KEGG"
"18","path:ath00910",0.142355560482469,0.96502387565969,3,10,"Nitrogen metabolism","KEGG"
"19","path:ath03410",0.151951135951673,0.97694347648703,2,5,"Base excision repair","KEGG"
"20","path:ath00945",0.157416341378092,1,1,1,"Stilbenoid, diarylheptanoid and gingerol biosynthesis","KEGG"
"21","path:ath00260",0.15746232965183,0.948455355220275,4,15,"Glycine, serine and threonine metabolism","KEGG"
"22","path:ath00010",0.159465858600056,0.958677325102794,3,10,"Glycolysis / Gluconeogenesis","KEGG"
"23","path:ath00280",0.182276930483004,0.948586654008661,3,11,"Valine, leucine and isoleucine degradation","KEGG"
"24","path:ath00591",0.185145184866277,1,1,1,"Linoleic acid metabolism","KEGG"
"25","path:ath00052",0.203042191546395,0.960056982595982,2,6,"Galactose metabolism","KEGG"
"26","path:ath00900",0.205416353403987,0.938580761830895,3,11,"Terpenoid backbone biosynthesis","KEGG"
