"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0005576",1.20759312910845e-08,1,52,216,"extracellular region","CC"
"2","GO:0009574",0.00823945853941601,1,2,2,"preprophase band","CC"
"3","GO:0005618",0.0129169656965204,0.995672939558239,10,45,"cell wall","CC"
"4","GO:0031225",0.0151974854292962,0.995244903934258,9,33,"anchored component of membrane","CC"
"5","GO:0016021",0.0210005107751173,0.985905875115012,60,426,"integral component of membrane","CC"
"6","GO:0009505",0.0383273173880109,0.987461523440728,7,32,"plant-type cell wall","CC"
"7","GO:0009524",0.0390548356529839,0.994443740676153,3,10,"phragmoplast","CC"
"8","GO:0005886",0.0626415491715336,0.955559383447086,52,415,"plasma membrane","CC"
"9","GO:0000777",0.0843013228179066,1,1,1,"condensed chromosome kinetochore","CC"
"10","GO:0005872",0.0843013228179066,1,1,1,"minus-end kinesin complex","CC"
"11","GO:0009331",0.096300764388698,1,1,1,"glycerol-3-phosphate dehydrogenase complex","CC"
"12","GO:0005885",0.098104329057426,1,1,1,"Arp2/3 protein complex","CC"
"13","GO:0016020",0.110027717427994,0.929001996597971,23,167,"membrane","CC"
"14","GO:0009506",0.123897263767073,0.926776055793129,15,114,"plasmodesma","CC"
"15","GO:0005754",0.135614350875085,1,1,1,"mitochondrial proton-transporting ATP synthase, catalytic core","CC"
"16","GO:0005802",0.139190869264532,0.9467323390522,5,29,"trans-Golgi network","CC"
"17","GO:0031380",0.159501323879408,0.993102301120353,1,2,"nuclear RNA-directed RNA polymerase complex","CC"
"18","GO:0010330",0.171454827889169,0.991974784200466,1,2,"cellulose synthase complex","CC"
"19","GO:0031595",0.179128365627943,0.991201333733515,1,2,"nuclear proteasome complex","CC"
"20","GO:0008540",0.182713274508553,0.990826502832863,1,2,"proteasome regulatory particle, base subcomplex","CC"
"21","GO:0031597",0.182713274508553,0.990826502832863,1,2,"cytosolic proteasome complex","CC"
"22","GO:0005786",0.189956355849695,0.990042664901171,1,2,"signal recognition particle, endoplasmic reticulum targeting","CC"
"23","GO:0005575",0.20445180229549,0.905012227717482,6,28,"cellular_component","CC"
"24","GO:0000307",0.232642086521568,0.984678072945662,1,2,"cyclin-dependent protein kinase holoenzyme complex","CC"
"25","GO:0010494",0.240460960277106,0.978401807898821,1,3,"cytoplasmic stress granule","CC"
"26","GO:0005794",0.246418509226596,0.838002928234248,14,114,"Golgi apparatus","CC"
"27","GO:0042555",0.246791866071211,0.977171001934595,1,3,"MCM complex","CC"
"28","GO:0032040",0.247061867609229,0.977117648907029,1,3,"small-subunit processome","CC"
"29","GO:0016324",0.249617056979322,0.982175136443053,1,2,"apical plasma membrane","CC"
"30","GO:0000347",0.250223678279311,0.976487591850973,1,3,"THO complex","CC"
"31","GO:0046695",0.252635740613076,0.976000379438021,1,3,"SLIK (SAGA-like) complex","CC"
"32","GO:0046658",0.255798863590529,0.891887690554395,4,23,"anchored component of plasma membrane","CC"
"33","GO:0030127",0.26212551367155,0.980189715116817,1,2,"COPII vesicle coat","CC"
"34","GO:0005871",0.296092378952221,0.911681176119923,2,14,"kinesin complex","CC"
"35","GO:0070971",0.316132948067394,0.961044601612922,1,3,"endoplasmic reticulum exit site","CC"
"36","GO:0048046",0.32423137084161,0.819935588766153,6,41,"apoplast","CC"
"37","GO:0000124",0.324832214386126,0.953992168258857,1,4,"SAGA complex","CC"
"38","GO:0043231",0.334144438660989,0.893377424380937,2,12,"intracellular membrane-bounded organelle","CC"
"39","GO:0005938",0.345480485741397,0.947357183197983,1,4,"cell cortex","CC"
"40","GO:0005874",0.347649238050895,0.827881751103168,4,34,"microtubule","CC"
"41","GO:0090406",0.358172346395687,0.943011233660242,1,4,"pollen tube","CC"
"42","GO:0080008",0.359263222112099,0.877352022632631,2,14,"Cul4-RING E3 ubiquitin ligase complex","CC"
"43","GO:0055028",0.376444106261397,0.932665062475564,1,5,"cortical microtubule","CC"
"44","GO:0005856",0.38880553723635,0.859440845703284,2,14,"cytoskeleton","CC"
"45","GO:0009544",0.391849223701729,0.937329789532834,1,3,"chloroplast ATP synthase complex","CC"
"46","GO:0045261",0.411953650383454,0.92983588848759,1,3,"proton-transporting ATP synthase complex, catalytic core F(1)","CC"
"47","GO:0015629",0.413464878046983,0.92155767652838,1,4,"actin cytoskeleton","CC"
"48","GO:0009705",0.419242577681803,0.839706548290935,2,14,"plant-type vacuole membrane","CC"
"49","GO:0005669",0.419325285599141,0.911348755642275,1,6,"transcription factor TFIID complex","CC"
"50","GO:0031965",0.429251807262263,0.904322554008981,1,7,"nuclear membrane","CC"
"51","GO:0005795",0.481366348294977,0.876030023865936,1,7,"Golgi stack","CC"
"52","GO:0000139",0.507291316402931,0.697386803211717,4,38,"Golgi membrane","CC"
"53","GO:0010319",0.507908688991976,0.862918944669273,1,6,"stromule","CC"
"54","GO:0005768",0.512229997155524,0.693494263669875,4,36,"endosome","CC"
"55","GO:0009534",0.537164248982036,0.67278992144816,4,30,"chloroplast thylakoid","CC"
"56","GO:0005819",0.551551917487438,0.825136098692334,1,9,"spindle","CC"
"57","GO:0009295",0.555754594731491,0.826945650071573,1,7,"nucleoid","CC"
"58","GO:0010287",0.559431363775865,0.824226225533877,1,7,"plastoglobule","CC"
"59","GO:0031966",0.568802921569156,0.821108881544121,1,6,"mitochondrial membrane","CC"
"60","GO:0009536",0.609506695351736,0.628081778394609,3,29,"plastid","CC"
"61","GO:0005773",0.623897279462073,0.544737663519777,6,64,"vacuole","CC"
"62","GO:0009570",0.628806009922606,0.518336689943864,8,77,"chloroplast stroma","CC"
"63","GO:0031977",0.63441069075528,0.758281024625743,1,8,"thylakoid lumen","CC"
"64","GO:0005887",0.634668430388709,0.650180259596953,2,21,"integral component of plasma membrane","CC"
"65","GO:0000790",0.649060676549336,0.739082079349078,1,10,"nuclear chromatin","CC"
"66","GO:0005777",0.700938581283663,0.574854713248649,2,22,"peroxisome","CC"
"67","GO:0009535",0.708536617056758,0.466910955106279,5,45,"chloroplast thylakoid membrane","CC"
"68","GO:0005783",0.758809373516793,0.388013840281926,6,68,"endoplasmic reticulum","CC"
"69","GO:0000502",0.773597719070509,0.582177375288203,1,14,"proteasome complex","CC"
"70","GO:0005737",0.815713175143776,0.232863049583481,45,489,"cytoplasm","CC"
"71","GO:0005789",0.849862186838139,0.357810957234554,2,31,"endoplasmic reticulum membrane","CC"
"72","GO:0005730",0.854353939883675,0.350144052965031,2,31,"nucleolus","CC"
"73","GO:0031969",0.863142380204338,0.424879686276148,1,19,"chloroplast membrane","CC"
"74","GO:0005634",0.890816629363604,0.135930210610884,104,1080,"nucleus","CC"
"75","GO:0005774",0.897699402062871,0.23460211858461,3,53,"vacuolar membrane","CC"
"76","GO:0009579",0.940910011703827,0.238412619544475,1,22,"thylakoid","CC"
"77","GO:0009507",0.950835085667478,0.067744815153201,51,568,"chloroplast","CC"
"78","GO:0005739",0.992479780401089,0.013077640185418,25,318,"mitochondrion","CC"
"79","GO:0005829",0.997332067290333,0.00601967725738691,12,219,"cytosol","CC"
"80","GO:0009941",0.999340239240304,0.0058626516949547,1,62,"chloroplast envelope","CC"
"81","GO:0000123",1,0.646874097067576,0,4,"histone acetyltransferase complex","CC"
"82","GO:0000138",1,0.89565601303803,0,1,"Golgi trans cisterna","CC"
"83","GO:0000145",1,0.692696188812044,0,4,"exocyst","CC"
"84","GO:0000148",1,0.921798059501429,0,2,"1,3-beta-D-glucan synthase complex","CC"
"85","GO:0000151",1,0.697144785741315,0,4,"ubiquitin ligase complex","CC"
"86","GO:0000159",1,0.742705365792688,0,3,"protein phosphatase type 2A complex","CC"
"87","GO:0000164",1,0.896242343232413,0,1,"protein phosphatase type 1 complex","CC"
"88","GO:0000172",1,0.810783142778592,0,1,"ribonuclease MRP complex","CC"
"89","GO:0000176",1,0.774941312795087,0,2,"nuclear exosome (RNase complex)","CC"
"90","GO:0000177",1,0.886055798606207,0,1,"cytoplasmic exosome (RNase complex)","CC"
"91","GO:0000178",1,0.886055798606207,0,1,"exosome (RNase complex)","CC"
"92","GO:0000214",1,0.852938943050505,0,1,"tRNA-intron endonuclease complex","CC"
"93","GO:0000220",1,0.92435328870668,0,1,"vacuolar proton-transporting V-type ATPase, V0 domain","CC"
"94","GO:0000228",1,0.737161482066554,0,3,"nuclear chromosome","CC"
"95","GO:0000275",1,0.897994750577554,0,1,"mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)","CC"
"96","GO:0000311",1,0.720303491540292,0,2,"plastid large ribosomal subunit","CC"
"97","GO:0000312",1,0.495919667866723,0,3,"plastid small ribosomal subunit","CC"
"98","GO:0000325",1,0.768841096133619,0,3,"plant-type vacuole","CC"
"99","GO:0000407",1,0.904232975613587,0,1,"phagophore assembly site","CC"
"100","GO:0000417",1,0.923625553396377,0,1,"HIR complex","CC"
"101","GO:0000418",1,0.746439961578709,0,3,"RNA polymerase IV complex","CC"
"102","GO:0000419",1,0.813920828722273,0,2,"RNA polymerase V complex","CC"
"103","GO:0000421",1,0.904640549584303,0,1,"autophagosome membrane","CC"
