"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0055114",3.0011352700815e-09,1,128,275,"oxidation-reduction process","BP"
"2","GO:0055085",5.3297366873276e-07,0.999999848257869,37,73,"transmembrane transport","BP"
"3","GO:0009834",3.77598138503442e-06,0.999999877338642,13,14,"plant-type secondary cell wall biogenesis","BP"
"4","GO:0009414",5.55295993276109e-06,0.999997996315526,46,90,"response to water deprivation","BP"
"5","GO:0010345",1.80038328277963e-05,0.999998973460541,11,13,"suberin biosynthetic process","BP"
"6","GO:0046274",0.000129123897251203,1,7,7,"lignin catabolic process","BP"
"7","GO:0006857",0.000361269625767307,0.999950404317635,11,16,"oligopeptide transport","BP"
"8","GO:0009611",0.000456088956587516,0.999838263681201,28,53,"response to wounding","BP"
"9","GO:0045490",0.00099307542707488,0.999842976579228,11,16,"pectin catabolic process","BP"
"10","GO:0006979",0.00102594043913289,0.99954478968245,38,76,"response to oxidative stress","BP"
"11","GO:0019762",0.00211934192190735,0.999815905465718,7,9,"glucosinolate catabolic process","BP"
"12","GO:0005975",0.00302321915054162,0.998624033175723,30,71,"carbohydrate metabolic process","BP"
"13","GO:0009926",0.00344999483020388,0.999450985372203,8,13,"auxin polar transport","BP"
"14","GO:0009636",0.0041977875121943,0.999579660355607,7,9,"response to toxic substance","BP"
"15","GO:0042545",0.00570837209025187,0.999189929319425,8,11,"cell wall modification","BP"
"16","GO:0010540",0.00722073415760653,0.998785285864421,7,12,"basipetal auxin transport","BP"
"17","GO:0034220",0.00789074792849025,1,3,3,"ion transmembrane transport","BP"
"18","GO:0033500",0.00805688726769759,1,3,3,"carbohydrate homeostasis","BP"
"19","GO:0080167",0.00849706689647439,0.997240899811846,15,27,"response to karrikin","BP"
"20","GO:0042343",0.00939085857392028,1,4,4,"indole glucosinolate metabolic process","BP"
"21","GO:0009408",0.00972124940720511,0.996073532180086,20,40,"response to heat","BP"
"22","GO:0010200",0.0101600852611045,0.996551136241841,17,28,"response to chitin","BP"
"23","GO:0008272",0.0102253317175671,0.999445013289857,4,5,"sulfate transport","BP"
"24","GO:0010311",0.0103972813316306,0.997350870478806,10,18,"lateral root formation","BP"
"25","GO:0005985",0.0110267041113985,0.998901460866003,5,7,"sucrose metabolic process","BP"
"26","GO:0009737",0.0113343838387558,0.993721663057794,38,94,"response to abscisic acid","BP"
"27","GO:0031408",0.0128260610220897,0.997746372715857,7,11,"oxylipin biosynthetic process","BP"
"28","GO:0006749",0.0141298189990673,0.995780025333212,13,21,"glutathione metabolic process","BP"
"29","GO:0006817",0.0146429604836312,0.998421184791143,5,7,"phosphate ion transport","BP"
"30","GO:2000652",0.015373023594176,0.998105198645453,6,8,"regulation of secondary cell wall biogenesis","BP"
"31","GO:0006952",0.0155564086333389,0.990856519500956,43,106,"defense response","BP"
"32","GO:0010143",0.0159090631792039,0.999001864503974,4,5,"cutin biosynthetic process","BP"
"33","GO:0043086",0.0170838601492997,0.998557641686648,6,7,"negative regulation of catalytic activity","BP"
"34","GO:0009809",0.0171416608528455,0.996268217285496,8,13,"lignin biosynthetic process","BP"
"35","GO:0006855",0.0173312985758907,0.994371954192643,11,24,"drug transmembrane transport","BP"
"36","GO:0009624",0.0193899724502641,0.994173730980078,10,20,"response to nematode","BP"
"37","GO:0005982",0.019399714262261,0.99697749897725,5,9,"starch metabolic process","BP"
"38","GO:0006873",0.0196302676631225,1,3,3,"cellular ion homeostasis","BP"
"39","GO:0009738",0.0198022171338141,0.991358378282963,19,40,"abscisic acid-activated signaling pathway","BP"
"40","GO:0071555",0.0207909079952343,0.990829602424927,18,42,"cell wall organization","BP"
