"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0020037",2.72920785971684e-07,0.999999925275773,43,70,"heme binding","MF"
"2","GO:0015293",1.01994486072035e-06,0.999999934877474,14,17,"symporter activity","MF"
"3","GO:0019825",1.77533970850802e-05,0.999995761206672,26,41,"oxygen binding","MF"
"4","GO:0016709",2.08700199395282e-05,0.999996999326961,18,24,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen","MF"
"5","GO:0004601",3.34105168687866e-05,0.999994980331602,18,24,"peroxidase activity","MF"
"6","GO:0008194",4.99684012233151e-05,0.999989714866013,21,31,"UDP-glycosyltransferase activity","MF"
"7","GO:0004553",5.25196835606036e-05,0.999983911563117,28,54,"hydrolase activity, hydrolyzing O-glycosyl compounds","MF"
"8","GO:0016491",6.85201233243436e-05,0.999972482052312,44,87,"oxidoreductase activity","MF"
"9","GO:0042626",0.000115988549792931,0.999978569960594,14,25,"ATPase activity, coupled to transmembrane movement of substances","MF"
"10","GO:0052716",0.000129123897251203,1,7,7,"hydroquinone:oxygen oxidoreductase activity","MF"
"11","GO:0035673",0.000168252789091232,0.9999887441337,9,11,"oligopeptide transmembrane transporter activity","MF"
"12","GO:0015333",0.000618530642702405,0.999953054183947,8,10,"peptide:proton symporter activity","MF"
"13","GO:1904680",0.000618530642702405,0.999953054183947,8,10,"peptide transmembrane transporter activity","MF"
"14","GO:0046910",0.000649288326609612,0.999942483349816,10,12,"pectinesterase inhibitor activity","MF"
"15","GO:0008271",0.000840640670865479,0.999965626989537,6,7,"secondary active sulfate transmembrane transporter activity","MF"
"16","GO:0015116",0.000840640670865479,0.999965626989537,6,7,"sulfate transmembrane transporter activity","MF"
"17","GO:0015301",0.000840640670865479,0.999965626989537,6,7,"anion:anion antiporter activity","MF"
"18","GO:0005215",0.00131756957526184,0.999439212749315,30,70,"transporter activity","MF"
"19","GO:0005506",0.00142478750107828,0.999445646495389,27,54,"iron ion binding","MF"
"20","GO:0080043",0.00194229954212857,0.9995351758128,15,23,"quercetin 3-O-glucosyltransferase activity","MF"
"21","GO:0005351",0.00197489528120634,0.999544298240448,12,22,"carbohydrate:proton symporter activity","MF"
"22","GO:0015144",0.00223760249328816,0.999474840496538,12,22,"carbohydrate transmembrane transporter activity","MF"
"23","GO:0044212",0.00237022869397112,0.999008468974634,30,57,"transcription regulatory region DNA binding","MF"
"24","GO:0008559",0.00327904904588089,0.999874920063226,4,5,"xenobiotic transmembrane transporting ATPase activity","MF"
"25","GO:0071949",0.00336089831493936,0.999110826278747,13,24,"FAD binding","MF"
"26","GO:0080044",0.0038433228394841,0.999023274663675,14,22,"quercetin 7-O-glucosyltransferase activity","MF"
"27","GO:0016627",0.00456569339874806,0.999581722059402,6,8,"oxidoreductase activity, acting on the CH-CH group of donors","MF"
"28","GO:0010328",0.0057458306665094,0.999740002862805,4,5,"auxin influx transmembrane transporter activity","MF"
"29","GO:0004185",0.00717761394060282,0.999575866655898,5,6,"serine-type carboxypeptidase activity","MF"
"30","GO:0005249",0.00789074792849025,1,3,3,"voltage-gated potassium channel activity","MF"
"31","GO:0015075",0.00789074792849025,1,3,3,"ion transmembrane transporter activity","MF"
"32","GO:0035251",0.00881293974863482,0.99863450794856,8,11,"UDP-glucosyltransferase activity","MF"
"33","GO:0030551",0.00932837976135402,0.99950839730321,4,5,"cyclic nucleotide binding","MF"
"34","GO:0016157",0.0100996573381653,1,3,3,"sucrose synthase activity","MF"
"35","GO:0050062",0.0106653746051031,0.99941320779738,4,5,"long-chain-fatty-acyl-CoA reductase activity","MF"
"36","GO:0030599",0.0111840552655548,0.998305175560344,7,10,"pectinesterase activity","MF"
"37","GO:0045330",0.0111840552655548,0.998305175560344,7,10,"aspartyl esterase activity","MF"
"38","GO:0015238",0.0118488409584262,0.99681527382992,10,19,"drug transmembrane transporter activity","MF"
"39","GO:0010329",0.012201100683121,0.998077989473479,6,10,"auxin efflux transmembrane transporter activity","MF"
"40","GO:0004857",0.0125076964540989,0.997914291120916,8,11,"enzyme inhibitor activity","MF"
"41","GO:0043565",0.0162869709257195,0.989987538525944,52,122,"sequence-specific DNA binding","MF"
"42","GO:0004497",0.0186757185303473,0.993552049221968,13,25,"monooxygenase activity","MF"
"43","GO:0102483",0.0197341467090988,0.995101735868319,8,15,"scopolin beta-glucosidase activity","MF"
"44","GO:0008324",0.0226935574824302,0.998393623957032,4,5,"cation transmembrane transporter activity","MF"
"45","GO:0030246",0.0227307172942034,0.989702287925252,19,43,"carbohydrate binding","MF"
"46","GO:0090447",0.0236387503207116,1,3,3,"glycerol-3-phosphate 2-O-acyltransferase activity","MF"
"47","GO:0004629",0.0236890032437162,1,3,3,"phospholipase C activity","MF"
"48","GO:0009672",0.0237905859655287,0.998288196698842,4,5,"auxin:proton symporter activity","MF"
