"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0019825",1.43934730290348e-07,0.999999985628983,14,27,"oxygen binding","MF"
"2","GO:0016709",3.21181577689223e-07,0.999999973945351,12,21,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen","MF"
"3","GO:0020037",1.74992879417262e-06,0.999999764662135,14,31,"heme binding","MF"
"4","GO:0005506",1.93457695291934e-05,0.999997122826356,12,29,"iron ion binding","MF"
"5","GO:0004497",0.000137116929856926,0.999988395647121,7,13,"monooxygenase activity","MF"
"6","GO:0043531",0.000420217532524696,0.999947993729492,7,19,"ADP binding","MF"
"7","GO:0030247",0.000576422270211296,0.999986803801408,4,5,"polysaccharide binding","MF"
"8","GO:0030246",0.000641215040438598,0.99989969123919,8,22,"carbohydrate binding","MF"
"9","GO:0004675",0.000964238307932167,0.999834953212869,8,24,"transmembrane receptor protein serine/threonine kinase activity","MF"
"10","GO:0016847",0.00114373439716751,1,3,3,"1-aminocyclopropane-1-carboxylate synthase activity","MF"
"11","GO:0016301",0.00286106001499339,0.998737750323069,23,137,"kinase activity","MF"
"12","GO:0030170",0.00545445525716588,0.999524998782897,4,8,"pyridoxal phosphate binding","MF"
"13","GO:0045735",0.00997660031464955,0.999610846736351,3,4,"nutrient reservoir activity","MF"
"14","GO:0071949",0.0141864633530605,1,2,2,"FAD binding","MF"
"15","GO:0004568",0.0145015612494215,1,2,2,"chitinase activity","MF"
"16","GO:0050660",0.0207811511293532,0.998164959811471,3,6,"flavin adenine dinucleotide binding","MF"
"17","GO:0016705",0.0269327378694545,0.997110508790554,3,7,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","MF"
"18","GO:0005516",0.0282719261520586,0.992302438619643,6,27,"calmodulin binding","MF"
"19","GO:0003774",0.0289606624789472,1,1,1,"motor activity","MF"
"20","GO:0005509",0.0498896577971062,0.982785930794527,7,31,"calcium ion binding","MF"
"21","GO:0030145",0.0624716936693444,0.996493921094416,2,3,"manganese ion binding","MF"
"22","GO:0004499",0.0642860826453546,0.994911582156737,2,4,"N,N-dimethylaniline monooxygenase activity","MF"
"23","GO:0005198",0.0647496188185989,0.994082774149422,2,5,"structural molecule activity","MF"
"24","GO:0009055",0.0664678893844918,0.984459431759432,4,13,"electron transfer activity","MF"
"25","GO:0004190",0.0761823904196561,0.985732631008351,3,10,"aspartic-type endopeptidase activity","MF"
"26","GO:0016298",0.0801985162775526,0.991702069468871,2,5,"lipase activity","MF"
"27","GO:0016627",0.0803610611400412,1,1,1,"oxidoreductase activity, acting on the CH-CH group of donors","MF"
"28","GO:0080019",0.0803610611400412,1,1,1,"fatty-acyl-CoA reductase (alcohol-forming) activity","MF"
"29","GO:0102965",0.0803610611400412,1,1,1,"alcohol-forming fatty acyl-CoA reductase activity","MF"
