"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","ARA:PWY-5884",0.00351420449203427,0.99980403311812,6,7,"wax esters biosynthesis I","BioCyc"
"2","ARA:PWY-1782",0.0196636989894983,1,4,4,"superpathway of indole-3-acetate conjugate biosynthesis","BioCyc"
"3","ARA:PWY-6051",0.0247807640080795,1,4,4,"2,4,6-trinitrotoluene degradation","BioCyc"
"4","ARA:PWY-5267",0.0581352793538598,1,3,3,"glucosinolate activation","BioCyc"
"5","ARA:PWY-1081",0.0596526896359562,0.98731838681616,6,9,"homogalacturonan degradation","BioCyc"
"6","ARA:PWY-5272",0.077798970335523,1,3,3,"abscisic acid glucose ester metabolism","BioCyc"
"7","ARA:LIPAS-PWY",0.0785374850409478,0.965426555803488,13,26,"triacylglycerol degradation","BioCyc"
"8","ARA:PWY-4081",0.0815422828232611,0.992276570080885,3,4,"glutathione-peroxide redox reactions","BioCyc"
"9","ARA:PWY-5989",0.0849944463194491,0.979551172679872,5,9,"stearate biosynthesis II (bacteria and plants)","BioCyc"
"10","ARA:CAMALEXIN-SYN",0.0854272404440848,0.979727751732538,6,9,"camalexin biosynthesis","BioCyc"
"11","ARA:PWY-6733",0.0876312432800652,0.974071777189439,6,12,"sporopollenin precursors biosynthesis","BioCyc"
"12","ARA:PWY-5321",0.0955869679313427,0.969197759271216,8,13,"quercetin glycoside biosynthesis (Arabidopsis)","BioCyc"
"13","ARA:PWY-6266",0.0955869679313427,0.969197759271216,8,13,"superpathway of flavones and derivatives biosynthesis","BioCyc"
"14","ARA:PWY-6266-ARA",0.0955869679313427,0.969197759271216,8,13,"superpathway of flavones and derivatives biosynthesis","BioCyc"
"15","ARA:PWY-6348",0.101927024933211,0.974399751107659,6,9,"phosphate acquisition","BioCyc"
"16","ARA:PWY-2021",0.104208028987605,1,2,2,"indole-3-acetate degradation IV","BioCyc"
"17","ARA:PWY-5788",0.104208028987605,1,2,2,"indole-3-acetate degradation V","BioCyc"
"18","ARA:PWY-6219",0.104208028987605,1,2,2,"indole-3-acetyl-amide conjugate biosynthesis","BioCyc"
"19","ARA:PROUT-PWY",0.109189940999978,1,2,2,"L-proline degradation","BioCyc"
"20","ARA:GLYSYN-ALA-PWY",0.111682291622093,1,2,2,"glycine biosynthesis III","BioCyc"
"21","ARA:PWY-3941",0.111682291622093,1,2,2,"&beta;-alanine biosynthesis II","BioCyc"
"22","ARA:PWY-6367",0.12095310905161,1,2,2,"D-myo-inositol-5-phosphate metabolism","BioCyc"
"23","ARA:PWY-6842",0.123623055229135,0.944327569501036,13,22,"glutathione-mediated detoxification II","BioCyc"
"24","ARA:PWY-6475",0.129191426413555,0.98463343262905,3,4,"trans-lycopene biosynthesis II (plants)","BioCyc"
"25","ARA:PWY-5971",0.138436757072761,0.958092661764231,5,10,"palmitate biosynthesis II (bacteria and plants)","BioCyc"
"26","ARA:PWY-861",0.154386734483879,1,2,2,"dhurrin biosynthesis","BioCyc"
"27","ARA:PWY-5098",0.161482054327409,0.978383852181449,3,4,"chlorophyll a degradation I","BioCyc"
"28","ARA:GLUT-REDOX-PWY",0.163812370961628,0.983212758833412,2,3,"glutathione-glutaredoxin redox reactions","BioCyc"
"29","ARA:PWY-5320",0.178712852660682,0.974705099343936,3,4,"kaempferol glycoside biosynthesis (Arabidopsis)","BioCyc"
"30","ARA:PWY-1001",0.179608746658406,0.980404661815731,2,3,"cellulose biosynthesis","BioCyc"
"31","ARA:PWY-321",0.187698678059713,0.945261390629293,4,8,"cutin biosynthesis","BioCyc"
"32","ARA:PWY-7416",0.201717550611239,0.933630716464091,5,9,"phospholipid remodeling (phosphatidylcholine, yeast)","BioCyc"
"33","ARA:PWY-5453",0.209712032426639,0.967486717978387,3,4,"methylglyoxal degradation III","BioCyc"
"34","ARA:PWY-6786",0.209712032426639,0.967486717978387,3,4,"detoxification of reactive carbonyls in chloroplasts","BioCyc"
"35","ARA:PWY-5973",0.21907627257485,0.951996622533111,3,5,"cis-vaccenate biosynthesis","BioCyc"
