"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0005576",5.00150067485238e-17,1,190,372,"extracellular region","CC"
"2","GO:0016021",4.95462383582136e-08,1,291,780,"integral component of membrane","CC"
"3","GO:0009505",9.72425974578603e-07,0.999999722239236,40,68,"plant-type cell wall","CC"
"4","GO:0016020",2.78786311328783e-06,0.999998966400112,140,366,"membrane","CC"
"5","GO:0005887",1.19605475750507e-05,0.999997550468146,21,35,"integral component of plasma membrane","CC"
"6","GO:0005886",6.57796830189772e-05,0.999955290069169,220,643,"plasma membrane","CC"
"7","GO:0000325",0.000188554695405037,0.999988315362805,8,10,"plant-type vacuole","CC"
"8","GO:0005618",0.00206789011172498,0.998924558378291,46,109,"cell wall","CC"
"9","GO:0048046",0.00268358689126115,0.998628641244275,42,98,"apoplast","CC"
"10","GO:0043231",0.0576170977926637,0.971606970648943,17,39,"intracellular membrane-bounded organelle","CC"
"11","GO:0009705",0.064690323275958,0.975954314561275,9,20,"plant-type vacuole membrane","CC"
"12","GO:0009506",0.0709455848342467,0.947619965081645,67,215,"plasmodesma","CC"
"13","GO:0005773",0.0838414080880136,0.941835283596186,44,132,"vacuole","CC"
"14","GO:0005575",0.0889009145021189,0.95014355083248,22,46,"cellular_component","CC"
"15","GO:0055035",0.0931825327882884,1,2,2,"plastid thylakoid membrane","CC"
"16","GO:0048226",0.101536058327943,1,2,2,"Casparian strip","CC"
"17","GO:0005774",0.107839112922456,0.927840744303719,32,98,"vacuolar membrane","CC"
"18","GO:0031012",0.11772256033439,0.977636535869685,4,6,"extracellular matrix","CC"
"19","GO:0031225",0.138039036250035,0.921754060489069,17,39,"anchored component of membrane","CC"
"20","GO:0010168",0.145373127961712,0.974156887158534,3,5,"ER body","CC"
"21","GO:0030121",0.166536348060866,1,1,1,"AP-1 adaptor complex","CC"
"22","GO:0009331",0.172616407311811,0.981565070042781,2,3,"glycerol-3-phosphate dehydrogenase complex","CC"
"23","GO:0016589",0.172920097235589,1,1,1,"NURF complex","CC"
"24","GO:0031969",0.191907508724606,0.895224512447427,11,31,"chloroplast membrane","CC"
"25","GO:0000421",0.192391007809569,0.960463268701842,3,5,"autophagosome membrane","CC"
"26","GO:0048476",0.217990790872343,1,1,1,"Holliday junction resolvase complex","CC"
"27","GO:0031314",0.220455140222571,1,1,1,"extrinsic component of mitochondrial inner membrane","CC"
"28","GO:0035267",0.225222613773787,1,1,1,"NuA4 histone acetyltransferase complex","CC"
"29","GO:0042170",0.23151553922406,1,1,1,"plastid membrane","CC"
"30","GO:0031519",0.232415665174512,1,1,1,"PcG protein complex","CC"
"31","GO:0000778",0.246354029164179,1,1,1,"condensed nuclear chromosome kinetochore","CC"
"32","GO:0031262",0.246354029164179,1,1,1,"Ndc80 complex","CC"
"33","GO:0071944",0.248899028830864,1,1,1,"cell periphery","CC"
"34","GO:0005786",0.254608468980895,1,1,1,"signal recognition particle, endoplasmic reticulum targeting","CC"
