cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8
AT5G40590.1,AT2G37180.1,AT2G04160.1,AT2G37170.1,AT5G01490.2,AT1G20450.1,AT1G76970.1,AT4G36430.1
AT2G47550.1,AT4G12550.1,AT1G67270.1,AT3G59930.1,AT2G01270.2,AT5G02230.1,AT2G43050.1,AT1G17180.1
AT5G38940.1,AT2G36830.1,AT2G19190.1,AT1G64160.1,AT5G15640.2,AT1G64380.1,AT5G37540.1,AT5G24160.3
AT3G46280.1,AT5G15180.1,AT2G02010.1,AT1G01680.1,AT3G56210.2,AT2G16720.1,AT1G62790.2,AT5G23220.1
AT5G25440.1,AT5G47450.1,AT2G43620.1,AT3G09300.1,AT5G52260.1,AT3G09540.1,AT5G01620.1,AT5G43260.1
AT1G49570.1,AT5G65390.1,AT1G14550.1,AT5G15290.1,AT5G62420.1,AT1G62510.1,AT1G30220.1,AT4G36040.1
AT5G39580.1,AT1G75750.1,AT4G18170.1,AT5G33355.1,AT5G37490.1,AT3G51850.1,AT4G35100.1,AT5G26340.1
AT4G18940.1,AT4G38620.1,AT1G52343.1,AT5G60400.2,AT2G29220.1,AT1G62480.1,AT4G13620.1,AT5G65870.1
AT2G44578.1,AT1G72430.1,AT3G23250.1,AT4G15290.1,AT2G41880.7,AT5G46600.1,AT2G45900.3,AT3G26650.1
AT4G28850.1,AT5G10430.1,AT3G48920.1,AT2G19060.1,AT2G42120.2,AT2G47630.1,AT1G53610.1,AT5G64230.1
AT3G10720.2,AT1G22740.1,AT1G51920.1,AT4G40010.1,AT1G07135.1,AT2G02130.1,AT3G53980.2,AT3G10490.3
AT2G18350.1,AT4G17340.1,AT3G22240.1,AT1G54320.1,AT3G61610.1,AT2G31340.1,AT5G61020.1,AT2G18360.1
AT1G13480.1,AT5G44574.1,AT1G51680.1,AT2G42300.3,AT5G10740.1,AT1G35340.5,AT1G78880.1,AT5G08400.2
AT1G65570.1,AT2G34070.1,AT1G22360.1,AT5G19040.3,AT2G16530.1,AT2G15970.2,AT1G12080.2,AT5G19440.1
AT4G16710.1,AT1G23800.1,AT5G45280.2,AT5G54700.2,AT4G34640.1,AT3G45970.1,AT4G01140.1,AT3G44310.3
AT3G27950.1,AT3G16570.1,AT5G36907.1,AT3G62700.1,AT4G39880.1,AT3G56310.1,AT2G17120.1,AT1G55920.1
AT3G53180.1,AT4G23870.1,AT1G69920.1,AT5G04860.2,AT5G01640.1,AT4G24220.1,AT5G46900.1,AT1G33590.3
AT5G60530.1,AT5G02890.1,AT4G24570.1,AT5G19930.1,AT1G08500.1,AT3G14850.2,AT1G49730.1,AT4G15975.1
AT5G17330.1,AT2G40060.1,AT1G02810.1,AT2G23350.1,AT5G48900.1,AT3G56940.1,AT2G25760.2,AT5G10210.1
AT1G47600.1,AT1G30380.1,AT1G23560.1,AT1G52750.1,AT1G30290.1,AT1G20440.1,AT4G35100.2,AT4G11350.1
AT5G36880.3,AT5G09440.1,AT1G37130.1,AT5G43540.1,AT5G51160.1,AT5G35200.1,AT1G68300.1,AT4G14070.1
AT1G18420.1,AT4G20760.1,AT5G24110.1,AT4G23650.1,AT2G47810.1,AT5G62550.1,AT4G02260.2,AT1G75410.2
AT3G02240.1,AT5G67440.1,AT3G29000.1,AT3G29410.2,AT3G47110.1,AT3G04240.2,AT4G37940.4,AT5G63560.1
AT4G13390.2,AT3G26300.1,AT5G22300.1,AT5G64813.3,AT3G13432.1,AT2G23090.1,AT2G18800.1,AT4G01450.2
AT3G49960.1,AT3G16850.1,AT2G25810.1,AT1G03210.1,AT5G59680.1,AT2G26290.1,ATCG00480.1,AT1G06650.2
AT2G38870.1,AT1G08190.1,AT5G36925.1,AT4G11530.1,AT5G05360.2,AT1G10960.1,AT2G39210.1,AT2G43060.1
AT4G25220.1,AT3G53420.2,AT4G22470.1,AT5G56450.1,AT3G48940.1,AT3G11260.1,AT3G56000.1,AT1G73500.1
AT4G19680.2,AT1G77990.1,AT1G47130.1,AT5G24760.2,AT4G34390.2,AT1G13900.1,AT4G39000.1,AT1G72680.1
AT5G24140.1,AT3G27170.1,AT1G25275.1,AT1G78460.1,AT4G00755.1,AT3G56860.8,AT1G73410.1,AT5G49700.1
AT4G22080.1,AT2G34585.1,AT1G66160.1,AT4G22780.1,AT2G33560.2,AT5G58780.1,AT5G59880.1,AT2G43500.8
AT2G29000.1,AT4G12730.1,AT1G18980.1,AT2G41600.4,AT1G26240.1,AT5G25280.2,AT5G01750.2,AT1G54030.2
AT3G01730.1,AT4G35090.1,AT5G28610.1,AT2G42390.1,AT4G11280.1,AT3G51390.1,AT1G76180.2,AT1G76520.1
AT4G13390.1,AT5G03150.1,AT2G39400.1,AT1G51270.13,AT3G59090.1,AT2G30210.1,AT3G17430.2,AT3G16450.1
AT1G33610.1,AT5G46860.1,AT3G23570.1,AT4G33720.1,AT1G61560.2,AT4G33070.1,AT5G23870.3,AT1G19490.1
AT5G01620.2,AT3G61430.2,AT5G04020.1,AT3G48740.1,AT3G52920.1,AT3G62860.2,AT2G45560.1,AT1G21000.1
AT5G60950.1,AT2G32300.1,AT1G33030.1,AT4G35500.2,AT2G01320.6,AT3G26290.2,AT5G06220.3,AT2G38940.1
AT1G49030.1,AT3G18160.1,AT5G35525.1,AT2G14825.1,AT5G19740.1,AT4G34135.2,AT2G45960.1,AT3G11330.1
AT1G52760.1,AT4G36670.1,AT1G21590.1,AT5G64140.1,AT5G06900.1,AT5G63860.1,AT1G27670.1,AT3G13190.2
AT3G28580.1,AT5G44130.1,AT1G76470.1,AT5G65740.4,AT3G26830.1,AT1G50000.1,AT5G57080.1,AT1G60730.1
AT5G19340.1,AT4G26320.1,AT5G25460.1,AT5G01510.1,AT3G11230.3,AT1G75090.1,AT2G44300.1,AT1G79820.1
AT4G07960.2,AT2G31955.2,AT1G76930.2,AT2G47930.1,AT3G52400.1,AT1G14480.1,AT4G18700.1,AT5G11520.1
AT3G54150.1,AT2G20080.1,AT2G39450.1,AT3G16180.1,AT1G03660.1,AT5G55730.2,AT5G01550.1,AT4G27595.1
AT4G20450.1,AT5G03545.1,AT1G51390.1,AT5G63625.1,AT1G24240.1,AT3G22620.1,AT5G20680.6,AT2G37710.1
AT5G38700.1,AT4G27040.2,AT1G02930.2,AT2G44610.1,AT4G23980.1,AT3G61200.1,AT2G27960.1,AT1G19397.1
AT4G18950.1,AT3G22570.2,AT1G56250.1,AT5G10600.1,AT3G45880.2,AT5G43780.1,AT5G52280.1,AT4G25270.1
AT1G51850.2,AT2G35810.2,AT2G29460.1,AT4G08040.1,AT2G47910.1,AT1G64900.1,AT5G56870.1,AT2G01610.1
AT3G60280.1,AT4G22120.4,AT1G02930.1,AT3G02100.1,AT1G21090.1,AT4G05180.2,AT2G24250.2,AT3G49590.1
AT5G16920.1,AT5G19050.1,AT5G57090.1,AT3G62240.1,AT2G38170.3,AT4G36480.3,AT5G06370.1,AT2G32530.1
AT1G51800.1,AT5G52310.1,AT5G03500.4,AT4G10920.1,AT2G46620.1,AT1G54090.1,AT3G48180.1,AT5G28650.1
AT5G19880.1,AT5G24410.1,AT3G22850.1,AT4G16447.1,AT4G32640.2,AT5G03560.2,AT2G46370.2,AT2G41620.1
AT1G19380.1,AT3G61260.1,AT5G13330.1,AT2G48030.1,AT2G16750.2,AT1G53910.3,AT1G07320.3,AT5G63850.1
AT2G46860.1,AT3G59370.1,AT4G22540.3,AT1G74270.1,AT2G22800.1,AT1G66760.1,AT2G32260.1,AT2G45600.1
AT3G17860.1,AT1G65970.1,AT5G27610.1,AT2G25710.1,AT1G13310.1,AT4G33760.1,AT5G46890.1,AT5G49390.1
AT5G51060.1,AT5G05800.2,AT3G57470.4,AT4G39030.1,AT5G40330.1,AT4G17440.2,AT4G31140.1,AT2G03360.2
AT1G08320.4,AT2G33790.1,AT1G33540.1,AT5G37370.4,AT4G33790.1,AT1G15810.1,AT1G29050.1,AT3G21520.1
AT3G55720.1,AT4G02020.1,AT1G80190.5,AT3G23340.1,AT5G45590.1,AT5G48960.1,AT2G42040.1,AT3G01370.1
AT5G63270.1,AT4G16520.2,AT4G12840.2,AT5G10720.1,AT1G35230.1,AT3G51750.1,AT2G43900.2,AT3G17810.1
AT5G22410.1,AT3G18990.1,AT1G77380.1,AT5G14750.2,AT5G48630.1,AT4G20260.10,AT2G41190.1,AT5G53350.1
AT1G62440.1,AT3G22600.1,AT4G02330.1,AT4G29560.1,AT4G37680.5,AT1G12500.1,AT4G38040.2,AT1G25350.1
AT2G25300.1,AT2G20230.1,AT1G66180.1,AT3G02190.1,AT1G17560.1,AT3G46010.1,AT3G55450.2,AT5G13740.1
AT1G04280.2,AT4G24960.1,AT5G39610.1,AT1G52790.1,AT2G22250.2,AT4G21580.2,AT5G60870.1,AT3G02630.1
AT5G06630.1,AT3G09910.1,AT5G01540.1,AT3G47600.1,AT3G13030.4,AT1G79850.1,AT4G04960.1,AT3G50130.1
AT5G64110.1,AT1G66230.1,AT5G64905.1,AT5G51960.1,AT1G18570.1,AT4G28025.1,AT5G51290.2,AT3G46130.1
AT1G61380.1,AT2G36100.1,AT5G06740.1,AT3G02610.2,AT5G22875.1,AT1G52230.1,AT5G14890.1,AT2G23420.1
AT4G04570.1,AT3G26520.1,AT5G06860.1,AT1G53300.1,AT3G46000.1,AT4G12540.2,AT5G44530.2,AT4G22740.2
AT4G08620.1,AT3G01150.1,AT2G29200.1,AT5G37790.1,AT1G69790.2,AT1G76540.1,AT1G28090.5,AT2G46030.3
AT5G24070.1,AT2G18550.1,AT2G16500.1,AT5G10280.1,AT2G24720.1,AT2G27970.1,AT1G27180.8,AT3G62770.1
AT2G26070.1,AT5G59450.1,AT3G47380.1,AT2G22930.1,AT4G33200.4,AT1G54780.1,AT3G23510.1,AT5G09760.1
AT3G62680.1,AT5G20280.1,AT4G22690.1,AT1G09155.1,AT4G05420.1,AT1G10650.1,AT1G67650.1,AT5G24290.1
AT4G01700.1,AT3G49690.1,AT1G19180.3,AT5G19190.1,AT5G47770.1,AT1G74470.1,AT4G05450.1,AT2G46930.1
AT1G12950.1,AT1G04170.1,AT5G42830.1,AT1G27210.1,AT2G14440.1,AT1G76390.1,AT5G56540.1,AT1G77122.1
AT5G06640.1,AT4G25830.1,AT4G13090.1,AT3G01380.2,AT1G47230.2,AT5G03455.1,AT5G22040.2,AT2G41380.1
AT3G13610.1,AT5G60660.1,AT3G11840.1,AT5G58030.1,AT3G28930.3,AT3G10850.1,AT3G53420.1,AT5G51200.2
AT5G55400.2,AT5G45650.1,AT3G22160.1,AT5G20930.1,AT3G27150.1,AT1G35780.1,AT2G19480.2,AT5G40160.1
AT5G04960.1,AT5G53250.1,AT5G57190.1,AT5G23330.1,AT1G13390.1,AT1G22110.3,AT3G55790.1,AT2G36650.1
AT5G23010.1,AT1G01620.1,AT4G27100.2,AT1G61790.1,AT1G30300.2,AT1G10090.1,AT1G24735.1,AT5G64240.1
AT1G61860.1,AT2G34610.1,AT4G13300.1,AT4G10640.1,AT2G46020.4,AT5G55730.1,AT5G03380.1,AT5G35735.1
AT5G48070.1,AT5G42500.1,AT4G22710.1,AT2G28360.1,AT5G09290.1,AT1G73170.2,AT1G64960.2,AT1G14205.1
AT4G19030.1,AT2G28060.2,AT3G05160.1,AT4G39350.1,AT5G44860.1,AT5G23840.1,AT1G72230.1,AT1G79420.1
AT5G42980.1,AT2G45180.1,AT1G05675.1,AT4G35380.2,AT2G04070.1,AT3G11340.1,AT1G67440.2,AT3G50700.1
AT3G55560.1,AT2G03680.1,AT4G29780.1,AT4G14695.1,AT2G45460.4,AT3G47570.1,AT4G29210.2,AT4G01440.3
AT2G41100.1,AT2G14110.2,AT1G75820.1,AT3G50470.1,AT4G31710.1,AT1G80480.1,AT5G59720.1,AT5G44610.2
