"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0006833",1.9349941491327e-05,0.999997285691663,11,28,"water transport","BP"
"2","GO:0000278",5.42153401057814e-05,0.99998317135485,21,94,"mitotic cell cycle","BP"
"3","GO:0032544",0.00019640409788067,0.99998037989593,7,15,"plastid translation","BP"
"4","GO:0090342",0.00025714542183138,0.999987619231522,5,8,"regulation of cell aging","BP"
"5","GO:0000079",0.000394111331622786,0.999899480778763,13,50,"regulation of cyclin-dependent protein serine/threonine kinase activity","BP"
"6","GO:0051301",0.000509347301160416,0.999738015091149,41,279,"cell division","BP"
"7","GO:0007088",0.000764708798855276,0.999834047489369,10,35,"regulation of mitotic nuclear division","BP"
"8","GO:0009838",0.00140912991333052,0.999870895514561,5,11,"abscission","BP"
"9","GO:0010583",0.00294199118134589,0.999209549826719,10,41,"response to cyclopentenone","BP"
"10","GO:0045787",0.00320037362409367,0.999126740323365,10,42,"positive regulation of cell cycle","BP"
"11","GO:0043433",0.00320872182239189,0.999917790630066,3,4,"negative regulation of DNA-binding transcription factor activity","BP"
"12","GO:0045038",0.00357436344124421,0.99972216971268,4,8,"protein import into chloroplast thylakoid membrane","BP"
"13","GO:0010431",0.0036242362512124,0.99941433324271,6,18,"seed maturation","BP"
"14","GO:0045292",0.00397119560849674,0.99863534495737,13,65,"mRNA cis splicing, via spliceosome","BP"
"15","GO:0008284",0.00407635581321163,0.99867146169904,12,57,"positive regulation of cell proliferation","BP"
"16","GO:2000636",0.00475670318610956,0.999794929099054,3,5,"positive regulation of primary miRNA processing","BP"
"17","GO:1901259",0.0054299955624961,0.999030587029362,6,19,"chloroplast rRNA processing","BP"
"18","GO:0048443",0.0066253496794471,0.9985069641605,7,27,"stamen development","BP"
"19","GO:0010342",0.00682810065741956,1,2,2,"endosperm cellularization","BP"
"20","GO:0007043",0.00764240795858944,0.999606829416216,3,5,"cell-cell junction assembly","BP"
"21","GO:0006505",0.00765275754233505,1,2,2,"GPI anchor metabolic process","BP"
"22","GO:2001295",0.00765555007130889,0.999535005716335,3,6,"malonyl-CoA biosynthetic process","BP"
"23","GO:0019447",0.00814570240505361,1,2,2,"D-cysteine catabolic process","BP"
"24","GO:0000914",0.00869672952309733,0.999445948633064,3,6,"phragmoplast assembly","BP"
"25","GO:0043087",0.00875240472088137,1,2,2,"regulation of GTPase activity","BP"
"26","GO:0000381",0.00924466098597079,0.996441358013952,13,71,"regulation of alternative mRNA splicing, via spliceosome","BP"
"27","GO:0009793",0.00956956342793572,0.993692924113328,55,467,"embryo development ending in seed dormancy","BP"
"28","GO:0006538",0.00963290948738411,0.999362249562387,3,6,"glutamate catabolic process","BP"
"29","GO:0006607",0.0102052209037005,0.998240488787996,5,17,"NLS-bearing protein import into nucleus","BP"
"30","GO:0080170",0.0103740665644332,0.998757086602536,4,10,"hydrogen peroxide transmembrane transport","BP"
"31","GO:0080187",0.0105524629173341,0.998681967464377,4,11,"floral organ senescence","BP"
"32","GO:0009955",0.011238598981886,0.998569473449019,4,11,"adaxial/abaxial pattern specification","BP"
"33","GO:0006633",0.0125316813488368,0.994238663548421,17,106,"fatty acid biosynthetic process","BP"
"34","GO:0036065",0.0129669594128732,0.999038961282315,3,6,"fucosylation","BP"
"35","GO:0009742",0.0133655901315365,0.993977600944478,16,99,"brassinosteroid mediated signaling pathway","BP"
"36","GO:0007049",0.0138575225964549,0.993226690709634,19,127,"cell cycle","BP"
"37","GO:0048441",0.0153692180067813,0.997787685350204,4,12,"petal development","BP"
"38","GO:0010440",0.0160616384895546,0.997656678402245,4,12,"stomatal lineage progression","BP"
"39","GO:0080009",0.0163003700179044,0.998551455839379,3,7,"mRNA methylation","BP"
"40","GO:0045036",0.0170224643949899,0.995280140499842,7,31,"protein targeting to chloroplast","BP"
"41","GO:0033314",0.0177515908333291,0.998369784627716,3,7,"mitotic DNA replication checkpoint","BP"
"42","GO:0051693",0.0183127050018576,0.99618143964701,5,21,"actin filament capping","BP"
"43","GO:0048363",0.0188039548427185,0.999460770853659,2,3,"mucilage pectin metabolic process","BP"
"44","GO:0051289",0.0189918202610614,0.998209700147174,3,7,"protein homotetramerization","BP"
"45","GO:0032508",0.0196122797994695,0.995870942640711,5,20,"DNA duplex unwinding","BP"
"46","GO:0006950",0.0205612404133285,0.996690347247054,4,13,"response to stress","BP"
"47","GO:0009610",0.0206038918861601,0.99668135157215,4,13,"response to symbiotic fungus","BP"
"48","GO:0051014",0.0207267455076454,0.997758375327085,3,9,"actin filament severing","BP"
"49","GO:0006268",0.0209850540189282,0.996538532656178,4,14,"DNA unwinding involved in DNA replication","BP"
"50","GO:0009451",0.0211411905781939,0.987941834045168,26,186,"RNA modification","BP"
"51","GO:0072718",0.0214666558629251,0.99933825032312,2,3,"response to cisplatin","BP"
"52","GO:0009645",0.0217138013265669,0.99652272809852,4,12,"response to low light intensity stimulus","BP"
"53","GO:0033194",0.0217886457431636,0.99932282222919,2,3,"response to hydroperoxide","BP"
"54","GO:0062034",0.0226471198047949,0.999281057369345,2,3,"L-pipecolic acid biosynthetic process","BP"
"55","GO:0035436",0.0226508998870184,0.999280871450953,2,3,"triose phosphate transmembrane transport","BP"
"56","GO:0010268",0.0228635894149826,0.993210437897791,7,33,"brassinosteroid homeostasis","BP"
"57","GO:0006270",0.0239642453756797,0.993652288804411,6,27,"DNA replication initiation","BP"
"58","GO:0031222",0.0248374103776816,0.997238388200828,3,8,"arabinan catabolic process","BP"
"59","GO:0006760",0.0251240540814448,0.999155507436273,2,3,"folic acid-containing compound metabolic process","BP"
"60","GO:0006120",0.025886452410978,0.994189371083002,5,19,"mitochondrial electron transport, NADH to ubiquinone","BP"
"61","GO:0051726",0.0259812217953969,0.987269940728765,16,107,"regulation of cell cycle","BP"
"62","GO:0043328",0.0262104347059521,0.995448496127069,4,13,"protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway","BP"
"63","GO:0080175",0.0267067923909489,0.998702431293659,2,4,"phragmoplast microtubule organization","BP"
"64","GO:0034508",0.0270070495031105,0.996896679726762,3,8,"centromere complex assembly","BP"
"65","GO:0009880",0.0272338730181641,0.995053791870057,4,15,"embryonic pattern specification","BP"
"66","GO:0010030",0.0279328278879694,0.992331074959666,6,27,"positive regulation of seed germination","BP"
"67","GO:0006869",0.0287900941086541,0.985719781969974,16,106,"lipid transport","BP"
"68","GO:0030433",0.0290722173574066,0.989942828772603,8,43,"ubiquitin-dependent ERAD pathway","BP"
"69","GO:0007346",0.0300399390738071,0.994455510885052,4,14,"regulation of mitotic cell cycle","BP"
"70","GO:0048507",0.0305469514432046,0.994247341922226,4,15,"meristem development","BP"
"71","GO:0033499",0.0311816499208524,0.994176101704632,4,14,"galactose catabolic process via UDP-galactose","BP"
"72","GO:0043622",0.0322169856015182,0.987734875591777,9,52,"cortical microtubule organization","BP"
"73","GO:0045454",0.0332729790805579,0.980899856021521,23,166,"cell redox homeostasis","BP"
"74","GO:0031647",0.0333005649132109,0.995526035629648,3,10,"regulation of protein stability","BP"
"75","GO:1903705",0.0338712221072916,0.998124119604237,2,4,"positive regulation of production of siRNA involved in RNA interference","BP"
"76","GO:0045836",0.0361951610729492,0.994973359558277,3,10,"positive regulation of meiotic nuclear division","BP"
"77","GO:0006426",0.0386903994489636,0.997692502186316,2,4,"glycyl-tRNA aminoacylation","BP"
"78","GO:0051321",0.0420787143615605,0.981187503746981,11,76,"meiotic cell cycle","BP"
"79","GO:0015713",0.0423338832415935,0.997344562765769,2,4,"phosphoglycerate transmembrane transport","BP"
"80","GO:0097502",0.0431760770569905,0.997261555813359,2,4,"mannosylation","BP"
"81","GO:0080086",0.0438643016852452,0.997193014223812,2,4,"stamen filament development","BP"
"82","GO:0010183",0.045363179268037,0.985776306076164,6,31,"pollen tube guidance","BP"
"83","GO:0006183",0.0455716543830973,0.993266832904202,3,9,"GTP biosynthetic process","BP"
"84","GO:2000034",0.0460069263476258,0.996516064994714,2,5,"regulation of seed maturation","BP"
"85","GO:0009107",0.0464699243547359,0.996927788472992,2,4,"lipoate biosynthetic process","BP"
