"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0015250",5.87242086730987e-06,0.999999015941053,14,39,"water channel activity","MF"
"2","GO:0003729",0.000157626982461786,0.999904794846489,80,608,"mRNA binding","MF"
"3","GO:0008135",0.000462846210399779,0.999954873906508,6,14,"translation factor activity, RNA binding","MF"
"4","GO:0003723",0.00095937407513788,0.999335276689443,112,961,"RNA binding","MF"
"5","GO:0016538",0.00115340860159421,0.999683820405693,12,50,"cyclin-dependent protein serine/threonine kinase regulator activity","MF"
"6","GO:0005515",0.00138732876727638,0.998850267175202,429,4290,"protein binding","MF"
"7","GO:0052793",0.0019730579862393,0.999723513731385,6,17,"pectin acetylesterase activity","MF"
"8","GO:0051082",0.00464058342519142,0.997755461596722,24,153,"unfolded protein binding","MF"
"9","GO:0003989",0.00575971475350684,0.999420280827955,4,10,"acetyl-CoA carboxylase activity","MF"
"10","GO:0030941",0.00641372023184125,0.999365951719126,4,9,"chloroplast targeting sequence binding","MF"
"11","GO:0005200",0.00702267299322362,0.997997743224366,9,39,"structural constituent of cytoskeleton","MF"
"12","GO:0033818",0.00787793200446489,1,2,2,"beta-ketoacyl-acyl-carrier-protein synthase III activity","MF"
"13","GO:0008660",0.00814570240505361,1,2,2,"1-aminocyclopropane-1-carboxylate deaminase activity","MF"
"14","GO:0019148",0.00814570240505361,1,2,2,"D-cysteine desulfhydrase activity","MF"
"15","GO:0004351",0.00963290948738411,0.999362249562387,3,6,"glutamate decarboxylase activity","MF"
"16","GO:0047134",0.00981091234916891,0.998377578730028,5,15,"protein-disulfide reductase activity","MF"
"17","GO:0008026",0.0122264085377174,0.994695155926357,15,97,"ATP-dependent helicase activity","MF"
"18","GO:0102216",0.0124202598221654,0.999715250567508,2,3,"maltodextrin water dikinase","MF"
"19","GO:0102218",0.0124202598221654,0.999715250567508,2,3,"starch, H2O dikinase activity","MF"
"20","GO:0001872",0.0128378233590922,0.999052166972483,3,6,"(1->3)-beta-D-glucan binding","MF"
"21","GO:0046524",0.0168706225313345,0.999543890557922,2,3,"sucrose-phosphate synthase activity","MF"
"22","GO:0015299",0.0179135010678776,0.99723656489736,4,13,"solute:proton antiporter activity","MF"
"23","GO:0000822",0.0179465949150991,0.999498252035618,2,3,"inositol hexakisphosphate binding","MF"
"24","GO:0008395",0.0181819985972705,0.999488058502797,2,3,"steroid hydroxylase activity","MF"
"25","GO:0009671",0.02037131743345,0.999389753721691,2,3,"nitrate:proton symporter activity","MF"
"26","GO:0019843",0.0249435204205056,0.988579009932168,14,84,"rRNA binding","MF"
"27","GO:0045486",0.0254754090506665,0.999137102257546,2,3,"naringenin 3-dioxygenase activity","MF"
"28","GO:0043874",0.0349440754599923,0.99803091354757,2,4,"acireductone synthase activity","MF"
"29","GO:0046570",0.0349440754599923,0.99803091354757,2,4,"methylthioribulose 1-phosphate dehydratase activity","MF"
