"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","path:ath03010",5.63548405424577e-17,1,129,372,"Ribosome","KEGG"
"2","path:ath04075",2.27299539682674e-05,0.999988614866206,68,285,"Plant hormone signal transduction","KEGG"
"3","path:ath00510",0.0016188796682148,0.999416970990264,18,62,"N-Glycan biosynthesis","KEGG"
"4","path:ath00440",0.0244694517606497,0.995094126527661,5,13,"Phosphonate and phosphinate metabolism","KEGG"
"5","path:ath00604",0.0249777891541905,0.99761337822583,3,6,"Glycosphingolipid biosynthesis - ganglio series","KEGG"
"6","path:ath00511",0.0403573238089831,0.986777261593569,7,28,"Other glycan degradation","KEGG"
"7","path:ath04130",0.0577579261448771,0.972061963986648,13,52,"SNARE interactions in vesicular transport","KEGG"
"8","path:ath04712",0.0733331523522823,0.965227088491536,11,48,"Circadian rhythm - plant","KEGG"
"9","path:ath00430",0.111454689622633,0.96198180972681,5,19,"Taurine and hypotaurine metabolism","KEGG"
"10","path:ath00531",0.138313596770678,0.96535298187161,3,11,"Glycosaminoglycan degradation","KEGG"
"11","path:ath00590",0.149489825981498,0.943929975822574,5,19,"Arachidonic acid metabolism","KEGG"
"12","path:ath00100",0.150118764716243,0.926869229118836,8,39,"Steroid biosynthesis","KEGG"
"13","path:ath00740",0.153192284927007,0.935578941687889,6,24,"Riboflavin metabolism","KEGG"
"14","path:ath03015",0.173672734829894,0.874959832751822,29,184,"mRNA surveillance pathway","KEGG"
"15","path:ath00190",0.17845827724882,0.873349805677046,27,146,"Oxidative phosphorylation","KEGG"
"16","path:ath00562",0.195477227178232,0.873138014376096,16,99,"Inositol phosphate metabolism","KEGG"
"17","path:ath03018",0.206779871450598,0.853964938768788,23,142,"RNA degradation","KEGG"
"18","path:ath04016",0.213137684845619,0.844829498427865,27,157,"MAPK signaling pathway - plant","KEGG"
"19","path:ath04070",0.234689667023693,0.840686986159664,17,105,"Phosphatidylinositol signaling system","KEGG"
"20","path:ath00910",0.243801627492838,0.854500241486272,10,55,"Nitrogen metabolism","KEGG"
"21","path:ath00563",0.271938307829528,0.850880637760737,7,38,"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","KEGG"
"22","path:ath03060",0.277017171527964,0.817797283226379,13,72,"Protein export","KEGG"
"23","path:ath03440",0.287448411302566,0.812059298299183,12,74,"Homologous recombination","KEGG"
"24","path:ath00220",0.299440440600571,0.822801895593671,8,47,"Arginine biosynthesis","KEGG"
"25","path:ath00603",0.312061647036814,0.910583754072422,2,8,"Glycosphingolipid biosynthesis - globo and isoglobo series","KEGG"
"26","path:ath00770",0.315492956310441,0.818562297605005,7,39,"Pantothenate and CoA biosynthesis","KEGG"
"27","path:ath00260",0.33372462217911,0.763660909323022,15,94,"Glycine, serine and threonine metabolism","KEGG"
"28","path:ath04933",0.355831842427904,0.810708357448661,5,26,"AGE-RAGE signaling pathway in diabetic complications","KEGG"
"29","path:ath04141",0.36016415578548,0.704511269158967,39,255,"Protein processing in endoplasmic reticulum","KEGG"
"30","path:ath00600",0.368668417332584,0.785331489800721,6,39,"Sphingolipid metabolism","KEGG"
"31","path:ath00290",0.370028718637249,0.79843060336876,5,29,"Valine, leucine and isoleucine biosynthesis","KEGG"
"32","path:ath03020",0.3787843375175,0.760372730770174,8,44,"RNA polymerase","KEGG"
"33","path:ath00670",0.41106627719308,0.76559935700049,5,30,"One carbon pool by folate","KEGG"
"34","path:ath03040",0.441316977622065,0.623770337874441,44,308,"Spliceosome","KEGG"
"35","path:ath00280",0.466783909669872,0.660042867271403,11,78,"Valine, leucine and isoleucine degradation","KEGG"
"36","path:ath00900",0.486262594627256,0.642851307409598,11,70,"Terpenoid backbone biosynthesis","KEGG"
"37","path:ath04626",0.487463216903622,0.589763222247675,32,216,"Plant-pathogen interaction","KEGG"
"38","path:ath00908",0.558439292183661,0.68373165319208,3,20,"Zeatin biosynthesis","KEGG"
"39","path:ath04122",0.560404826068879,0.652727971969976,4,25,"Sulfur relay system","KEGG"
"40","path:ath03013",0.568656095389428,0.513199291601975,28,207,"RNA transport","KEGG"
"41","path:ath03420",0.574280754753185,0.554465842947985,11,83,"Nucleotide excision repair","KEGG"
"42","path:ath00640",0.594362445001965,0.565196624783153,7,55,"Propanoate metabolism","KEGG"
"43","path:ath00760",0.597456303870332,0.64389996191662,3,22,"Nicotinate and nicotinamide metabolism","KEGG"
"44","path:ath04145",0.598473675176896,0.508751033996959,16,110,"Phagosome","KEGG"
"45","path:ath00250",0.6043111995112,0.536258586075771,9,71,"Alanine, aspartate and glutamate metabolism","KEGG"
"46","path:ath00270",0.621181649123285,0.469030006441682,22,161,"Cysteine and methionine metabolism","KEGG"
"47","path:ath00591",0.662497518625187,0.730383920004245,1,8,"Linoleic acid metabolism","KEGG"
"48","path:ath00785",0.670372748790407,0.731696568991364,1,6,"Lipoic acid metabolism","KEGG"
"49","path:ath00630",0.686218685199016,0.416742166379313,15,118,"Glyoxylate and dicarboxylate metabolism","KEGG"
"50","path:ath03022",0.702243851723182,0.436497018364171,8,66,"Basal transcription factors","KEGG"
"51","path:ath00660",0.730502407458022,0.650183167189941,1,9,"C5-Branched dibasic acid metabolism","KEGG"
"52","path:ath03430",0.740783490067903,0.427019452522714,5,43,"Mismatch repair","KEGG"
"53","path:ath00966",0.744556547137622,0.473814331682202,3,25,"Glucosinolate biosynthesis","KEGG"
"54","path:ath00051",0.757954063186091,0.362521708778047,9,74,"Fructose and mannose metabolism","KEGG"
"55","path:ath02010",0.76008985447015,0.496798064722335,2,24,"ABC transporters","KEGG"
"56","path:ath00073",0.762363784272923,0.49783584085866,2,19,"Cutin, suberine and wax biosynthesis","KEGG"
"57","path:ath00860",0.769508420934283,0.356007666941585,8,65,"Porphyrin and chlorophyll metabolism","KEGG"
