"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","ARA:CAMALEXIN-SYN",2.16310208111333e-05,0.999997225530504,10,28,"camalexin biosynthesis","BioCyc"
"2","ARA:ETHYL-PWY",0.000330274312253809,0.999943537841426,9,31,"ethylene biosynthesis I (plants)","BioCyc"
"3","ARA:PWY-7270",0.000695947492530384,0.999849115113335,10,41,"L-methionine salvage cycle II (plants)","BioCyc"
"4","ARA:PWY-5337",0.00787124553152563,0.999079732547522,4,12,"stachyose biosynthesis","BioCyc"
"5","ARA:PWY-5934",0.00970053224360817,0.998765597917322,4,13,"iron reduction and absorption","BioCyc"
"6","ARA:PWY-6745",0.0116126415412625,0.999098879612143,3,7,"phytochelatins biosynthesis","BioCyc"
"7","ARA:SAM-PWY",0.0127352673242443,0.998976592830255,3,7,"S-adenosyl-L-methionine biosynthesis","BioCyc"
"8","ARA:PWY-5129",0.0244879245013537,0.993407056583044,6,32,"sphingolipid biosynthesis (plants)","BioCyc"
"9","ARA:PWY-3461",0.0255248025310817,0.997025353875942,3,9,"L-tyrosine biosynthesis II","BioCyc"
"10","ARA:METHIONINE-DEG1-PWY",0.0271515856682412,0.996758207322952,3,9,"L-methionine degradation I (to L-homocysteine)","BioCyc"
"11","ARA:PWY-3481",0.0278366733905952,0.994881616836051,4,16,"superpathway of L-phenylalanine and L-tyrosine biosynthesis","BioCyc"
"12","ARA:PWYQT-4433",0.0294843407687802,0.998494934838557,2,4,"CA1P biosynthesis","BioCyc"
"13","ARA:PWYQT-4432",0.030366237387178,0.998424537904588,2,4,"glutathione degradation","BioCyc"
"14","ARA:PWY490-4",0.0315944725121931,0.998324537135603,2,4,"L-asparagine biosynthesis III (tRNA-dependent)","BioCyc"
"15","ARA:PWY-5060",0.031958002696841,0.998294506206797,2,4,"luteolin biosynthesis","BioCyc"
"16","ARA:PWY-6952",0.0345569122227964,0.99305780940152,4,18,"glycerophosphodiester degradation","BioCyc"
"17","ARA:PWY-6443",0.0492299669239087,0.980948729658608,8,54,"benzoate biosynthesis I (CoA-dependent, &beta;-oxidative)","BioCyc"
"18","ARA:PWY-7346",0.0506376807163908,0.995972257879184,2,5,"UDP-&alpha;-D-glucuronate biosynthesis (from UDP-glucose)","BioCyc"
"19","ARA:PWYQT-4471",0.0507206613191696,0.980251675597456,8,54,"glucosinolate biosynthesis from dihomomethionine","BioCyc"
"20","ARA:PWY-7528",0.0598328891541296,0.98229659561621,5,28,"L-methionine salvage cycle I (bacteria and plants)","BioCyc"
"21","ARA:COMPLETE-ARO-ARA-PWY",0.0612493475347338,0.979095380259962,6,38,"superpathway of phenylalanine, tyrosine and tryptophan biosynthesis","BioCyc"
"22","ARA:PWY-3462",0.0677498151029964,0.987207107034465,3,13,"L-phenylalanine biosynthesis II","BioCyc"
"23","ARA:PWY-6369",0.0729212137218858,0.991877497004976,2,7,"inositol pyrophosphates biosynthesis","BioCyc"
