"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0031225",0.00123821583815666,0.999382047532846,33,219,"anchored component of membrane","CC"
"2","GO:0005874",0.00243710092355728,0.998717763016775,34,219,"microtubule","CC"
"3","GO:0046658",0.00301756214912497,0.998618676129812,23,143,"anchored component of plasma membrane","CC"
"4","GO:0045261",0.00512567419731661,0.999772831856311,3,5,"proton-transporting ATP synthase complex, catalytic core F(1)","CC"
"5","GO:0009544",0.00515048187168707,0.999771323906285,3,5,"chloroplast ATP synthase complex","CC"
"6","GO:0005839",0.00702631668875979,0.99818500674477,8,33,"proteasome core complex","CC"
"7","GO:0046695",0.00762011550287269,0.999608405182257,3,5,"SLIK (SAGA-like) complex","CC"
"8","GO:0042555",0.0146670945392432,0.998860318565093,3,6,"MCM complex","CC"
"9","GO:0043229",0.020607751142641,0.997994704923741,3,7,"intracellular organelle","CC"
"10","GO:0005886",0.0207942198863062,0.981911602435887,415,4146,"plasma membrane","CC"
"11","GO:0005795",0.0209898255215397,0.993923940587609,7,31,"Golgi stack","CC"
"12","GO:0033186",0.0255014585262716,0.999135728562572,2,3,"CAF-1 complex","CC"
"13","GO:0009534",0.0280122898070213,0.982876848452612,30,238,"chloroplast thylakoid","CC"
"14","GO:0005871",0.0283811094812475,0.986796925854819,14,82,"kinesin complex","CC"
"15","GO:0005669",0.0325842314639401,0.990721245350875,6,27,"transcription factor TFIID complex","CC"
"16","GO:0045263",0.0341644844626048,0.995505512664905,3,9,"proton-transporting ATP synthase complex, coupling factor F(o)","CC"
"17","GO:0045259",0.0370536225861924,0.99784279720481,2,4,"proton-transporting ATP synthase complex","CC"
"18","GO:0005576",0.0379048769152667,0.96796961139242,216,2155,"extracellular region","CC"
"19","GO:0000811",0.0398298460433111,0.994427824389532,3,9,"GINS complex","CC"
"20","GO:0019773",0.0469446570295412,0.989719393502914,4,16,"proteasome core complex, alpha-subunit complex","CC"
"21","GO:0000790",0.0504312751962233,0.977910603694621,10,62,"nuclear chromatin","CC"
"22","GO:0000502",0.0596496323431748,0.968881366100717,14,98,"proteasome complex","CC"
"23","GO:0009295",0.0632931016168638,0.976079094232763,7,40,"nucleoid","CC"
"24","GO:0005720",0.0728791096213327,0.986197547065773,3,11,"nuclear heterochromatin","CC"
"25","GO:0031595",0.0734812681059632,0.992733226227338,2,5,"nuclear proteasome complex","CC"
"26","GO:0000347",0.0775218402286947,0.984929224798836,3,11,"THO complex","CC"
"27","GO:0005658",0.0778968691532095,0.992030355449776,2,5,"alpha DNA polymerase:primase complex","CC"
"28","GO:0042644",0.0782662272458327,0.974974258151357,5,26,"chloroplast nucleoid","CC"
"29","GO:0005856",0.07948155350067,0.956650600598893,14,101,"cytoskeleton","CC"
"30","GO:0005655",0.0822855824379215,1,1,1,"nucleolar ribonuclease P complex","CC"
"31","GO:0005754",0.0842175899704507,1,1,1,"mitochondrial proton-transporting ATP synthase, catalytic core","CC"
"32","GO:0030896",0.0846984764484602,1,1,1,"checkpoint clamp complex","CC"
"33","GO:0005674",0.0854668715766637,1,1,1,"transcription factor TFIIF complex","CC"
"34","GO:0031390",0.0859807065923456,1,1,1,"Ctf18 RFC-like complex","CC"
"35","GO:0000123",0.0861976364540699,0.976200427822491,4,19,"histone acetyltransferase complex","CC"
"36","GO:0034709",0.0864131594915427,1,1,1,"methylosome","CC"
"37","GO:0098687",0.089543927846896,1,1,1,"chromosomal region","CC"
"38","GO:0010240",0.0901641545364738,1,1,1,"plastid pyruvate dehydrogenase complex","CC"
"39","GO:0019898",0.0916051608137838,0.965250750474261,6,35,"extrinsic component of membrane","CC"
"40","GO:0009535",0.0928809231751027,0.931483707839549,45,420,"chloroplast thylakoid membrane","CC"
"41","GO:1905202",0.0930305121111722,1,1,1,"methylcrotonoyl-CoA carboxylase complex","CC"
"42","GO:0009511",0.0953156845263399,1,1,1,"plasmodesmatal endoplasmic reticulum","CC"
"43","GO:0043601",0.0956509891604833,1,1,1,"nuclear replisome","CC"
"44","GO:0005872",0.098323834644718,1,1,1,"minus-end kinesin complex","CC"
"45","GO:0070209",0.0986475390593874,1,1,1,"ASTRA complex","CC"
"46","GO:0009507",0.0990663961332568,0.909455355193824,568,6019,"chloroplast","CC"
"47","GO:0070652",0.103998988482793,0.98637251194014,2,6,"HAUS complex","CC"
"48","GO:0010330",0.104913238579637,0.986180795688982,2,6,"cellulose synthase complex","CC"
"49","GO:0016602",0.109758026273838,0.966591024537926,4,21,"CCAAT-binding factor complex","CC"
"50","GO:0031380",0.110431048339959,0.985001149838645,2,6,"nuclear RNA-directed RNA polymerase complex","CC"
"51","GO:0055028",0.111862763037166,0.959872557874178,5,28,"cortical microtubule","CC"
"52","GO:0010369",0.113697080425089,0.97304875771753,3,13,"chromocenter","CC"
"53","GO:0000124",0.116140906168421,0.963923394383095,4,21,"SAGA complex","CC"
"54","GO:0005634",0.118071553364024,0.890165127818515,1080,11592,"nucleus","CC"
"55","GO:0000312",0.120494266289346,0.970046282240774,3,15,"plastid small ribosomal subunit","CC"
"56","GO:0031977",0.120668304363547,0.942619440101834,8,57,"thylakoid lumen","CC"
"57","GO:0008541",0.133257654042229,0.956263659852815,4,22,"proteasome regulatory particle, lid subcomplex","CC"
"58","GO:0000418",0.14263157954439,0.961762467138862,3,15,"RNA polymerase IV complex","CC"
"59","GO:0009517",0.146058282881054,0.974489458085143,2,8,"PSII associated light-harvesting complex II","CC"
"60","GO:0045298",0.146432370568797,0.960271965004319,3,15,"tubulin complex","CC"
"61","GO:0005851",0.148432674471516,0.95947965975589,3,15,"eukaryotic translation initiation factor 2B complex","CC"
"62","GO:0005763",0.157544905555464,0.955435892701976,3,16,"mitochondrial small ribosomal subunit","CC"
"63","GO:0000445",0.162132256438656,0.969795805032286,2,8,"THO complex part of transcription export complex","CC"
"64","GO:0031597",0.162356972502584,0.96972786805669,2,8,"cytosolic proteasome complex","CC"
"65","GO:0009923",0.16870009486807,0.992216270017921,1,2,"fatty acid elongase complex","CC"
"66","GO:0031417",0.170063245809646,0.9920837768943,1,2,"NatC complex","CC"
"67","GO:0030875",0.172048068383998,0.966737572792268,2,8,"rDNA protrusion","CC"
"68","GO:0005854",0.172579747448656,0.965755211831449,2,9,"nascent polypeptide-associated complex","CC"
"69","GO:0005635",0.174144973250682,0.896150346696505,12,95,"nuclear envelope","CC"
"70","GO:0005835",0.176247524025079,0.991467215138183,1,2,"fatty acid synthase complex","CC"
