"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"ath04146","ath04146","Peroxisome","37/898","87/5018",6.02843496755819e-08,6.631278464314e-06,5.64769170644925e-06,"AT4G14070/AT3G05970/AT4G18360/AT4G34890/AT3G23790/AT3G44550/AT5G65110/AT5G14590/AT1G20620/AT4G04320/AT1G08830/AT2G35690/AT1G79810/AT4G35090/AT4G05530/AT2G26350/AT1G04710/AT5G27600/AT2G47240/AT2G01490/AT2G45690/AT3G11980/AT2G42770/AT3G04460/AT5G08470/AT5G22500/AT2G26800/AT3G44540/AT5G62810/AT2G28190/AT3G12800/AT5G43140/AT1G54340/AT5G43280/AT2G33150/AT1G20630/AT1G49430",37
"ath03050","ath03050","Proteasome","26/898","60/5018",3.7361509391341e-06,0.000205488301652376,0.000175009175569966,"AT3G51260/AT4G31300/AT4G38630/AT1G09100/AT5G38650/AT3G26340/AT1G53750/AT3G13330/AT5G20000/AT2G27020/AT2G26590/AT5G23540/AT4G14800/AT1G56450/AT5G40580/AT2G20580/AT4G28470/AT1G20200/AT5G58290/AT1G45000/AT4G19006/AT3G60820/AT3G53970/AT4G29040/AT1G04810/AT3G11270",26
"ath01212","ath01212","Fatty acid metabolism","28/898","69/5018",7.49394177243942e-06,0.000274777864989445,0.000234021339560389,"AT4G14070/AT3G02630/AT3G05970/AT3G04000/AT3G23790/AT3G06810/AT5G65110/AT2G30200/AT1G36180/AT5G47720/AT3G16170/AT5G46290/AT2G35690/AT1G08510/AT4G13180/AT1G04710/AT5G27600/AT5G16240/AT2G47240/AT2G43710/AT1G74960/AT3G12120/AT4G29010/AT3G06860/AT5G15530/AT4G17480/AT2G33150/AT1G49430",28
"ath00564","ath00564","Glycerophospholipid metabolism","34/898","96/5018",2.71434549557189e-05,0.000746445011282269,0.000635728287120784,"AT1G48600/AT1G32200/AT4G09760/AT3G03530/AT4G19860/AT1G80860/AT3G03310/AT2G26830/AT1G80950/AT1G55180/AT2G41540/AT4G30340/AT3G48610/AT1G62430/AT2G38110/AT1G13560/AT5G07920/AT2G42010/AT3G05510/AT2G38670/AT5G42870/AT4G35790/AT4G22340/AT1G15080/AT3G16785/AT1G06520/AT1G74320/AT1G74210/AT1G51260/AT3G09560/AT3G05630/AT3G10370/AT3G25585/AT3G11430",34
"ath00480","ath00480","Glutathione metabolism","35/898","102/5018",4.470601444759e-05,0.000983532317846979,0.000837649533860107,"AT1G17180/AT1G65820/AT1G78380/AT2G29480/AT2G29420/AT3G09270/AT1G07890/AT4G35970/AT5G02780/AT2G29470/AT1G78340/AT1G09420/AT5G14590/AT2G29450/AT1G44790/AT1G17170/AT4G30920/AT1G19570/AT2G29490/AT3G23580/AT1G78320/AT4G23100/AT1G63770/AT3G54660/AT2G31570/AT1G02950/AT1G54340/AT5G02790/AT1G77490/AT3G24170/AT5G62480/AT2G24200/AT5G41670/AT5G41240/AT2G47730",35
"ath00061","ath00061","Fatty acid biosynthesis","19/898","43/5018",5.51277517895923e-05,0.00101067544947586,0.000860766650749774,"AT4G14070/AT3G02630/AT3G05970/AT3G04000/AT3G23790/AT2G30200/AT1G36180/AT3G16170/AT5G46290/AT1G08510/AT4G13180/AT5G27600/AT5G16240/AT2G47240/AT2G43710/AT1G74960/AT3G25110/AT5G15530/AT1G49430",19
"ath00071","ath00071","Fatty acid degradation","20/898","47/5018",6.79268836363448e-05,0.00106742245714256,0.000909096638140555,"AT4G14070/AT3G05970/AT3G23790/AT3G06810/AT1G22430/AT5G65110/AT5G47720/AT2G35690/AT3G48000/AT1G04710/AT5G27600/AT2G47240/AT5G58860/AT4G29010/AT3G06860/AT1G54100/AT4G34240/AT1G44170/AT2G33150/AT1G49430",20
"ath00561","ath00561","Glycerolipid metabolism","23/898","61/5018",0.000185422916230419,0.00254956509816826,0.00217139994006675,"AT1G32200/AT1G48300/AT5G01220/AT1G73480/AT3G48000/AT4G30340/AT3G17770/AT2G38110/AT5G07920/AT3G06510/AT5G42870/AT1G15080/AT1G06520/AT1G54100/AT4G34240/AT3G03520/AT1G51260/AT3G11670/AT1G44170/AT3G09560/AT4G33030/AT4G31780/AT3G11430",23
"ath04136","ath04136","Autophagy - other","16/898","40/5018",0.000827297607031059,0.0101114151970463,0.00861163590944611,"AT3G49590/AT2G31260/AT3G53930/AT3G18140/AT4G30790/AT4G21980/AT3G19190/AT4G30510/AT5G61500/AT4G04620/AT5G45900/AT3G08850/AT5G66930/AT3G15580/AT3G18770/AT3G61710",16
"ath00592","ath00592","alpha-Linolenic acid metabolism","16/898","44/5018",0.00269318281238515,0.0286801413064547,0.024426149055258,"AT1G20480/AT1G13280/AT5G65110/AT1G76690/AT4G19860/AT2G35690/AT3G03310/AT1G04710/AT3G01420/AT4G29010/AT3G06860/AT1G20490/AT1G73680/AT1G76680/AT2G33150/AT5G42650",16
