"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001510","GO:0001510","RNA methylation","45/1512","172/20876",1.83206384714506e-14,2.75725608995332e-11,2.24476033481774e-11,"AT3G28900/AT1G63660/AT3G21540/AT3G18130/AT3G05560/AT3G44750/AT3G18165/AT4G00100/AT1G04510/AT3G12270/AT1G50920/AT3G55510/AT3G18600/AT1G26910/AT3G57490/AT3G11964/AT3G22660/AT1G25260/AT1G63780/AT1G23280/AT2G20490/AT5G08180/AT3G03920/AT3G49010/AT5G04600/AT1G09760/AT5G58420/AT2G41840/AT5G52470/AT4G29410/AT2G21580/AT1G18540/AT5G48240/AT5G22440/AT3G46210/AT4G10450/AT4G25630/AT5G15200/AT5G09510/AT1G52930/AT1G18850/AT1G15440/AT5G50810/AT5G16130/AT4G20440",45
"GO:0032504","GO:0032504","multicellular organism reproduction","67/1512","427/20876",1.52230374203744e-09,7.63689043922114e-07,6.21740896747922e-07,"AT5G17490/AT5G06160/AT5G48390/AT3G44750/AT3G57290/AT3G12270/AT5G62490/AT4G37740/AT5G62440/AT5G57390/AT1G80620/AT2G28450/AT1G03860/AT4G02570/AT1G54140/AT2G32410/AT3G20550/AT2G03670/AT4G35560/AT4G09140/AT1G06660/AT5G48720/AT3G07310/AT4G29170/AT1G26660/AT4G21100/AT4G26300/AT2G32940/AT4G37090/AT5G22320/AT2G02880/AT3G60360/AT3G07160/AT3G54350/AT1G01920/AT3G49600/AT3G04820/AT2G28290/AT3G54620/AT3G57040/AT5G05670/AT5G05560/AT1G72560/AT1G30480/AT2G47990/AT2G45280/AT4G24270/AT3G50850/AT2G31980/AT2G41500/AT4G32910/AT2G06990/AT5G06100/AT5G16780/AT2G34780/AT5G61880/AT3G01160/AT5G40840/AT5G42820/AT1G52930/AT3G62420/AT1G51380/AT5G08500/AT5G65180/AT1G17460/AT3G01410/AT3G63400",67
"GO:0010228","GO:0010228","vegetative to reproductive phase transition of meristem","67/1512","449/20876",1.21478085523143e-08,2.60059370024275e-06,2.1172170428974e-06,"AT4G04920/AT5G06160/AT1G30010/AT1G72990/AT1G77080/AT3G10030/AT2G21660/AT3G57290/AT3G49660/AT1G74230/AT1G17680/AT4G14290/AT1G67570/AT3G63060/AT2G26060/AT2G42940/AT5G57390/AT1G24030/AT3G28730/AT2G37340/AT2G32410/AT1G11870/AT3G20550/AT3G14080/AT1G68530/AT1G76710/AT2G43430/AT3G06210/AT5G05800/AT2G31960/AT5G08560/AT5G17690/AT5G24350/AT4G36050/AT3G49600/AT5G62640/AT4G00450/AT2G42280/AT1G32500/AT2G38650/AT2G28290/AT1G36390/AT3G62190/AT4G35450/AT1G72560/AT1G61040/AT4G27630/AT4G00830/AT3G23900/AT1G62750/AT1G77180/AT4G31410/AT2G41500/AT1G23860/AT5G12400/AT4G32910/AT2G06990/AT5G08430/AT5G16780/AT3G24120/AT2G34780/AT4G30200/AT2G43410/AT5G42820/AT3G10390/AT5G66240/AT4G10925",67
"GO:0009560","GO:0009560","embryo sac egg cell differentiation","31/1512","139/20876",1.38237538883335e-08,2.60059370024275e-06,2.1172170428974e-06,"AT5G06160/AT3G12270/AT5G62440/AT1G80620/AT2G28450/AT1G03860/AT1G54140/AT2G03670/AT4G09140/AT4G29170/AT1G26660/AT4G37090/AT5G22320/AT2G02880/AT3G60360/AT3G54350/AT1G01920/AT3G04820/AT5G05670/AT1G30480/AT2G47990/AT2G45280/AT4G24270/AT2G41500/AT2G34780/AT5G61880/AT3G01160/AT5G40840/AT1G52930/AT1G51380/AT3G63400",31
"GO:0009553","GO:0009553","embryo sac development","44/1512","246/20876",2.0720327535085e-08,3.12119753054568e-06,2.54105537720243e-06,"AT5G06160/AT3G12270/AT5G62440/AT1G50240/AT1G80620/AT2G28450/AT1G03860/AT1G54140/AT2G03670/AT5G22000/AT3G11964/AT2G20490/AT4G09140/AT4G29170/AT1G26660/AT4G37090/AT5G22320/AT2G02880/AT3G60360/AT3G54350/AT1G01920/AT3G04820/AT1G61140/AT5G05920/AT1G31660/AT2G34920/AT5G05670/AT5G52820/AT5G05560/AT1G30480/AT2G47990/AT2G45280/AT4G24270/AT2G41500/AT2G34780/AT5G61880/AT2G43410/AT3G01160/AT5G40840/AT1G52930/AT1G51380/AT1G15440/AT4G34200/AT3G63400",44
"GO:0022412","GO:0022412","cellular process involved in reproduction in multicellular organism","37/1512","188/20876",2.07388540235594e-08,3.12119753054568e-06,2.54105537720243e-06,"AT5G06160/AT5G48390/AT3G12270/AT5G62440/AT1G80620/AT2G28450/AT1G03860/AT1G54140/AT2G03670/AT4G35560/AT4G09140/AT1G06660/AT5G48720/AT4G29170/AT1G26660/AT4G37090/AT5G22320/AT2G02880/AT3G60360/AT3G07160/AT3G54350/AT1G01920/AT3G04820/AT5G05670/AT1G30480/AT2G47990/AT2G45280/AT4G24270/AT2G41500/AT5G06100/AT2G34780/AT5G61880/AT3G01160/AT5G40840/AT1G52930/AT1G51380/AT3G63400",37
"GO:0072594","GO:0072594","establishment of protein localization to organelle","69/1512","477/20876",2.63061930538327e-08,3.59916550418347e-06,2.93018265212069e-06,"AT4G16390/AT1G63660/AT3G15352/AT3G52150/AT2G31060/AT3G21540/AT3G63130/AT3G47810/AT3G13180/AT2G40430/AT1G04510/AT3G57290/AT3G12270/AT3G57940/AT3G13810/AT5G62440/AT2G28450/AT1G05940/AT5G05000/AT1G48900/AT4G02195/AT1G13160/AT3G62940/AT5G57180/AT1G62730/AT1G05790/AT5G22000/AT1G75670/AT3G11964/AT3G22660/AT1G11910/AT5G03280/AT5G04600/AT1G22200/AT1G15420/AT4G32760/AT3G04770/AT3G07160/AT2G25910/AT5G03240/AT1G69200/AT2G36070/AT4G35490/AT5G14520/AT4G20130/AT4G35450/AT2G45500/AT2G19080/AT2G30695/AT1G72560/AT4G22720/AT2G45280/AT4G21160/AT3G46210/AT4G00830/AT1G28490/AT4G31410/AT5G66810/AT1G17530/AT5G11500/AT1G33410/AT2G25355/AT1G75660/AT3G62420/AT1G11430/AT1G18850/AT1G15440/AT5G50810/AT4G10925",69
"GO:1901293","GO:1901293","nucleoside phosphate biosynthetic process","68/1512","469/20876",3.02568171093496e-08,3.79470914579759e-06,3.08938027327043e-06,"AT1G63660/AT5G56630/AT3G06650/AT3G18130/AT2G18250/AT3G19120/AT2G27490/AT3G44750/AT2G21660/AT1G07890/AT3G18190/AT1G04510/AT3G12270/AT3G57940/AT3G17240/AT5G55610/AT3G55510/AT1G32380/AT1G20693/AT3G18600/AT1G03860/AT3G06050/AT3G55160/AT4G36020/AT1G26630/AT5G14050/AT3G57490/AT1G28395/AT1G23280/AT2G41430/AT5G08180/AT1G31860/AT4G17360/AT1G11910/AT3G53940/AT5G18820/AT4G04880/AT5G48720/AT1G49760/AT1G14810/AT4G26300/AT4G31790/AT1G32440/AT5G08570/AT1G20960/AT2G15000/AT3G13920/AT1G69200/AT3G23940/AT1G10670/AT2G18220/AT5G64420/AT1G08110/AT1G31660/AT4G29410/AT5G65860/AT4G34740/AT4G35450/AT1G78590/AT5G11240/AT1G28960/AT5G46740/AT4G25630/AT2G34570/AT5G61880/AT1G52930/AT1G15440/AT4G25880",68
"GO:0031047","GO:0031047","gene silencing by RNA","50/1512","311/20876",8.28098649907974e-08,6.92382482284167e-06,5.63688203797007e-06,"AT3G63130/AT1G44780/AT3G62800/AT1G59750/AT5G06950/AT3G57290/AT1G67570/AT1G70180/AT1G50240/AT3G03300/AT3G08980/AT3G09360/AT3G28730/AT1G48900/AT2G01630/AT3G20550/AT5G01400/AT5G47430/AT4G09140/AT1G63480/AT4G29170/AT2G32940/AT5G08560/AT5G17690/AT1G13220/AT3G54230/AT2G36480/AT3G54350/AT3G24340/AT1G77310/AT4G37210/AT1G34355/AT5G20850/AT2G28290/AT3G24590/AT1G61040/AT2G45280/AT1G23860/AT2G06990/AT1G68120/AT5G16780/AT2G34780/AT2G43410/AT1G63640/AT5G40840/AT4G32620/AT1G75660/AT5G65180/AT1G49590/AT3G01410",50
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis","52/1512","345/20876",3.7556225948429e-07,2.09341185379206e-05,1.70430592608076e-05,"AT3G28900/AT3G44750/AT3G13180/AT2G37340/AT1G26630/AT1G11870/AT3G11964/AT1G63780/AT2G20490/AT3G03920/AT3G49010/AT5G11750/AT3G12670/AT3G55330/AT1G41880/AT3G47070/AT1G11750/AT1G06190/AT3G04770/AT3G54050/AT1G69200/AT5G52470/AT4G25080/AT4G35490/AT2G04530/AT1G32500/AT5G14520/AT5G30510/AT1G31660/AT4G20130/AT4G29410/AT4G28210/AT4G34190/AT3G24590/AT5G11240/AT2G30695/AT2G47990/AT5G22440/AT1G67700/AT1G62750/AT4G25630/AT1G73940/AT3G47650/AT1G69740/AT1G64510/AT1G52930/AT1G11430/AT1G15440/AT1G08540/AT5G53070/AT5G16130/AT1G15250",52
