"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0019748",3.88042902409142e-05,0.999999006425251,5,7,"secondary metabolic process","BP"
"2","GO:0042742",0.000175700060201146,0.999958996770997,13,57,"defense response to bacterium","BP"
"3","GO:0055114",0.000743765496965627,0.99967430751803,28,195,"oxidation-reduction process","BP"
"4","GO:0006952",0.00271532189373251,0.99892295137026,18,122,"defense response","BP"
"5","GO:0010112",0.00341773872753729,0.999721030642495,4,9,"regulation of systemic acquired resistance","BP"
"6","GO:0015693",0.00522522690430175,1,2,2,"magnesium ion transport","BP"
"7","GO:0002239",0.00525164147577289,1,2,2,"response to oomycetes","BP"
"8","GO:0050832",0.00556463628208039,0.998340880033025,10,51,"defense response to fungus","BP"
"9","GO:0009081",0.0060150699153133,1,2,2,"branched-chain amino acid metabolic process","BP"
"10","GO:0052746",0.00642792259590397,1,2,2,"inositol phosphorylation","BP"
"11","GO:0010150",0.00752256434566858,0.998780808191398,5,19,"leaf senescence","BP"
"12","GO:0006032",0.00801112508535851,1,2,2,"chitin catabolic process","BP"
"13","GO:0009817",0.0107195067461714,0.999193392410582,3,7,"defense response to fungus, incompatible interaction","BP"
"14","GO:0032958",0.0111648665119949,0.999759527030166,2,3,"inositol phosphate biosynthetic process","BP"
"15","GO:0005975",0.0115350800410451,0.996674715855306,8,44,"carbohydrate metabolic process","BP"
"16","GO:0030001",0.0131701898785912,0.997570018696284,5,18,"metal ion transport","BP"
"17","GO:2000022",0.014260774589314,0.997285674894593,5,19,"regulation of jasmonic acid mediated signaling pathway","BP"
"18","GO:0016125",0.0151426060851561,0.998618742442649,3,8,"sterol metabolic process","BP"
"19","GO:0009863",0.0161997101988852,0.99857358366947,3,7,"salicylic acid mediated signaling pathway","BP"
"20","GO:0009693",0.0167997056055709,0.999549298513789,2,3,"ethylene biosynthetic process","BP"
"21","GO:0010252",0.0173336362405384,0.999527017692868,2,3,"auxin homeostasis","BP"
"22","GO:0009636",0.0178523182725073,0.999505003222967,2,3,"response to toxic substance","BP"
"23","GO:0009611",0.0186863252169388,0.993160333843363,10,63,"response to wounding","BP"
"24","GO:0009751",0.0209305125448102,0.993904271894869,7,36,"response to salicylic acid","BP"
"25","GO:0009617",0.0224048362106817,0.995052356141728,5,23,"response to bacterium","BP"
"26","GO:0051762",0.0244395629252928,0.998874858568981,2,4,"sesquiterpene biosynthetic process","BP"
"27","GO:0006979",0.029776035723582,0.989689926722436,8,47,"response to oxidative stress","BP"
"28","GO:0002229",0.0351115016896659,0.995097343576589,3,11,"defense response to oomycetes","BP"
"29","GO:0009627",0.0353487953525553,0.995168812982807,3,10,"systemic acquired resistance","BP"
"30","GO:0009753",0.0356067365859571,0.988229761092914,7,42,"response to jasmonic acid","BP"
"31","GO:0046854",0.0363029818777954,0.997265321900615,2,7,"phosphatidylinositol phosphorylation","BP"
"32","GO:0010044",0.0379541940890736,0.997431742912704,2,5,"response to aluminum ion","BP"
"33","GO:0006013",0.0440100078639094,1,1,1,"mannose metabolic process","BP"
"34","GO:0051014",0.0444114003195677,1,1,1,"actin filament severing","BP"
"35","GO:0043086",0.0468941217201236,0.996899906490709,2,4,"negative regulation of catalytic activity","BP"
"36","GO:0009623",0.0518359044021576,1,1,1,"response to parasitic fungus","BP"
"37","GO:1901181",0.0518359044021576,1,1,1,"negative regulation of cellular response to caffeine","BP"
"38","GO:0080135",0.0570373347438479,1,1,1,"regulation of cellular response to stress","BP"
"39","GO:0006075",0.0570841251835623,0.99916477965755,1,2,"(1->3)-beta-D-glucan biosynthetic process","BP"
"40","GO:0019761",0.0579577610371501,0.989900850617787,3,12,"glucosinolate biosynthetic process","BP"
"41","GO:0046713",0.0595601772384035,1,1,1,"borate transport","BP"
"42","GO:0045931",0.0604415424568159,1,1,1,"positive regulation of mitotic cell cycle","BP"
"43","GO:0009862",0.0626014136988574,1,1,1,"systemic acquired resistance, salicylic acid mediated signaling pathway","BP"
"44","GO:0050982",0.0647994805804907,1,1,1,"detection of mechanical stimulus","BP"
"45","GO:0048255",0.0649701170314501,1,1,1,"mRNA stabilization","BP"
"46","GO:0016106",0.0656402106758648,1,1,1,"sesquiterpenoid biosynthetic process","BP"
"47","GO:0045338",0.0656402106758648,1,1,1,"farnesyl diphosphate metabolic process","BP"
"48","GO:0010600",0.0668443034216979,1,1,1,"regulation of auxin biosynthetic process","BP"
"49","GO:0055085",0.0682259771515266,0.975801236573252,6,45,"transmembrane transport","BP"
"50","GO:0033320",0.0693879259653852,1,1,1,"UDP-D-xylose biosynthetic process","BP"
"51","GO:0006751",0.0697927305631538,1,1,1,"glutathione catabolic process","BP"
"52","GO:0043903",0.072504917617836,1,1,1,"regulation of symbiosis, encompassing mutualism through parasitism","BP"
"53","GO:0009867",0.0730862469890592,0.985583830300322,3,14,"jasmonic acid mediated signaling pathway","BP"
"54","GO:0044148",0.0743776343814797,1,1,1,"positive regulation of growth of symbiont involved in interaction with host","BP"
"55","GO:0045926",0.0786252947023238,1,1,1,"negative regulation of growth","BP"
"56","GO:0033358",0.0800757197106726,1,1,1,"UDP-L-arabinose biosynthetic process","BP"
"57","GO:0045227",0.0800757197106726,1,1,1,"capsule polysaccharide biosynthetic process","BP"
"58","GO:0031000",0.0811716607550317,1,1,1,"response to caffeine","BP"
"59","GO:0032355",0.0811716607550317,1,1,1,"response to estradiol","BP"
"60","GO:1900039",0.0811716607550317,1,1,1,"positive regulation of cellular response to hypoxia","BP"
"61","GO:0010104",0.0818603417700803,1,1,1,"regulation of ethylene-activated signaling pathway","BP"
"62","GO:1900056",0.0818603417700803,1,1,1,"negative regulation of leaf senescence","BP"
"63","GO:1900457",0.0818603417700803,1,1,1,"regulation of brassinosteroid mediated signaling pathway","BP"
"64","GO:0010268",0.0837182206323187,0.98990537726959,2,7,"brassinosteroid homeostasis","BP"
"65","GO:0006626",0.0852817487954414,1,1,1,"protein targeting to mitochondrion","BP"
"66","GO:0045040",0.0852817487954414,1,1,1,"protein import into mitochondrial outer membrane","BP"
"67","GO:0071398",0.0858919753650479,1,1,1,"cellular response to fatty acid","BP"
"68","GO:0009620",0.0860876454746331,0.975767307376209,4,24,"response to fungus","BP"
"69","GO:0006544",0.0864763585128216,1,1,1,"glycine metabolic process","BP"
"70","GO:0006563",0.0864763585128216,1,1,1,"L-serine metabolic process","BP"
"71","GO:0006565",0.0864763585128216,1,1,1,"L-serine catabolic process","BP"
"72","GO:0019264",0.0864763585128216,1,1,1,"glycine biosynthetic process from serine","BP"
"73","GO:0046655",0.0864763585128216,1,1,1,"folic acid metabolic process","BP"
"74","GO:1904482",0.0864763585128216,1,1,1,"cellular response to tetrahydrofolate","BP"
"75","GO:0009187",0.0884303885398812,1,1,1,"cyclic nucleotide metabolic process","BP"
"76","GO:0006464",0.0886164522882344,1,1,1,"cellular protein modification process","BP"
"77","GO:0046244",0.089108126307079,1,1,1,"salicylic acid catabolic process","BP"
"78","GO:0051252",0.089254280728951,1,1,1,"regulation of RNA metabolic process","BP"
"79","GO:0005986",0.0908755168770086,0.98850571745602,2,7,"sucrose biosynthetic process","BP"
"80","GO:0051693",0.0916691610616911,0.997806146765488,1,2,"actin filament capping","BP"
"81","GO:0019363",0.0945354760589704,1,1,1,"pyridine nucleotide biosynthetic process","BP"
"82","GO:0006148",0.0967008715914098,0.997552046429562,1,2,"inosine catabolic process","BP"
"83","GO:0006154",0.0967008715914098,0.997552046429562,1,2,"adenosine catabolic process","BP"
