"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","ARA:PWY-6823",0.00455358229640804,0.999997404292443,1,2,"molybdenum cofactor biosynthesis","BioCyc"
"2","ARA:PWY-2541",0.020843086800629,0.999905966688683,1,7,"plant sterol biosynthesis","BioCyc"
"3","ARA:ALACAT2-PWY",1,0.990758321626566,0,2,"L-alanine degradation II (to D-lactate)","BioCyc"
"4","ARA:ALANINE-DEG3-PWY",1,0.990758321626566,0,2,"L-alanine degradation III","BioCyc"
"5","ARA:ALANINE-SYN2-PWY",1,0.990758321626566,0,2,"L-alanine biosynthesis II","BioCyc"
"6","ARA:ARGASEDEG-PWY",1,0.993081566038596,0,1,"L-arginine degradation I (arginase pathway)","BioCyc"
"7","ARA:ARGDEG-V-PWY",1,0.99708470819331,0,1,"L-arginine degradation X (arginine monooxygenase pathway)","BioCyc"
"8","ARA:ARGSPECAT-PWY",1,0.997444808641686,0,1,"spermine biosynthesis","BioCyc"
"9","ARA:ARGSYN-PWY",1,0.988976781626097,0,3,"L-arginine biosynthesis I (via L-ornithine)","BioCyc"
"10","ARA:ARGSYNBSUB-PWY",1,0.988976781626097,0,3,"L-arginine biosynthesis II (acetyl cycle)","BioCyc"
"11","ARA:ASPARAGINE-BIOSYNTHESIS",1,0.994578046137802,0,1,"L-asparagine biosynthesis I","BioCyc"
"12","ARA:ASPARAGINE-DEG1-PWY",1,0.997290558129938,0,1,"L-asparagine degradation I","BioCyc"
"13","ARA:ASPARAGINESYN-PWY",1,0.994578046137802,0,1,"L-asparagine biosynthesis II","BioCyc"
"14","ARA:ASPARTATE-DEG1-PWY",1,0.992250656987326,0,2,"L-aspartate degradation I","BioCyc"
"15","ARA:ASPARTATESYN-PWY",1,0.992250656987326,0,2,"L-aspartate biosynthesis","BioCyc"
"16","ARA:ASPASN-ARA-PWY",1,0.984158225217515,0,4,"superpathway of aspartate and asparagine biosynthesis","BioCyc"
"17","ARA:ASPSYNII-PWY",1,0.994742364495629,0,2,"cyanide detoxification I","BioCyc"
