"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0019008",0.00179754871362712,1,1,1,"molybdopterin synthase complex","CC"
"2","GO:0016459",0.0154723019498191,1,1,1,"myosin complex","CC"
"3","GO:0035619",0.0154723019498191,1,1,1,"root hair tip","CC"
"4","GO:0005576",0.0242375697100669,0.997071178608322,3,274,"extracellular region","CC"
"5","GO:0009506",0.0302057869840536,0.996038466880962,3,168,"plasmodesma","CC"
"6","GO:0000325",0.0323703989203434,0.999586262133772,1,7,"plant-type vacuole","CC"
"7","GO:0009705",0.0441113064426045,0.999147818527916,1,19,"plant-type vacuole membrane","CC"
"8","GO:0005759",0.0564446123225662,0.998602068304879,1,18,"mitochondrial matrix","CC"
"9","GO:0005887",0.0721832076966987,0.997675330246555,1,22,"integral component of plasma membrane","CC"
"10","GO:0009505",0.0900087487172157,0.996277510479583,1,43,"plant-type cell wall","CC"
"11","GO:0005618",0.169601717708236,0.98624930283322,1,63,"cell wall","CC"
"12","GO:0005774",0.20659411771753,0.979207898951449,1,80,"vacuolar membrane","CC"
"13","GO:0005773",0.238701544721908,0.97179495425752,1,97,"vacuole","CC"
"14","GO:0016021",0.608390228169714,0.690572082698041,2,758,"integral component of membrane","CC"
"15","GO:0009507",0.717162585424536,0.57169902278793,2,884,"chloroplast","CC"
"16","GO:0005829",0.73263496292384,0.642703234088328,1,374,"cytosol","CC"
"17","GO:0005739",0.762284073478898,0.603018354845187,1,548,"mitochondrion","CC"
"18","GO:0005634",0.869058848372317,0.304826386738302,4,1666,"nucleus","CC"
"19","GO:0016020",1,0.387053751875184,0,305,"membrane","CC"
"20","GO:0000110",1,0.995587815269547,0,1,"nucleotide-excision repair factor 1 complex","CC"
"21","GO:0000118",1,0.997241087525661,0,1,"histone deacetylase complex","CC"
"22","GO:0000123",1,0.990870816308051,0,3,"histone acetyltransferase complex","CC"
"23","GO:0000124",1,0.99660261345583,0,2,"SAGA complex","CC"
"24","GO:0000126",1,0.99089712716635,0,2,"transcription factor TFIIIB complex","CC"
"25","GO:0000127",1,0.993280742354872,0,1,"transcription factor TFIIIC complex","CC"
"26","GO:0000139",1,0.823623474905656,0,55,"Golgi membrane","CC"
"27","GO:0000145",1,0.976297621089749,0,4,"exocyst","CC"
"28","GO:0000148",1,0.962225359857926,0,2,"1,3-beta-D-glucan synthase complex","CC"
"29","GO:0000151",1,0.955899345000298,0,13,"ubiquitin ligase complex","CC"
"30","GO:0000159",1,0.978076383427272,0,6,"protein phosphatase type 2A complex","CC"
"31","GO:0000176",1,0.979397665783553,0,8,"nuclear exosome (RNase complex)","CC"
"32","GO:0000177",1,0.989427681993087,0,6,"cytoplasmic exosome (RNase complex)","CC"
"33","GO:0000178",1,0.996371593183806,0,2,"exosome (RNase complex)","CC"
"34","GO:0000220",1,0.998329213539059,0,1,"vacuolar proton-transporting V-type ATPase, V0 domain","CC"
"35","GO:0000228",1,0.998208004299222,0,1,"nuclear chromosome","CC"
"36","GO:0000243",1,0.979786283978381,0,4,"commitment complex","CC"
"37","GO:0000275",1,0.996774563512034,0,2,"mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)","CC"
"38","GO:0000306",1,0.996376597320217,0,2,"extrinsic component of vacuolar membrane","CC"
"39","GO:0000307",1,0.986730282965507,0,6,"cyclin-dependent protein kinase holoenzyme complex","CC"
"40","GO:0000311",1,0.997523112390434,0,2,"plastid large ribosomal subunit","CC"
"41","GO:0000323",1,0.998306846905827,0,1,"lytic vacuole","CC"
"42","GO:0000326",1,0.998404494507541,0,1,"protein storage vacuole","CC"
"43","GO:0000347",1,0.995015965628545,0,1,"THO complex","CC"
"44","GO:0000418",1,0.988519058209206,0,2,"RNA polymerase IV complex","CC"
"45","GO:0000419",1,0.988519058209206,0,2,"RNA polymerase V complex","CC"
"46","GO:0000421",1,0.998254407098362,0,1,"autophagosome membrane","CC"
"47","GO:0000439",1,0.987034324016816,0,2,"transcription factor TFIIH core complex","CC"
