"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0020037",0.000443271059994561,0.999975811764724,4,19,"heme binding","MF"
"2","GO:0035251",0.00044457713647637,1,2,2,"UDP-glucosyltransferase activity","MF"
"3","GO:0080002",0.00044457713647637,1,2,2,"UDP-glucose:4-aminobenzoate acylglucosyltransferase activity","MF"
"4","GO:0030247",0.000867086367389063,0.999995224509864,2,3,"polysaccharide binding","MF"
"5","GO:0019825",0.00158650540808117,0.999931556619369,3,12,"oxygen binding","MF"
"6","GO:0052716",0.0016501840371544,0.999982197235224,2,4,"hydroquinone:oxygen oxidoreductase activity","MF"
"7","GO:0005506",0.00475784486173308,0.999672095357925,3,19,"iron ion binding","MF"
"8","GO:0043621",0.0101013917513832,0.999605610751489,2,9,"protein self-association","MF"
"9","GO:0016758",0.013502931450914,0.999385935603527,2,9,"transferase activity, transferring hexosyl groups","MF"
"10","GO:0070034",0.0148669778150111,1,1,1,"telomerase RNA binding","MF"
"11","GO:0033926",0.0171103246550359,1,1,1,"glycopeptide alpha-N-acetylgalactosaminidase activity","MF"
"12","GO:0016709",0.0173599002032596,0.999079056725351,2,10,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen","MF"
"13","GO:0003839",0.0194593759691178,1,1,1,"gamma-glutamylcyclotransferase activity","MF"
"14","GO:0047215",0.0213938147743039,1,1,1,"indole-3-acetate beta-glucosyltransferase activity","MF"
"15","GO:0052639",0.0213948622016994,1,1,1,"salicylic acid glucosyltransferase (ester-forming) activity","MF"
"16","GO:0052640",0.0213948622016994,1,1,1,"salicylic acid glucosyltransferase (glucoside-forming) activity","MF"
"17","GO:0052641",0.0213948622016994,1,1,1,"benzoic acid glucosyltransferase activity","MF"
"18","GO:0090704",0.0213948622016994,1,1,1,"nicotinate-O-glucosyltransferase activity","MF"
"19","GO:0080043",0.0214142581061066,0.998708267110368,2,11,"quercetin 3-O-glucosyltransferase activity","MF"
"20","GO:0080044",0.0214142581061066,0.998708267110368,2,11,"quercetin 7-O-glucosyltransferase activity","MF"
"21","GO:0005524",0.0256914510444288,0.992271287594761,7,190,"ATP binding","MF"
"22","GO:0008194",0.0282243818022792,0.997976298700899,2,13,"UDP-glycosyltransferase activity","MF"
"23","GO:0042162",0.0302886316476224,0.999773978781721,1,2,"telomeric DNA binding","MF"
"24","GO:0004575",0.0342181470805245,0.999710929786314,1,2,"sucrose alpha-glucosidase activity","MF"
"25","GO:0004557",0.0347032655678757,0.99970259900995,1,2,"alpha-galactosidase activity","MF"
"26","GO:0052692",0.0347032655678757,0.99970259900995,1,2,"raffinose alpha-galactosidase activity","MF"
"27","GO:0004564",0.0364237666901493,0.999672080907492,1,2,"beta-fructofuranosidase activity","MF"
"28","GO:0015171",0.0382555496677325,0.999637917694634,1,2,"amino acid transmembrane transporter activity","MF"
"29","GO:0016887",0.0404534274920571,0.996266396068493,2,24,"ATPase activity","MF"
"30","GO:0018708",0.0417583767727836,0.999567771745512,1,2,"thiol S-methyltransferase activity","MF"
"31","GO:0010294",0.0420742440119608,0.999561134434986,1,2,"abscisic acid glucosyltransferase activity","MF"
"32","GO:0016757",0.0444902322359673,0.992436607774119,3,44,"transferase activity, transferring glycosyl groups","MF"
"33","GO:0005507",0.0586931601994972,0.99340821904041,2,21,"copper ion binding","MF"
"34","GO:0016705",0.0602203026367269,0.99879384617124,1,3,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","MF"
"35","GO:0030246",0.0605374717595796,0.993059751018349,2,22,"carbohydrate binding","MF"
"36","GO:0005509",0.0681359169182217,0.991584419818252,2,25,"calcium ion binding","MF"
"37","GO:0042626",0.0962475347257837,0.995801211884224,1,10,"ATPase activity, coupled to transmembrane movement of substances","MF"
