"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0003674",0.000671639162684266,0.999427773469448,707,4444,"molecular_function","MF"
"2","GO:0019825",0.00230703763731808,0.998718194624267,43,191,"oxygen binding","MF"
"3","GO:0008270",0.00319849496601886,0.997521786783921,193,1097,"zinc ion binding","MF"
"4","GO:0008864",0.00521921849637078,0.999659226348764,4,6,"formyltetrahydrofolate deformylase activity","MF"
"5","GO:0016742",0.00521921849637078,0.999659226348764,4,6,"hydroxymethyl-, formyl- and related transferase activity","MF"
"6","GO:0051536",0.00988546660791289,0.997495813635218,8,22,"iron-sulfur cluster binding","MF"
"7","GO:0003871",0.0118610231916763,0.998811018413321,4,7,"5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity","MF"
"8","GO:0008705",0.0118610231916763,0.998811018413321,4,7,"methionine synthase activity","MF"
"9","GO:0043023",0.019805562895112,0.997417228927761,4,8,"ribosomal large subunit binding","MF"
"10","GO:0016852",0.020876993705311,1,2,2,"sirohydrochlorin cobaltochelatase activity","MF"
"11","GO:0051266",0.020876993705311,1,2,2,"sirohydrochlorin ferrochelatase activity","MF"
"12","GO:0008124",0.0213065656070361,1,2,2,"4-alpha-hydroxytetrahydrobiopterin dehydratase activity","MF"
"13","GO:0102966",0.0219198363901045,0.998303906287969,3,5,"arachidoyl-CoA:1-dodecanol O-acyltransferase activity","MF"
"14","GO:0103095",0.0219198363901045,0.998303906287969,3,5,"wax ester synthase activity","MF"
"15","GO:0102419",0.0220688382650447,1,2,2,"sn-2-glycerol-3-phosphate omega-OH-C22:0-CoA acyl transferase activity","MF"
"16","GO:0051746",0.0222546175736912,1,2,2,"thalianol synthase activity","MF"
"17","GO:0046524",0.0222709326974589,1,2,2,"sucrose-phosphate synthase activity","MF"
"18","GO:0010328",0.0233910733882772,0.995492089194087,5,12,"auxin influx transmembrane transporter activity","MF"
"19","GO:0000976",0.0238771996889008,0.990352704627398,12,44,"transcription regulatory region sequence-specific DNA binding","MF"
"20","GO:0004449",0.0247610935129271,0.99798796316742,3,5,"isocitrate dehydrogenase (NAD+) activity","MF"
"21","GO:0045549",0.0254117442994214,0.99791335559542,3,5,"9-cis-epoxycarotenoid dioxygenase activity","MF"
"22","GO:0008408",0.0257369669891447,0.990534927878957,10,35,"3'-5' exonuclease activity","MF"
"23","GO:0070140",0.0261012545008576,0.997833399200188,3,5,"SUMO-specific isopeptidase activity","MF"
"24","GO:0005506",0.0288631828485855,0.980612248047119,47,244,"iron ion binding","MF"
"25","GO:0003723",0.0334464026284466,0.972706381524349,161,954,"RNA binding","MF"
"26","GO:0004675",0.0359412651990467,0.976466942170108,39,198,"transmembrane receptor protein serine/threonine kinase activity","MF"
"27","GO:0000210",0.0365071529443302,0.990056198456595,6,18,"NAD+ diphosphatase activity","MF"
"28","GO:0016709",0.0365446753574089,0.978708881648493,25,119,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen","MF"
"29","GO:0020037",0.0386891544663867,0.972441673861384,57,311,"heme binding","MF"
"30","GO:0005315",0.0389716054015331,0.989211253943358,6,18,"inorganic phosphate transmembrane transporter activity","MF"
"31","GO:0035529",0.0417417853528129,0.986623798467298,7,23,"NADH pyrophosphatase activity","MF"
"32","GO:0000987",0.0417780760010195,0.990027560089651,5,14,"proximal promoter sequence-specific DNA binding","MF"
"33","GO:0003865",0.0431684229097549,0.994838538343575,3,6,"3-oxo-5-alpha-steroid 4-dehydrogenase activity","MF"
"34","GO:0008508",0.0447797392647723,0.99456350802371,3,6,"bile acid:sodium symporter activity","MF"
"35","GO:0010436",0.0454928556545639,0.994440367786046,3,6,"carotenoid dioxygenase activity","MF"
"36","GO:0008373",0.0457345363556331,0.994398438444745,3,6,"sialyltransferase activity","MF"
"37","GO:0016746",0.0461542942915644,0.974283701316301,20,93,"transferase activity, transferring acyl groups","MF"
"38","GO:0004617",0.047580908748093,0.990757794652679,4,10,"phosphoglycerate dehydrogenase activity","MF"
"39","GO:0004556",0.0488153514494556,0.990435480231656,4,10,"alpha-amylase activity","MF"
"40","GO:0000249",0.0573266669928885,0.996922920675729,2,3,"C-22 sterol desaturase activity","MF"
"41","GO:0003881",0.0581594956234341,0.99685174163495,2,3,"CDP-diacylglycerol-inositol 3-phosphatidyltransferase activity","MF"
"42","GO:0019166",0.0583686453106678,0.996833766592384,2,3,"trans-2-enoyl-CoA reductase (NADPH) activity","MF"
"43","GO:0004637",0.0584913313117032,0.996823203937734,2,3,"phosphoribosylamine-glycine ligase activity","MF"
"44","GO:0008934",0.058671780495905,0.996807643189997,2,3,"inositol monophosphate 1-phosphatase activity","MF"
"45","GO:0052832",0.058671780495905,0.996807643189997,2,3,"inositol monophosphate 3-phosphatase activity","MF"
"46","GO:0052833",0.058671780495905,0.996807643189997,2,3,"inositol monophosphate 4-phosphatase activity","MF"
"47","GO:0004709",0.0589796356174129,0.984154642915465,5,15,"MAP kinase kinase kinase activity","MF"
"48","GO:0008686",0.0592667208570515,0.996756129146298,2,3,"3,4-dihydroxy-2-butanone-4-phosphate synthase activity","MF"
"49","GO:0004535",0.0593878405651589,0.981281549810464,6,20,"poly(A)-specific ribonuclease activity","MF"
"50","GO:0004851",0.0594214706829572,0.996742677018001,2,3,"uroporphyrin-III C-methyltransferase activity","MF"
"51","GO:0004016",0.0595676422205012,0.996729950584256,2,3,"adenylate cyclase activity","MF"
"52","GO:0047958",0.0600028025746775,0.996691948412598,2,3,"glycine:2-oxoglutarate aminotransferase activity","MF"
"53","GO:0016791",0.0672840465116435,0.96998829524908,10,41,"phosphatase activity","MF"
"54","GO:0033836",0.0679310138409117,0.989248839487859,3,7,"flavonol 7-O-beta-glucosyltransferase activity","MF"
"55","GO:0016157",0.0682558279129984,0.984485843791447,4,11,"sucrose synthase activity","MF"
"56","GO:0004664",0.0693674333448161,0.988922145026094,3,7,"prephenate dehydratase activity","MF"
"57","GO:0047769",0.0693674333448161,0.988922145026094,3,7,"arogenate dehydratase activity","MF"
