"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","path:ath00603",0.00267075429033744,0.999785579223293,4,10,"Glycosphingolipid biosynthesis - globo and isoglobo series","KEGG"
"2","path:ath00380",0.00982444982448799,0.996510615192227,11,76,"Tryptophan metabolism","KEGG"
"3","path:ath00510",0.0136670448386415,0.995509641828687,9,59,"N-Glycan biosynthesis","KEGG"
"4","path:ath00750",0.0185736249247225,0.996946420645621,4,17,"Vitamin B6 metabolism","KEGG"
"5","path:ath04141",0.0263770900591193,0.985043858486532,24,245,"Protein processing in endoplasmic reticulum","KEGG"
"6","path:ath00710",0.0352059146767502,0.985412116151342,10,80,"Carbon fixation in photosynthetic organisms","KEGG"
"7","path:ath03440",0.0646779673896423,0.971484312265975,9,77,"Homologous recombination","KEGG"
"8","path:ath00564",0.0728355539051238,0.960690182342605,14,138,"Glycerophospholipid metabolism","KEGG"
"9","path:ath00920",0.0817976611811429,0.966555152452498,7,59,"Sulfur metabolism","KEGG"
"10","path:ath01200",0.087574623966074,0.940782972759384,30,354,"Carbon metabolism","KEGG"
"11","path:ath00565",0.101462628710689,0.964054990521121,5,37,"Ether lipid metabolism","KEGG"
"12","path:ath00052",0.104834321348165,0.954482473410523,7,60,"Galactose metabolism","KEGG"
"13","path:ath00010",0.111463306589063,0.937069171696244,13,135,"Glycolysis / Gluconeogenesis","KEGG"
"14","path:ath00590",0.116735020255518,0.970671417526485,3,19,"Arachidonic acid metabolism","KEGG"
"15","path:ath00591",0.118828107587238,0.981276009123163,2,9,"Linoleic acid metabolism","KEGG"
"16","path:ath00280",0.131316875742813,0.935872460759243,8,76,"Valine, leucine and isoleucine degradation","KEGG"
"17","path:ath00910",0.131440356805099,0.943839132769517,6,53,"Nitrogen metabolism","KEGG"
"18","path:ath00232",0.132023676449745,0.995340991481973,1,2,"Caffeine metabolism","KEGG"
"19","path:ath00600",0.142742744836445,0.94345336667757,5,41,"Sphingolipid metabolism","KEGG"
"20","path:ath00640",0.149621565987599,0.933646539753025,6,54,"Propanoate metabolism","KEGG"
"21","path:ath00906",0.160762292982969,0.941913516267712,4,32,"Carotenoid biosynthesis","KEGG"
"22","path:ath00601",0.165982816532815,0.990091308524966,1,3,"Glycosphingolipid biosynthesis - lacto and neolacto series","KEGG"
"23","path:ath04122",0.170985281120423,0.948148873600577,3,23,"Sulfur relay system","KEGG"
"24","path:ath00500",0.174397633087251,0.887529860129712,16,184,"Starch and sucrose metabolism","KEGG"
"25","path:ath00220",0.174850304643007,0.92569780109783,5,45,"Arginine biosynthesis","KEGG"
"26","path:ath03430",0.176943369287558,0.924435969017823,5,46,"Mismatch repair","KEGG"
"27","path:ath00440",0.186171869470277,0.959602316926651,2,12,"Phosphonate and phosphinate metabolism","KEGG"
"28","path:ath00460",0.196705018111724,0.893740372951902,8,85,"Cyanoamino acid metabolism","KEGG"
"29","path:ath01110",0.212080855886931,0.822635892946081,90,1276,"Biosynthesis of secondary metabolites","KEGG"
"30","path:ath04712",0.214854390589795,0.901815386504815,5,49,"Circadian rhythm - plant","KEGG"
"31","path:ath00901",0.236051868899375,0.976785495357468,1,4,"Indole alkaloid biosynthesis","KEGG"
"32","path:ath00410",0.255271729982747,0.875939817021713,5,51,"beta-Alanine metabolism","KEGG"
"33","path:ath00450",0.26826593785396,0.897968431081903,3,27,"Selenocompound metabolism","KEGG"
"34","path:ath04120",0.278613467395907,0.812852240594546,13,165,"Ubiquitin mediated proteolysis","KEGG"
"35","path:ath00051",0.281832343378477,0.84736110566072,6,68,"Fructose and mannose metabolism","KEGG"
"36","path:ath04016",0.282453384068835,0.813032399296302,12,153,"MAPK signaling pathway - plant","KEGG"
"37","path:ath00604",0.298760491684337,0.959259429284892,1,5,"Glycosphingolipid biosynthesis - ganglio series","KEGG"
"38","path:ath00196",0.30430773277803,0.905048002652116,2,19,"Photosynthesis - antenna proteins","KEGG"
"39","path:ath00562",0.311527939273925,0.809364432953402,8,95,"Inositol phosphate metabolism","KEGG"
"40","path:ath04075",0.3210549891705,0.758451285100856,21,294,"Plant hormone signal transduction","KEGG"
"41","path:ath04136",0.328867873336279,0.823852472885583,5,58,"Autophagy - other","KEGG"
"42","path:ath03030",0.329977766562079,0.823031682917331,5,58,"DNA replication","KEGG"
"43","path:ath00650",0.341277070695353,0.851999458234261,3,31,"Butanoate metabolism","KEGG"
"44","path:ath01100",0.341443387482967,0.696966114179696,171,2558,"Metabolic pathways","KEGG"
"45","path:ath04144",0.344502942336949,0.751293615742748,15,201,"Endocytosis","KEGG"
"46","path:ath00561",0.352135011081501,0.784475445243054,7,86,"Glycerolipid metabolism","KEGG"
"47","path:ath00592",0.355357357177142,0.819812124362484,4,46,"alpha-Linolenic acid metabolism","KEGG"
"48","path:ath01210",0.363763968588416,0.774927206263091,7,88,"2-Oxocarboxylic acid metabolism","KEGG"
"49","path:ath00630",0.367056544148657,0.757240899346081,9,118,"Glyoxylate and dicarboxylate metabolism","KEGG"
"50","path:ath03018",0.368651121890281,0.74505653982566,11,146,"RNA degradation","KEGG"
"51","path:ath00030",0.396216597773753,0.758056687511372,6,78,"Pentose phosphate pathway","KEGG"
"52","path:ath03013",0.398435970731175,0.70331551297088,15,208,"RNA transport","KEGG"
"53","path:ath00770",0.418851662357536,0.79553101222757,3,36,"Pantothenate and CoA biosynthesis","KEGG"
"54","path:ath00620",0.419559825884145,0.711617476896405,9,121,"Pyruvate metabolism","KEGG"
"55","path:ath03420",0.422662904200715,0.735653831848782,6,79,"Nucleotide excision repair","KEGG"
"56","path:ath03008",0.425617782331823,0.713471819956683,8,109,"Ribosome biogenesis in eukaryotes","KEGG"
"57","path:ath00760",0.434203069156409,0.823982155121039,2,22,"Nicotinate and nicotinamide metabolism","KEGG"
"58","path:ath00740",0.435530936889231,0.822643809211606,2,23,"Riboflavin metabolism","KEGG"
"59","path:ath00310",0.446532700507494,0.747448758576271,4,51,"Lysine degradation","KEGG"
"60","path:ath00340",0.456969754603565,0.807019980632944,2,23,"Histidine metabolism","KEGG"
"61","path:ath03040",0.457801728959883,0.632942060621983,21,307,"Spliceosome","KEGG"
