"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0016021",9.87818666369022e-05,0.999917614837496,739,4972,"integral component of membrane","CC"
"2","GO:0000312",0.00353168424032142,0.999405841870502,7,15,"plastid small ribosomal subunit","CC"
"3","GO:0000139",0.00502110406347565,0.996638118655604,72,418,"Golgi membrane","CC"
"4","GO:0030686",0.00881333328049496,0.999193784217423,4,7,"90S preribosome","CC"
"5","GO:0005739",0.0101371904192353,0.991154168062436,547,3738,"mitochondrion","CC"
"6","GO:0000220",0.0153276508896271,0.998970309899907,3,5,"vacuolar proton-transporting V-type ATPase, V0 domain","CC"
"7","GO:0005971",0.0154739576845319,1,2,2,"ribonucleoside-diphosphate reductase complex","CC"
"8","GO:0005773",0.0159225583731416,0.987733707408333,123,783,"vacuole","CC"
"9","GO:0042643",0.0166442406164716,1,2,2,"actomyosin, actin portion","CC"
"10","GO:0031901",0.0166886818092414,0.995699938984366,7,21,"early endosome membrane","CC"
"11","GO:0036513",0.0190587322763196,0.995625705546505,6,17,"Derlin-1 retrotranslocation complex","CC"
"12","GO:0009783",0.0198315983161457,1,2,2,"photosystem II antenna complex","CC"
"13","GO:0048046",0.0200110109598888,0.985347364670761,82,492,"apoplast","CC"
"14","GO:0016471",0.0201456745659706,0.997177221214879,4,9,"vacuolar proton-transporting V-type ATPase complex","CC"
"15","GO:0032040",0.0207356812450925,0.992086551750513,11,44,"small-subunit processome","CC"
"16","GO:0009570",0.0253819826446611,0.979988677391637,128,822,"chloroplast stroma","CC"
"17","GO:0034245",0.0331729823684683,0.998698190304991,2,3,"mitochondrial DNA-directed RNA polymerase complex","CC"
"18","GO:0008287",0.0348910055894029,0.996178725493471,3,6,"protein serine/threonine phosphatase complex","CC"
"19","GO:0034707",0.0363901974611103,0.993310508446622,4,11,"chloride channel complex","CC"
"20","GO:0005768",0.0369888815374648,0.97302133162261,65,407,"endosome","CC"
"21","GO:0045254",0.0372350217896047,0.998440515109715,2,3,"pyruvate dehydrogenase complex","CC"
"22","GO:0005886",0.039628836599176,0.964452830702601,563,4072,"plasma membrane","CC"
"23","GO:0009705",0.0398172863576074,0.97643483044071,25,135,"plant-type vacuole membrane","CC"
"24","GO:0005802",0.0439443838095557,0.967603879319539,65,414,"trans-Golgi network","CC"
"25","GO:0070469",0.044028412220405,0.987142449562752,6,20,"respiratory chain","CC"
"26","GO:0030864",0.0457035013397296,0.997848757775618,2,3,"cortical actin cytoskeleton","CC"
"27","GO:0009897",0.0460362387188226,0.997824049600581,2,3,"external side of plasma membrane","CC"
"28","GO:0031304",0.0462601783110953,0.997807359680569,2,3,"intrinsic component of mitochondrial inner membrane","CC"
"29","GO:0031972",0.0501087451026875,0.99751295847175,2,3,"chloroplast intermembrane space","CC"
"30","GO:0000172",0.0539331793500501,0.99720643761051,2,3,"ribonuclease MRP complex","CC"
"31","GO:0005576",0.0543856560920236,0.952431030114497,308,2116,"extracellular region","CC"
"32","GO:0031428",0.0545991148938615,0.992125558343309,3,7,"box C/D snoRNP complex","CC"
"33","GO:0031021",0.0576380922434909,0.996896482982886,2,3,"interphase microtubule organizing center","CC"
"34","GO:0016020",0.0598865205732049,0.947627740144093,293,2056,"membrane","CC"
"35","GO:0009536",0.0647625737560948,0.951332238455835,63,398,"plastid","CC"
