"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0009737",0.0001319466240466,0.999924713178552,67,527,"response to abscisic acid","BP"
"2","GO:0006949",0.000171526954986595,0.999982714979185,7,16,"syncytium formation","BP"
"3","GO:0052544",0.000175823287956617,0.999981730346056,7,17,"defense response by callose deposition in cell wall","BP"
"4","GO:0009826",0.000221510564683396,0.999915527986755,24,140,"unidimensional cell growth","BP"
"5","GO:0071456",0.000297494601729686,0.999950320166923,9,28,"cellular response to hypoxia","BP"
"6","GO:0010114",0.000568142038138059,0.999837062895112,14,63,"response to red light","BP"
"7","GO:0071281",0.00141978262874749,0.999655777936915,10,41,"cellular response to iron ion","BP"
"8","GO:0009828",0.00207712199893069,0.999518277390882,9,35,"plant-type cell wall loosening","BP"
"9","GO:0045324",0.00271004330749668,0.999491027101239,7,25,"late endosome to vacuole transport","BP"
"10","GO:0015706",0.00363763460621124,0.999538604027766,5,14,"nitrate transport","BP"
"11","GO:0006561",0.00370073682339621,0.999688316361844,4,9,"proline biosynthetic process","BP"
"12","GO:0009651",0.00449530859841039,0.996940618947443,76,691,"response to salt stress","BP"
"13","GO:0099402",0.00600848375921126,0.999387791018921,4,10,"plant organ development","BP"
"14","GO:1901348",0.00631753923417287,0.999346777680488,4,10,"positive regulation of secondary cell wall biogenesis","BP"
"15","GO:0009269",0.00684006097760102,0.998439951002059,7,28,"response to desiccation","BP"
"16","GO:0009733",0.00707850306982528,0.995828341750552,38,313,"response to auxin","BP"
"17","GO:0006480",0.00725795202874769,1,2,2,"N-terminal protein amino acid methylation","BP"
"18","GO:0000578",0.00751100865369436,1,2,2,"embryonic axis specification","BP"
"19","GO:0071732",0.00944362601156251,0.998022009542321,6,23,"cellular response to nitric oxide","BP"
"20","GO:0008295",0.00959860342215511,0.99883470068776,4,11,"spermidine biosynthetic process","BP"
"21","GO:0006556",0.00964251177173307,0.999361431720289,3,6,"S-adenosylmethionine biosynthetic process","BP"
"22","GO:0009749",0.0096890529861132,0.996580604333612,11,63,"response to glucose","BP"
"23","GO:0009765",0.0102292137633947,0.999307302902052,3,6,"photosynthesis, light harvesting","BP"
"24","GO:0009739",0.0102775398125383,0.995365988494978,17,111,"response to gibberellin","BP"
"25","GO:0006006",0.0118615202403905,0.997351006156682,6,25,"glucose metabolic process","BP"
"26","GO:0005987",0.0120270368659944,0.998392850494763,4,12,"sucrose catabolic process","BP"
"27","GO:0009835",0.0137263016179224,0.998091135002969,4,12,"fruit ripening","BP"
"28","GO:0009693",0.0137660108064631,0.995892074700485,8,40,"ethylene biosynthetic process","BP"
"29","GO:0006307",0.0143819834018208,0.999643301407643,2,3,"DNA dealkylation involved in DNA repair","BP"
"30","GO:0010600",0.0147659080501364,0.998736738806544,3,7,"regulation of auxin biosynthetic process","BP"
"31","GO:0051017",0.014972353518119,0.995429359315147,8,43,"actin filament bundle assembly","BP"
"32","GO:1903338",0.0151270366854021,0.999614473880429,2,3,"regulation of cell wall organization or biogenesis","BP"
"33","GO:0070676",0.0157664260253175,0.998616836669251,3,7,"intralumenal vesicle formation","BP"
"34","GO:0016197",0.0159179841177841,0.998510011730814,3,8,"endosomal transport","BP"
"35","GO:0030041",0.0160404591372693,0.998583455823338,3,7,"actin filament polymerization","BP"
"36","GO:0009744",0.0162406332181153,0.992932168419117,14,92,"response to sucrose","BP"
"37","GO:0005975",0.0167865246084122,0.989423189107881,39,343,"carbohydrate metabolic process","BP"
"38","GO:0010036",0.016923180233644,0.999541730379562,2,3,"response to boron-containing substance","BP"
"39","GO:0009409",0.016974108170024,0.988817822715752,47,418,"response to cold","BP"
"40","GO:0048759",0.0172630199350329,0.997367220239375,4,13,"xylem vessel member cell differentiation","BP"
"41","GO:0032509",0.0177637565659637,0.99726700045965,4,13,"endosome transport via multivesicular body sorting pathway","BP"
"42","GO:0034219",0.0177840361192325,0.99950528270512,2,3,"carbohydrate transmembrane transport","BP"
"43","GO:0009682",0.0178991129574556,0.996354634882445,5,19,"induced systemic resistance","BP"
"44","GO:0006888",0.0180324145227552,0.991763637436301,15,105,"ER to Golgi vesicle-mediated transport","BP"
"45","GO:0035336",0.0188751126959528,0.998113845453183,3,8,"long-chain fatty-acyl-CoA metabolic process","BP"
"46","GO:0008154",0.0200533349663301,0.999404460744994,2,3,"actin polymerization or depolymerization","BP"
"47","GO:0071369",0.0206654590942777,0.993970295905369,7,34,"cellular response to ethylene stimulus","BP"
"48","GO:0010090",0.0213010446066389,0.993002206758816,8,47,"trichome morphogenesis","BP"
"49","GO:0007033",0.0220213773176513,0.993380230843886,7,40,"vacuole organization","BP"
"50","GO:0048868",0.0220972252354265,0.993402723575496,7,37,"pollen tube development","BP"
"51","GO:0010555",0.0221618578385306,0.995143583084926,5,21,"response to mannitol","BP"
"52","GO:0009699",0.0225809376077177,0.996190054623135,4,14,"phenylpropanoid biosynthetic process","BP"
"53","GO:2000280",0.022988199417449,0.993120734273683,7,35,"regulation of root development","BP"
"54","GO:0010017",0.0233497560604476,0.992968626173706,7,36,"red or far-red light signaling pathway","BP"
"55","GO:0048359",0.0240603160273686,0.997243233676719,3,9,"mucilage metabolic process involved in seed coat development","BP"
"56","GO:0019438",0.025898864581557,0.995439011088642,4,14,"aromatic compound biosynthetic process","BP"
"57","GO:0006096",0.0277996715542713,0.988396023876685,11,73,"glycolytic process","BP"
"58","GO:0009416",0.0292371508525644,0.982368327471998,28,235,"response to light stimulus","BP"
"59","GO:0055070",0.0293165861538032,0.996370618899483,3,9,"copper ion homeostasis","BP"
"60","GO:0019243",0.0296105764308346,0.992942032033397,5,22,"methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione","BP"
"61","GO:0010158",0.0307333742082731,0.998387111446436,2,4,"abaxial cell fate specification","BP"
"62","GO:0043447",0.0316528137183714,0.998311607697561,2,4,"alkane biosynthetic process","BP"
"63","GO:0030259",0.0321894220393268,0.998266956310881,2,4,"lipid glycosylation","BP"
"64","GO:0006869",0.0332474855050792,0.984030694388888,14,99,"lipid transport","BP"
"65","GO:0080170",0.0344954278358683,0.995444909176957,3,9,"hydrogen peroxide transmembrane transport","BP"
"66","GO:0016099",0.0345508007094346,0.998065407658515,2,4,"monoterpenoid biosynthetic process","BP"
"67","GO:0006012",0.0349222117893712,0.991241462680137,5,23,"galactose metabolic process","BP"
"68","GO:0016598",0.035238668127233,0.998005165805135,2,4,"protein arginylation","BP"
"69","GO:0001731",0.0352609717774707,0.998003201060473,2,4,"formation of translation preinitiation complex","BP"
"70","GO:0010037",0.0357526567760214,0.992832585338756,4,16,"response to carbon dioxide","BP"
"71","GO:0055065",0.0376296752475175,0.997790489017184,2,4,"metal ion homeostasis","BP"
"72","GO:0019509",0.0377730801829493,0.992292724715289,4,16,"L-methionine salvage from methylthioadenosine","BP"
"73","GO:0007163",0.038038933625642,0.997752930967548,2,4,"establishment or maintenance of cell polarity","BP"
"74","GO:0019748",0.0383182380579125,0.987051965604827,7,40,"secondary metabolic process","BP"
"75","GO:0032957",0.0385604395064997,0.994508173646637,3,10,"inositol trisphosphate metabolic process","BP"
"76","GO:0006355",0.0386448907998277,0.968143263402918,161,1729,"regulation of transcription, DNA-templated","BP"
