"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","ARA:PWY-7528",4.48049463229894e-05,0.999993841928969,10,26,"L-methionine salvage cycle I (bacteria and plants)","BioCyc"
"2","ARA:PWY-7270",7.11403228747285e-05,0.999986710353425,12,38,"L-methionine salvage cycle II (plants)","BioCyc"
"3","ARA:PWY-6754",0.00341595309698504,0.999739662827589,4,8,"S-methyl-5'-thioadenosine degradation I","BioCyc"
"4","ARA:PWYQT-4477",0.00386681103019214,0.999371918105928,6,18,"indole glucosinolate activation (intact plant cell)","BioCyc"
"5","ARA:SAM-PWY",0.0119519233727837,0.999145892727683,3,6,"S-adenosyl-L-methionine biosynthesis","BioCyc"
"6","ARA:PWY-3781",0.0202757798917183,0.990514770490085,16,102,"aerobic respiration I (cytochrome c)","BioCyc"
"7","ARA:PWY-5997",0.0214104119303588,0.999343671163871,2,3,"&alpha;-linolenate biosynthesis I (plants and red algae)","BioCyc"
"8","ARA:PWY-601",0.0218868179367063,0.993636702934866,7,32,"glucosinolate biosynthesis from tryptophan","BioCyc"
"9","ARA:PWY-7590",0.0220958504571967,0.999310853536676,2,3,"(7Z,10Z,13Z)-hexadecatrienoate biosynthesis","BioCyc"
"10","ARA:PWY-1042",0.0241107575902852,0.991409559934975,9,49,"glycolysis IV (plant cytosol)","BioCyc"
"11","ARA:PWY-762",0.0282900922519923,0.996706092555351,3,8,"phospholipid desaturation","BioCyc"
"12","ARA:METHIONINE-DEG1-PWY",0.0290614871213972,0.996580033250019,3,8,"L-methionine degradation I (to L-homocysteine)","BioCyc"
"13","ARA:PWY-5041",0.0346597627178318,0.993244892273228,4,15,"S-adenosyl-L-methionine cycle II","BioCyc"
"14","ARA:ETHYL-PWY",0.0369033570003461,0.987849193355442,7,36,"ethylene biosynthesis I (plants)","BioCyc"
"15","ARA:PWY-4302",0.038490973594105,0.981989629351584,13,84,"aerobic respiration III (alternative oxidase pathway)","BioCyc"
"16","ARA:PWY1F-467",0.0395488887321373,0.99762187552376,2,4,"phenylpropanoid biosynthesis, initial reactions","BioCyc"
"17","ARA:PWY-3041",0.0400270039152233,0.997576868238172,2,4,"monoterpene biosynthesis","BioCyc"
"18","ARA:PWY-6756",0.043753461527452,0.997215386952054,2,4,"S-methyl-5'-thioadenosine degradation II","BioCyc"
"19","ARA:PWY-5386",0.0461384334441453,0.987586023994773,5,23,"methylglyoxal degradation I","BioCyc"
"20","ARA:PENTOSE-P-PWY",0.0468380802335375,0.983661989557704,7,38,"pentose phosphate pathway","BioCyc"
"21","ARA:PWY-5083",0.0521891959467449,0.976149195440722,11,71,"NAD/NADH phosphorylation and dephosphorylation","BioCyc"
"22","ARA:P401-PWY",0.0531894277505933,0.99141053990834,3,10,"cyanide degradation","BioCyc"
"23","ARA:NONOXIPENT-PWY",0.0584442478416634,0.986173190758772,4,17,"pentose phosphate pathway (non-oxidative branch)","BioCyc"
"24","ARA:ASPSYNII-PWY",0.0681287023035626,0.987518320722835,3,11,"cyanide detoxification I","BioCyc"
"25","ARA:PWY-6825",0.071615364892413,0.993050028009535,2,5,"phosphatidylcholine biosynthesis V","BioCyc"
"26","ARA:PWY-5723",0.0829201014149698,0.966678679983057,7,43,"Rubisco shunt","BioCyc"
"27","ARA:BSUBPOLYAMSYN-PWY",0.0867266545660857,0.982073789639069,3,12,"spermidine biosynthesis I","BioCyc"
"28","ARA:PWY-5175",0.087304034566424,1,1,1,"lactucaxanthin biosynthesis","BioCyc"
"29","ARA:PWY-5946",0.087304034566424,1,1,1,"&delta;-carotene biosynthesis","BioCyc"
"30","ARA:CYSTSYN-PWY",0.0877442568132789,0.971038211314406,5,27,"L-cysteine biosynthesis I","BioCyc"
"31","ARA:PWY-83",0.0912214676271762,1,1,1,"monolignol glucosides biosynthesis","BioCyc"
"32","ARA:PWY-5481",0.0926472955009511,1,1,1,"pyruvate fermentation to lactate","BioCyc"
"33","ARA:PWY-4861",0.0969010091260958,0.987871234056634,2,6,"UDP-D-galacturonate biosynthesis I (from UDP-D-glucuronate)","BioCyc"
"34","ARA:PWY-6012",0.097274730409175,0.987796678714819,2,6,"acyl carrier protein metabolism","BioCyc"
"35","ARA:PWY-3462",0.102859549059073,0.976773682432063,3,13,"L-phenylalanine biosynthesis II","BioCyc"
"36","ARA:COMPLETE-ARO-ARA-PWY",0.115573978260777,0.953320583025191,6,38,"superpathway of phenylalanine, tyrosine and tryptophan biosynthesis","BioCyc"
"37","ARA:PWY66-399",0.115768879099354,0.945919170193168,8,56,"gluconeogenesis III","BioCyc"
"38","ARA:PWY-1081",0.117035266108291,0.952566385993506,6,38,"homogalacturonan degradation","BioCyc"
"39","ARA:PWY-4341",0.118649199397346,0.99626714427372,1,2,"L-glutamate biosynthesis V","BioCyc"
"40","ARA:PWY-282",0.119078996270197,0.9823002546034,2,7,"cuticular wax biosynthesis","BioCyc"
"41","ARA:PWY-6457",0.121168716318958,0.981799965925885,2,7,"trans-cinnamoyl-CoA biosynthesis","BioCyc"
"42","ARA:PWY-4562",0.122635101703153,0.969717704023059,3,14,"lipid-dependent phytate biosynthesis II (via Ins(1,3,4)P3)","BioCyc"
"43","ARA:PWY-4765",0.122635101703153,0.969717704023059,3,14,"superpathway of lipid-dependent phytate biosynthesis","BioCyc"
"44","ARA:PWY-6554",0.122635101703153,0.969717704023059,3,14,"1D-myo-inositol hexakisphosphate biosynthesis V (from Ins(1,3,4)P3)","BioCyc"
