Cluster,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
Nonsupp,GO:0010243,response to organonitrogen compound,55/617,443/20876,1.610290995832664e-19,1.3831989894259234e-16,1.1192991822328198e-16,AT3G23250/AT1G64380/AT4G18950/AT5G51060/AT2G41100/AT5G37490/AT4G27280/AT4G14365/AT2G27660/AT4G11280/AT2G42360/AT2G37430/AT1G18570/AT1G27730/AT1G51790/AT4G39670/AT2G22500/AT4G12720/AT3G04640/AT1G73805/AT4G03280/AT1G76650/AT1G09070/AT5G14930/AT1G66090/AT5G05410/AT3G56400/AT3G59080/AT5G66190/AT4G26120/AT5G57220/AT2G04450/AT3G47480/AT2G29630/AT3G54420/AT5G66570/AT3G53600/AT2G46400/AT1G24140/AT1G51620/AT2G26560/AT5G45340/AT3G17700/AT2G18690/AT1G34180/AT3G52430/AT5G56960/AT4G33050/AT1G20823/AT2G26150/AT2G39200/AT5G05730/AT3G54640/AT4G01250/AT5G26920,55
Nonsupp,GO:0042537,benzene-containing compound metabolic process,42/617,261/20876,2.4699981954034347e-19,1.3831989894259234e-16,1.1192991822328198e-16,AT1G64160/AT4G14365/AT1G18570/AT2G36950/AT4G39670/AT2G04430/AT2G17500/AT4G12720/AT1G73805/AT4G03280/AT5G14930/AT1G66090/AT3G56400/AT5G66190/AT4G26120/AT1G57630/AT2G04450/AT2G37760/AT3G47480/AT5G61900/AT3G56710/AT1G10340/AT4G04620/AT5G66570/AT2G46400/AT2G26560/AT4G39890/AT5G67340/AT3G48640/AT3G17700/AT3G07720/AT1G01560/AT5G43910/AT1G05560/AT3G52430/AT4G33050/AT5G05730/AT5G61820/AT3G54640/AT2G39010/AT2G45760/AT5G26920,42
Nonsupp,GO:0010200,response to chitin,53/617,421/20876,4.0714294268100386e-19,1.5200003193424143e-16,1.2300002584152434e-16,AT3G23250/AT1G64380/AT4G18950/AT2G41100/AT5G37490/AT4G27280/AT4G14365/AT2G27660/AT4G11280/AT2G42360/AT2G37430/AT1G18570/AT1G27730/AT1G51790/AT4G39670/AT2G22500/AT4G12720/AT3G04640/AT1G73805/AT4G03280/AT1G76650/AT1G09070/AT5G14930/AT1G66090/AT5G05410/AT3G56400/AT3G59080/AT5G66190/AT4G26120/AT5G57220/AT2G04450/AT3G47480/AT3G54420/AT5G66570/AT3G53600/AT2G46400/AT1G24140/AT1G51620/AT2G26560/AT5G45340/AT3G17700/AT2G18690/AT1G34180/AT3G52430/AT5G56960/AT4G33050/AT1G20823/AT2G26150/AT2G39200/AT5G05730/AT3G54640/AT4G01250/AT5G26920,53
Nonsupp,GO:0009636,response to toxic substance,53/617,430/20876,1.0527741715289292e-18,2.947767680281002e-16,2.385364636016864e-16,AT4G18170/AT1G17180/AT3G13610/AT1G02930/AT4G02520/AT2G15490/AT5G16970/AT2G35730/AT2G36950/AT3G09350/AT1G23550/AT5G12030/AT1G78360/AT5G16980/AT3G09440/AT3G04710/AT2G29450/AT2G20560/AT3G17790/AT5G05410/AT4G12400/AT1G05680/AT5G48180/AT4G21120/AT1G74310/AT3G47780/AT5G51440/AT1G14200/AT1G02920/AT4G14030/AT1G60430/AT1G49860/AT1G27140/AT3G28740/AT2G25140/AT5G64510/AT3G12580/AT2G19310/AT1G05560/AT5G52640/AT5G12110/AT2G34500/AT2G26150/AT1G75270/AT2G39200/AT4G26470/AT3G25230/AT3G24500/AT5G09590/AT3G58810/AT4G21320/AT2G02930/AT2G47730,53
Nonsupp,GO:0071456,cellular response to hypoxia,15/617,24/20876,9.920400651802438e-18,2.2221697460037462e-15,1.798203149726716e-15,AT1G14550/AT5G64905/AT3G03670/AT1G19250/AT1G26380/AT5G57220/AT1G57630/AT5G25250/AT2G23270/AT4G31970/AT1G14540/AT2G26560/AT1G53620/AT2G26150/AT5G26920,15
Nonsupp,GO:0036294,cellular response to decreased oxygen levels,15/617,26/20876,5.549352516203495e-17,8.878964025925591e-15,7.184951152558212e-15,AT1G14550/AT5G64905/AT3G03670/AT1G19250/AT1G26380/AT5G57220/AT1G57630/AT5G25250/AT2G23270/AT4G31970/AT1G14540/AT2G26560/AT1G53620/AT2G26150/AT5G26920,15
Nonsupp,GO:0071453,cellular response to oxygen levels,15/617,26/20876,5.549352516203495e-17,8.878964025925591e-15,7.184951152558212e-15,AT1G14550/AT5G64905/AT3G03670/AT1G19250/AT1G26380/AT5G57220/AT1G57630/AT5G25250/AT2G23270/AT4G31970/AT1G14540/AT2G26560/AT1G53620/AT2G26150/AT5G26920,15
Nonsupp,GO:0046189,phenol-containing compound biosynthetic process,36/617,221/20876,6.408247262040847e-17,8.889057163766684e-15,7.193118625942779e-15,AT1G64160/AT4G14365/AT1G18570/AT4G39670/AT2G04430/AT4G12720/AT1G73805/AT4G03280/AT5G14930/AT1G66090/AT3G56400/AT5G66190/AT4G26120/AT1G57630/AT2G04450/AT3G47480/AT5G61900/AT3G56710/AT1G10340/AT5G66570/AT2G46400/AT2G26560/AT4G39890/AT5G67340/AT3G48640/AT3G17700/AT3G07720/AT1G01560/AT5G43910/AT3G52430/AT4G33050/AT5G05730/AT3G54640/AT2G39010/AT2G45760/AT5G26920,36
Nonsupp,GO:0009697,salicylic acid biosynthetic process,35/617,209/20876,7.142992363741086e-17,8.889057163766684e-15,7.193118625942779e-15,AT4G14365/AT1G18570/AT4G39670/AT2G04430/AT4G12720/AT1G73805/AT4G03280/AT5G14930/AT1G66090/AT3G56400/AT5G66190/AT4G26120/AT1G57630/AT2G04450/AT3G47480/AT5G61900/AT3G56710/AT1G10340/AT5G66570/AT2G46400/AT2G26560/AT4G39890/AT5G67340/AT3G48640/AT3G17700/AT3G07720/AT1G01560/AT5G43910/AT3G52430/AT4G33050/AT5G05730/AT3G54640/AT2G39010/AT2G45760/AT5G26920,35
Nonsupp,GO:0018958,phenol-containing compound metabolic process,37/617,238/20876,1.1392738463818795e-16,1.2759867079477051e-14,1.0325418755103141e-14,AT1G64160/AT4G14365/AT1G18570/AT4G39670/AT2G04430/AT4G12720/AT1G73805/AT4G03280/AT5G14930/AT1G66090/AT3G56400/AT5G66190/AT4G26120/AT1G57630/AT2G04450/AT3G47480/AT5G61900/AT3G56710/AT1G10340/AT5G66570/AT2G46400/AT2G26560/AT4G39890/AT5G67340/AT3G48640/AT3G17700/AT3G07720/AT1G01560/AT5G43910/AT3G52430/AT4G33050/AT5G05730/AT3G54640/AT5G54080/AT2G39010/AT2G45760/AT5G26920,37
Nonsupp,GO:0009696,salicylic acid metabolic process,35/617,222/20876,4.96932422742946e-16,5.059675577019086e-14,4.094342736666762e-14,AT4G14365/AT1G18570/AT4G39670/AT2G04430/AT4G12720/AT1G73805/AT4G03280/AT5G14930/AT1G66090/AT3G56400/AT5G66190/AT4G26120/AT1G57630/AT2G04450/AT3G47480/AT5G61900/AT3G56710/AT1G10340/AT5G66570/AT2G46400/AT2G26560/AT4G39890/AT5G67340/AT3G48640/AT3G17700/AT3G07720/AT1G01560/AT5G43910/AT3G52430/AT4G33050/AT5G05730/AT3G54640/AT2G39010/AT2G45760/AT5G26920,35
Nonsupp,GO:0001666,response to hypoxia,24/617,100/20876,1.2375285829745155e-15,1.155026677442881e-13,9.346597455623315e-14,AT1G14550/AT5G64905/AT4G33070/AT3G03670/AT5G63790/AT5G11920/AT1G73805/AT1G19250/AT1G35140/AT1G26380/AT3G56400/AT5G57220/AT1G57630/AT5G25250/AT1G49860/AT2G23270/AT4G31970/AT1G14540/AT2G26560/AT4G04700/AT1G53620/AT3G52430/AT2G26150/AT5G26920,24
Nonsupp,GO:0036293,response to decreased oxygen levels,24/617,103/20876,2.5470956544399185e-15,2.1944208715174685e-13,1.7757484683990043e-13,AT1G14550/AT5G64905/AT4G33070/AT3G03670/AT5G63790/AT5G11920/AT1G73805/AT1G19250/AT1G35140/AT1G26380/AT3G56400/AT5G57220/AT1G57630/AT5G25250/AT1G49860/AT2G23270/AT4G31970/AT1G14540/AT2G26560/AT4G04700/AT1G53620/AT3G52430/AT2G26150/AT5G26920,24
Nonsupp,GO:0070482,response to oxygen levels,24/617,104/20876,3.2208463664451318e-15,2.5766770931561055e-13,2.085074226698691e-13,AT1G14550/AT5G64905/AT4G33070/AT3G03670/AT5G63790/AT5G11920/AT1G73805/AT1G19250/AT1G35140/AT1G26380/AT3G56400/AT5G57220/AT1G57630/AT5G25250/AT1G49860/AT2G23270/AT4G31970/AT1G14540/AT2G26560/AT4G04700/AT1G53620/AT3G52430/AT2G26150/AT5G26920,24
Nonsupp,GO:0015698,inorganic anion transport,36/617,256/20876,7.47486910308482e-15,5.581235596969999e-13,4.5163945949165127e-13,AT5G01490/AT4G19680/AT4G08620/AT4G01700/AT1G12740/AT4G02270/AT4G26010/AT2G27660/AT2G26820/AT5G43350/AT3G21510/AT5G07080/AT3G09290/AT2G29330/AT1G26250/AT4G38830/AT1G09090/AT2G03260/AT2G25680/AT1G49860/AT5G10180/AT3G50740/AT4G25350/AT3G47040/AT3G54420/AT3G01290/AT1G76430/AT5G27350/AT1G13110/AT2G01890/AT1G68880/AT3G49860/AT1G18970/AT3G23190/AT3G58810/AT4G25090,36
Nonsupp,GO:0071236,cellular response to antibiotic,43/617,364/20876,1.0133027928342345e-14,7.093119549839642e-13,5.739827004146553e-13,AT4G18950/AT3G13610/AT4G33070/AT4G14365/AT1G18570/AT1G28480/AT5G60900/AT4G39670/AT2G04430/AT4G12720/AT5G11920/AT1G73805/AT1G32230/AT4G03280/AT5G14930/AT1G66090/AT3G56400/AT5G24930/AT1G05680/AT5G66190/AT4G26120/AT1G57630/AT2G04450/AT1G49860/AT3G47480/AT5G61900/AT3G56710/AT5G41410/AT5G66570/AT2G26560/AT4G39890/AT5G67340/AT3G48640/AT4G04700/AT4G02380/AT3G17700/AT2G18690/AT1G01560/AT3G52430/AT4G33050/AT5G05730/AT3G54640/AT5G26920,43
Nonsupp,GO:0050832,defense response to fungus,42/617,351/20876,1.3354054651818405e-14,8.797965417668595e-13,7.119406226139721e-13,AT5G39580/AT2G38870/AT4G01700/AT4G14365/AT4G02520/AT1G18570/AT1G28480/AT2G31865/AT4G16260/AT4G39670/AT4G12720/AT1G73805/AT1G32230/AT4G03280/AT1G19250/AT1G15010/AT1G66090/AT4G21980/AT3G56400/AT3G59080/AT5G66190/AT5G57220/AT2G04450/AT1G02920/AT3G47480/AT3G56710/AT5G66570/AT3G01290/AT2G26560/AT5G67340/AT3G48640/AT4G02380/AT3G17700/AT2G18690/AT1G01560/AT3G52430/AT4G33050/AT2G39200/AT5G05730/AT3G54640/AT5G26920/AT2G02930,42
Nonsupp,GO:0010054,trichoblast differentiation,42/617,354/20876,1.7977767340640524e-14,1.1186166345287436e-12,9.05196355572602e-13,AT3G02240/AT4G25220/AT5G51060/AT5G22410/AT3G62680/AT2G19060/AT5G06640/AT5G04960/AT5G57540/AT5G24313/AT5G57530/AT1G12040/AT1G54970/AT2G20520/AT4G40090/AT5G67400/AT5G19800/AT4G02270/AT4G26010/AT5G35190/AT4G25820/AT4G25790/AT1G27740/AT1G34510/AT3G10710/AT5G05500/AT1G62980/AT4G27290/AT1G30870/AT3G54870/AT2G44110/AT1G12560/AT4G30320/AT4G33730/AT1G21210/AT5G43520/AT5G54040/AT3G05490/AT3G16370/AT4G16370/AT1G49860/AT5G51310,42
Nonsupp,GO:0009404,toxin metabolic process,33/617,223/20876,2.277532907124098e-14,1.3425457136731525e-12,1.0864021235644593e-12,AT4G18170/AT1G17180/AT3G13610/AT1G02930/AT4G02520/AT2G15490/AT5G16970/AT2G35730/AT2G36950/AT1G23550/AT1G78360/AT5G16980/AT4G39950/AT2G29450/AT3G56400/AT1G05680/AT5G48180/AT4G21120/AT3G47780/AT1G02920/AT1G60430/AT1G49860/AT1G27140/AT3G28740/AT1G05560/AT5G12110/AT2G34500/AT2G26150/AT1G75270/AT2G39200/AT4G26470/AT2G02930/AT2G47730,33
Nonsupp,GO:0010053,root epidermal cell differentiation,42/617,365/20876,5.1961699859051386e-14,2.9098551921068777e-12,2.3546854515075396e-12,AT3G02240/AT4G25220/AT5G51060/AT5G22410/AT3G62680/AT2G19060/AT5G06640/AT5G04960/AT5G57540/AT5G24313/AT5G57530/AT1G12040/AT1G54970/AT2G20520/AT4G40090/AT5G67400/AT5G19800/AT4G02270/AT4G26010/AT5G35190/AT4G25820/AT4G25790/AT1G27740/AT1G34510/AT3G10710/AT5G05500/AT1G62980/AT4G27290/AT1G30870/AT3G54870/AT2G44110/AT1G12560/AT4G30320/AT4G33730/AT1G21210/AT5G43520/AT5G54040/AT3G05490/AT3G16370/AT4G16370/AT1G49860/AT5G51310,42
Nonsupp,GO:0009863,salicylic acid mediated signaling pathway,41/617,353/20876,7.650333989577618e-14,4.08017812777473e-12,3.301723090238762e-12,AT4G18950/AT4G33070/AT4G14365/AT1G18570/AT1G28480/AT5G60900/AT4G39670/AT2G04430/AT4G12720/AT5G11920/AT1G73805/AT1G32230/AT4G03280/AT5G14930/AT1G66090/AT3G56400/AT5G24930/AT5G66190/AT4G26120/AT1G57630/AT2G04450/AT1G49860/AT3G47480/AT5G61900/AT3G56710/AT5G41410/AT5G66570/AT2G26560/AT4G39890/AT5G67340/AT3G48640/AT4G04700/AT4G02380/AT3G17700/AT2G18690/AT1G01560/AT3G52430/AT4G33050/AT5G05730/AT3G54640/AT5G26920,41
Nonsupp,GO:0071446,cellular response to salicylic acid stimulus,41/617,355/20876,9.256993164773664e-14,4.712651065702956e-12,3.813526849220156e-12,AT4G18950/AT4G33070/AT4G14365/AT1G18570/AT1G28480/AT5G60900/AT4G39670/AT2G04430/AT4G12720/AT5G11920/AT1G73805/AT1G32230/AT4G03280/AT5G14930/AT1G66090/AT3G56400/AT5G24930/AT5G66190/AT4G26120/AT1G57630/AT2G04450/AT1G49860/AT3G47480/AT5G61900/AT3G56710/AT5G41410/AT5G66570/AT2G26560/AT4G39890/AT5G67340/AT3G48640/AT4G04700/AT4G02380/AT3G17700/AT2G18690/AT1G01560/AT3G52430/AT4G33050/AT5G05730/AT3G54640/AT5G26920,41
Nonsupp,GO:0035690,cellular response to drug,43/617,390/20876,1.1498927698626122e-13,5.442187703215742e-12,4.403875575628528e-12,AT4G18950/AT3G13610/AT4G33070/AT4G14365/AT1G18570/AT1G28480/AT5G60900/AT4G39670/AT2G04430/AT4G12720/AT5G11920/AT1G73805/AT1G32230/AT4G03280/AT5G14930/AT1G66090/AT3G56400/AT5G24930/AT1G05680/AT5G66190/AT4G26120/AT1G57630/AT2G04450/AT1G49860/AT3G47480/AT5G61900/AT3G56710/AT5G41410/AT5G66570/AT2G26560/AT4G39890/AT5G67340/AT3G48640/AT4G04700/AT4G02380/AT3G17700/AT2G18690/AT1G01560/AT3G52430/AT4G33050/AT5G05730/AT3G54640/AT5G26920,43
